#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Little Bit","Lykke Li",120,9B,74,2024-09-26,04:33,68,"","Youth Novels",2008-06-06,82,16,0,70,0,10,-7,G Major,4,0Ps4Eh6SQjeLnubbCsQTDD,SEVUM0700701
2,"Fade Into You","Mazzy Star",157,11B,33,2024-09-26,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
3,"Bells Ring","Mazzy Star",167,9B,48,2025-11-04,04:32,57,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,17,0,0,33,0,10,-12,G Major,4,5AabqkMATMr8zsfPS5yJnr,USCA29300468
4,"Halah","Mazzy Star",106,8B,45,2024-10-22,03:16,68,"dream pop, shoegaze, slowcore","She Hangs Brightly",1990-05-21,62,23,0,55,0,10,-11,C Major,4,6JuEshIRliNXRU1LXctRjZ,USCA29000609
5,"Be My Angel","Mazzy Star",165,11B,43,2025-08-27,03:17,65,"dream pop, shoegaze, slowcore","She Hangs Brightly",1990-05-21,36,3,0,27,0,10,-11,A Major,3,3R6kyOmqWcAsqZqqe9CGL0,USCA29000615
6,"Cry, Cry","Mazzy Star",123,9B,20,2025-08-03,03:58,64,"dream pop, shoegaze, slowcore","Among My Swan",1996-10-29,50,75,4,14,0,10,-16,G Major,4,4u5ofLk8CMrtQnRaiIVH4O,USCA29601035
7,"Roseblood","Mazzy Star",83,12A,32,2025-08-27,04:51,64,"dream pop, shoegaze, slowcore","Among My Swan",1996-10-29,26,37,72,7,0,10,-15,C♯/D♭ Minor,3,2qV5Ce0sMlFsrseRO5CTMU,USCA29601039
8,"You're Not The Only One I Know","The Sundays",98,8B,45,2025-01-02,03:50,66,"dream pop, jangle pop","Reading, Writing And Arithmetic",1990-00-00,52,19,0,68,0,30,-12,C Major,4,7BaxYnTazocAOK3istsW1z,USGF19027706
9,"Here's Where The Story Ends","The Sundays",109,9B,61,2025-02-17,03:54,66,"dream pop, jangle pop","Reading, Writing And Arithmetic",1990-00-00,56,12,0,82,0,10,-12,G Major,4,67Tp0vRSc3yJU0z1UQMD7B,USGF19027702
10,"A Certain Someone","The Sundays",122,8A,60,2026-02-14,04:24,53,"dream pop, jangle pop","Reading, Writing And Arithmetic",1990-00-00,66,12,0,67,0,20,-11,A Minor,4,6MJKD4yww06r6AskfnnMRQ,USGF19027707
11,"Life Goes On","The Sundays",122,8B,56,2025-01-08,04:00,64,"dream pop, jangle pop","Cry",1997-01-01,57,44,0,40,0,20,-8,C Major,4,5SoKCTxPvWYSK9A5jNniP7,USUM72410770
12,"Love","The Sundays",188,9B,81,2025-10-04,04:32,50,"dream pop, jangle pop","Blind",1992-01-01,41,11,0,70,0,0,-11,G Major,4,21kdeNutBDCKrd2LCSvvNX,USGF19947907
13,"Blood On My Hands","The Sundays",116,9B,44,2025-11-04,03:40,51,"dream pop, jangle pop","Blind",1992-01-01,59,34,0,15,0,0,-12,G Major,4,3OHUhJwty5LbtudyFzIMuU,USGF19947910
14,"On Earth","The Sundays",98,8B,49,2025-07-14,02:22,56,"dream pop, jangle pop","Blind",1992-01-01,52,63,2,44,0,10,-10,C Major,4,6Ix9YwZc6loLuisD8tDy01,USGF19947905
15,"Wild Horses","The Sundays",150,9B,27,2025-01-08,04:45,58,"dream pop, jangle pop","Blind",1992-01-01,42,87,0,18,0,0,-13,G Major,4,418gyIJdAZSZisVdzDXLNc,USGF19947912
16,"Cry","The Sundays",155,8B,65,2025-07-08,04:06,53,"dream pop, jangle pop","Static & Silence",1997-09-22,45,10,3,57,0,10,-8,C Major,4,16MYd5ZifPer1ijvXYTFVY,USGF19713105
17,"Linger","The Cranberries",95,9B,43,2024-09-26,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
18,"Dreams","The Cranberries",129,12B,65,2025-01-08,04:31,84,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,55,0,0,51,0,40,-13,E Major,4,4JGKZS7h4Qa16gOU3oNETV,USIR29300080
19,"California Dreamin'","The Mamas & The Papas",112,12A,73,2025-07-27,02:40,75,"folk rock","All The Leaves Are Brown The Golden Era Collection",2001-08-28,55,42,0,65,0,0,-7,C♯/D♭ Minor,4,1ZEOIhSn6BKErV59bIgn76,USMC16532697
