#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"There She Goes","Sixpence None The Richer",120,6B,79,2025-05-19,02:44,69,"","Sixpence None The Richer",1997-11-22,50,0,0,46,0,10,-6,A#/B♭ Major,4,43z6scIZU2QcEieMQFAJRG,USEE19900321
2,"Built This Way (Slow Remix)","Samantha Ronson",94,1B,79,2025-05-19,04:16,49,"","Mean Girls (Original Motion Picture Soundtrack)",2004-01-01,42,14,0,67,0,0,-6,B Major,4,2QEd05Kp6sGDkc5399s6bM,USRY20411439
3,"Resonance - Midwest Emo Version","jacal",85,4B,82,2025-05-19,03:39,0,"","Resonance - Midwest Emo Version",2023-06-30,24,0,90,29,0,10,-5,G#/A♭ Major,4,5xAxenBKuSuaMYVHWjiFtj,QT2VB2470694
4,"I Caught Myself - Twilight Soundtrack Version","Paramore",116,11B,87,2025-05-19,03:55,50,"pop punk, emo","Twilight Original Motion Picture Soundtrack (International Special Edition)",2008-11-03,54,0,0,31,0,10,-4,A Major,4,2E59wdcCUh3BAqepSNNMga,USAT20804111
5,"Sunday","The Cranberries",109,8B,56,2025-05-19,03:31,72,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,33,6,0,17,0,10,-13,C Major,4,4zEvxRDaKDoFlHxK7Hy0wg,USIR29300081
6,"Waiting","leverfall",101,10B,55,2025-05-19,01:01,71,"","Waiting",2025-01-15,55,96,90,16,0,10,-12,D Major,4,0n20laNpcg84CViNdXbwsE,QZZ4J2401956
7,"Kiss Me","Sixpence None The Richer",100,5B,75,2025-05-19,03:28,86,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312
8,"Fade Into You","Mazzy Star",157,11B,33,2025-05-19,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
9,"Dreams - 2004 Remaster","Fleetwood Mac",120,8B,49,2025-05-19,04:17,91,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,83,6,0,79,0,10,-10,C Major,4,0ofHAoxe9vBkTCp2UQIavz,USWB11301111
10,"Don't Know Why","Norah Jones",89,7B,22,2025-05-19,03:06,79,"jazz pop","Come Away With Me (Super Deluxe Edition)",2002-02-26,75,85,0,64,0,0,-11,F Major,4,1zNXF2svmdlNxfS5XeNUgr,USBN20100529
11,"Her","The American Dawn",103,2A,60,2025-05-19,03:34,79,"","Her",2024-07-26,66,1,1,53,0,0,-8,D#/E♭ Minor,4,2vlkTkPqdATznKHu9gD2c1,QZTAW2475627
12,"Life Goes On","The Sundays",122,8B,56,2025-05-19,04:00,61,"dream pop, jangle pop","Cry",1997-00-00,57,44,0,41,0,20,-8,C Major,4,6st8aj6PmtqGctnLAat95M,GB01A9700036
13,"Linger","The Cranberries",95,9B,43,2025-05-19,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
14,"When You're Gone","The Cranberries",188,5B,53,2025-05-19,03:52,67,"","Stars: The Best Of The Cranberries 1992-2002",2002-09-16,45,52,0,37,0,20,-7,D#/E♭ Major,3,2Qdnk7tbc4onLOIPd1eSNE,USIR29600117
15,"1979 - Remastered 2012","The Smashing Pumpkins",127,5B,79,2025-05-19,04:26,80,"alternative rock, rock","Mellon Collie And The Infinite Sadness (Deluxe Edition)",1995-00-00,77,2,58,96,0,0,-10,D#/E♭ Major,4,5QLHGv0DfpeXLNFo7SFEy1,USVI21200910
16,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2025-05-19,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
17,"Luna - 2011 Remaster","The Smashing Pumpkins",126,11B,27,2025-05-19,03:22,70,"alternative rock, rock","Siamese Dream (Deluxe Edition)",1993-00-00,57,1,79,11,0,10,-14,A Major,4,5Q6Xzp25aXYxNJ4B6vBkcf,USVI21100158
18,"Insomniac","Memo Boy,Chakra Efendi",130,10B,71,2025-05-20,03:32,74,"","Songs & Demos 2015-2017",2021-06-04,52,24,85,37,0,10,-9,D Major,4,2klj0StczYde6WUHBJo5F6,AUNUK1700026
19,"Better in the Dark","Jordana,TV Girl",90,11B,64,2025-05-25,02:35,82,"","Summer's Over",2021-10-13,68,28,0,70,0,60,-7,A Major,4,3SeDS5sSoWnwAZvVgkdKzf,QM5BK1900509
20,"Leave","Whirr",93,1A,80,2025-05-26,04:13,0,"shoegaze, slowcore, dream pop","Distressor",2012-06-19,23,0,91,15,0,90,-7,G#/A♭ Minor,4,6yjtcpFf9dLgflkS52PYNa,US7WZ1200012
21,"Mascara","Deftones",78,4A,45,2025-05-28,03:45,76,"nu metal, alternative metal, rap metal, shoegaze, rock","Around the Fur",1997-10-27,47,0,6,5,0,0,-7,F Minor,4,4cLdpErILMO8Db8pQVAVcZ,USMV29700144
22,"General Nature","Riverside",127,11B,73,2025-08-10,04:34,34,"jangle pop","One",1992-01-27,50,0,75,69,0,20,-10,A Major,4,3aqsQZVxDZGEuhTmQHHPEK,USRH12205962
23,"regretful","leverfall",96,1A,39,2025-08-14,01:22,65,"","April & June",2025-04-24,64,19,93,21,0,10,-14,G#/A♭ Minor,4,4lJjC7xGtEg1tZH4KOSSuv,QZMEQ2579528
24,"(L)MIRL","Deftones",140,7A,76,2025-08-16,05:02,65,"nu metal, alternative metal, rap metal, shoegaze, rock","Gore",2016-04-08,31,0,79,9,0,10,-5,D Minor,4,4hYNZvsCnAOZP0lADhpmgC,USRE11500608
25,"Moonlight on the River","Mac DeMarco",140,11B,48,2025-09-08,07:02,80,"indie, lo-fi indie","This Old Dog",2017-05-05,66,25,83,43,0,20,-9,A Major,4,2fhOljbX79loRcdl47SFye,QMMZN1701309
26,"wonder if you care","flyingfish",78,4A,67,2025-09-08,02:14,68,"shoegaze","wonder if you care",2023-04-28,43,0,71,18,0,10,-9,F Minor,4,0KdEx2ETCXYZeEVAZS4sJ4,QZK6Q2300573
27,"Brian is the Most Beautiful","Memo Boy",192,4A,80,2025-09-08,03:45,64,"","Songs & Demos 2015-2017",2021-06-04,48,39,85,37,0,20,-9,F Minor,4,3lhLML5eIwmPnw2xWKosZX,GB5P52100117
28,"You're Not The Only One I Know","The Sundays",98,8B,45,2025-10-03,03:50,66,"dream pop, jangle pop","Reading, Writing And Arithmetic",1990-00-00,52,19,0,68,0,30,-12,C Major,4,7BaxYnTazocAOK3istsW1z,USGF19027706
29,"welcome and goodbye","Dream, Ivory",140,5A,72,2025-10-05,02:20,81,"","welcome and goodbye",2018-03-31,58,2,76,66,0,0,-5,C Minor,4,00RLNHc2jkEjUoCUlFgPVT,QM42K1745830
30,"Back to the Old House - 2011 Remaster","The Smiths",104,10B,49,2025-10-05,03:06,83,"new wave, madchester, jangle pop","Louder Than Bombs",1987-00-00,63,1,0,40,0,10,-8,D Major,3,6LUGvXEAK8WxIBYK43uoTb,GBCRL1100089
31,"we fell in love in october","girl in red",130,9B,37,2025-10-07,03:04,86,"bedroom pop","we fell in love in october / October Passed Me By",2018-11-21,57,11,18,24,0,10,-13,G Major,4,6IPwKM3fUUzlElbvKw2sKl,GBKPL1828677
32,"Sextape","Deftones",90,7B,63,2025-10-16,04:01,82,"nu metal, alternative metal, rap metal, shoegaze, rock","Diamond Eyes",2010-04-30,37,0,8,10,0,10,-6,F Major,4,1EryAkZ0VHstC6haIxVBiE,USRE11000115
33,"Wicked Game","Chris Isaak",112,11B,30,2025-10-31,04:49,86,"","Heart Shaped World",1989-06-13,66,68,1,36,0,0,-18,A Major,4,7w5AOd6HrDIHewHfpABEss,USRE19900989
34,"Here's Where The Story Ends","The Sundays",109,9B,61,2025-12-01,03:54,66,"dream pop, jangle pop","Reading, Writing And Arithmetic",1990-00-00,56,12,0,82,0,10,-12,G Major,4,67Tp0vRSc3yJU0z1UQMD7B,USGF19027702
35,"Children - Dream Version","Robert Miles",137,8B,81,2025-12-01,07:06,61,"trance, eurodance","Dreamland",1996-06-10,60,0,78,18,0,40,-10,C Major,4,7cEkyAXkwXCxTR3IKE0XHu,GBARS9600002
36,"Flightless Bird, American Mouth","Iron & Wine",155,5B,40,2026-01-28,04:01,71,"indie folk","The Shepherd's Dog",2007-09-25,37,83,5,18,0,10,-8,D#/E♭ Major,3,1fEGtTZjrjJW8eUeewnNJR,USSUB0771012
37,"Reunion","Korea Girl",92,12B,39,2026-02-20,04:19,76,"","Korea Girl",1997-02-15,49,59,27,26,0,10,-12,E Major,4,2ZJDukZQ1yf837c6MvjbKu,USB750404003
