#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Lovers Rock","TV Girl",105,4A,87,2025-09-03,03:33,88,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143
2,"Boyfriend","Paul Lynch",118,2B,41,2025-11-24,02:54,15,"","Boyfriend",2025-11-14,60,76,1,36,0,20,-11,F#/G♭ Major,4,4cFZTamAXgT8vcZK6vYEDx,QT5M42567248
3,"From the Rain","Free Carmen",81,4B,55,2026-01-13,04:19,23,"","From the Rain",2025-12-19,54,19,0,31,0,10,-7,G#/A♭ Major,4,51qZ0RlNU0HNyJhFIL0QnJ,QMFMG2539248
4,"Demon Host","Timber Timbre",76,7B,12,2022-08-12,03:39,0,"southern gothic","Timber Timbre",2010-09-20,64,96,0,22,0,10,-17,F Major,4,1CCejqrojUkDfNigHUyLWK,CASA70919286
5,"Other Houses","Ahns",130,9B,42,2026-02-21,03:54,17,"","Other Houses",2026-02-06,56,95,67,16,0,40,-16,G Major,4,6sztWkNYW1GdL9ftuBjQ6t,QZDA62690314
6,"On My Way","Jimmy Marcus",110,9B,39,2025-12-03,04:10,19,"","On My Way",2025-11-14,67,47,0,62,0,30,-12,G Major,4,5YCRgs2LRk3KEwrXyMZyDX,QT6E72571222
7,"Day or Night","Rob Lalain",95,10B,57,2026-03-09,04:27,16,"","The Way We Were",2026-01-23,59,0,48,62,0,0,-8,D Major,4,5X04z2ubktkDRWCeAaaX9p,QZRP52536208
8,"Winded","Patrick Keller",82,8B,28,2025-11-11,03:37,2,"","Winded",2025-11-07,35,29,0,45,0,10,-14,C Major,4,6WPrxC0pvea4Aqfxex8bOI,QT6E52560973
9,"Loosey-Goosey (Alternate Version)","Zoning Out",175,10B,83,2025-11-04,03:01,17,"indie rock","Loosey-Goosey (Alternate Version)",2025-10-30,37,1,70,48,10,10,-8,D Major,4,74JeFe7mnray6tezvmTPdo,USX9P2562579
10,"Beachside","The Mends",159,10B,87,2025-12-25,03:33,19,"","Beachside",2024-02-09,43,0,0,52,0,10,-7,D Major,4,63Uc0e9253cjUidKbZt8NJ,QZFYY2430650
