#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Твоим морем","Nervy",130,6B,85,2023-11-18,03:21,45,"","7",2021-04-07,53,1,0,27,0,10,-4,A#/B♭ Major,4,3HbHmzglrxFLcDgtpJD8j1,RUB312102103
2,"Привет, лови!","Nervy",164,8B,82,2023-11-18,04:05,34,"","Самый дорогой, Часть 1",2017-05-19,34,0,0,39,0,0,-6,C Major,4,4oZpdUtvNIWNP9aaeyFiSp,RUA1D1707142
3,"Осень - Live At Adrenaline Stadium 2020","Nervy",146,8A,69,2023-11-18,05:30,35,"","Десятилетие (Live At Adrenaline Stadium 2020)",2021-01-28,27,13,0,32,0,90,-4,A Minor,4,1ux9J079AKdCLeBCHCwaxn,RUB312100519
4,"Лето, плавки, рок-н-ролл","Nervy",137,6A,90,2023-11-18,02:37,48,"","Неизданное 2010-2012",2021-03-25,64,1,0,44,0,0,-2,G Minor,4,2NHHCvMSQS3G2OgRGpex92,RUB312102507
5,"Родной город","Nervy",96,1B,63,2023-11-18,03:30,61,"","Костёр",2016-09-01,63,0,0,13,0,10,-6,B Major,4,45x4xzIwyNd4GBjP1YRmZj,RUB312100603
6,"Нервы","Nervy",91,7A,83,2023-11-18,02:38,57,"","Всё Что Вокруг",2012-05-22,40,0,0,31,0,0,-10,D Minor,4,5HhxdmRCXAJqT8WYwMCyBQ,RUB421305614
7,"Из бара","Nervy",145,10A,95,2023-11-18,04:46,28,"","Самый дорогой, Часть 2",2017-12-01,59,3,0,11,10,20,-5,B Minor,4,3QY2dlV5HkuorREfiJHwtz,RUA1D1718956
8,"Лампами","Nervy",141,9A,40,2023-11-18,03:31,27,"","Лампами",2016-04-29,60,31,0,32,0,10,-8,E Minor,4,6SqxuCttUVxD2RlbRjI0BA,RUB312100801
9,"Нарушим","Nervy",142,11B,62,2023-11-18,04:30,34,"","Я живой",2013-11-12,45,6,0,15,0,10,-4,A Major,4,7bljewUMiOGJ6TS0DfPz8t,RUB421308486
10,"На вынос","Nervy",129,7A,77,2023-11-18,03:33,36,"","7",2021-04-07,59,0,0,47,0,10,-3,D Minor,3,3vydZzQ9OsjoPVxL46e7g7,RUB312102101
11,"Кофе мой друг","Nervy",147,12A,41,2023-11-18,03:07,46,"","Всё Что Вокруг",2012-05-22,31,4,0,18,0,20,-11,C♯/D♭ Minor,4,5ZdtIaHOQaFKO9qsP9sBNr,RUB421305627
12,"Отрицательный герой","Nervy",167,12A,47,2023-11-18,03:00,40,"","7",2021-04-07,36,34,0,29,0,20,-7,C♯/D♭ Minor,4,7s3l9EBa1zlzv9sGrIbOOf,RUB312102118
13,"Потери","Nervy",91,8B,93,2023-11-18,02:56,39,"","7",2021-04-07,23,0,0,37,0,20,-2,C Major,4,41pdBZ15cAcB0U63k79P1G,RUB312102106
14,"Лучшая жизнь","Nervy",122,12B,89,2023-11-19,02:56,36,"","Самый дорогой, Часть 2",2017-12-01,65,0,0,65,0,10,-4,E Major,4,0i892um2ZZeILlCEoDsrGY,RUA1D1718958
15,"Нахуя тебе я","Nervy",123,11A,75,2023-11-20,03:57,43,"","7",2021-04-07,72,8,0,76,0,30,-6,F#/G♭ Minor,4,2Sh4EO8Z5fsiynxAcL6wWh,RUB312102119
16,"В пробке по встречной","Nervy",98,10B,59,2023-11-20,02:38,26,"","Костёр",2016-09-01,66,0,0,56,0,10,-7,D Major,4,08sEteRUKb2eWr34hEitEb,RUB312100602
17,"Костёр","Nervy",134,9B,67,2023-11-20,03:14,35,"","Костёр",2016-09-01,63,2,0,58,0,10,-6,G Major,4,1iWayhZnXnkGKcQU8Zxpvs,RUB312100601
18,"Ты права","Nervy",148,7B,78,2023-11-20,04:06,46,"","Третье дыхание",2015-09-27,49,0,0,35,0,0,-4,F Major,4,5i1TZpjuioeW7utuqJa7jZ,RUB311504911
19,"Батареи","Nervy",150,12A,74,2023-11-20,03:13,59,"","Всё Что Вокруг",2012-05-22,57,10,0,75,10,40,-11,C♯/D♭ Minor,4,0Oj8rpo6eiGvJmnLs4ZrkH,RUB421305617
20,"Ярче и теплее","Nervy",98,11B,71,2023-11-20,02:38,43,"","Неизданное 2010-2012",2021-03-25,56,1,0,70,0,10,-4,A Major,4,1utot4Vq5YUh3qkjboDK0g,RUB312102502
21,"Втомився","Nervy",102,7A,30,2023-11-20,03:47,37,"","Втомився",2023-03-15,42,44,0,24,0,30,-10,D Minor,3,3kRfAMotUWqRfPj5HLIn7m,QZGLM2331192
22,"Муза","Nervy",142,11A,62,2023-11-20,02:52,56,"","Всё Что Вокруг",2012-05-22,68,13,0,62,0,0,-11,F#/G♭ Minor,4,1FBhMDbfixCl3kA3JjQKAJ,RUB421305628
23,"Счастье","Nervy",170,11B,76,2023-11-20,03:15,50,"","Третье дыхание",2015-09-27,46,0,0,50,0,0,-4,A Major,4,6XZCR5JpWDvzhexwZ17Vgf,RUB311504907
24,"День ночь","Nervy",137,4A,57,2023-11-20,03:14,39,"","Неизданное 2010-2012",2021-03-25,45,5,0,34,0,50,-7,F Minor,4,0ddpQcWou4uQM0PxuKtfHa,RUB312102505
25,"Хочеш","Після Дощу",148,10A,59,2023-11-20,02:27,0,"","Хочеш",2023-03-28,59,9,0,26,0,10,-8,B Minor,4,2R8CylfWLqBcejsXu2mdcW,FRX202336428
26,"про Київ","Tember Blanche",118,11A,62,2023-11-20,03:32,41,"","про Київ",2022-07-15,82,35,0,58,0,10,-7,F#/G♭ Minor,4,65FOp8zFzwiIABbI8HGBLN,FRX282225140
27,"Буревіями","SHUMEI,ZLATA OGNEVICH",130,4A,51,2023-11-21,03:47,42,"","Буревіями",2023-04-17,70,46,0,40,0,10,-6,F Minor,4,0LydTnU3RQKbgMCKFWQ5nS,SE6I32333489
28,"Shape of You","Ed Sheeran",96,12A,65,2023-11-21,03:53,90,"soft pop","÷ (Deluxe)",2017-03-03,83,58,0,93,0,0,-3,C♯/D♭ Minor,4,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463
29,"Attention","Charlie Puth",100,2A,61,2023-11-21,03:28,88,"soft pop","Voicenotes",2018-05-11,78,11,0,80,0,10,-5,D#/E♭ Minor,4,5cF0dROlMOK5uNZtivgu50,USAT21700928
30,"Perfect","Ed Sheeran",95,4B,45,2023-11-23,04:23,89,"soft pop","÷ (Deluxe)",2017-03-03,60,16,0,17,0,10,-6,G#/A♭ Major,3,0tgVpDi06FyKpA1z0VMD4v,GBAHS1700024
31,"The World We Knew (Over And Over)","Frank Sinatra",93,3A,42,2023-11-23,02:47,74,"christmas, big band, adult standards, swing music, jazz, vocal jazz","The World We Knew",1967-08,34,76,0,49,0,10,-12,A#/B♭ Minor,3,62KZRwymXq9Rgm8Cm5UCfx,USRH10800987
32,"Me and the Devil","Soap&Skin",89,9B,45,2023-11-23,03:05,79,"","Sugarbread",2013-03-11,58,49,1,22,0,10,-7,G Major,4,0wrWxW18WK2MkrfDpRHkyh,BEP011300085
33,"Hit the Road Jack","Ray Charles",173,1A,57,2023-11-23,01:59,75,"soul, soul blues, blues, classic soul, vocal jazz","True Genius",2021-09-10,60,70,0,96,10,50,-13,G#/A♭ Minor,4,5dUMh0ugelpKfoFp3qChuK,QZR8K2111005
34,"Cheri Cheri Lady","Modern Talking",114,6B,62,2023-11-23,03:46,82,"europop, italo disco, eurodance","Let's Talk About Love",1985-00-00,68,46,1,85,0,30,-14,A#/B♭ Major,4,2aEuA8PSqLa17Y4hKPj5rr,DEC738500001
35,"California Dreamin' - Single Version","The Mamas & The Papas",112,12A,61,2023-11-23,02:42,81,"folk rock","If You Can Believe Your Eyes & Ears",1966-03,55,35,0,64,0,0,-10,C♯/D♭ Minor,4,4s6LhHAV5SEsOV0lC2tjvJ,USMC16532697
36,"Back To Black","Amy Winehouse",123,6A,42,2023-11-23,04:01,80,"","Back To Black (Deluxe Edition)",2006-00-00,43,13,0,38,0,0,-14,G Minor,4,3FAclTFfvUuQYnEsptbK8w,GBUM70604698
37,"Money, Money, Money","ABBA",121,8A,70,2023-11-23,03:06,71,"","Arrival",1976-00-00,79,54,0,65,0,0,-7,A Minor,4,3lKN03PDeBnXZS7sDukRBt,SEAYD7601060
38,"Feeling Good","Michael Bublé",115,3B,55,2023-11-23,03:57,73,"christmas","It's Time",2005-02-08,54,53,0,48,0,10,-7,C♯/D♭ Major,3,1AM8QdDFZMq6SrrqUnuQ9P,USRE10401889
39,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2023-11-25,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
40,"Sweater Weather","The Neighbourhood",124,6B,81,2023-11-25,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
41,"Вище хмар","SHUMEI",130,7A,72,2023-11-25,03:21,0,"","Вище хмар",2023-09-08,65,47,0,24,0,0,-5,D Minor,4,6ORlYPfvTXPZ4aHWVRp3Ey,QMDA72382598
42,"Ти неймовірна","Quest Pistols",140,9A,58,2023-11-26,02:48,46,"","Ти неймовірна",2022-12-14,66,2,0,53,0,40,-5,E Minor,4,7dpget8s2QN51jYbNqVYtG,DGA072295681
43,"The Night We Met","Lord Huron",174,11B,37,2023-11-26,03:28,70,"","Strange Trails",2015-04-06,45,97,27,10,0,60,-10,A Major,3,3hRV0jL3vUpRrcy398teAU,US53Q1200103
44,"інша любов","ENLEO",120,9A,56,2023-11-26,04:08,44,"","інша любов",2022-07-15,40,29,0,12,0,30,-9,E Minor,4,6JrGELYUIbZvBV74j4Q5LN,GBKPL2206290
45,"Way down We Go","KALEO",163,3A,51,2023-11-26,03:33,84,"","A/B",2016-06-10,49,58,0,34,10,10,-8,A#/B♭ Minor,4,0y1QJc3SJVPKJ1OvFmFqe6,USAT21502122
46,"I Feel Like I'm Drowning","Two Feet",105,4B,58,2023-11-26,03:05,77,"","A 20 Something Fuck",2018-10-05,72,71,0,24,0,0,-5,G#/A♭ Major,3,3aauaXWRgwCMoykMbI0Jq1,USUM71709320
