#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Autumn Leaves - Remastered 1987","Nat King Cole",87,7A,35,-,02:40,61,"christmas, adult standards, vocal jazz","Sings For Two In Love",1953-08-01,21,94,0,10,0,30,-10,D Minor,5,3AgqQbQWYLGsemeBHk1U1d,USCA28700088
2,"cardigan","Taylor Swift",130,5A,58,-,03:59,86,"","folklore",2020-07-24,61,54,0,55,0,20,-9,C Minor,4,4R2kfaDFhslZEMJqAFNpdd,USUG12002836
3,"Coffee","beabadoobee",119,11B,14,-,02:06,73,"bedroom pop","Coffee",2017-11-04,53,98,96,30,0,10,-18,A Major,4,429NtPmr12aypzFH3FkN9l,GBK3W1800819
4,"Wicked Game","Chris Isaak",112,11B,30,-,04:49,86,"","Heart Shaped World",1989-06-13,66,68,1,36,0,0,-18,A Major,4,7w5AOd6HrDIHewHfpABEss,USRE19900989
5,"Autumn Leaves - Deluxe Edition","Ed Sheeran",89,6B,26,-,03:20,54,"soft pop","+",2011-09-09,56,89,0,43,0,10,-13,A#/B♭ Major,4,7iBSkXB0pTvZasOLf0Qxk9,GBAHS1100210
6,"Oh Klahoma","Jack Stauber",109,9B,40,-,03:05,72,"","Pop Food",2017-03-25,70,43,1,48,0,30,-10,G Major,4,6SZwj6cjc8JQbkrr8cbIUn,QMPKX1703670
7,"Insomniac","Memo Boy,Chakra Efendi",130,10B,71,-,03:32,74,"","Songs & Demos 2015-2017",2021-06-04,52,24,85,37,0,10,-9,D Major,4,2klj0StczYde6WUHBJo5F6,AUNUK1700026
8,"Heaven Knows I'm Miserable Now - 2011 Remaster","The Smiths",114,2B,76,-,03:35,82,"new wave, madchester, jangle pop","Hatful of Hollow",1984-00-00,61,3,0,77,0,10,-5,F#/G♭ Major,4,1xaTREM89RbIxkcjlpf4Uw,GBCRL1100070
9,"O Children","Nick Cave & The Bad Seeds",122,9A,56,-,06:49,72,"","Abattoir Blues / The Lyre of Orpheus",2004-09-20,50,51,0,24,0,0,-7,E Minor,4,73ZlmJxexVebFozgZhEhkd,GBAJH0401579
10,"Autumn In New York","Ella Fitzgerald,Louis Armstrong",135,6A,5,-,05:56,59,"jazz, vocal jazz, swing music, big band, christmas","Ella And Louis Again",1957-02-25,43,96,0,15,0,10,-19,G Minor,4,0f2489MzoisF9pKduawvce,USPR35712068
