#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Remember Me","Gen di Calabria",52,1A,23,2025-11-27,02:13,29,"","My Guitar",2025-01-08,71,97,92,66,10,10,-11,G#/A♭ Minor,4,03xtOrTUgF7mXRM756FQcG,GXF9Q2569622
2,"Love In The Dark","Adele",110,8A,34,2025-11-27,04:45,81,"soft pop","25",2015-11-20,33,53,0,15,0,10,-6,A Minor,4,0DuWDLjriRPjDRoPgaCslY,GBBKS1500221
3,"Locrian Winds","Carlos Zurita",76,6B,6,2025-11-27,02:17,26,"","Velvet Lights",2025-01-10,58,99,93,15,0,10,-24,A#/B♭ Major,4,5oKszf1Ciy2UKHmMPMJA96,GXF9Q2575276
4,"Hello","Adele",79,4A,43,2025-11-27,04:55,76,"soft pop","25",2015-11-20,58,33,0,29,0,0,-6,F Minor,4,1Yk0cQdMLx5RzzFTYwmuld,GBBKS1500214
5,"Parkside Adventures","Thierry Gramo",86,7A,31,2025-11-27,02:08,26,"","On The Road",2024-09-27,44,91,95,47,0,20,-12,D Minor,4,5aVVMTfgBgz4mAWHUhTQSw,QMDA62432557
6,"Perfect","Ed Sheeran",95,4B,45,2025-11-27,04:23,89,"soft pop","÷ (Deluxe)",2017-03-03,60,16,0,17,0,10,-6,G#/A♭ Major,3,0tgVpDi06FyKpA1z0VMD4v,GBAHS1700024
7,"Dragon’s Roar","The Phoenix,Comfy Cocoon",180,3B,80,2025-11-27,02:13,25,"synthwave, ","PhoenixRage",2024-07-19,52,1,84,36,0,30,-6,C♯/D♭ Major,4,6afvSC1xGN52GRk0eEe1Ba,QM7282434741
8,"All I Want Is You (feat. J. Cole)","Miguel,J. Cole",97,7B,60,2025-11-27,04:55,80,"r&b, rap","All I Want Is You",2010-11-30,78,7,0,92,0,10,-6,F Major,4,5VA4Ispp52EA1sOqzMz3Av,USJI11000080
9,"Fly Away with Me","Petit Jean",120,4B,30,2025-11-27,01:38,25,"","Bon Voyage",2024-09-27,65,94,78,16,0,10,-12,G#/A♭ Major,5,27x6L6CItVpczGTENrRECp,QMDA62438572
10,"Love Me","Lil Wayne,Drake,Future",125,1B,63,2025-11-27,04:15,87,"rap, hip hop","I Am Not A Human Being II (Deluxe)",2013-01-01,67,1,0,50,0,0,-6,B Major,4,2XHzzp1j4IfTNp1FTn7YFg,USCM51300001
11,"Skybound","Lore8.v,Yves René",72,5A,22,2025-11-27,02:12,25,"","Wings of Light",2024-10-18,80,97,93,48,20,10,-11,C Minor,4,7bHRny6WlDtoyw6lS1rKdS,QMDA62496859
12,"Getting Older","Billie Eilish",160,6B,13,2025-11-27,04:04,73,"","Happier Than Ever",2021-07-30,60,97,12,37,10,10,-17,A#/B♭ Major,4,4HOryCnbme0zBnF8LWij3f,USUM72105922
13,"Late Night Alumni","Karl Hoffmann",115,10A,75,2025-11-27,02:15,27,"","Rust & Rose",2024-09-13,82,70,94,67,0,10,-6,B Minor,4,3t0VY7h1t0EGVFrtJqsrq5,QMBZ92490978
14,"WILDFLOWER","Billie Eilish",148,11A,25,2025-11-27,04:21,93,"","HIT ME HARD AND SOFT",2024-05-17,47,61,0,13,0,10,-12,F#/G♭ Minor,4,3QaPy1KgI7nu9FJEQUgn6h,USUM72401993
15,"Power Trip (feat. Miguel)","J. Cole,Miguel",100,3B,61,2025-11-27,04:01,83,"rap, r&b","Born Sinner (Deluxe Version)",2013-06-18,67,32,0,48,20,40,-7,C♯/D♭ Major,4,2uwnP6tZVVmTovzX5ELooy,USQX91300310
16,"Cloudless Skies","Giorgio El Luca",150,10B,19,2025-11-27,02:14,27,"","A Perfect Day",2024-10-03,67,75,88,45,0,10,-17,D Major,4,57qrOFyOJMEF34KKd6AFWA,QMDA62451976
17,"Wake Me Up","Avicii",124,10B,78,2025-11-27,04:07,87,"edm","True",2013-09-16,53,0,0,64,0,10,-6,D Major,4,0nrRP2bk19rLc0orkWPQk2,SEUM71301326
18,"The Ocean","Dora Mind",139,3B,54,2025-11-27,01:57,25,"","Echoes",2024-09-27,19,18,88,4,0,30,-10,C♯/D♭ Major,4,1k2T1BOPZAs2fLQWHRJk16,QMDA62432219
19,"Heart-Shaped Box","Nirvana",203,3B,64,2025-11-27,04:41,83,"grunge, rock","In Utero (Deluxe Edition)",1993-09-21,26,20,3,38,0,0,-10,C♯/D♭ Major,4,11LmqTE2naFULdEP94AUBa,USGF19960703
20,"Midnight Closer","Boy de Paris",173,12B,40,2025-11-27,02:23,28,"","Dark Wine",2025-04-04,50,87,92,12,0,10,-8,E Major,4,7eIr4FRlJLdMB7kjQ03lV7,QM6MZ2549076
21,"Ordinary","Alex Warren",168,10B,69,2025-11-27,03:06,92,"","You'll Be Alright, Kid (Chapter 1)",2024-09-26,37,70,0,39,0,0,-6,D Major,3,2RkZ5LkEzeHGRsmDqKwmaJ,USAT22500463
22,"You, Me","Thierry Faure",98,5A,33,2025-11-27,02:03,26,"","Whispers In The Frets",2025-04-01,74,94,90,58,0,10,-11,C Minor,4,5TgJy846oWEXiUqkg8kTTf,QM6N22510611
23,"Chan Chan","Buena Vista Social Club",83,7A,42,2025-11-27,04:18,73,"son cubano, latin jazz, afro-cuban jazz, latin, bolero","Buena Vista Social Club",1997-06-23,53,85,1,69,0,10,-14,D Minor,4,3bxZhauuIU4ubctdRZwPYW,GBBGU9700150
24,"When You Whisper","Les Twiggs",95,8A,82,2025-11-27,01:44,27,"","Lionheart",2025-06-02,75,44,85,85,0,0,-6,A Minor,4,7CBRhxPvaJT1a4uG1iJAqJ,TCAJR2528684
