#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"deep sacrifice","dark mushroom",135,7B,83,2024-11-22,04:39,4,"","deep sacrifice",2024-11-15,75,33,3,89,0,10,-9,F Major,4,2BE8DUjIDoCatl98N1y7zu,QZZ772487786
2,"Autumn Walk","Larry Wheeler",98,8A,40,2024-09-28,02:35,4,"","Autumn Walk",2021-11-01,85,95,88,59,0,0,-9,A Minor,4,4uRptdtsCS5vNqv4kml8Kw,QZNWV2123744
3,"Down Life's Highway","Randy Mattsen",140,9B,68,2026-01-24,04:17,23,"alt country, roots rock","Down Life's Highway",2026-01-23,60,1,0,73,0,20,-7,G Major,4,4Avb6XecBBj20fyPGOIPY7,QT6HK2594416
4,"Fracture","Mathias Oskarsson",135,4A,83,2026-01-30,03:47,18,"","Fracture",2026-01-30,75,22,82,50,0,10,-7,F Minor,4,3P4VADPQ9ppXpDD2lksG9W,CAHQJ2613659
5,"幸せなとき","Igor Risuru",83,10B,69,2025-02-01,03:13,12,"","変更点",2024-08-07,30,0,82,54,0,30,-7,D Major,4,5aOSdFo7NppdGEVnslGYus,JP92N2435407
6,"Always in My Heart","Bob Westlake",120,8A,58,2024-09-30,03:01,18,"","Always in My Heart",2024-03-10,37,46,0,20,0,10,-5,A Minor,4,4f3LCbJDSCo3GjGe3VgtVh,TCAHY2448453
7,"Door Is Open","Saphira 79",130,10A,87,2024-09-28,03:51,6,"gabber","Door Is Open",2024-09-20,77,10,64,30,0,10,-9,B Minor,4,5iUIwkPSk1bekMQ6Y8HRap,QZMHM2470504
8,"Mind Bender","OracleRana",145,9B,49,2025-03-08,02:15,8,"","Mind Bender",2025-03-08,81,4,33,54,10,0,-16,G Major,4,2H2IyxaY6NRL8t9vXUoJHe,QZHN72569826
9,"A Forest","Volker Milch,Skull Smith",160,8B,72,2024-09-28,04:52,14,"","A Forest",2024-09-25,40,2,7,41,0,30,-9,C Major,4,7IDwq8a8YRXlOQIADmUPJw,TCAIP2492621
10,"Coffee On The Beach","Hyd'Ro 4 Music",150,8A,20,2024-09-30,02:07,3,"","Coffee On The Beach",2024-07-01,66,85,92,34,0,40,-19,A Minor,4,7KIdpzcsy8vXI6ph77cwwD,QZNWR2452052
11,"All You Wanted Was a Dance","Matlen Starsley Band",107,8B,43,2024-09-30,04:47,3,"","Stronger",2022-10-07,59,17,0,34,0,30,-8,C Major,3,1g8S4UlGfq9TEQuXMiIzPn,TCAGK2212152
12,"Amor Invisible","Orlando Vitale",114,8A,46,2026-03-12,05:04,11,"","Amor Invisible",2026-03-06,61,77,81,37,0,10,-9,A Minor,4,2jL35qSJFgEjd0NtyMrgZz,SE5752607028
