#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Втомлена стріт","Schmalgauzen",168,7A,68,2025-09-22,03:16,38,"","разом : любов",2024-12-31,52,9,0,71,10,30,-9,D Minor,4,06imAXfGmTPXOyVN0a0C1T,QT3EZ2458563
2,"Танго","Schmalgauzen",109,6A,57,2025-09-22,03:38,25,"","разом : любов",2024-12-31,52,45,0,73,0,0,-9,G Minor,3,0PxBFs7uf0Waoix8D4Bibt,QT3EZ2458557
3,"Джесіка","Schmalgauzen",170,10A,55,2025-09-22,03:21,31,"","разом : любов",2024-12-31,61,33,0,82,0,0,-11,B Minor,4,2JjNBtE8u7UfnCPOv2ziPe,QT3EZ2458558
4,"Тетяна","Schmalgauzen",160,5A,70,2025-09-22,04:19,36,"","разом : любов",2024-12-31,61,7,0,57,10,30,-10,C Minor,4,5g5VboQfafcsqaA1NT65DH,QT3EZ2458560
5,"1.13","Schmalgauzen",93,7A,69,2025-09-22,03:31,27,"","разом : любов",2024-12-31,71,11,0,44,0,10,-8,D Minor,4,5GOQ3pkwUQOVuKtJPKWgtN,QT3EZ2458566
6,"Наново","Schmalgauzen",156,11B,65,2025-09-22,04:25,28,"","разом : любов",2024-12-31,45,32,9,6,0,0,-11,A Major,4,0afrC7un2nJHEI7GUlaMGt,QT3EZ2458575
7,"Ой ти, дівчино, з горіха зерня  Дім Звукозапису ","Schmalgauzen,Дім Звукозапису",107,8A,68,2025-09-22,02:44,29,"","Ой ти, дівчино, з горіха зерня  Дім Звукозапису ",2025-01-23,32,0,0,20,0,30,-7,A Minor,3,5WUg2nrZyg083xwkZB0pZy,QM4TW2545966
8,"Алича","Mulenko",128,9B,67,2025-09-22,02:41,31,"","Алича",2022-09-09,75,7,0,87,0,10,-8,G Major,4,5x45SjLnpG4j75Tt11YuXA,TCAGJ2262607
9,"Вона","Тарас Чубай,Плач Єремії",70,8A,46,2025-09-22,04:35,52,"","Вона",1995-06-17,58,74,0,32,0,30,-9,A Minor,4,3OZHnxPlntImrrrbDG9jHd,UAAO11700464
10,"My Alcoholic Friends","The Dresden Dolls",110,9A,68,2025-09-22,02:47,76,"","Yes, Virginia",2006-03-29,60,18,0,75,0,0,-4,E Minor,4,2gvmxusSOe3vNjNDjQWaso,NLA320581712
11,"My Way","Frank Sinatra",75,10B,38,2025-09-22,04:36,78,"christmas, big band, adult standards, swing music, jazz, vocal jazz","My Way (Expanded Edition)",1969-03,40,70,0,23,0,10,-7,D Major,4,3spdoTYpuCpmq19tuD0bOe,USRH10902101
12,"Somethin' Stupid","Frank Sinatra,Nancy Sinatra",207,12B,34,2025-09-22,02:42,79,"christmas, big band, adult standards, swing music, jazz, vocal jazz, ","The World We Knew",1967-08,26,74,0,54,0,20,-13,E Major,4,4feXcsElKIVsGwkbnTHAfV,USRH10800988
13,"The World We Knew (Over And Over)","Frank Sinatra",93,3A,42,2025-09-22,02:47,74,"christmas, big band, adult standards, swing music, jazz, vocal jazz","The World We Knew",1967-08,34,76,0,49,0,10,-12,A#/B♭ Minor,3,62KZRwymXq9Rgm8Cm5UCfx,USRH10800987
14,"Антидепресанти","теорія розбитих вікон",140,7A,78,2025-09-22,03:16,19,"","Антидепресанти",2025-09-12,49,0,0,40,10,0,-6,D Minor,4,0VESFmcwIW4XWDXEUtZkG6,SE6XW2590277
15,"Killer Queen - Remastered 2011","Queen",117,6B,65,2025-09-22,02:59,76,"classic rock, rock, glam rock","Sheer Heart Attack (Deluxe Edition 2011 Remaster)",1974-11-08,54,39,0,61,0,10,-6,A#/B♭ Major,4,4cIPLtg1avt2Jm3ne9S1zy,GBUM71029606
16,"Good Old-Fashioned Lover Boy - Remastered 2011","Queen",97,5B,46,2025-09-22,02:53,45,"classic rock, rock, glam rock","A Day At The Races (2011 Remaster)",1976-12-10,54,58,0,39,0,0,-7,D#/E♭ Major,4,7mg3XY5ti0yzp8RZL939Da,GBUM71029614
17,"Death On Two Legs (Dedicated To...) - Remastered 2011","Queen",125,10B,69,2025-09-22,03:43,45,"classic rock, rock, glam rock","A Night At The Opera (2011 Remaster)",1975-11-21,40,36,0,50,0,10,-6,D Major,4,1cN13ivH3D66m9DoW2Z7iU,GBUM71100668
