#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"EYES CLOSED (with ZAYN)","JISOO,ZAYN",75,1B,74,2025-10-09,03:01,80,"k-pop, ","EYES CLOSED (with ZAYN)",2025-10-10,56,20,0,38,0,10,-5,B Major,4,4WFfPxJv1KRekG6mxn837K,USWB12503797
2,"JUMP","BLACKPINK",145,4A,93,2025-10-11,02:44,87,"k-pop","JUMP",2025-07-11,71,0,0,52,0,10,-6,F Minor,4,5H1sKFMzDeMtXwND3V6hRY,KRA402400094
3,"WE GO UP","BABYMONSTER",168,9A,72,2025-10-11,03:06,78,"k-pop","WE GO UP",2025-10-10,68,1,0,49,10,20,-4,E Minor,4,49DTiFx70EuJLV7hDsCo6z,KRA402400151
4,"PSYCHO","BABYMONSTER",128,4A,77,2025-10-11,03:15,79,"k-pop","WE GO UP",2025-10-10,82,7,0,39,0,20,-5,F Minor,4,7jp2VW62Yt2bDOaRas3hR6,KRA402400152
5,"SUPA DUPA LUV","BABYMONSTER",128,12A,68,2025-10-11,02:52,72,"k-pop","WE GO UP",2025-10-10,82,21,0,37,0,10,-6,C♯/D♭ Minor,4,5S0QxfYABBoLI4sMk2aCa2,KRA402400153
6,"WILD","BABYMONSTER",132,7B,82,2025-10-11,02:57,66,"k-pop","WE GO UP",2025-10-10,75,3,0,64,0,0,-5,F Major,4,4s31m7ZtBWsK3BfndIGP4E,KRA402400154
7,"Blue Valentine","NMIXX",159,11B,86,2025-10-13,03:06,74,"k-pop","Blue Valentine",2025-10-13,59,16,0,54,30,0,-4,A Major,4,4i0HNuFEH6P6K4UnsY5uUh,US5TA2500202
8,"SPINNIN′ ON IT","NMIXX",90,9A,89,2025-10-13,03:16,61,"k-pop","Blue Valentine",2025-10-13,57,0,0,57,0,30,-4,E Minor,4,4pH8rClaLsi6QcDGrw2VgV,US5TA2500203
9,"Phoenix","NMIXX",134,8B,95,2025-10-13,02:44,58,"k-pop","Blue Valentine",2025-10-13,66,1,0,73,0,0,-4,C Major,4,4fdolSsdFlJ6EKFu2BNuHj,US5TA2500204
10,"Reality Hurts","NMIXX",142,10B,73,2025-10-13,02:35,56,"k-pop","Blue Valentine",2025-10-13,61,1,0,45,10,10,-5,D Major,4,6jmKdEzi3cJRPQDFHJOqJq,US5TA2500205
11,"Game Face","NMIXX",95,4B,83,2025-10-13,02:43,52,"k-pop","Blue Valentine",2025-10-13,74,8,0,50,20,20,-5,G#/A♭ Major,4,6lw2ZImTEkaIHgBZbfp8RV,US5TA2500207
12,"PODIUM","NMIXX",114,3B,82,2025-10-13,03:01,56,"k-pop","Blue Valentine",2025-10-13,81,0,0,64,0,10,-4,C♯/D♭ Major,4,2GrvPIXncT6FOlbq4jNhg2,US5TA2500208
13,"ADORE U","NMIXX",196,12B,88,2025-10-13,02:30,56,"k-pop","Blue Valentine",2025-10-13,46,7,0,62,0,20,-2,E Major,4,0mPYjKXaHYMPhtq0hCIkgn,US5TA2500210
14,"Shape of Love","NMIXX",125,4B,78,2025-10-13,02:52,54,"k-pop","Blue Valentine",2025-10-13,77,18,0,78,0,10,-5,G#/A♭ Major,4,1Q89wi4LD9O9oU1gn0hL7Y,US5TA2500211
15,"O.O Pt. 1 (Baila)","NMIXX",133,10A,81,2025-10-13,03:06,52,"k-pop","Blue Valentine",2025-10-13,68,4,0,18,10,0,-4,B Minor,4,7smhMsKnqsSyJ9K5mjy2OF,US5TA2500212
16,"O.O Pt. 2 (Superhero)","NMIXX",200,10B,93,2025-10-13,02:56,51,"k-pop","Blue Valentine",2025-10-13,52,1,0,71,10,30,-4,D Major,4,1IVQnUFP6UldlSG4pznqPj,US5TA2500213
17,"BURNING UP","MEOVV",140,8A,79,2025-10-14,02:49,70,"k-pop","BURNING UP",2025-10-14,71,0,0,46,0,30,-5,A Minor,4,3uqgFeHo4Jr1D3gVIHQlD7,KSA002501951
18,"XOXZ","IVE",98,4B,79,2025-10-21,02:34,71,"k-pop","IVE SECRET",2025-08-25,78,3,0,49,0,10,-5,G#/A♭ Major,4,3L9KMc8ImDXgDYKwdqq01V,QMDA62523816
19,"Mantra","JENNIE",117,3A,73,2025-10-21,02:16,79,"k-pop","Ruby",2025-03-07,89,0,0,84,0,0,-5,A#/B♭ Minor,4,1kUyOJb3fzUo8r0OCz5SQk,USQX92405226
20,"Lifestyle","LISA",147,3A,73,2025-10-21,02:41,67,"k-pop","Alter Ego",2025-02-28,66,13,0,52,10,10,-5,A#/B♭ Minor,4,5cmP0BuMRba0q0pwN7eI6u,USRC12403312
21,"Lovesick Girls","BLACKPINK",128,2B,71,2025-10-21,03:14,72,"k-pop","THE ALBUM",2020-10-02,65,1,0,45,0,0,-6,F#/G♭ Major,4,4Ws314Ylb27BVsvlZOy30C,KRA402000136
22,"toxic till the end","ROSÉ",167,9B,60,2025-10-21,02:36,81,"k-pop","rosie",2024-12-06,41,5,0,30,10,10,-6,G Major,4,1z5ebC9238uGoBgzYyvGpQ,USAT22409170
23,"Смак-печаль","DOROFEEVA,POSITIFF",112,2A,89,2025-10-21,02:28,56,"","Смак-печаль",2025-07-10,82,20,0,86,0,20,-4,D#/E♭ Minor,4,6CTjxo3YyfvfJzBXhDN5Yx,QMBZ92512689
24,"Your Love","JISOO",106,4B,72,2025-10-21,02:53,70,"k-pop","AMORTAGE",2025-02-14,69,9,0,43,0,0,-4,G#/A♭ Major,4,6TPpCbn9z0IY5Te048iy5R,USWB12500152
