#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Not 3 Not 2!","Autumn!",76,3A,40,2024-02-16,01:47,2,"underground hip hop","Golden Child, Chapter 1",2021-06-12,68,32,0,16,30,10,-12,A#/B♭ Minor,4,1FXj2GC7r9IcWbfa5YVKyf,QZHNB2176206
2,"No New Friends!","Autumn!,Summrs",142,10B,47,2024-02-16,03:22,0,"underground hip hop","Not Much Left",2021-09-10,76,29,0,27,30,10,-11,D Major,4,0tcevN5rNNMl4s1tNWmPnL,QZMEP2113402
3,"Probably!","Autumn!,Yeat",138,3B,61,2024-02-16,02:40,0,"underground hip hop, rage rap","Solitary",2020-12-02,82,6,0,14,40,0,-8,C♯/D♭ Major,4,6lwltu5355IaQ07XtawRIW,QZNWW2005321
4,"The Remorse!","Autumn!",90,6A,43,2024-02-16,03:03,38,"underground hip hop","##B4GC3 ##B4GC3",2023-01-20,56,77,0,25,20,0,-15,G Minor,4,65sqEIYumzpGkUovLPmuiD,QZFZ22398369
5,"Still The Same! 2","Autumn!",139,9B,41,2024-02-16,02:52,0,"underground hip hop","Golden Child, Chapter 3",2023-03-31,61,45,0,20,20,10,-13,G Major,4,16nsXcNJEwseNbQlu1NRpX,QZHN52331185
6,"Can't Rent Anymore!","Autumn!",136,1A,72,2024-02-16,02:41,0,"underground hip hop","Golden Child, Chapter 3",2023-03-31,68,1,0,20,10,40,-9,G#/A♭ Minor,4,4RFOrV6h5kSLGwiVmiXz06,QZDA52311416
7,"One Way!","Autumn!",138,8B,31,2024-02-16,02:46,50,"underground hip hop","Antagonist!",2022-04-29,52,3,0,26,0,10,-12,C Major,4,7hBdcBgzK0Adp6ahUg58Y2,USUG12106140
8,"Still the Same","Autumn!",138,4B,52,2024-02-16,02:05,0,"underground hip hop","Golden Child, Chapter 3",2023-03-31,76,62,0,9,40,0,-11,G#/A♭ Major,4,4biJZe036GsCFNp2D2SR2j,QM42K2082764
9,"TWO CHROME NECKLACES!","Autumn!",143,7B,48,2024-02-16,03:01,47,"underground hip hop","Midnight Club",2023-08-22,52,60,0,19,20,30,-10,F Major,4,0JuPu6lUE5MkoaKtth8ajC,QZPLR2328851
10,"SHE SAY HE SAY!","Autumn!",156,7A,51,2024-02-16,02:03,32,"underground hip hop","Midnight Club",2023-08-22,75,39,0,38,50,10,-9,D Minor,4,6F0FU8jABpbfl120EwO6va,QZPLR2328853
11,"BLACK TRUCK GREETERS!","Autumn!",140,3B,52,2024-02-16,02:59,35,"underground hip hop","Midnight Club",2023-08-22,78,1,5,18,10,60,-9,C♯/D♭ Major,4,2rHtkpixEhm0GpCk9sLoIw,QZPLR2328854
12,"SOME OF MY!","Autumn!",128,4A,83,2024-02-16,02:30,30,"underground hip hop","Midnight Club",2023-08-22,74,51,0,52,30,30,-6,F Minor,4,6qM4pfbLxBtbX3YChnStZR,QZPLR2328855
