#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Get Down (You're the One for Me) - LP Edit No Rap","Backstreet Boys",113,1A,94,2022-08-21,03:50,62,"","Backstreet Boys",1996-05-06,78,7,0,75,0,10,-5,G#/A♭ Minor,4,6KPMiBhU6O9RBImTQXQNCe,GBAHK9600025
2,"Remember the Time - 2K17","Nana Darkman",180,8A,49,2022-08-21,03:14,0,"","#BetweenLuciferAndGod",2017-11-17,43,80,0,45,0,20,-12,A Minor,4,4WiyCu6ogkktAl6cKTR3gU,DEPI81701298
3,"Happier","Marshmello,Bastille",100,7B,79,2022-08-21,03:34,10,"edm, ","Happier",2018-08-17,69,19,0,67,0,10,-3,F Major,4,2dpaYNEQHiRxtZbfNsse99,USUG11801651
4,"Heavydirtysoul","Twenty One Pilots",130,6A,87,2022-08-21,03:54,74,"","Blurryface",2015-05-15,61,0,0,39,0,30,-6,G Minor,4,7i9763l5SSfOnqZ35VOcfy,USAT21500596
5,"Johnny B. (Video Mix)","Down Low",93,8A,77,2022-08-21,04:04,39,"","Johnny B.",1997-10-27,77,2,0,83,0,10,-6,A Minor,4,4EkwBOfnf7T8TVxskK5Fs7,DEE999700381
6,"Take You There","Sean Kingston",115,4A,92,2022-08-21,03:56,0,"","Sean Kingston",2007-01-01,75,2,0,63,0,20,-4,F Minor,4,2YUv5bLhf4ena4JWVY0Lql,USSM10702415
7,"WE PRAY","Coldplay,Little Simz,Burna Boy,Elyanna,TINI",136,4A,52,2025-05-11,03:53,69,"afrobeats, afrobeat, afropop, afroswing, dancehall, afropiano, latin pop","Moon Music (Full Moon Edition)",2024-10-03,75,7,0,68,0,0,-8,F Minor,4,6xX6zmaXeKzB4u9TiM1XgU,GBAYE2400890
8,"Dreamin (with blackbear)","The Score,blackbear",80,12A,73,2022-08-21,03:18,55,"","Pressure",2019-02-01,61,0,0,62,10,0,-4,C♯/D♭ Minor,4,2EtDBM1HREttw143IwZvJ0,USUM71900932
9,"Umbrella","Rihanna,JAŸ-Z",174,3B,83,2022-08-21,04:35,85,"hip hop, east coast hip hop, rap","Good Girl Gone Bad: Reloaded",2008-06-02,59,1,0,58,10,0,-5,C♯/D♭ Major,4,49FYlytm3dAAraYgpoJZux,USUM70736771
10,"Last Summer","Nikos Ganos",128,6A,62,2025-05-11,04:08,0,"europop","Last Summer",2010-12-21,78,3,0,59,0,10,-6,G Minor,4,0HLgXC74hO5wm2HqEVOjwP,GRHV11000041
