#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"A Little Death","The Neighbourhood",88,11A,76,2025-09-06,03:29,72,"","Thank You,",2012-12-18,53,0,0,34,0,10,-5,F#/G♭ Minor,4,0Ot6e3wYVQQ1Us9PM977jE,USSM11206332
2,"Sweater Weather","The Neighbourhood",124,6B,81,2025-09-06,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
3,"Flawless","The Neighbourhood",120,8B,87,2025-09-06,04:06,69,"","I Love You.",2013-04-22,57,6,51,37,0,30,-3,C Major,4,2Kt1XplPBQBsDKQDa6TssB,USSM11300895
4,"Reflections","The Neighbourhood",114,10A,59,2025-09-06,04:04,85,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
5,"Let It Go","The Neighbourhood",150,4A,79,2025-09-07,03:17,40,"","Thank You,",2012-12-18,49,2,0,28,0,20,-5,F Minor,4,4Zm0cTwEMly3aCgPdyqIQz,USSM11206333
6,"Friends","Chase Atlantic",107,10A,61,2025-09-07,03:50,85,"","Nostalgia - EP",2015-02-21,33,1,0,8,0,10,-6,B Minor,3,7uDUb37h7Xdhza1eWMkoJv,GBLFP1508173
7,"Meddle About","Chase Atlantic",160,9A,80,2025-09-07,03:23,78,"","Meddle About",2014-12-25,38,0,1,37,0,30,-6,E Minor,4,5fVl28RgREvxVtGSf9OsbK,GBMA21404437
8,"Church","Chase Atlantic",113,4A,82,2025-09-07,03:40,73,"","Part One",2017-01-27,56,1,0,29,0,10,-5,F Minor,4,7bbYT48HWWIbL3YKmtMNzn,USWB11602566
9,"Daddy Issues","The Neighbourhood",85,6B,52,2025-09-09,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
10,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2025-09-09,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
11,"Dangerous Woman","Ariana Grande",134,9A,60,2025-10-10,03:55,81,"pop","Dangerous Woman",2016-04-01,66,5,0,29,0,30,-5,E Minor,3,3nef5W8jTkXrOKgCu4kmq7,USUM71601826
12,"Side To Side","Ariana Grande,Nicki Minaj",159,11A,74,2025-10-10,03:46,83,"pop, ","Dangerous Woman",2016-04-01,65,5,0,61,20,20,-6,F#/G♭ Minor,4,44ONERBHALxftQNWq6dmyd,USUM71602107
13,"Into You","Ariana Grande",108,11B,73,2025-10-10,04:04,84,"pop","Dangerous Woman",2016-04-01,62,2,0,37,10,10,-6,A Major,4,76FZM38RC8XaAjJ77CVTNe,USUM71601827
