#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"One Way!","Autumn!",138,8B,31,2022-04-30,02:46,43,"underground hip hop","One Way!",2021-12-03,52,3,0,26,0,10,-12,C Major,4,2659CRCrqaXCaYBMtKrdYi,USUG12106140
2,"Still The Same","Autumn!",138,4B,52,2022-04-30,02:05,0,"underground hip hop","Still The Same",2020-01-10,75,62,0,9,40,0,-11,G#/A♭ Major,4,0bSDiW5sQFu4Z9E70gR2zD,QM42K2082764
3,"Still The Same! 2","Autumn!",139,9B,41,2023-03-31,02:52,0,"underground hip hop","Golden Child, Chapter 3",2023-03-31,61,45,0,20,20,10,-13,G Major,4,16nsXcNJEwseNbQlu1NRpX,QZHN52331185
4,"If It Means Anything!","Autumn!",148,3B,65,2022-04-30,02:09,0,"underground hip hop","If It Means Anything!",2021-02-14,65,7,0,30,0,10,-9,C♯/D♭ Major,4,5Y8mZp8WevMgxRqc2uyJsS,QZFZ72107672
5,"If It Means Anything! 2","Autumn!",148,10A,51,2023-03-31,02:48,0,"underground hip hop","Golden Child, Chapter 3",2023-03-31,48,30,0,35,30,10,-10,B Minor,4,0b1ng20d5Tc1WqW0OY2Iih,QZHN52331186
6,"Girl from the Club!","Autumn!",122,4A,44,2022-04-30,03:00,42,"underground hip hop","Ils Verront",2020-08-26,88,19,0,38,20,20,-10,F Minor,4,6OyWJv4dYB1xyYwgzk2Dhs,QZK6K2011982
7,"Girl From The Club! 2","Autumn!",116,12A,34,2023-03-31,03:37,0,"underground hip hop","Golden Child, Chapter 3",2023-03-31,43,40,0,6,0,10,-13,C♯/D♭ Minor,4,0UvmJY5fz8LyehUNcNbafd,QZHN52331188
8,"freddyj's letter/One Way! - Sped Up","M.A.D FreddyJ",82,6B,45,2026-03-06,03:15,5,"","bittersweetmelodies.mp3 (Sped Up)",2026-01-16,30,26,0,38,20,10,-11,A#/B♭ Major,4,5bgHRYJydxAOO5b31jKIYK,QZDA42659693
9,"Summer Nights","harley",156,4B,32,2025-08-15,01:58,25,"","Summer Nights",2025-07-04,79,5,0,44,10,10,-11,G#/A♭ Major,4,7r8GCjCY8fAeeawa0inrOi,QZTB82512426
10,"gas godz","ANTI",142,3B,58,2025-09-09,01:48,11,"underground hip hop","gas godz",2025-08-29,57,0,0,10,0,10,-8,C♯/D♭ Major,4,59vsmaZyst0WsYIkOXwtov,QT4K42528772
11,"STFU!","Autumn!",142,4B,60,2022-04-30,02:42,31,"underground hip hop","Antagonist!",2022-04-29,60,17,0,13,0,20,-8,G#/A♭ Major,4,5htqqZ14wKFRf8IKcFsy9V,USUG12202715
12,"STFU! 2","Autumn!",142,7B,60,2022-04-30,02:15,22,"underground hip hop","Antagonist!",2022-04-29,62,6,0,15,0,20,-8,F Major,4,5TzsXOr12dHQ2bg75i5IKu,USUG12202717
13,"Nina!","Autumn!",78,1B,68,2022-04-30,01:26,48,"underground hip hop","##R3 ##R3",2019-03-05,50,7,0,66,10,30,-9,B Major,4,7GgYmXY3PfDjTiyjUlvF7Y,QM42K1900608
14,"WANTS!","Autumn!",76,9B,64,2022-04-30,01:53,0,"underground hip hop","Not Much Longer",2021-08-11,68,32,0,23,0,10,-8,G Major,4,2jtvpOlLvGzuNLqOBeAz7q,QZK6H2158171
15,"Can't Take It!","Summrs,Autumn!",138,12A,68,2022-04-30,03:16,0,"underground hip hop","Can't Take It!",2017-09-15,55,7,0,26,0,20,-11,C♯/D♭ Minor,4,1fZxJpzSd1L0Hj4abg32f1,QZFZ42247804
