#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"One Way!","Autumn!",138,8B,31,-,02:46,62,"underground hip hop","Antagonist!",2022-04-29,52,3,0,26,0,10,-12,C Major,4,5hRKVQmwR2ZcWkf9XEybYE,USUG12106140
2,"Still the Same","Autumn!",138,4B,52,-,02:05,61,"underground hip hop","Golden Child, Chapter 3",2023-03-31,69,60,0,10,50,0,-11,G#/A♭ Major,4,5dTmaw1TwugkUZk1SHqStE,QM42K2082764
3,"Party4u!","Autumn!",150,10B,67,-,02:08,55,"underground hip hop","Party4u!",2026-01-09,81,3,0,55,20,10,-4,D Major,4,5ggjbrGoP8zZvwPiv9j27d,QZFZ22676889
4,"My Collection!","Autumn!",138,12A,65,-,02:36,54,"underground hip hop","##B4GC2 ##B4GC2",2022-07-28,71,11,0,64,20,10,-7,C♯/D♭ Minor,4,79xq0nXotfafUdjOxxPNOT,QZMEP2271207
5,"Grok!","Autumn!",147,4A,65,-,02:00,52,"underground hip hop","Grok!",2026-02-11,75,1,0,27,0,10,-8,F Minor,4,3i3bvqktOJ88p7zqbaeTRk,QZHN62615429
6,"Still the Same! 2","Autumn!",138,9B,43,-,02:52,59,"underground hip hop","Golden Child, Chapter 3",2023-03-31,60,43,0,17,30,10,-13,G Major,4,52VyUACgDgA0koWh7rfJoB,QZHN52331185
7,"No New Friends!","Autumn!,Summrs",142,10B,48,-,03:22,54,"underground hip hop","Not Much Left",2021-09-10,78,28,0,29,30,10,-11,D Major,4,11LaczUWbn1vnMZiZZCVXP,QZMEP2113402
8,"Houstatlantavegas!","Autumn!",144,1A,63,-,02:33,52,"underground hip hop","KICKOFF",2026-02-19,54,4,0,19,0,30,-8,G#/A♭ Minor,4,4op8PiEw5m77M1l5GdKCWg,QZHN62615430
9,"Uptown Coolin!","Autumn!",98,4A,33,-,02:39,52,"underground hip hop","Solitary 2",2024-04-16,54,50,0,50,50,10,-12,F Minor,4,1skF5EobizM8EBGrdStkN0,QZDA62494228
10,"You > Them (Hate It!)","Autumn!",156,8B,69,-,02:15,56,"underground hip hop","Golden Child, Chapter 3",2023-03-31,54,72,0,67,0,10,-9,C Major,4,1YNfPjoABo2Z71r894Fi7o,QZTAY2261485
11,"WANTS!","Autumn!",76,9B,62,-,01:53,51,"underground hip hop","Not Much Longer",2021-08-11,67,31,0,20,0,10,-8,G Major,4,0akdByhVVBIlLEKr0jzvqr,QZK6H2158171
12,"Massaging Seats!","Autumn!",140,6A,62,-,02:17,50,"underground hip hop","KICKOFF",2026-02-19,81,32,0,85,10,10,-8,G Minor,4,2hMpxkFdm1yrGwGXKSFz5n,QZHN62615428
13,"Solitude!","Autumn!",146,9B,47,-,02:11,50,"underground hip hop","Solitary 2",2024-04-16,75,24,0,14,10,10,-7,G Major,4,0Qq7JdZeB3VktV8Ej2asdk,QZHNC2427015
14,"If It Means Anything!","Autumn!",148,3B,64,-,02:09,54,"underground hip hop","Golden Child, Chapter 3",2023-03-31,64,5,0,32,0,10,-9,C♯/D♭ Major,4,27NmmbuSBG9ysOWbuEz0ow,QZFZ72107672
