#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"we fell in love in october","girl in red",130,9B,37,2022-08-31,03:04,3,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
2,"Dark Red","Steve Lacy",172,2B,78,2022-08-31,02:53,4,"","Dark Red",2017-02-20,60,45,0,78,0,10,-4,F#/G♭ Major,4,37y7iDayfwm3WXn5BiAoRk,GBKPL1778015
3,"Coffee","beabadoobee",119,11B,14,2022-08-31,02:06,73,"bedroom pop","Coffee",2017-11-04,53,98,96,30,0,10,-18,A Major,4,429NtPmr12aypzFH3FkN9l,GBK3W1800819
4,"Apocalypse","Cigarettes After Sex",94,7B,47,2022-08-31,04:50,4,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,3AVrVz5rK8Hrqo9YGiVGN5,USBQU1700034
5,"Yellow","Coldplay",173,1B,66,2022-08-31,04:26,92,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267
6,"Space Song","Beach House",147,5A,79,2022-08-31,05:20,78,"dream pop","Depression Cherry",2015-08-28,51,23,12,60,0,10,-7,C Minor,4,7H0ya83CMmgFcOhw0UB6ow,USSUB1512203
7,"cardigan","Taylor Swift",130,5A,58,2022-08-31,03:59,67,"","folklore (deluxe version)",2020-08-18,61,53,0,53,0,20,-9,C Minor,4,0KRYCBwIpWYFNrXOmXbyUh,USUG12002836
8,"exile (feat. Bon Iver)","Taylor Swift,Bon Iver",76,2B,37,2022-08-31,04:45,66,"","folklore (deluxe version)",2020-08-18,31,76,0,16,0,10,-8,F#/G♭ Major,4,5S4aYQAJOwJMAamANWlICO,USUG12002838
9,"All Too Well (Taylor's Version)","Taylor Swift",186,8B,53,2022-08-31,05:29,73,"","Red (Taylor's Version)",2021-11-12,44,2,0,13,0,20,-8,C Major,4,3nsfB1vus2qaloUdcBZvDu,USUG12103665
10,"right where you left me - bonus track","Taylor Swift",138,6B,62,2022-08-31,04:05,76,"","evermore (deluxe version)",2021-01-07,58,77,0,65,0,10,-7,A#/B♭ Major,4,3zwMVvkBe2qIKDObWgXw4N,USUG12004720
11,"Oh Klahoma","Jack Stauber",109,9B,40,2022-08-31,03:05,72,"","Pop Food",2017-03-25,70,43,1,48,0,30,-10,G Major,4,6SZwj6cjc8JQbkrr8cbIUn,QMPKX1703670
12,"Astronomy","Conan Gray",145,9A,34,2022-08-31,04:03,60,"","Astronomy",2021-05-07,47,59,0,11,0,30,-9,E Minor,3,0KmgJyW4GDgonqsoyx0CZ3,USUM72106337
13,"august","Taylor Swift",90,7B,62,2022-08-31,04:21,84,"","folklore",2020-07-24,53,54,0,40,0,0,-9,F Major,4,3hUxzQpSfdDqwM3ZTFQY0K,USUG12002842
14,"Flume","Bon Iver",134,1B,15,2022-08-31,03:39,0,"","For Emma, Forever Ago",2008-05-12,46,92,7,8,0,10,-17,B Major,4,6a1wMgJ42Okk5LjulbrtcZ,US38Y0811501
15,"Mystery of Love","Sufjan Stevens",132,9A,27,2022-08-31,04:08,68,"baroque pop","Call Me By Your Name (Original Motion Picture Soundtrack)",2017-11-03,37,94,43,24,0,10,-17,E Minor,5,4HbeGjbt7u3pvwDk1vN7P0,US64G1737302
16,"Bags","Clairo",105,3B,55,2022-08-31,04:20,9,"bedroom pop","Immunity",2019-08-02,74,17,38,87,0,10,-8,C♯/D♭ Major,4,6UFivO2zqqPFPoQYsEMuCc,US4HB1900080
17,"Blondie","Current Joys",122,2B,63,2022-08-31,03:14,2,"lo-fi indie","Wild Heart",2013-01-02,78,62,90,87,0,0,-13,F#/G♭ Major,4,7sIx70dGj3VBiHWr0KZXfD,TCACS1661024
18,"Lovers Rock","TV Girl",105,4A,87,2022-08-31,03:33,88,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143
19,"Sunsetz","Cigarettes After Sex",75,8A,48,2022-08-31,03:35,7,"dream pop","Cigarettes After Sex",2017-06-09,41,6,81,13,0,10,-9,A Minor,4,0SpkyS1Q4MD8GaVcP5YjT4,USBQU1700033
20,"Sweet","Cigarettes After Sex",96,2B,51,2022-08-31,04:52,6,"dream pop","Cigarettes After Sex",2017-06-09,45,35,76,12,0,10,-9,F#/G♭ Major,4,6ilc4vQcwMPlvAHFfsTGng,USBQU1700036
21,"Tek It","Cafuné",147,4B,91,2022-08-31,03:11,83,"","Running",2021-07-20,42,0,0,60,0,20,-5,G#/A♭ Major,4,751srcHf5tUqcEa9pRCQwP,QM24S1926168
22,"I Think I Like When It Rains","WILLIS",124,11B,47,2022-08-31,04:38,0,"","Locals 2",2017-06-12,62,4,0,28,0,10,-7,A Major,4,5S5u0EWtlblH00iTNExZ6X,QMAAK1724976
23,"K.","Cigarettes After Sex",94,5B,40,2022-08-31,05:20,7,"dream pop","Cigarettes After Sex",2017-06-09,45,14,84,32,0,10,-10,D#/E♭ Major,4,1FWsomP9StpCcXNWmJk8Cl,USBQU1600214
24,"Autumn In New York","Billie Holiday",72,3A,10,2022-08-31,03:44,56,"jazz, vocal jazz, big band, swing music","Recital",1956-01-01,59,96,0,29,0,10,-15,A#/B♭ Minor,4,6o5RbQYhmF4yRRw7ZArxGL,USPR35200080
25,"the perfect pair","beabadoobee",146,1B,66,2022-08-31,02:57,83,"bedroom pop","Beatopia",2022-07-15,63,43,12,60,0,10,-7,B Major,4,41P6Tnd8KIHqON0QIydx6a,GBK3W2202093
26,"Tired","beabadoobee",140,6A,42,2022-08-31,03:19,73,"bedroom pop","Patched Up",2018-12-07,63,48,15,35,0,10,-7,G Minor,4,6F5mZpEEjhsAW8UEqbIpz1,GBK3W1800910
27,"Mrs Magic","Strawberry Guy",133,4B,63,2022-08-31,03:28,81,"bedroom pop","Mrs Magic",2019-07-24,47,16,37,37,0,30,-7,G#/A♭ Major,4,0TZejo18HlJ86OrWNsXKnw,GBJGV1900102
28,"Cigarettes out the Window","TV Girl",114,8B,66,2022-08-31,03:18,86,"","Who Really Cares",2016-02-25,63,12,0,59,0,10,-6,C Major,4,6QeYSvYqYUsfBzsApbjDHO,USCGH1682129
29,"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths",136,12B,77,2022-08-31,04:04,85,"new wave, madchester, jangle pop","The Queen Is Dead",1986-06-16,52,4,0,88,0,10,-6,E Major,4,0WQiDwKJclirSYG9v5tayI,GBCRL1100054
30,"Back to the Old House - 2011 Remaster","The Smiths",104,10B,49,2022-08-31,03:06,83,"new wave, madchester, jangle pop","Louder Than Bombs",1987-00-00,63,1,0,40,0,10,-8,D Major,3,6LUGvXEAK8WxIBYK43uoTb,GBCRL1100089
31,"Paper Bag","Fiona Apple",141,8B,45,2022-08-31,03:39,66,"art pop","When The Pawn...",1999-11-09,71,72,0,84,0,10,-10,C Major,3,0IVkP59yJ9GFF6B7IrvrxA,USSM19910365
32,"Fade Into You","Mazzy Star",157,11B,33,2022-08-31,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
33,"Mary On A Cross","Ghost",130,1B,90,2022-08-31,04:04,60,"metal, hard rock","Seven Inches Of Satanic Panic",2019-09-13,47,0,0,56,0,10,-4,B Major,4,0LOo3MYjiSzIOLjSd9wZUw,USC4R1902750
34,"Mary","Alex G",106,9A,47,2022-08-31,03:17,0,"","Trick",2012-11-05,69,5,45,40,0,10,-10,E Minor,4,2dIXo77nRAdRHJM1ETHKE9,GBJET1400056
