#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dark Red","Steve Lacy",172,2B,78,2021-09-27,02:53,4,"","Dark Red",2017-02-20,60,45,0,78,0,10,-4,F#/G♭ Major,4,37y7iDayfwm3WXn5BiAoRk,GBKPL1778015
2,"From the Dining Table","Harry Styles",94,4B,16,2021-09-27,03:31,71,"","Harry Styles",2017-05-12,67,80,5,20,0,10,-16,G#/A♭ Major,4,1IF5UcqRO42D12vYwceOY6,USSM11703961
3,"Je te laisserai des mots","Patrick Watson",133,10B,19,2021-09-27,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
4,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2021-09-27,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
5,"Everybody Loves Somebody","Dean Martin",119,5B,39,2021-09-27,02:47,69,"christmas, adult standards, big band, swing music","Everybody Loves Somebody",1964-00-00,37,85,0,46,0,30,-12,D#/E♭ Major,3,5I9sHwLDX28tLtzVgKLtpr,USQX91301936
6,"Meet Me in the Hallway","Harry Styles",104,10B,38,2021-09-27,03:47,67,"","Harry Styles",2017-05-12,54,75,0,34,0,30,-7,D Major,4,4u9Y4Z9i9VaAbBK7rW1Rha,USSM11703953
7,"Heaven Knows I'm Miserable Now - 2011 Remaster","The Smiths",114,2B,76,2021-09-27,03:35,69,"new wave, madchester, jangle pop","Louder Than Bombs",1987-00-00,61,3,0,77,0,10,-5,F#/G♭ Major,4,1H5N26VqHR4JhuaRKY2I0u,GBCRL1100070
8,"The Night We Met","Lord Huron",87,10B,37,2021-09-27,03:28,6,"","Strange Trails",2015-04-07,55,97,27,10,0,60,-10,D Major,3,0QZ5yyl6B6utIWkxeBDxQN,US53Q1200103
9,"Autumn Leaves - Remastered 1999","Frank Sinatra",81,7A,11,2021-09-27,02:52,55,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Where Are You? (Remastered / Expanded Edition)",1957-09,22,87,0,8,0,10,-18,D Minor,4,1Yv6PMPkvLdCIFbm9kanaz,USCA29900843
10,"Cherry Wine - Live","Hozier",101,3B,11,2021-09-27,04:00,66,"","Hozier",2014-09-19,48,95,0,23,0,10,-15,C♯/D♭ Major,4,4Q66chx9WzqWcLItXoZ5r4,IEACJ1300034
11,"Photograph","Ed Sheeran",108,12B,38,2021-09-27,04:18,88,"soft pop","x (Deluxe Edition)",2014-06-21,61,61,0,20,0,10,-10,E Major,4,1HNkqx9Ahdgi1Ixy2xkKkL,GBAHS1400094
12,"All I Want","Kodaline",187,8B,41,2021-09-27,05:05,1,"","In A Perfect World (Deluxe)",2013-06-14,19,17,15,16,0,0,-10,C Major,3,2jTidefcsTu6VQhpIImJrt,GBDVX1200008
13,"Yellow","Coldplay",173,1B,66,2021-09-27,04:26,92,"","Parachutes",2000-07-10,43,0,0,28,0,20,-7,B Major,4,3AJwUDP919kvQ9QcozQPxg,GBAYE0000267
14,"Sparks","Coldplay",103,3B,27,2021-09-27,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
15,"we fell in love in october","girl in red",130,9B,37,2021-09-28,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
16,"Falling","Harry Styles",110,12B,27,2021-09-28,04:00,83,"","Fine Line",2019-12-13,57,84,0,6,0,0,-7,E Major,4,1ZMiCix7XSAbfAJlEZWMCp,USSM11912590
17,"Fine Line","Harry Styles",121,10B,35,2021-09-28,06:17,80,"","Fine Line",2019-12-13,31,17,0,5,0,0,-9,D Major,4,6VzcQuzTNTMFnJ6rBSaLH9,USSM11912596
18,"Pluto Projector","Rex Orange County",80,7B,22,2021-09-28,04:27,76,"bedroom pop","Pony",2019-10-25,38,71,0,19,0,10,-11,F Major,4,4EWBhKf1fOFnyMtUzACXEc,USRC11902533
19,"New Moon (The Meadow)","Alexandre Desplat",125,8A,8,2021-09-29,04:09,29,"soundtrack, score","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,45,99,90,11,0,10,-19,A Minor,4,78GcIqn4xTqJypyOONQpGd,USAT20903293
20,"Everything Has Changed","Taylor Swift,Ed Sheeran",80,2B,46,2021-09-29,04:05,54,"soft pop","Red (Deluxe Edition)",2012-10-22,62,36,0,44,0,30,-7,F#/G♭ Major,4,5PjfMmF06QtxTPZBZHdhoZ,USCJY1231044
21,"Yesterday - Remastered 2009","The Beatles",97,7B,18,2021-09-29,02:05,78,"classic rock, psychedelic rock","Help! (Remastered)",1965-08-06,33,88,0,32,0,0,-12,F Major,4,3BQHpFgAp4l80e1XslIjNI,GBAYE0601477
22,"Leaving Hogwarts","John Williams",73,10B,5,2021-09-29,02:13,57,"soundtrack, score","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack",2001-10-30,18,93,91,4,0,10,-21,D Major,3,15yScQGLH5QOuXm9XbhnPb,USAT20109273
23,"Dreams","The Cranberries",129,12B,65,2021-09-29,04:31,84,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,55,0,0,51,0,40,-13,E Major,4,4JGKZS7h4Qa16gOU3oNETV,USIR29300080
24,"Till Forever Falls Apart","Ashe,FINNEAS",100,10B,50,2021-10-04,03:42,29,"","Ashlyn",2021-05-07,35,42,0,30,0,0,-7,D Major,4,4x5YzxjrF9wvIIXJV7TveC,USQE92100007
25,"There She Goes","The La's",123,9B,85,2021-09-30,02:42,64,"britpop, jangle pop","The La's (Deluxe Edition)",1990-00-00,54,1,74,91,0,10,-7,G Major,4,0SMkzFGJOBFDI9KfYD55L0,GBAQT8800001
26,"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths",136,12B,77,2021-09-30,04:04,85,"new wave, madchester, jangle pop","The Queen Is Dead",1986-06-16,52,4,0,88,0,10,-6,E Major,4,0WQiDwKJclirSYG9v5tayI,GBCRL1100054
27,"Where You Lead","Carole King",107,8B,46,2021-09-30,03:20,0,"singer-songwriter, folk rock","Tapestry (Legacy Edition)",1971-00-00,78,76,0,93,0,0,-10,C Major,4,0BHbw2pHE8HOfhm2B2x4Oj,USSM17100510
28,"If I Could Write","Sam Phillips",125,9B,26,2021-09-30,02:18,46,"","A Boot and a Shoe",2004-04-27,66,85,0,53,0,0,-12,G Major,4,6Rdmwrln6jrQGdRDHl246o,USNO10480711
29,"How to Dream","Sam Phillips",118,1B,35,2021-09-30,03:07,52,"","Fan Dance",2001-07-31,68,60,0,58,0,0,-13,B Major,4,1cPLddXCqw6uzyWy6tdtlK,USNO10162506
30,"Take Me To Church","Hozier",129,9A,66,2021-10-02,04:01,85,"","Hozier",2014-09-19,57,64,0,44,0,10,-5,E Minor,4,3dYD57lRAUcMHufyqn9GcI,IEACJ1300031
31,"Someone Like You","Adele",135,11B,32,2021-10-09,04:45,82,"soft pop","21",2011-01-24,56,89,0,29,0,10,-8,A Major,4,3bNv3VuUOKgrf5hu3YcuRo,GBBKS1000351
32,"I Love You So","The Walters",76,6B,67,2021-10-21,02:40,1,"","Songs for Dads",2014-11-28,58,65,0,50,0,10,-5,A#/B♭ Major,4,1175r6ZmkUjX8dRJLz9Ohk,TCACC1438995
33,"When We Were Young","Adele",144,5B,60,2021-10-23,04:50,79,"soft pop","25",2015-11-20,38,30,0,27,0,10,-6,D#/E♭ Major,4,6O5TrlFWTYvznd9fMC0VvU,GBBKS1500217
34,"Strange","Celeste",71,10B,8,2021-11-06,04:15,75,"","Not Your Muse (Deluxe)",2021-01-29,29,93,0,11,0,10,-10,D Major,4,7sq2z9oX2S0CvgTqCZ0ko4,GBUM71904248
35,"Snap Out Of It","Arctic Monkeys",130,4A,64,2021-11-07,03:13,81,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371
36,"Secret Door","Arctic Monkeys",125,6A,81,2021-11-07,03:43,75,"indie, garage rock","Humbug",2009-08-20,32,3,0,55,0,10,-7,G Minor,4,4dtP86vkhzwNXCFpCtizce,GBCEL0900445
37,"Nothing","Bruno Major",140,10B,27,2021-11-13,02:42,1,"","To Let A Good Thing Die",2020-06-05,56,93,54,27,0,10,-16,D Major,3,2IAR0DziHCjSu16gR4ihvy,GBKPL1962806
38,"As the World Caves In","Matt Maltese",124,6B,45,2021-11-30,03:38,73,"","Bad Contestant",2018-06-08,33,37,0,18,0,20,-5,A#/B♭ Major,4,3NM41PVVUr0ceootKAtkAj,GBAHS1700229
39,"Where You Lead I Will Follow","Carole King",107,8B,73,2022-02-17,03:27,42,"singer-songwriter, folk rock","Love Makes the World",2001-00-00,73,35,0,68,0,0,-7,C Major,4,5T2zFXAuqNfYFCwhQKJGHv,USRG20210201
40,"Iris","The Goo Goo Dolls",156,10A,79,2022-04-18,04:49,74,"","Greatest Hits Volume One - The Singles",2007-11-06,29,0,0,51,0,0,-6,B Minor,3,6vrUTGn5p8IrfTZ0J6sIVM,USWB10704707
41,"Motion Sickness","Phoebe Bridgers",107,3B,55,2022-08-27,03:49,0,"","Stranger in the Alps",2017-09-22,65,77,4,63,0,0,-9,C♯/D♭ Major,4,6LxcPUqx6noURdA5qc4BAT,USJ5G1714202
42,"There’d Better Be A Mirrorball","Arctic Monkeys",72,5B,37,2022-09-02,04:25,60,"indie, garage rock","There’d Better Be A Mirrorball",2022-08-30,51,63,1,31,0,10,-11,D#/E♭ Major,4,0yowbJnnbTLpr99f9l1uba,GBCEL2200512
43,"Eventually","Tame Impala",78,8A,62,2022-09-05,05:18,80,"neo-psychedelic, indie","Currents",2015-07-17,42,2,0,16,0,0,-6,A Minor,4,5M4yti0QxgqJieUYaEXcpw,AUUM71500296
44,"Apocalypse","Cigarettes After Sex",94,7B,47,2022-09-18,04:50,11,"dream pop","Cigarettes After Sex",2017-06-09,37,2,57,18,0,10,-9,F Major,4,0yc6Gst2xkRu0eMLeRMGCX,USBQU1700034
45,"Cry","Cigarettes After Sex",143,9B,40,2022-09-18,04:16,61,"dream pop","Cry",2019-10-25,41,76,65,17,0,10,-10,G Major,4,3p4hRhMcb6ch8OLtATMaLw,USBQU1900121
46,"Like Real People Do","Hozier",70,9B,18,2022-10-05,03:18,69,"","Hozier",2014-09-19,57,91,38,13,0,10,-14,G Major,3,4LGJ2pLDvTRnul3EcZoYkX,IEACJ1400147
