#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"we fell in love in october","girl in red",130,9B,37,2021-07-17,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
2,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2021-07-17,04:49,53,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,6IBZP4cjxLhiMbtLkFcBCO,USAT20903243
3,"The Wisp Sings","Winter Aid",115,12B,9,2021-07-17,05:13,0,"","The Wisp Sings",2013-11-11,52,99,18,5,0,10,-19,E Major,4,68RI4I6SKm57SxjG06OYvN,IEJIQ1300001
4,"Anchor","Novo Amor",117,11B,41,2021-07-17,04:17,81,"ambient folk","Bathing Beach",2017-05-26,46,81,88,13,0,10,-11,A Major,4,7qH9Z4dJEN0l9bidizW7fq,TCACI1562836
5,"Sweater Weather","The Neighbourhood",124,6B,81,2021-07-17,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
6,"Cover Your Tracks","A Boy and His Kite",150,8B,41,2021-07-18,04:31,0,"","Cover Your Tracks - Single",2014-08-11,46,44,29,16,0,10,-12,C Major,3,60oxcPMghSlMJH2xM5SmUd,USA2P1423145
7,"The A Team","Ed Sheeran",85,11B,29,2021-07-18,04:18,74,"soft pop","+",2011-09-09,64,67,0,41,0,10,-10,A Major,4,1VdZ0vKfR5jneCmWIUAMxK,GBAHS1100095
8,"Keep Me","Novo Amor",105,3B,13,2021-07-18,03:14,67,"ambient folk","Cannot Be, Whatsoever",2020-11-06,57,89,6,7,0,10,-14,C♯/D♭ Major,4,5xYpEeGFXmkGMBQ22NfKfO,GB45A2002052
9,"New Moon (The Meadow)","Alexandre Desplat",125,8A,8,2021-07-18,04:09,29,"soundtrack, score","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,45,99,90,11,0,10,-19,A Minor,4,78GcIqn4xTqJypyOONQpGd,USAT20903293
10,"Turning Page","Sleeping At Last",115,5B,37,2021-07-18,04:15,71,"","Turning Page",2012-06-18,31,92,3,19,0,10,-8,D#/E♭ Major,3,2kfGoV9a5dbSKCNmUWH2ZF,USGES1190004
