#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dolphin","Linda Perhacs",73,9B,6,2024-10-17,02:53,48,"","Parallelograms",1970-00-00,32,99,83,15,0,10,-21,G Major,4,6LRX4u7auZzD52OUIB1xly,USUM70996068
2,"Promise","Grouper",76,12B,2,2024-10-17,02:49,29,"drone, ambient, slowcore, dream pop","Shade",2021-10-22,34,88,17,7,0,10,-28,E Major,4,1Kvrqt00lnQgjgHOWku4lF,USNCB2123307
3,"I Don't Know","Alabaster DePlume",115,4A,18,2024-10-17,03:48,37,"ambient jazz","Copernicus - The Good Book of No",2012-05-28,30,91,77,24,0,10,-15,F Minor,4,5VaKHkmOkCMuCcBj7vykbA,GB5RU1200009
4,"On My Way","June McDoom",112,11A,43,2024-10-17,03:32,0,"","On My Way",2022-10-11,48,1,82,18,0,0,-11,F#/G♭ Minor,4,74cDV5HXtQmQ1hMfa8JoIK,USY6C2239403
5,"I Like to Be with You in the Sun","Bridget St John",129,11A,30,2024-10-17,02:34,29,"folk","Dandelion Albums and BBC Collection",1969-01-01,55,92,19,45,0,10,-18,F#/G♭ Minor,4,2eh82THBhxUrt6Hghgzyfj,GBBLY0501319
6,"Under a Parasol","Moon Mullins",137,8B,36,2024-10-17,02:35,19,"","10 Miles to Tilden",2022-03-04,16,79,97,34,0,10,-13,C Major,3,3Hw3d5ZeyoMq03EvidE1zI,QZDA82294283
7,"Falling in Love Again","Nina Simone",74,9B,16,2024-10-17,02:36,17,"vocal jazz, soul jazz, soul, jazz, blues","Nina with Strings",1966-00-00,25,97,0,30,0,20,-18,G Major,3,43P9ZA6XYEh3r2jaNWRCEK,USRH10550281
8,"Holy Mackerel","Dirty Projectors",183,11B,23,2024-10-17,04:01,16,"art pop","5EPs",2020-11-20,54,93,1,48,0,10,-12,A Major,4,2exiQD0ijy5psbl2UHXaSi,GBCEL1900779
9,"The Lamb Ran Away with the Crown - Remastered","Judee Sill",120,11B,23,2024-10-17,03:16,39,"singer-songwriter, baroque pop, folk","Judee Sill",1971-00-00,34,68,0,38,0,0,-14,A Major,4,5lRJbMSRYkWh8BVTYGEuj1,USEE10300545
10,"Fare You Well, My Darling","Elizabeth Cotten",113,3B,20,2024-10-17,02:02,17,"country blues, traditional folk, folk","Shake Sugaree",2004-09-21,53,94,0,67,0,10,-13,C♯/D♭ Major,4,1WLnIJ20IS9moFgO7IEfN7,USSF10414707
11,"Blue Motel Room","Joni Mitchell",206,8B,17,2024-10-17,05:04,39,"folk, folk rock, singer-songwriter","Hejira",1976-11-01,43,92,0,35,0,10,-16,C Major,3,0wGyenCHkW7eFO2ZpokF6C,USEE10170385
12,"Amanecer","Jeanette",116,7B,41,2024-10-17,02:27,25,"","Lo Mejor de Jeanette",2013-03-01,56,76,47,62,0,10,-13,F Major,4,7gkuCYWtPHsntj5eiHqa8n,ES5087300167
13,"Funny How Time Slips Away","Willie Nelson",105,10B,18,2024-10-17,03:03,45,"outlaw country, classic country, country, traditional country, honky tonk","The Early Years",1994-01-01,69,83,1,45,0,10,-15,D Major,3,6Sr2e5J7WnRJ7sLpUpyie9,USCN10100651
14,"Holy Smoke","Vashti Bunyan",120,8B,11,2024-10-17,04:48,21,"folk","Heartleap",2014-10-07,48,99,71,15,0,10,-22,C Major,3,5cRcy5FYNF575dfmwKml1t,GBDCA1402806
15,"World on a String","Jessica Pratt",80,10B,21,2024-10-17,03:09,0,"ambient folk","Here in the Pitch",2024-05-03,45,92,0,48,0,10,-11,D Major,4,06uOV6fQr0khY0LzYcy4w0,QMV8L2332503
16,"Blue Angel","Hermine",135,7A,12,2024-10-17,02:25,33,"","The World On My Plates Bis",1981-01-01,42,99,86,15,0,10,-18,D Minor,4,56KnB4R3PZUCKgA2jRwcJT,BE6F58201050
17,"Cool Night in Paris","Lewis Baloue",112,9B,6,2024-10-17,03:15,0,"","L'Amour",1983-00-00,45,86,74,16,0,10,-25,G Major,4,3vPMh9ndiNMG74MELxgPQt,USDEA1411702
18,"Don't Cry Little Tree","Trevor Dandy",74,6B,23,2024-10-17,03:10,21,"funk gospel, classic soul","Don't Cry Little Tree",2009-00-00,34,96,94,29,0,10,-15,A#/B♭ Major,3,1yO5o9ugq4hreD41h91R6U,QMB621603704
19,"As You Sleep By My Feet","Jonnine",100,8B,16,2024-10-17,03:45,24,"","As You Sleep By My Feet",2023-12-08,88,14,47,76,0,0,-13,C Major,4,4zbHGbSafBOqXBlgjxnIz2,GBLV62304067
20,"Colors - 2020 Remaster","Prince",112,10B,6,2024-10-17,01:01,24,"funk, funk rock","Sign O' The Times (Super Deluxe)",2020-09-25,47,99,90,8,0,10,-17,D Major,4,5PXYDupq9aGn2nYTticVMF,USWB12000818
21,"Build Me Up","Hannah Cohen",59,8B,13,2024-10-17,02:26,20,"","Welcome Home",2019-04-26,68,91,5,27,0,10,-15,C Major,4,3DStXeLniStHIJCimI40z0,GBBRP1989810
22,"Sunset Village","Beverly Glenn-Copeland",151,4A,25,2024-10-17,07:21,33,"jazz house","Keyboard Fantasies",1986-01-01,75,76,84,16,10,0,-14,F Minor,4,7j5hAcRDyRwSDdCl4EKawg,GBKZV2000013
23,"Reason to Believe","Karen Dalton",134,9B,7,2024-10-17,02:24,40,"folk, ambient folk","1966",2012-01-31,36,99,59,24,0,10,-21,G Major,4,1RcKqJ28uiE8EHPfg7Mg2J,US63S1100001
24,"At the Hotel","Eunice Collins",90,10A,34,2024-10-17,03:28,35,"","Loving on the Flipside",2012-09-25,78,84,0,24,0,10,-12,B Minor,4,4sjycYDj539aqcvb2jjDnj,US2S71292018
25,"Heart Of Darkness","Sparklehorse",80,11B,30,2024-10-17,01:51,40,"slowcore","Vivadixiesubmarinetransmissionplot",1995-01-01,55,6,16,23,0,20,-13,A Major,4,3vqjBVzQmi0rJdgIbdnW2x,USCA29500065
26,"So Humble the Afternoon","Julia Holter",64,8B,23,2024-10-17,05:22,28,"art pop, baroque pop","So Humble The Afternoon",2020-10-12,24,81,79,4,0,10,-13,C Major,4,1dl1I6nRr3lFuFxP7gHtcx,GBCEL1800631
27,"Winter Lady","Leonard Cohen",138,9B,11,2024-10-17,02:17,0,"singer-songwriter","Songs Of Leonard Cohen",1967-12-27,41,96,2,17,0,10,-20,G Major,3,3YNKbymzBpPlqGTQnwtYWn,USSM16701059
28,"Left Hand Path","Cindy Lee",119,4A,16,2024-10-17,03:59,0,"","Model Express",2018-11-09,32,98,59,31,0,10,-21,F Minor,4,7JsuJWjne1M4GOET6hdgaD,USA2Z1811920
29,"Grow Forever","Lizette & Quevin",132,7B,40,2024-10-17,03:13,30,"","Grow Forever b/w Now It’s Your Turn To Sing",2020-03-16,74,70,17,40,0,10,-8,F Major,4,7lMJlw5lkmFXHjlH6KP5tt,QZ2L61900219
30,"Empty Beach","Coco",180,11A,26,2024-10-17,04:45,38,"","Coco",2021-10-29,39,87,0,8,0,0,-14,F#/G♭ Minor,4,1BlKXLdPO2hLs4eyvWTKON,GBKPL1979974
