#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"do you really want to hurt me?","Nessa Barrett",140,4A,49,2025-08-14,02:09,58,"","young forever (extended)",2022-11-18,43,25,0,15,0,10,-8,F Minor,4,2xMY0vcPCP5GHHqom5i6Gl,USWB12207018
2,"sweat","Haiden Henderson",114,2A,54,2025-08-17,02:24,57,"","tension",2025-08-01,84,1,0,85,0,0,-5,D#/E♭ Minor,4,1ZAaqRar8VpLrVcwHxWot7,USUM72410574
3,"Church","Chase Atlantic",113,4A,82,2025-09-07,03:40,73,"","Part One",2017-01-27,56,1,0,29,0,10,-5,F Minor,4,7bbYT48HWWIbL3YKmtMNzn,USWB11602566
4,"KARMA","Dutch Melrose,benny mayne",101,4B,63,2025-09-07,02:51,47,"dark r&b, ","KARMA",2024-12-11,28,0,0,46,0,20,-6,G#/A♭ Major,4,7tayyhKVI7qFESWXxC3wey,QZZ7R2404861
5,"HEAVEN AND BACK","Chase Atlantic",194,3A,79,2025-09-09,04:08,76,"","PHASES",2019-06-28,31,9,9,53,0,0,-6,A#/B♭ Minor,4,1JdQibdvxgcrB8Rv1KFndw,QMRSZ1900604
6,"Hard Drive","Griffinilla",130,10A,73,2025-09-13,03:00,53,"","Hard Drive",2016-01-27,71,1,0,88,0,20,-8,B Minor,4,4xx37dCWh0zxsWsq4zg6GF,uscgh1643046
7,"Falling Up -English ver.-","Stray Kids",162,3A,84,2025-09-18,03:10,52,"k-pop, noise music","GIANT",2024-11-13,55,1,0,37,0,30,-4,A#/B♭ Minor,4,5UObrySvUGkxy8TrYOONaD,JPU902403470
8,"Paratise (VIVINOS - ALNST Sub : Ivan Part.2)","PARK BYEONG HOON",144,10B,48,2025-09-22,03:22,60,"","Paratise (VIVINOS - ALNST Sub : Ivan Part.2)",2025-05-21,57,2,0,14,0,10,-10,D Major,4,2BaWOguerdYyrKe9flIK2f,KSB022501424
9,"God Is A Weapon","Falling In Reverse,Marilyn Manson",135,8B,64,2025-09-22,03:35,76,"emo, rap metal, industrial metal, industrial rock, industrial, metal, nu metal","God Is A Weapon",2025-05-20,53,0,0,24,0,10,-4,C Major,4,0mROspyBziPHPyxTPFvKaH,USEP42525001
10,"Destruction Age","akiaura,LONOWN,STM",100,10A,71,2025-09-25,03:07,54,"witch house, electroclash, phonk","Destruction Age",2024-06-14,50,3,0,11,0,10,-5,B Minor,4,6D60317nb2tnPetD4UHhgx,FR96X2419266
11,"Sleepwalker","akiaura,LONOWN,STM",120,2A,80,2025-09-23,03:32,68,"witch house, electroclash, phonk","Ketamine Girl",2023-06-30,60,0,4,15,0,60,-5,D#/E♭ Minor,4,1IPHnu3hVkawJMzkP97tcm,FRX762339696
12,"Kerosene","Crystal Castles",118,4B,53,2025-09-23,03:12,71,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,9,0,8,0,10,-10,G#/A♭ Major,4,2K70ZV0Ls65Kkj0WUEfHlz,GBUM71206687
13,"DICE AND ROLL","Odetari",120,6B,78,2025-09-24,02:00,69,"hyperpop","DICE AND ROLL",2024-03-20,78,2,12,39,0,10,-7,A#/B♭ Major,4,5YD2m6RFAGVjrZsRR2tnDE,QZZ4J2400154
