#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"First Things First","Red Cedar",112,5B,10,2026-03-12,02:06,58,"lo-fi beats, lo-fi","First Things First",2024-10-11,45,93,92,11,0,10,-18,D#/E♭ Major,4,5jEGPAOALEaioHHHHeHesB,SE69N2414091
2,"slow turn","Sleepr Cell",81,11B,25,2026-03-12,02:07,55,"lo-fi beats, lo-fi","slow turn",2025-09-05,74,94,89,28,20,0,-15,A Major,4,7zbGD2aCLp4ZaJnyk7i8FT,SEXGF2586008
3,"Old Days","KiddoCalvin",143,10B,39,2026-03-12,02:14,49,"lo-fi beats, lo-fi","Old Days",2025-09-07,86,93,94,56,0,10,-17,D Major,4,7Eg2ohLf7IeYtmnL9Jykxs,SE69Z2510507
4,"Lucid","Spring Bingo",112,10B,12,2026-03-12,02:41,56,"lo-fi, lo-fi beats","Lucid",2025-10-10,76,85,91,21,0,10,-21,D Major,4,2spoQnHvSANa0W6d567SjA,SE7DX2502541
5,"Awake But It's Late","Rainbows & Clouds",64,7B,15,2026-03-12,02:18,41,"lo-fi","Awake But It's Late",2025-11-07,71,95,95,8,0,10,-15,F Major,4,74OZRZyVHdAFVPGqZWMXkf,SE7DX2502953
6,"what´s my name","yellofish",86,9A,16,2026-03-12,01:52,45,"lo-fi beats, lo-fi","what´s my name",2024-11-29,57,73,92,92,0,10,-14,E Minor,4,0tgX9pQ08mwF29RB89XH6P,SEXGF2400724
7,"All Nighter","Sunny Léo",130,5A,29,2026-03-12,02:05,60,"lo-fi beats","All Nighter",2025-11-28,68,80,71,12,0,10,-17,C Minor,4,4XkfovbQ3GVlGzDCUD1bkR,SE69Z2516178
8,"Dream Drift","Dozy Duzzn",112,6B,6,2026-03-12,02:04,58,"lo-fi, lo-fi beats","Dream Drift",2024-07-07,69,95,95,15,0,10,-24,A#/B♭ Major,4,5yQXLsJZJBcQQV3mhuWDE4,SE69Z2417667
9,"Undertone","hiking trip",138,12A,8,2026-03-12,02:20,55,"lo-fi beats, lo-fi","Undertone",2025-09-07,57,95,84,12,0,30,-25,C♯/D♭ Minor,4,50VLwwvzjpemTbpK4hdSCr,QZAKB2524825
10,"cirrus","Collinsworthy",80,1B,15,2026-03-12,02:05,51,"lo-fi, lo-fi beats","cirrus",2025-11-21,51,91,92,4,0,10,-13,B Major,4,4GPggSBR3PNu6qTjDGNHLo,SEXGF2586026
