#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"All On Me","Kiara Nelson",110,11A,83,2025-09-18,03:21,41,"","All On Me",2025-09-19,66,5,3,49,0,10,-6,F#/G♭ Minor,4,5FgjpvDIZ9gJD7wcJD7LXk,NOLTV2503010
2,"Another Love","Tom Odell",123,9A,54,2025-09-11,04:04,88,"","Long Way Down (Deluxe)",2013-06-24,45,70,0,13,0,0,-9,E Minor,4,3JvKfv6T31zO0ini8iNItO,GBARL1300107
3,"Apocalypse","Cigarettes After Sex",94,7B,47,2025-09-11,04:50,89,"dream pop","Cigarettes After Sex",2017-06-09,37,2,46,17,0,10,-9,F Major,4,1oAwsWBovWRIp7qLMGPIet,USBQU1700034
4,"Daddy Issues","The Neighbourhood",85,6B,52,2025-09-11,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
5,"hotline (edit)","Billie Eilish",57,8A,25,2025-09-11,01:00,74,"","hotline (edit)",2023-05-09,52,82,86,30,0,10,-16,A Minor,4,0WFryfbNKPXVtVQlz5dZ8H,USUM72307244
6,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2025-09-11,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
7,"willow","Taylor Swift",81,9B,57,2025-09-11,03:34,74,"","evermore",2020-12-11,39,83,0,53,10,10,-9,G Major,4,0lx2cLdOt3piJbcaXIV74f,USUG12004699
8,"Good Looking","Suki Waterhouse",150,12B,55,2025-09-11,03:34,24,"","Good Looking",2022-08-18,37,8,0,26,0,10,-9,E Major,3,0j3mqDTK4Z6lvrLzFCUUz6,QZ9Y21712533
9,"What A Time (feat. Niall Horan)","Julia Michaels,Niall Horan",133,8B,47,2025-09-11,02:53,74,"","Inner Monologue Part 1",2019-01-24,52,66,0,39,0,0,-6,C Major,4,5WtfUKzXircvW8l5aaVZWT,USUM71900686
10,"Lust For Life (with The Weeknd)","Lana Del Rey,The Weeknd",100,5A,66,2025-09-11,04:24,72,"","Lust For Life",2017-07-21,50,60,0,26,0,30,-9,C Minor,4,0mt02gJ425Xjm7c3jYkOBn,GBUM71701127
11,"Say Yes To Heaven","Lana Del Rey",100,11A,35,2025-09-11,03:29,86,"","Say Yes To Heaven",2023-05-19,49,68,17,14,0,10,-12,F#/G♭ Minor,4,6GGtHZgBycCgGBUhZo81xe,GBUM72304301
12,"Somebody Else","The 1975",101,8B,79,2025-09-11,05:47,76,"","I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26,62,20,1,46,0,10,-6,C Major,4,4m0q0xQ2BNl9SCAGKyfiGZ,GBK3W1500426
13,"If the World Was Ending (feat. Julia Michaels)","JP Saxe,Julia Michaels",129,3B,49,2025-09-11,03:29,74,"","Hold It Together (Deluxe)",2021-03-23,47,86,0,68,0,10,-10,C♯/D♭ Major,1,4bp5G6x1SXMQW4X9DbCCCp,USQX91902708
14,"Happier Than Ever","Billie Eilish",81,8B,23,2025-09-11,04:58,85,"","Happier Than Ever",2021-07-30,33,77,0,30,0,10,-9,C Major,3,4RVwu0g32PAqgUiJoXsdF8,USUM72105936
15,"Stargirl Interlude","The Weeknd,Lana Del Rey",90,4A,47,2025-09-11,01:51,79,"","Starboy",2016-11-24,72,35,9,43,0,10,-13,F Minor,4,5gDWsRxpJ2lZAffh5p7K0w,USUG11600986
16,"Sweater Weather","The Neighbourhood",124,6B,81,2025-09-11,04:00,92,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
17,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2025-09-11,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
18,"The Color Violet","Tory Lanez",105,11A,53,2025-09-11,03:46,87,"","Alone At Prom",2021-12-10,65,16,0,46,0,0,-11,F#/G♭ Minor,4,3azJifCSqg9fRij2yKIbWz,QZTGW2100275
19,"Circles","Post Malone",120,8B,76,2025-09-11,03:35,86,"","Hollywood's Bleeding",2019-09-06,70,19,0,55,0,0,-3,C Major,4,21jGcNKet2qwijlDFuPiPb,USUM71915699
20,"Cherry","Harry Styles",96,9B,51,2025-09-11,04:19,74,"","Fine Line",2019-12-13,53,62,0,41,0,10,-9,G Major,4,2IOFZdYYkFxEHVz1w34PoL,USSM11912589
21,"deja vu","Olivia Rodrigo",181,10B,61,2025-09-11,03:35,87,"","SOUR",2021-05-21,44,58,0,18,10,30,-7,D Major,4,6HU7h9RYOaPRFeh0R3UeAr,USUG12101240
22,"Moral of the Story","Ashe",120,6B,40,2025-09-11,03:21,31,"","Ashlyn",2021-05-07,57,59,0,27,0,10,-9,A#/B♭ Major,4,69HzZ3ti9DLwb0GdWCGYSo,USQE91500884
23,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2025-09-11,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
24,"Sunsetz","Cigarettes After Sex",75,8A,48,2025-09-11,03:34,85,"dream pop","Cigarettes After Sex",2017-06-09,41,5,80,14,0,10,-9,A Minor,4,0yuAWlxq59xT3agQ965OxE,USBQU1700033
25,"High Hopes","Kodaline",77,12B,49,2025-09-11,03:50,63,"","In A Perfect World (Expanded Edition)",2013-06-17,49,58,0,22,0,10,-6,E Major,4,6KkyuDhrEhR5nJVKtv9mCf,GBDVX1200014
26,"Sex, Drugs, Etc.","Beach Weather",144,9A,84,2025-09-11,03:16,82,"","Pineapple Sunrise",2023-03-03,57,1,1,47,0,50,-5,E Minor,4,7MlDNspYwfqnHxORufupwq,TCACS1642138
27,"Sparks","Coldplay",103,3B,27,2025-09-11,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
28,"Mystery of Love","Sufjan Stevens",132,9A,27,2025-09-11,04:08,80,"baroque pop","Mystery of Love",2017-12-01,37,94,43,24,0,10,-17,E Minor,5,5GbVzc6Ex5LYlLJqzRQhuy,US64G1737302
29,"Home","Edith Whiskers",120,10B,20,2025-09-11,03:17,72,"","Stop Stealing The Covers!",2020-11-13,72,98,0,28,0,10,-12,D Major,4,18V1UiYRvWYwn01CRDbbuR,GBVHN2000009
30,"Lights Are On","Tom Rosenthal",136,5B,4,2025-09-11,03:13,77,"","Z-Sides",2018-10-26,44,98,47,25,0,10,-17,D#/E♭ Major,4,4IhTXiZLKATmwhMZIb1GQN,GBVHN1800009
31,"Until I Found You - Piano Version","Stephen Sanchez",95,9B,15,2025-09-11,03:04,65,"","Until I Found You (Piano Version)",2022-03-11,60,93,0,23,0,10,-10,G Major,3,06vNG6CiV4k8oNA0wUUAO7,USUG12201478
32,"Where's My Love - Acoustic","SYML",104,5B,23,2025-09-11,03:59,74,"","Where's My Love",2017-07-07,55,89,3,22,0,10,-11,D#/E♭ Major,4,0ElpbbncWT9aS7mgoqEHbQ,CAN111600624
33,"The Few Things","JP Saxe",136,9B,32,2025-09-11,04:04,0,"","The Few Things",2018-03-09,54,60,0,24,0,10,-13,G Major,4,4T5tKuQBjol779cYZyL9D2,QMDA61812337
34,"Unknown (To You)","Jacob Banks",130,1A,55,2025-09-11,03:53,0,"","Unknown (To You)",2017-09-14,31,88,0,25,0,10,-5,G#/A♭ Minor,4,7yfrSTEhzhm3UtoZ5xEpzG,USUM71709388
35,"Six Feet Under","Billie Eilish",68,10A,31,2025-09-11,03:09,74,"","Six Feet Under",2016-11-17,58,81,0,16,0,0,-13,B Minor,4,2VlLbhGLVJgdOW7kKdWWFc,TCACP1646299
36,"K.","Cigarettes After Sex",94,5B,40,2025-09-11,05:19,85,"dream pop","Cigarettes After Sex",2017-06-09,45,15,82,31,0,10,-10,D#/E♭ Major,4,2xGjfbXZnI8uQDhukoQURQ,USBQU1700031
37,"Streetcar","Daniel Caesar",110,5B,30,2025-09-11,04:06,1,"","Pilgrim's Paradise",2015-11-12,41,72,0,14,0,10,-12,D#/E♭ Major,3,7Cu2COdH93MnuireuKNiS3,TCACJ1532157
38,"We All Knew (From  Euphoria: Season 1  Soundtrack)","Labrinth",142,9A,23,2025-09-11,03:01,49,"","Euphoria (Original Score from the HBO Series)",2019-10-04,69,90,2,4,0,10,-14,E Minor,4,4UV1aekV3mXiKqJewTgGRo,USQX91902503
39,"Youth","Daughter",147,8B,53,2025-09-11,04:13,0,"","If You Leave",2013-01-01,40,89,1,41,0,10,-11,C Major,4,4AmcmraFjVzFb9SQDNTRyl,USYAH1300029
40,"Afterglow","Ed Sheeran",110,1B,32,2025-09-11,03:05,68,"soft pop","Afterglow",2020-12-21,64,70,0,27,0,30,-6,B Major,4,0E4Y1XIbs8GrAT1YqVy6dq,GBAHS2001193
41,"ghost town (voice memo)","Chloe George",68,4B,23,2025-09-11,02:17,50,"","ghost town (voice memo)",2021-03-30,47,95,0,36,0,0,-7,G#/A♭ Major,3,0PKAijroHpnEtdY20bkGdr,USUM72104942
42,"10 Summers","Ashley Singh",120,7B,40,2025-09-11,02:40,42,"","10 Summers",2022-04-01,76,91,0,50,0,20,-8,F Major,4,4QKiy0xETxTVnf8kNpsreo,GBAHT2200734
43,"Where's My Love","SYML",104,5A,36,2025-09-11,03:22,79,"","SYML",2019-05-03,60,87,3,37,0,10,-10,C Minor,4,1B62o4CbdL9ckGvwsz2cgn,CAN111700009
44,"Mind Over Matter (Reprise)","Young the Giant",152,8B,49,2025-09-11,03:50,75,"","Mirrorball / Mind Over Matter (Reprise)",2015-04-18,39,23,0,30,0,10,-6,C Major,4,77KnJc8o5G1eKVwX5ywMeZ,USAT21405325
45,"Sweet","Cigarettes After Sex",96,2B,51,2025-09-11,04:51,84,"dream pop","Cigarettes After Sex",2017-06-09,45,36,82,11,0,10,-9,F#/G♭ Major,4,2KhrPRV0V1FS2l4eQMJUWt,USBQU1700036
46,"Lavender Haze","Taylor Swift",97,6A,45,2025-09-12,03:22,72,"","Midnights",2022-10-21,74,23,0,10,0,10,-11,G Minor,4,5jQI2r1RdgtuT8S3iG8zFC,USUG12205734
47,"Needed Me","Rihanna",111,4A,32,2025-09-30,03:11,84,"","ANTI (Deluxe)",2016-01-28,70,11,0,30,20,0,-8,F Minor,4,4pAl7FkDMNBsjykPXo91B3,QM5FT1600118
