#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"There She Goes","The La's",123,9B,76,2025-07-26,02:42,73,"britpop, jangle pop","The La's",1990-00-00,53,1,83,92,0,20,-11,G Major,4,4c6vZqYHFur11FbWATIJ9P,GBAQT8800001
2,"1979 - Remastered 2012","The Smashing Pumpkins",127,5B,79,2025-07-26,04:26,80,"alternative rock, rock","Mellon Collie And The Infinite Sadness (Deluxe Edition)",1995-00-00,77,2,58,96,0,0,-10,D#/E♭ Major,4,5QLHGv0DfpeXLNFo7SFEy1,USVI21200910
3,"Somebody's Watching Me","Rockwell",124,12A,58,2025-07-26,04:53,63,"","12  80s Classics",2010-06-28,80,12,0,87,0,0,-8,C♯/D♭ Minor,4,2gGdO0zLa9W8ce1Ig0BzFK,USMO18400484
4,"Undone - The Sweater Song","Weezer",80,2B,62,2025-10-12,05:05,77,"alternative rock","Weezer",1994-05-10,46,0,0,58,0,0,-7,F#/G♭ Major,4,5WhtlIoxoZrMmuaWWEQhwV,USGF19962905
5,"Heavenly","Cigarettes After Sex",105,4B,44,2025-07-26,04:46,81,"dream pop","Cry",2019-10-25,54,68,67,13,0,10,-9,G#/A♭ Major,4,5E02BgqYNN9VzafXrYP6Np,USBQU1900118
6,"Insomniac","Memo Boy,Chakra Efendi",130,10B,71,2025-07-26,03:32,74,"","Songs & Demos 2015-2017",2021-06-04,52,24,85,37,0,10,-9,D Major,4,2klj0StczYde6WUHBJo5F6,AUNUK1700026
7,"Petals","Hole",115,9A,82,2025-07-26,05:29,71,"riot grrrl, grunge","Celebrity Skin",1998-01-01,45,0,3,22,0,30,-7,E Minor,4,4VedfquAzkjR15ntcWmNfL,USGF19816412
8,"All I Need","Radiohead",88,9A,48,2025-07-26,03:48,83,"art rock, alternative rock","In Rainbows",2007-12-28,67,53,43,10,0,10,-9,E Minor,4,5Qv2Nby1xTr9pQyjkrc94J,GBSTK0700005
9,"Eyes Without A Face","Billy Idol",86,11B,82,2025-07-26,04:59,86,"","Rebel Yell",1983-11-01,54,2,0,66,0,20,-6,A Major,4,0pUVeEgZuNyFzIMKp67RbS,USCH38400023
10,"roslyn","creamy,Bluberii,11:11 Music Group",134,6A,24,2025-07-26,03:32,48,"drumstep, future bass, lo-fi","roslyn (sped up)",2022-06-13,54,92,66,22,0,10,-18,G Minor,3,2mJp6CgEDgWJtMYJN7wfni,GX5MX2278986
11,"Dark Red","Steve Lacy",172,2B,78,2025-07-26,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
12,"Season Of The Witch","Lana Del Rey",96,10B,21,2025-07-26,04:07,63,"","Season Of The Witch (From The Motion Picture  Scary Stories To Tell In The Dark )",2019-08-09,67,90,3,36,0,10,-14,D Major,4,5DSi7heBC8eTIFROBvttnp,GBUM71903671
13,"Velvet Ring - 2023 Remaster","Big Thief",139,8B,40,2025-07-26,02:35,77,"","Masterpiece (2023 Remaster)",2016-00-00,32,44,1,28,0,10,-12,C Major,4,3oBNQdDbNrs8wQbcZ3BXwP,GBAFL2300467
14,"Mary On A Cross","Ghost",130,1B,90,2025-07-26,04:04,80,"metal, hard rock","Seven Inches of Satanic Panic",2019-09-13,46,0,0,56,0,10,-4,B Major,4,2wBnZdVWa5jVpvYRfGU7rP,USC4R1902750
15,"Velvet Ring","Big Thief",137,9B,33,2025-07-26,02:35,68,"","Masterpiece",2016-05-27,33,69,5,30,0,10,-14,G Major,4,7qshYIOUFQAGgYfWXg1m9N,US2U61623309
16,"Monster Mash","Bobby  Boris  Pickett,The Crypt-Kickers",68,10A,50,2025-07-26,03:12,56,"","The Original Monster Mash",1962-00-00,54,38,0,71,40,40,-14,B Minor,4,0xxZY5C9xxij3D1HkzbnfC,GBBBA7360050
17,"roslyn - instrumental (slowed & reverb with rain)","softsync",127,12B,30,2025-07-26,02:04,40,"","roslyn [instrumental (slowed & reverb with rain)]",2024-10-07,39,75,90,12,0,10,-17,E Major,3,1q9nZ5nXLJWSZFKx4ySLTV,QZP7F2459186
18,"Golden Brown","The Stranglers",94,2B,38,2025-07-26,03:26,83,"proto-punk, new wave","La Folie",1981-00-00,56,14,12,60,0,10,-15,F#/G♭ Major,3,2AX5E86cn9n2dgioZEjirI,GBAYE8100053
19,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2025-07-26,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
20,"Fade Into You","Mazzy Star",157,11B,33,2025-07-26,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
21,"rises the moon","Liana Flores",137,4A,13,2025-07-26,02:41,82,"","recently",2019-04-10,48,95,14,20,0,10,-20,F Minor,3,51Grh1RyUDcMBbpuyUIUHI,QZDA61986777
22,"Fear","Current Joys",94,10B,45,2025-07-26,03:36,73,"lo-fi indie","A Different Age",2018-03-02,72,70,43,51,0,0,-8,D Major,4,1JbbYSre3n6j2YlfHH31UL,QMBZ91743918
23,"Duvet","bôa",93,10A,89,2025-07-26,03:23,86,"","Twilight",2001-03-21,58,19,0,71,0,0,-9,B Minor,4,42qNWdLKCI41S4uzfamhFM,USCGJ0659337
24,"Show Me How","Men I Trust",166,7B,27,2025-07-26,03:35,80,"bedroom pop, indie pop","Show Me How",2018-02-28,79,67,54,56,0,10,-12,F Major,4,75IQVo8hqI1iwVZyvkN2VT,TCADM1873570
25,"Cigarettes out the Window","TV Girl",114,8B,66,2025-07-26,03:18,86,"","Who Really Cares",2016-02-25,63,12,0,59,0,10,-6,C Major,4,6QeYSvYqYUsfBzsApbjDHO,USCGH1682129
26,"Go Slowly","Radiohead",108,10A,39,2025-07-26,03:48,66,"art rock, alternative rock","In Rainbows (Disk 2)",2007-00-00,44,88,80,4,0,10,-9,B Minor,4,6yiSyupeI7KYdBZKJdnIUO,GBSTK0700013
27,"Cinnamon Girl","Lana Del Rey",92,11A,34,2025-07-26,05:00,89,"","Norman Fucking Rockwell!",2019-08-30,29,81,41,14,0,10,-11,F#/G♭ Minor,5,2mdEsXPu8ZmkHRRtAdC09e,GBUM71903147
28,"Dancing In The Moonlight","King Harvest",136,5A,72,2025-07-26,02:56,41,"","PAUL OST (Streaming Version)",2011-01-01,63,16,0,74,0,10,-5,C Minor,4,6ZvdB6I9Ocs8rQbvJbTRWS,FRUM77300077
29,"Champagne Coast","Blood Orange",123,11B,41,2025-07-26,04:52,80,"art pop","Coastal Grooves",2011-08-08,81,2,39,76,0,0,-13,A Major,4,0AIpGG5dxEgnAymhdJRSZ0,GBCEL1100251
