#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sparks","Coldplay",103,3B,27,2025-11-17,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
2,"we fell in love in october","girl in red",130,9B,37,2025-11-17,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
3,"Roses","Jenna Raine",104,8B,62,2025-11-17,03:10,61,"","Roses",2024-08-09,50,71,0,37,0,0,-8,C Major,4,6fqbblMIytVYfUn8ra4bdV,USWB12402105
4,"Sailor Song","Gigi Perez",95,1B,42,2025-11-17,03:31,3,"","Sailor Song",2024-07-26,49,69,0,30,0,20,-10,B Major,4,0UYnhUfnUj5adChuAXvLUB,USHM92438095
5,"Kiss Me","Sixpence None The Richer",100,5B,75,2025-11-17,03:28,86,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312
6,"Carry You Home","Alex Warren",124,6B,66,2025-11-17,02:46,73,"","Carry You Home",2024-05-31,53,47,0,46,10,10,-7,A#/B♭ Major,4,4uzKAj0mIyYmyhsRRyPXaQ,USAT22403017
7,"Story of My Life","One Direction",121,5B,66,2025-11-17,04:05,85,"","Midnight Memories (Deluxe)",2013-11-25,60,23,0,29,0,10,-6,D#/E♭ Major,4,4nVBt6MZDDP6tRVdQTgxJg,GBHMU1300210
8,"Audrey Hepburn","Maisie Peters",98,6B,37,2025-11-17,03:06,58,"","You You You / Audrey Hepburn",2025-10-09,51,79,0,20,0,10,-9,A#/B♭ Major,4,7hoPbfGuOZe6FKBlwB2d21,GBAHS2501280
9,"this is what autumn feels like","JVKE",79,5B,44,2025-11-17,03:39,70,"","this is what autumn feels like",2023-09-12,24,91,43,16,0,10,-7,D#/E♭ Major,4,2YOGCTiPJWMhZRdeadFj8G,QMDA72396962
10,"We Almost Broke Up Again Last Night","Sabrina Carpenter",176,12B,57,2025-11-17,03:23,74,"pop","Man’s Best Friend",2025-08-29,35,53,0,27,0,20,-5,E Major,4,6wkYQMrFfb0huLB5Qn19Iv,USUM72504442
11,"I Love You, I'm Sorry","Gracie Abrams",116,6B,41,2025-11-17,02:37,87,"","The Secret of Us",2024-06-21,53,66,0,34,0,10,-8,A#/B♭ Major,3,51rfRCiUSvxXlCSCfIztBy,USUG12401766
12,"New York State of Mind","Billy Joel",121,8B,37,2025-11-17,06:03,65,"soft rock","Turnstiles",1976-05-19,51,50,0,19,0,30,-9,C Major,4,6yjKlmm7vOszkXEUku1EM1,USSM17600481
13,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,2025-11-17,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
14,"Weathervane","Hunter Metts",145,9B,43,2025-11-17,03:44,63,"","Weathervane",2024-11-15,52,83,0,35,0,10,-10,G Major,4,0vxNNwfm6zj8ISkCi6INFR,USA2P2466303
15,"MAYBE","Gabriela Bee",76,11B,28,2025-11-17,03:14,55,"","MAYBE",2023-12-01,38,59,0,32,0,0,-10,A Major,4,1PS9AXcHyldKbcRWhNgjOq,SGB502392830
16,"Nauseous","Conan Gray",97,2B,34,2025-11-17,03:43,66,"","Wishbone",2025-08-15,59,64,0,23,0,10,-9,F#/G♭ Major,4,3KknxobyltvsTh70pfVKUP,USUM72505683
17,"Sweet Heat Lightning","Gregory Alan Isakov",66,8B,21,2025-11-17,04:46,78,"indie folk, folk, folk pop","Appaloosa Bones",2023-08-18,57,91,39,14,0,10,-15,C Major,4,7gSZkeBr9Koc9Rfm3pp769,USDMG2355410
18,"Stick Season","Noah Kahan",118,11B,50,2025-11-17,03:02,63,"","Stick Season",2022-07-08,66,80,0,80,0,10,-7,A Major,4,0GNVXNz7Jkicfk2mp5OyG5,USUM72212470
19,"All Too Well (Taylor's Version)","Taylor Swift",186,8B,53,2025-11-17,05:29,73,"","Red (Taylor's Version)",2021-11-12,44,2,0,13,0,20,-8,C Major,4,3nsfB1vus2qaloUdcBZvDu,USUG12103665
20,"Tumbleweed","Noah Rinker",80,5B,82,2025-11-17,04:04,52,"","Tumbleweed",2025-10-03,40,0,0,53,0,10,-7,D#/E♭ Major,4,6QbEg7Bj5HCG6VQzMiTISZ,USWB12503592
21,"Too Little, Too Late","Laufey",159,6B,22,2025-11-17,03:53,76,"","A Matter of Time",2025-08-22,28,95,0,17,0,10,-10,A#/B♭ Major,3,6zEg4KEgz6RGhCPmDKplYf,QM6N22553532
22,"Thoughts of You","Ole 60",123,11B,29,2025-11-17,02:52,74,"country","Songs About You",2024-09-20,55,61,0,17,0,10,-9,A Major,4,0Xw2qqQDAm2uDJZI02UDix,QZEQU2401902
23,"WILDFLOWER","Billie Eilish",148,11A,25,2025-11-17,04:21,93,"","HIT ME HARD AND SOFT",2024-05-17,47,61,0,13,0,10,-12,F#/G♭ Minor,4,3QaPy1KgI7nu9FJEQUgn6h,USUM72401993
24,"Season Of The Witch","Lana Del Rey",96,10B,21,2025-11-17,04:07,63,"","Season Of The Witch (From The Motion Picture  Scary Stories To Tell In The Dark )",2019-08-09,67,90,3,36,0,10,-14,D Major,4,5DSi7heBC8eTIFROBvttnp,GBUM71903671
25,"My Love Mine All Mine","Mitski",114,11B,31,2025-11-17,02:17,87,"","The Land Is Inhospitable and So Are We",2023-09-15,50,87,14,12,0,10,-15,A Major,4,3vkCueOmm7xQDoJ17W1Pm3,USJ5G2335007
26,"Linger","The Cranberries",95,9B,43,2025-11-17,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
27,"Slim Pickins","Sabrina Carpenter",100,10B,54,2025-11-17,02:32,71,"pop","Short n' Sweet",2024-08-23,62,29,0,31,0,10,-9,D Major,4,0XkZmBCCcdMY0EPY8ij6Gb,USUM72404105
28,"Fool's Gold","Buffalo Traffic Jam",140,1B,56,2025-11-17,03:17,61,"","Take Me Home",2025-10-24,68,78,0,30,0,10,-8,B Major,4,313fKmaZ1VcLpPkQFQXdzY,USAR12500347
29,"House Again","Hudson Westbrook",127,4B,31,2025-11-17,03:23,79,"country","Texas Forever",2025-07-25,44,58,0,49,0,10,-7,G#/A♭ Major,3,1zM8S2pnIclcdTmrfFnWtX,QZYG82300092
30,"God Needs The Devil","Jonah Kagen",81,8A,53,2025-11-17,03:12,80,"folk pop, pop singer-songwriter","God Needs The Devil",2024-05-03,55,64,0,29,0,0,-8,A Minor,4,3nEotpBFeXq0OJstuHzwDP,USAR12400126
31,"Take Me Home, Country Roads","Lana Del Rey",75,11B,15,2025-11-17,02:46,67,"","Take Me Home, Country Roads",2023-12-01,32,92,0,36,0,10,-13,A Major,4,7qF0FfuzBFwMe1lNHkEDxW,GBUM72305740
32,"The Night We Met","Lord Huron",174,11B,37,2025-11-17,03:28,70,"","Strange Trails",2015-04-06,45,97,27,10,0,60,-10,A Major,3,3hRV0jL3vUpRrcy398teAU,US53Q1200103
33,"Beautiful Boy (Darling Boy) - 2010 Remastered","John Lennon",111,10B,50,2025-11-17,04:02,66,"christmas","Beautiful Boy (Original Motion Picture Soundtrack)",2018-10-12,57,74,0,44,0,90,-10,D Major,4,5GMQdzgtI7vtpmtps2YiYx,USTO11000021
34,"Stargazing","Myles Smith",124,12A,60,2025-11-17,02:52,86,"","Stargazing",2024-05-10,64,25,0,33,0,10,-6,C♯/D♭ Minor,4,3Vr3zh0r7ALn8VLqCiRR10,GBARL2400510
35,"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Olivia Rodrigo",141,10A,35,2025-11-17,03:25,73,"","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)",2023-11-03,41,83,0,20,0,10,-8,B Minor,4,56xHMIfQPoe0prrSi3BGhf,USUG12307028
36,"Everytime - Spotify Singles","Ethel Cain",95,8B,35,2025-11-17,03:54,56,"southern gothic","Everytime - Spotify Singles",2022-03-08,45,35,0,16,0,10,-10,C Major,4,6NX2uPsnjyEVaHo3x3GSSR,GBKPL2286063
37,"Thought of You","Sam Barber",105,6A,60,2025-11-17,02:43,53,"country","Thought of You",2024-10-11,59,20,0,43,0,10,-7,G Minor,4,3edfAO2gVxQfUIKWtArAe6,USAT22408980
38,"august","Taylor Swift",90,7B,62,2025-11-17,04:21,84,"","folklore",2020-07-24,53,54,0,40,0,0,-9,F Major,4,3hUxzQpSfdDqwM3ZTFQY0K,USUG12002842
39,"Quitter","Cameron Whitcomb",105,11B,65,2025-11-17,02:41,59,"","Quitter",2024-09-27,66,1,0,77,0,10,-7,A Major,4,3ai1kBVQF9GusoxIdgBrjz,USAT22406351
