#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dark Red","Steve Lacy",172,2B,78,2023-08-12,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
2,"we fell in love in october","girl in red",130,9B,37,2023-08-12,03:04,86,"bedroom pop","we fell in love in october / October Passed Me By",2018-11-21,57,11,18,24,0,10,-13,G Major,4,6IPwKM3fUUzlElbvKw2sKl,GBKPL1828677
3,"Je te laisserai des mots","Patrick Watson",133,10B,19,2023-08-12,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
4,"O Children","Nick Cave & The Bad Seeds",122,9A,55,2023-08-12,06:51,0,"","Abattoir Blues / The Lyre of Orpheus",2004-09-20,48,51,0,24,0,0,-7,E Minor,4,29FQEJUtBAnxWEkux39d7I,GBAJH0401579
5,"Mary On A Cross","Ghost",130,1B,90,2023-08-12,04:04,6,"metal, hard rock","Seven Inches Of Satanic Panic",2019-09-13,47,0,0,56,0,10,-4,B Major,4,2HZLXBOnaSRhXStMLrq9fD,USC4R1902750
6,"Duvet","bôa",93,10A,89,2023-08-12,03:23,86,"","Twilight",2001-03-21,58,19,0,71,0,0,-9,B Minor,4,42qNWdLKCI41S4uzfamhFM,USCGJ0659337
7,"Show Me How","Men I Trust",166,7B,27,2023-08-12,03:35,3,"bedroom pop, indie pop","Show Me How",2018-02-28,79,67,53,54,0,10,-12,F Major,4,01TyFEZu6mHbffsVfxgrFn,TCADM1873570
8,"Sunday","The Cranberries",109,8B,56,2023-08-12,03:31,72,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,33,6,0,17,0,10,-13,C Major,4,4zEvxRDaKDoFlHxK7Hy0wg,USIR29300081
9,"Cigarette Daydreams","Cage The Elephant",114,10B,68,2023-08-12,03:28,75,"","Melophobia",2013-10-08,64,8,0,27,0,0,-3,D Major,4,6jHvX8ZnHKC1PnrPMJ0Emt,USRC11301169
10,"Head Over Heels","Tears For Fears",95,9A,84,2023-08-12,04:16,64,"new wave, synthpop","Rule The World: The Greatest Hits",2017-11-10,60,50,0,65,0,10,-4,E Minor,4,748yv6bb3l3CcKS45a6SZ8,GBF088590112
