#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Lean On","Major Lazer,MØ,DJ Snake",98,6A,81,2026-02-19,02:56,70,"moombahton, ","Peace Is The Mission (Extended)",2015-11-27,72,0,0,27,0,50,-3,G Minor,4,4UKJUbcuStnnxLeJmVJsSc,QMUY41500008
2,"Lush Life","Zara Larsson",98,6A,71,2026-02-19,03:20,94,"","So Good",2017-03-17,69,13,0,80,0,20,-4,G Minor,4,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
3,"Sorry","Justin Bieber",100,5A,76,2026-02-19,03:20,88,"","Purpose (Deluxe)",2015-11-13,66,8,0,41,0,30,-4,C Minor,4,09CtPGIpYB4BrO8qb1RGsF,USUM71516760
4,"I Love It","Icona Pop,Charli xcx",126,3B,89,2026-02-19,02:35,48,"hyperpop, art pop","I Love It - Pop Anthems",2021-04-16,73,3,0,80,0,20,-3,C♯/D♭ Major,4,1JBgWfT7LtGDVqkZLnTIUr,USAT21206765
5,"Hundred Miles","YALL,Gabriela Richardson",98,6A,71,2026-02-19,02:52,69,"","Hundred Miles",2015-10-16,48,3,2,49,10,20,-4,G Minor,4,0pGMAK5wooEtjAEcP8bkKL,ES7001520501
6,"Cake By The Ocean","DNCE",119,9A,75,2026-02-19,03:39,84,"","DNCE",2016-11-18,77,15,0,90,0,0,-5,E Minor,4,76hfruVvmfQbw0eYn1nmeC,USUM71514637
7,"Side To Side","Ariana Grande,Nicki Minaj",159,11A,74,2026-02-19,03:46,83,"pop, ","Dangerous Woman",2016-04-01,65,5,0,61,20,20,-6,F#/G♭ Minor,4,44ONERBHALxftQNWq6dmyd,USUM71602107
8,"#Сумасшедшая","Alexey Vorobyov",120,5A,69,2026-02-19,03:00,56,"","#Сумасшедшая",2015-07-28,81,34,0,89,0,30,-3,C Minor,4,7GSfOUIAddQwVt3K6sasyL,RUB421500837
9,"Чумачечая весна","Потап и Настя",140,2B,77,2026-02-19,03:13,54,"","Все пучком",2013-10-02,79,4,0,77,0,0,-5,F#/G♭ Major,4,2QnwsJpx1fkRts6etIgisp,FR6V81959594
10,"Я твой номер один","Dima Bilan",115,2A,79,2026-02-19,03:09,59,"","Против правил",2008-06-10,74,0,0,82,0,0,-3,D#/E♭ Minor,4,4qhH0DyNFzORKJHUBveBVh,RUB421500053
11,"Будильник","Egor Kreed",124,1B,76,2026-02-19,03:24,52,"","Будильник - Single",2015-00-00,78,9,0,81,0,0,-7,B Major,4,5XfHNrdomVBNxUI0iRztic,RUB631500156
12,"Между нами любовь","SEREBRO",96,7B,84,2026-02-19,03:11,44,"","Между нами любовь",2017-05-15,88,36,3,41,10,0,-3,F Major,4,1L9yJp25o1laI3pWKhq9H8,QMPU51737723
13,"Навернопотомучто","Vremya i Steklo",110,8A,85,2026-02-19,03:10,57,"","Обратный отсчёт (The Best)",2017-06-09,85,12,0,79,10,0,-4,A Minor,4,6HoYURQoTOeSCwX9Iik4hm,FR2X41657874
14,"Имя 505","Vremya i Steklo",120,5B,75,2026-02-19,03:18,0,"","Обратный отсчёт (The Best)",2017-06-09,90,19,0,80,0,0,-4,D#/E♭ Major,4,6APl3GmRpQmX32sto5epj0,FR10S1558532
15,"Песня 404","Vremya i Steklo",120,2A,70,2026-02-19,03:33,0,"","Обратный отсчёт (The Best)",2017-06-09,87,38,0,41,0,10,-5,D#/E♭ Minor,4,4F5ybf0PyqkluLrHJ5tUJO,FR10S1545655
16,"Стиль собачки","Потап и Настя,Bianka",128,3A,84,2026-02-19,03:10,45,"","Щит",2015-01-01,91,17,0,52,10,10,-5,A#/B♭ Minor,4,7DQNX7LZStaSZkn9G7Q7f8,FR2X41508224
17,"Back2Leto","Vremya i Steklo",126,12A,82,2026-02-19,03:07,41,"","Обратный отсчёт (The Best)",2017-06-09,80,2,0,91,0,10,-4,C♯/D♭ Minor,4,7yqQ4dWDf59pkKEBx7wKKE,FR59R1723461
