#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Aperture","Harry Styles",128,10B,72,2026-01-31,05:11,89,"","Aperture",2026-01-22,68,11,7,18,0,10,-10,D Major,4,45Z3m6yazmAi4jZuW0tzW0,USSM12600096
2,"Get Back","Lisa Rogers",151,7A,87,2026-03-09,03:09,24,"","Get Back",2026-03-06,70,21,0,95,0,20,-2,D Minor,4,5712FwWVgomGHKeki8Ohm9,QT65Y2630631
3,"12 to 12","sombr",124,10A,90,2026-01-31,04:02,91,"","I Barely Know Her",2025-08-22,66,1,0,51,0,10,-3,B Minor,4,05od2qm2MTSKCHxy1GBp5W,USWB12502453
4,"Glue Song","beabadoobee",114,3B,41,2026-01-31,02:15,81,"bedroom pop","Glue Song",2023-02-14,62,77,5,58,0,10,-10,C♯/D♭ Major,3,3iBgrkexCzVuPy4O9vx7Mf,GBK3W2302568
5,"I Just Might","Bruno Mars",103,7B,71,2026-01-31,03:32,93,"","I Just Might",2026-01-09,79,5,0,88,0,10,-6,F Major,4,12bYYQaLqHliSXvRIYlq8G,USAT22509144
6,"Ramble On","Naomi Rey",111,3A,41,2026-03-24,04:16,7,"","Ramble On",2026-03-20,79,57,0,39,0,0,-9,A#/B♭ Minor,4,6CJ2kdTDEmEI8WEXCJxvhE,QZNWV2630648
7,"checkmate","big sleeps,Raven Jane",75,10A,62,2026-02-10,03:25,4,"","big sleeps",2026-01-30,59,16,14,77,0,10,-9,B Minor,4,3eztEea0zMvYZjaH3JFtji,USHM22332449
8,"Ready, Steady, Go!","Harry Styles",118,8A,76,2026-03-09,02:40,90,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,75,5,9,85,0,20,-6,A Minor,4,0i4qKfuKJ3juUsEwnJAxk3,USSM12600098
9,"The Fate of Ophelia","Taylor Swift",124,7B,60,2026-01-31,03:46,97,"","The Life of a Showgirl",2025-10-03,73,27,0,52,0,10,-5,F Major,4,53iuhJlwXhSER5J2IYYv1W,USUG12506436
10,"The Hunter","Jaime French",126,9B,78,2026-03-09,03:40,39,"","The Hunter",2026-02-24,60,0,8,46,0,20,-7,G Major,4,1oK6aBE2dhxp85GTsZTSSU,QZDA72655592
11,"After the Run","Robert Hinrichs,Olya Gram",89,4A,51,2026-02-26,02:50,26,"","After the Run",2026-02-13,64,6,0,47,0,10,-10,F Minor,4,0kQJh380J9EneSCHg39zOy,UK6822517935
12,"Getchu Right","Kripa",110,11A,57,2026-02-25,03:45,33,"","Getchu Right",2025-05-14,71,52,0,87,0,0,-7,F#/G♭ Minor,4,36loJralnEhBoTwF0JRTuq,QT4K32538002
13,"Destino Suave","Biológica",90,9A,53,2026-02-10,02:57,16,"","Destino Suave",2025-12-31,75,42,4,84,0,0,-7,E Minor,4,236Mg8pJLjBmx7M9z26dUl,QT6G22537365
14,"Asc. Scorpio","Oracle Sisters",80,10B,60,2026-01-31,02:46,64,"","Asc. Scorpio",2020-03-11,76,7,1,82,0,10,-7,D Major,4,2MnSPY2QYMbtkDWGzY02In,FR10S2030813
15,"Pop","Harry Styles",118,1B,72,2026-03-09,03:36,89,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,41,1,1,34,20,10,-7,B Major,4,028i7HBfp8uE5epmx5ieMA,USSM12600104
16,"Running","Vi Talli",114,5B,44,2026-02-03,02:36,30,"","Running",2026-01-29,63,9,0,35,0,10,-8,D#/E♭ Major,4,1LdFU0wJ5Q3fpMSaJ1hCnb,GXJBJ2648369
17,"More Than Friends","Aidan Bissett",160,2B,66,2026-01-31,03:03,61,"","More Than Friends",2020-09-26,56,58,0,67,0,10,-7,F#/G♭ Major,4,1Ph96WpdjNlwD6iKRE2Xa3,QZK6J2093995
18,"Cinderella","Remi Wolf",103,3B,82,2026-01-31,04:03,0,"","Cinderella",2024-03-21,72,7,0,57,0,10,-5,C♯/D♭ Major,4,6NgvAmrhjUENGdtVQnBHx8,USUG12400407
