#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Ready, Steady, Go!","Harry Styles",118,8A,76,-,02:40,90,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,75,5,9,85,0,20,-6,A Minor,4,0i4qKfuKJ3juUsEwnJAxk3,USSM12600098
2,"Rein Me In (with Olivia Dean)","Sam Fender,Olivia Dean",124,12A,82,-,05:39,83,"pop soul","People Watching (Deluxe Edition)",2025-12-05,50,4,0,55,0,30,-6,C♯/D♭ Minor,4,0MUXBhPUDF8or0kfQ0EHwV,GBUM72503308
3,"Opalite","Taylor Swift",125,9A,82,-,03:55,92,"","The Life of a Showgirl",2025-10-03,81,8,0,80,0,0,-5,E Minor,4,3yWuTOYDztXjZxdE2cIRUa,USUG12506438
4,"Cha Cha Cha","Bruno Mars",125,5A,71,-,03:56,86,"","The Romantic",2026-02-27,79,25,0,88,0,0,-7,C Minor,4,6QletrrmpkUpeJkipX9pgf,USAT22509143
5,"Babydoll","Dominic Fike",168,6A,60,-,01:37,96,"","Don't Forget About Me, Demos",2018-10-16,76,11,0,85,10,0,-5,G Minor,4,7yNf9YjeO5JXUE3JEBgnYc,USQX91802457
6,"Basic Being Basic","Djo",122,2B,59,-,02:38,79,"","The Crux",2025-04-04,86,12,0,94,0,0,-5,F#/G♭ Major,4,2jjwQENSoGnYbQEK4acuC6,QMFMF2426857
7,"Back On 74","Jungle",146,3A,76,-,03:29,81,"","Volcano",2023-08-11,62,21,0,19,10,20,-7,A#/B♭ Minor,4,19kHhX6f6EfLU7rcO3RqjO,QM4TX2336316
8,"Worth It.","RAYE",110,4B,48,-,04:06,81,"","My 21st Century Blues",2023-02-03,74,51,0,61,0,30,-8,G#/A♭ Major,4,7JgNAnCjJvL8hBR1kmCOFF,QMDA62229986
9,"DAISIES","Justin Bieber",110,4B,38,-,02:56,90,"","SWAG",2025-07-11,80,72,0,48,0,10,-9,G#/A♭ Major,4,5BZsQlgw21vDOAjoqkNgKb,USUG12504304
10,"Love Me To Heaven","Jonas Brothers",149,6B,83,-,03:26,67,"","Greetings From Your Hometown",2025-08-08,59,0,0,74,0,0,-4,A#/B♭ Major,4,0qCjAKgWrgThs17aU0a6P9,USUG12502065
11,"Dog Days Are Over","Florence + The Machine",150,9B,81,-,04:12,82,"baroque pop","Lungs (Deluxe Version)",2009-00-00,50,3,1,26,0,10,-5,G Major,4,456WNXWhDwYOSf5SpTuqxd,GBUM70900209
12,"Are You Listening Yet?","Harry Styles",124,12B,85,-,03:12,89,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,66,3,1,38,0,0,-6,E Major,4,7s7v5EoNLD6TwDu4Nw51Oy,USSM12600099
13,"Dive","Olivia Dean",90,9B,75,-,03:20,89,"pop soul","Messy",2023-06-30,63,15,0,28,0,10,-6,G Major,4,36vmaZyO0iAE6FZ7287fg2,GBUM72301484
14,"Feelin' Myself","Mondo",120,7B,80,-,02:45,65,"","Feelin' Myself",2026-02-20,83,1,0,67,0,10,-5,F Major,4,3iRCAL0zJl2wvecnmYLcEQ,SEBGA2600161
15,"On My Soul","Bruno Mars",130,3B,86,-,02:54,84,"","The Romantic",2026-02-27,69,19,0,97,0,10,-6,C♯/D♭ Major,4,4i4BVY2JiH4mDSLIBdNGKD,USAT22509147
16,"White Keys","Dominic Fike",82,10A,55,-,02:24,91,"","White Keys",2025-11-14,71,79,0,84,10,10,-9,B Minor,4,5ViLKrbyL3HD6wsq3AB9eI,USQX92506204
17,"Save My Love","Kygo,Khalid,Gryffin",126,1B,78,-,03:30,80,"tropical house, edm, melodic bass, future bass","Save My Love",2026-02-20,56,13,0,31,0,10,-6,B Major,4,5ObyGDxNWH0Uuuk3NvC5r8,SEBGA2600170
