#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,2026-03-24,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
2,"Hear Me","Noemi Beza",132,12A,54,2026-03-20,03:26,46,"","Hear Me",2025-10-17,77,21,0,39,0,0,-8,C♯/D♭ Minor,4,5HqTsHkvjPtRSzv1i0CJ51,CHUM72500103
3,"The Fate of Ophelia","Taylor Swift",124,7B,61,2026-03-20,03:46,85,"","The Life of a Showgirl",2025-10-03,73,28,0,54,0,10,-5,F Major,4,31TXxq8gfgYyrYClnYY48m,USUG12506436
4,"Walking On A Dream","Empire Of The Sun",127,4A,70,2026-03-24,03:18,29,"","Herbst Hits",2025-10-28,87,25,0,73,0,0,-6,F Minor,4,3mvLH3o11s3ssildqiKi51,AUEI10800039
5,"Home","Good Neighbours",77,2B,67,2026-03-24,02:37,21,"","Herbst Hits",2025-10-28,58,3,6,14,0,10,-4,F#/G♭ Major,4,3Ix1JPy71hDAggPh8cycil,GBUM72400322
6,"One Dance","Drake,Wizkid,Kyla",104,3B,63,2026-03-24,02:53,92,"rap, afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano, ","Views",2016-05-06,79,1,0,37,0,30,-6,C♯/D♭ Major,4,1zi7xx7UVEFkmKfv06H8x0,USCM51600028
7,"How To Heal","Stress,ZIAN",116,6A,82,2026-03-20,03:09,29,"","The Good Vibes",2026-02-11,69,1,0,66,0,30,-6,G Minor,4,5AYqDFipS5MAZRvaHRm6RB,CHUM72600001
8,"Man I Need","Olivia Dean",119,3B,59,2026-03-20,03:04,97,"pop soul","Man I Need",2025-08-15,81,49,0,69,0,0,-7,C♯/D♭ Major,4,1qbmS6ep2hbBRaEZFpn7BX,GBUM72503089
9,"Die On This Hill","SIENNA SPIRO",82,4A,43,2026-03-24,03:37,31,"","Die On This Hill",2025-10-10,53,75,0,21,0,40,-5,F Minor,4,0l72HGRQkAR0imHxvpLi8a,USUG12508560
10,"WILDFLOWER","Billie Eilish",148,11A,25,2026-03-24,04:21,93,"","HIT ME HARD AND SOFT",2024-05-17,47,61,0,13,0,10,-12,F#/G♭ Minor,4,3QaPy1KgI7nu9FJEQUgn6h,USUM72401993
11,"Angel","December 10",120,12A,57,2026-03-24,02:27,63,"","Angel",2026-03-06,75,60,0,62,0,0,-5,C♯/D♭ Minor,4,3NsUoVExP6TwMHcMHvXznV,GBUM72600691
12,"That’s So True","Gracie Abrams",109,3B,81,2026-03-24,02:46,91,"","The Secret of Us (Deluxe)",2024-10-18,55,21,0,37,0,10,-4,C♯/D♭ Major,4,7ne4VBA60CxGM75vw0EYad,USUG12406903
13,"Happy Here","Remady,MaWayy",120,6A,89,2026-03-24,02:54,30,"slap house, afro house, tropical house","Ibiza Vibes Vol 1",2026-03-13,65,0,57,30,0,10,-6,G Minor,4,5s6GiOzuWRiJtznGMHomkY,CHUM72500016
14,"OSSESSIONE","Samurai Jay,Vito Salamanca",122,7B,88,2026-03-23,03:08,83,"italian trap, canzone napoletana, neomelodico, ","OSSESSIONE",2026-02-25,65,2,0,80,10,30,-4,F Major,4,63sQFPGkKfzcK5qEZVefpu,ITUM72600002
15,"Flemme","Angèle",112,5A,67,2026-03-24,04:16,71,"french pop, variété française, french indie pop, chanson","Brol",2018-10-05,76,6,0,19,0,10,-9,C Minor,4,2TL8q8EO60b9lWeozfqYnG,BE8HB1800013
16,"Dinner Party","Niall Horan",114,12B,84,2026-03-23,02:34,68,"","Dinner Party",2026-03-20,63,0,0,76,0,10,-6,E Major,4,1EpOBcogQexzXarRTUDlDH,USUG12601697
17,"Cruel World","Holly Humberstone",116,6A,85,2026-03-23,03:26,50,"","Cruel World",2026-03-13,58,9,0,73,0,30,-3,G Minor,4,6uzellbXc1fTWPhV3qahFj,GBUM72506604
18,"We Are The People","Empire Of The Sun",123,9A,78,2026-03-24,04:32,27,"","Herbst Hits",2025-10-28,67,8,1,54,0,20,-6,E Minor,4,0MQrLOUTKvusiElv5ENF80,AUEI10800041
19,"Manchild","Sabrina Carpenter",123,9B,69,2026-03-24,03:33,87,"pop","Manchild",2025-06-05,73,12,0,81,0,30,-5,G Major,4,42UBPzRMh5yyz0EDPr6fr1,USUM72504354
20,"Honest","Dermot Kennedy",128,10B,67,2026-03-23,03:39,62,"","Honest",2026-03-20,58,11,0,24,0,10,-7,D Major,4,4Tk4WBjzGdKqgtRfmCgaty,USUG12509981
21,"Glue Song","beabadoobee",114,3B,41,2026-03-23,02:15,81,"bedroom pop","Glue Song",2023-02-14,62,77,5,58,0,10,-10,C♯/D♭ Major,3,3iBgrkexCzVuPy4O9vx7Mf,GBK3W2302568
22,"Leak It","FLO",115,10A,84,2026-03-24,03:03,64,"uk r&b","Leak It",2026-03-20,75,5,0,50,0,0,-3,B Minor,4,4dVFXgnyD7eF61QUrh1UoZ,GBUM72600516
23,"SWIM","BTS",94,11A,71,2026-03-23,02:39,80,"k-pop","ARIRANG",2026-03-20,53,15,0,16,0,10,-5,F#/G♭ Minor,4,4g5eopb54XIaV2ciooY3St,USA2P2600449
24,"Where Do We Go","Ayra Starr",107,3B,90,2026-03-24,02:56,71,"afrobeats, afrobeat, afropop, afro r&b, afropiano, afro soul","Where Do We Go",2026-03-06,72,3,0,54,20,10,-6,C♯/D♭ Major,4,3sCinQALcMKnL6b6nYDnMb,USUG12601843
25,"Skin Contact","Pamela.",146,8B,52,2026-03-23,02:54,43,"","Skin Contact",2026-02-26,78,16,11,88,0,0,-8,C Major,4,0rBteQ3pBzNP1tOPgHk1DP,AUUM72600033
26,"Yamore - Edit Version","MoBlack,Salif Keita,Benja (NL),Franc Fala,Cesária Evora",120,1B,54,2026-03-24,02:30,27,"afro house, afro tech, afropop, fado","Ibiza Vibes Vol 1",2026-03-13,80,1,4,22,0,0,-10,B Major,4,7lFv4XbkXorAPo5revOMoZ,FRUM72401225
27,"You're A Superstar","Take That",149,8B,89,2026-03-23,03:17,50,"","You're A Superstar",2026-03-20,46,1,0,25,0,10,-5,C Major,4,1LCZmwJojsGNAgt1wmtFUX,GBUM72600030
28,"I Adore You","HUGEL,Topic,Arash,Daecolm",120,10A,79,2026-03-24,03:34,33,"latin house, afro house, techengue","Ibiza Vibes Vol 1",2026-03-13,70,1,1,31,0,10,-7,B Minor,4,3awxbu3XQMahURu5oiqUHv,DECE72401347
29,"Messy","Lola Young",111,11B,54,2026-03-24,04:44,21,"","Herbst Hits",2025-10-28,80,11,0,65,0,10,-6,A Major,4,75NfFqWZFugpjMQmg07B80,GBUM72401610
30,"WHERE IS MY HUSBAND!","RAYE",116,4B,78,2026-03-20,03:16,96,"","WHERE IS MY HUSBAND!",2025-09-19,39,6,0,63,0,10,-7,G#/A♭ Major,4,55lijDD6OAjLFFUHU9tcDm,QMFME2535037
