#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Kiss Me","Sixpence None The Richer",100,5B,75,2025-09-22,03:28,86,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312
2,"Iris","The Goo Goo Dolls",156,10A,72,2025-09-22,04:49,94,"","Dizzy up the Girl",1998-00-00,32,0,0,50,0,0,-8,B Minor,3,6Qyc6fS4DsZjB2mRW9DsQs,USWB19800160
3,"Ordinary","Alex Warren",168,10B,69,2025-09-22,03:06,92,"","You'll Be Alright, Kid (Chapter 1)",2024-09-26,37,70,0,39,0,0,-6,D Major,3,2RkZ5LkEzeHGRsmDqKwmaJ,USAT22500463
4,"Valentine","Laufey",83,5B,20,2025-09-22,02:48,78,"","Everything I Know About Love",2022-08-26,47,92,0,22,0,10,-13,D#/E♭ Major,4,6cx5CvFhqN19efStehJqoW,GBKPL2280365
5,"Adore You","Harry Styles",99,4B,77,2025-09-22,03:27,87,"","Fine Line",2019-12-13,68,2,0,57,0,10,-4,G#/A♭ Major,4,3jjujdWJ72nww5eGnfs2E7,USSM11912588
6,"Can't Take My Eyes off You","Frankie Valli",124,12B,76,2025-09-22,03:23,75,"doo-wop","The Very Best of Frankie Valli & The 4 Seasons",2003-01-14,57,57,0,54,0,0,-7,E Major,4,6ft9PAgNOjmZ2kFVP7LGqb,USRH10175215
7,"Adorn","Miguel",179,10A,58,2025-09-22,03:13,68,"r&b","Kaleidoscope Dream (Deluxe Version)",2012-00-00,63,5,0,24,10,10,-6,B Minor,4,5hJFhO9dvhJoDvUZZ9iWSw,USRC11200647
8,"Stuck with U (with Justin Bieber)","Ariana Grande,Justin Bieber",179,4B,45,2025-09-22,03:48,81,"pop, ","Stuck with U",2020-05-08,60,22,0,54,0,30,-7,G#/A♭ Major,3,4HBZA5flZLE435QTztThqH,USUM72009644
9,"I Love You, I'm Sorry","Gracie Abrams",116,6B,40,2025-09-22,02:37,59,"","The Secret of Us (Deluxe)",2024-10-18,50,64,0,34,0,10,-8,A#/B♭ Major,3,5W4FHsvv4PwqC5gYzXyrLI,USUG12401766
10,"us. (feat. Taylor Swift)","Gracie Abrams,Taylor Swift",102,9B,55,2025-09-22,04:02,74,"","The Secret of Us",2024-06-21,53,50,0,39,0,0,-6,G Major,4,0hhzNPE68LWLfgZwdpxVdR,USUG12401767
11,"lacy","Olivia Rodrigo",78,5B,37,2025-09-22,02:57,82,"","GUTS",2023-09-08,40,82,0,43,0,10,-8,D#/E♭ Major,4,6QT6j7rKt7Vk3IuV2AUO9W,USUG12304095
12,"Golden","Harry Styles",140,9A,84,2025-09-22,03:28,78,"","Fine Line",2019-12-13,45,21,0,25,0,10,-5,E Minor,4,45S5WTQEGOB1VHr1Q4FuPl,USSM11912586
13,"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Olivia Rodrigo",141,10A,35,2025-09-22,03:25,76,"","The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By)",2023-11-17,41,83,0,20,0,10,-8,B Minor,4,17cia5k4BpGVlyEfqrFH50,USUG12307028
14,"Close To You","Gracie Abrams",122,2B,72,2025-09-22,03:45,79,"","The Secret of Us",2024-06-20,59,2,0,30,0,0,-8,F#/G♭ Major,4,5wbg8kepMFoMzHOEuxiI0q,USUG12401775
15,"Risk","Gracie Abrams",113,2A,49,2025-09-22,03:11,76,"","The Secret of Us",2024-06-20,71,52,0,48,0,0,-6,D#/E♭ Minor,4,5JiU3gLHz9AvUnrhXgOmos,USUG12401764
16,"Mess It Up","Gracie Abrams",133,8B,58,2025-09-22,02:51,77,"","Mess It Up",2021-05-07,77,25,0,36,10,10,-5,C Major,4,0PLhwCmQ7cC3ThRGPn3HxF,USUG12001931
17,"That’s So True","Gracie Abrams",109,3B,81,2025-09-22,02:46,91,"","The Secret of Us (Deluxe)",2024-10-18,55,21,0,37,0,10,-4,C♯/D♭ Major,4,7ne4VBA60CxGM75vw0EYad,USUG12406903
18,"L’AMOUR DE MA VIE","Billie Eilish",145,11B,39,2025-09-22,05:33,80,"","HIT ME HARD AND SOFT",2024-05-17,47,20,2,31,0,10,-9,A Major,4,6fPan2saHdFaIHuTSatORv,USUM72401990
19,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2025-09-22,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
20,"so american","Olivia Rodrigo",93,4B,95,2025-09-22,02:49,74,"","GUTS (spilled)",2024-03-22,44,3,0,50,10,60,-2,G#/A♭ Major,4,5Jh1i0no3vJ9u4deXkb4aV,USUG12401532
21,"Chemtrails Over The Country Club","Lana Del Rey",201,9A,28,2025-09-22,04:31,81,"","Chemtrails Over The Country Club",2021-03-19,33,88,0,43,0,10,-13,E Minor,3,7bPWdJgx8vek7S5i5yAtvG,GBUM72006081
22,"Trädgården en fredag","Veronica Maggio",157,12B,85,2025-09-22,03:09,63,"swedish pop","Handen i fickan fast jag bryr mig",2013-01-01,61,14,0,73,0,0,-5,E Major,4,1oFoY6INRnHIpHY6ssPxBm,SEUM71301694
23,"all-american bitch","Olivia Rodrigo",156,2B,70,2025-09-22,02:45,74,"","GUTS",2023-09-08,42,22,0,45,0,10,-4,F#/G♭ Major,4,34sOdxWu9FljH84UXdRwu1,USUG12304093
24,"Cherry","Harry Styles",96,9B,51,2025-09-22,04:19,74,"","Fine Line",2019-12-13,53,62,0,41,0,10,-9,G Major,4,2IOFZdYYkFxEHVz1w34PoL,USSM11912589
25,"we can't be friends (wait for your love)","Ariana Grande",116,7B,65,2025-09-22,03:48,87,"pop","eternal sunshine",2024-03-08,65,6,0,30,0,0,-8,F Major,4,51ZQ1vr10ffzbwIjDCwqm4,USUM72317276
26,"supernatural","Ariana Grande",76,4B,71,2025-09-22,02:43,81,"pop","eternal sunshine",2024-03-08,58,10,0,52,10,10,-7,G#/A♭ Major,4,142PiXzA84lmEw2RstFHFa,USUM72317274
27,"bye","Ariana Grande",110,7A,65,2025-09-22,02:44,75,"pop","eternal sunshine",2024-03-08,61,20,0,45,0,10,-5,D Minor,4,1Rweq7vNjK4kZBbGrmxQsl,USUM72317269
28,"intro (end of the world)","Ariana Grande",85,6B,36,2025-09-22,01:32,76,"pop","eternal sunshine",2024-03-08,51,67,0,39,0,10,-9,A#/B♭ Major,4,2o1pb13quMReXZqE7jWsgq,USUM72317270
29,"invisible string","Taylor Swift",83,9A,45,2025-09-22,04:12,74,"","folklore",2020-07-24,65,84,0,45,0,10,-11,E Minor,4,6VsvKPJ4xjVNKpI8VVZ3SV,USUG12002845
30,"Be My Baby","The Ronettes",130,12B,77,2025-09-22,02:40,83,"christmas","Presenting the Fabulous Ronettes Featuring Veronica",1964-11-01,51,17,0,80,0,0,-7,E Major,4,1WN4uNclrDuczTO3bCr8s1,USQX91100088
31,"Tears Dry On Their Own","Amy Winehouse",122,12A,54,2025-09-22,03:06,70,"","Back To Black (Deluxe Edition)",2006-00-00,63,53,0,47,10,20,-13,C♯/D♭ Minor,4,7MDfN1ldfTMtuXXdVz2Pzc,GBUM70603494
32,"I know love (feat. The Kid LAROI)","Tate McRae,The Kid LAROI",180,12A,74,2025-09-22,02:36,58,"","So Close To What",2025-02-24,57,2,0,49,0,30,-5,C♯/D♭ Minor,4,4RtFabLO2KuYlxBlgHkg64,USRC12403582
33,"Man I Need","Olivia Dean",119,3B,59,2025-09-22,03:04,97,"pop soul","Man I Need",2025-08-15,81,49,0,69,0,0,-7,C♯/D♭ Major,4,1qbmS6ep2hbBRaEZFpn7BX,GBUM72503089
34,"the perfect pair","beabadoobee",146,1B,66,2025-09-24,02:57,83,"bedroom pop","Beatopia",2022-07-15,63,43,12,60,0,10,-7,B Major,4,41P6Tnd8KIHqON0QIydx6a,GBK3W2202093
35,"the way things go","beabadoobee",132,11B,51,2025-09-24,03:07,76,"bedroom pop","the way things go",2023-07-18,53,85,1,46,0,30,-8,A Major,4,5sA3i6SGkILMiZW6Fhx4wv,GBK3W2302683
36,"Glue Song","beabadoobee",114,3B,41,2025-09-24,02:15,81,"bedroom pop","Glue Song",2023-02-14,62,77,5,58,0,10,-10,C♯/D♭ Major,3,3iBgrkexCzVuPy4O9vx7Mf,GBK3W2302568
37,"Falling Behind","Laufey",166,9B,35,2025-09-24,02:53,82,"","Everything I Know About Love",2022-08-26,45,94,8,55,0,10,-13,G Major,4,4KGGeE7RJsgLNZmnxGFlOj,GBKPL2298396
38,"pov","Ariana Grande",132,5A,53,2025-09-24,03:21,76,"pop","Positions",2020-10-30,49,36,0,17,0,10,-6,C Minor,4,3UoULw70kMsiVXxW0L3A33,USUM72020441
