#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Disparate Youth","Santigold",152,3B,93,2025-04-01,04:44,56,"","100 Greatest 10s: The Best Songs of Last Decade",2019-12-27,64,1,83,55,0,20,-4,C♯/D♭ Major,4,6h7IpnPY2C269Gmkz1f9E9,GBAHS1100389
2,"Master of None","Beach House",86,7B,34,2025-04-01,03:19,79,"dream pop","Beach House",2006-10-03,49,67,53,25,0,0,-15,F Major,4,3stWWPN41byqp8loPdy92u,US22N0503504
3,"Lovers","Anna of the North",95,4B,49,2025-04-01,03:35,77,"","Lovers",2017-09-08,46,47,1,42,0,10,-9,G#/A♭ Major,4,6bZuZKR8hoyzZXNh1IW2Bu,USLGZ1700007
4,"Seasons","Sam Austins",137,11A,70,2025-04-02,02:37,8,"","Seasons",2024-05-21,68,34,39,22,0,10,-6,F#/G♭ Minor,4,0GzqA980TSsNnqKQbIQyHn,TCAIE2428689
5,"back to friends","sombr",93,3B,72,2025-04-01,03:19,91,"","back to friends",2024-12-27,44,0,0,24,0,0,-2,C♯/D♭ Major,4,0FTmksd2dxiE5e3rWyJXs6,USWB12405502
6,"LoveHate Thing (feat. Sam Dew)","Wale,Sam Dew",100,4B,69,2025-04-01,04:27,73,"","The Gifted",2013-06-25,74,8,0,18,10,0,-6,G#/A♭ Major,4,6kx16R0LMAyoXDvGqddZFy,USAT21301253
7,"обережно! розбите!","The Soul Delusion",107,9A,77,2025-04-01,03:00,33,"","обережно! розбите!",2025-02-21,55,74,1,51,0,0,-9,E Minor,4,23os5lle4XZzaOQmMTKaPM,QM4TX2531797
8,"Hello?","Clairo,Rejjie Snow",99,3A,47,2025-04-01,02:15,5,"bedroom pop, jazz rap","diary 001",2018-05-25,84,64,0,6,0,0,-8,A#/B♭ Minor,4,7qwt4xUIqQWCu1DJf96g2k,US4HB1800005
9,"Bags","Clairo",105,3B,55,2025-04-02,04:20,9,"bedroom pop","Immunity",2019-08-02,74,17,38,87,0,10,-8,C♯/D♭ Major,4,6UFivO2zqqPFPoQYsEMuCc,US4HB1900080
10,"Heaven or Las Vegas","Cocteau Twins",180,9B,80,2025-04-02,04:58,30,"dream pop, shoegaze, gothic rock","Stars And Topsoil - A Collection 1982-1990",2000-10-16,20,0,1,42,0,0,-5,G Major,4,7KppoEPqwksPH0Qp2rWzx5,GBAFL9000039
11,"Champagne Coast","Blood Orange",123,11B,41,2025-04-01,04:52,80,"art pop","Coastal Grooves",2011-08-08,81,2,39,76,0,0,-13,A Major,4,0AIpGG5dxEgnAymhdJRSZ0,GBCEL1100251
12,"Diet Pepsi","Addison Rae",150,6B,56,2025-04-02,02:49,76,"","Diet Pepsi",2024-08-09,67,50,1,84,0,10,-7,A#/B♭ Major,4,6MzofobZt2dm0Kf1hTThFz,USSM12405456
13,"undressed","sombr",116,8B,89,2025-04-01,03:02,82,"","undressed",2025-03-21,64,14,0,89,0,0,-4,C Major,4,4AajxCEwGEsmHmT4H1TwjY,USWB12500737
14,"Love Me Not","Ravyn Lenae",114,8B,73,2025-04-02,03:33,90,"alternative r&b, indie soul","Bird's Eye",2024-08-09,78,30,0,81,0,10,-6,C Major,4,4WFgvKVfEhb3IUAFGrutTR,USAT22401137
15,"Скажи мені","Liza Bibikova",110,6A,61,2025-04-02,02:39,30,"","Скажи мені",2024-02-19,69,13,0,39,0,10,-9,G Minor,4,7JYSKIz9O7M3CkYCCZkNKR,PLH492475408
16,"No One Noticed (Extended Spanish)","The Marías",98,9B,30,2025-04-01,04:44,81,"bedroom pop","No One Noticed (Extended)",2024-11-15,63,70,3,35,0,10,-11,G Major,4,2kn0fLwt9QRorHuGdmk6ze,USAT22410707
17,"B2b","Charli xcx",116,3B,77,2025-04-02,02:58,51,"hyperpop, art pop","Club classics / B2b",2024-04-03,77,0,67,37,0,0,-3,C♯/D♭ Major,3,6tYGrpUyqB4yao5lAs3AR4,USAT22401351
18,"Steeeam","Shelly",120,4A,76,2025-04-02,02:50,70,"lo-fi indie","Shelly",2020-10-30,82,55,16,92,0,10,-11,F Minor,4,09RamrocZneYcLYLRIxYha,TCAFE2075120
19,"Sexy to Someone","Clairo",98,5A,55,2025-04-02,03:27,72,"bedroom pop","Charm",2024-07-12,72,35,0,83,0,10,-7,C Minor,4,3awweDjWIuXNMogMClJnvE,USA2P2416224
20,"When I'm Small","Phantogram",92,6B,76,2025-04-01,04:09,74,"","Eyelid Movies",2010-00-00,65,19,10,42,0,10,-4,A#/B♭ Major,4,3y1EzRl5UEQxxd1f6Bv2aN,USBS51300075
