#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Ave Cautiva","Conjunto Primavera",80,8B,82,-,03:32,70,"norteño, grupera, norteño sax, banda, ranchera, cumbia norteña","Decide Tú",2003-01-01,54,14,0,57,0,10,-2,C Major,4,5uexdMpm1BUShEKQEte4Gx,USFI20302626
2,"American Girls","Harry Styles",101,3B,66,-,03:33,94,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,58,1,0,29,0,0,-7,C♯/D♭ Major,4,7gtG45ieyQzKtNKobfLd49,USSM12600097
3,"桜坂","Masaharu Fukuyama",104,9B,45,-,04:56,58,"j-pop, kayōkyoku","f",2001-04-25,77,18,0,46,0,10,-9,G Major,4,7gpVG8fQjh5YLViIWy3HHh,JPMV00000490
4,"春の歌","SPITZ",116,11B,86,-,04:43,64,"j-pop, j-rock, kayōkyoku","CYCLE HIT 1997-2005 Spitz Complete Single Collection",2006-03-25,28,0,25,61,0,0,-3,A Major,4,56ISW3rNZJHEkUfVbZ61bq,JPPO01702943
5,"The Great Divide","Noah Kahan",81,1B,68,-,05:17,88,"","The Great Divide",2026-01-30,55,1,0,34,0,10,-5,B Major,4,77zqs8ucHCSk5jh9TYec4b,USUM72600177
6,"Delete Ya","Djo",118,4B,67,-,03:23,81,"","The Crux",2025-04-04,83,25,6,84,0,40,-6,G#/A♭ Major,4,7tFI5cqfAoR7MIvmbw1qd8,QM4TW2525818
7,"Rein Me In (with Olivia Dean)","Sam Fender,Olivia Dean",124,12A,82,-,05:39,83,"pop soul","People Watching (Deluxe Edition)",2025-12-05,50,4,0,55,0,30,-6,C♯/D♭ Minor,4,0MUXBhPUDF8or0kfQ0EHwV,GBUM72503308
8,"友 ～旅立ちの時～","YUZU",146,9B,41,-,04:35,58,"j-pop, anime","新世界",2014-02-19,53,60,0,35,0,10,-7,G Major,4,3eodTNerNCifLYVL5BHQrp,JPTF01310701
9,"CHE.R.RY","YUI",109,7B,91,-,03:29,63,"anime, j-pop, j-rock","CAN'T BUY MY LOVE",2007-04-04,60,25,0,65,0,20,-3,F Major,4,6PBBGlTEVfUyfnmemrnhbp,JPSR00700201
10,"Nightingale Lane.","RAYE",125,6B,50,-,05:02,81,"","Nightingale Lane.",2026-02-27,54,56,0,49,0,0,-6,A#/B♭ Major,3,7j7J2M3ZsKOsrhBueDjhqF,QM4TW2634551
11,"さくら","Ketsumeishi",120,4B,84,-,05:16,62,"j-pop, j-rap","ケツノポリス4",2005-06-29,71,31,0,85,0,20,-4,G#/A♭ Major,4,5rfUCmoI7axj6mjpu1Rto5,JPTF00410501
12,"Hoy Como Ayer","Conjunto Primavera",174,5B,74,-,04:28,67,"norteño, grupera, norteño sax, banda, ranchera, cumbia norteña","Hoy Como Ayer",2005-00-00,31,6,0,51,0,10,-3,D#/E♭ Major,4,7t0nviLLteTUJ125M5AoxP,USFI20403480
13,"Coming Up Roses","Harry Styles",176,6B,24,-,04:08,90,"","Kiss All The Time. Disco, Occasionally.",2026-03-06,32,56,0,31,0,0,-11,A#/B♭ Major,3,0QPdjsMOUhwouq1NS3HwfQ,USSM12600103
