#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Here Comes The Sun - Remastered 2009","The Beatles",129,11B,54,2026-03-17,03:05,84,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,56,3,0,39,0,10,-10,A Major,4,6dGnYIeXmHdcikdzNNDMm2,GBAYE0601696
2,"Riptide","Vance Joy",102,3B,73,2026-03-17,03:24,55,"folk pop","Riptide",2013-05-21,48,43,0,51,0,10,-7,C♯/D♭ Major,4,1KqlVt63Q4bl1VdSlymr5C,USAT21301412
3,"Lovely Day","Bill Withers",98,11B,65,2026-03-17,04:17,81,"soul","Menagerie",1977-10-29,69,29,0,71,0,10,-8,A Major,4,0bRXwKfigvpKZUurwqAlEh,USSM10207844
4,"Stolen Dance","Milky Chance",114,1B,58,2026-03-17,05:13,82,"","Sadnecessary",2013-05-31,88,43,0,73,0,0,-9,B Major,4,34xGLuxM0rkxhCVyMSqwJO,DEL211300741
5,"Following The Sun","SUPER-Hi,NEEKA",127,11A,83,2026-03-17,03:26,2,"","Following The Sun",2020-10-02,73,39,3,72,0,10,-4,F#/G♭ Minor,4,2JzXBqTIVHYX43t7EcLyMs,SE5BU2081473
6,"The Only","Lost In Pacific",120,7B,65,2026-03-17,02:18,56,"","The Only",2025-05-07,65,16,67,31,0,0,-7,F Major,4,1uvKCBu0nN2cjL3Rowam2V,FXQ892500083
7,"Supalonely","BENEE,Gus Dapperton",129,9B,63,2026-03-17,03:43,68,"bedroom pop","STELLA & STEVE",2019-11-15,86,30,0,82,0,10,-5,G Major,4,4nK5YrxbMGZstTLbvj6Gxw,USUM71922597
8,"Who I Am","MR TOUT LE MONDE",120,4B,58,2026-03-17,02:59,59,"","Who I Am",2025-05-09,88,20,1,75,10,10,-9,G#/A♭ Major,4,7kbwgvxI9GqSM0iLeXQ33n,FXQ892500087
9,"Silhouettes","Snazzy",146,9A,59,2026-03-17,02:39,7,"lo-fi beats, lo-fi","Silhouettes",2025-01-07,85,20,23,83,0,0,-9,E Minor,4,6pffSARv4nXEvjLeRBBWn1,FXQ892400274
10,"Let's Vibe","FRENCHGRL",110,9A,70,2026-03-17,03:13,59,"","Let's Vibe",2024-07-17,84,25,0,64,0,20,-5,E Minor,4,4tekXLedu6wxNhHkKjFkPE,FXQ892400160
11,"She Said (Big Jet Plane)","Trinix,Queen D",108,5A,54,2026-03-17,02:53,72,"","She Said (Big Jet Plane)",2021-07-23,81,11,7,42,0,0,-10,C Minor,4,3HeZam86SuxGp1wZ3XMIjE,FR1A92101694
12,"Alive!","Bakar",97,1A,74,2026-03-17,03:52,50,"","Alive!",2023-06-21,75,52,0,58,0,0,-5,G#/A♭ Minor,4,6KzI6EM1QYyOq5oudPlcWT,GBARL2300706
13,"Here Comes The Sun","TEEMID",124,11B,69,2026-03-17,02:25,58,"","Here Comes The Sun",2023-07-14,74,28,0,46,0,0,-8,A Major,4,7L3AkxTIVosuV9q251kjfC,FXQ892300219
14,"Back On 74","Jungle",146,3A,76,2026-03-17,03:29,81,"","Volcano",2023-08-11,62,21,0,19,10,20,-7,A#/B♭ Minor,4,19kHhX6f6EfLU7rcO3RqjO,QM4TX2336316
