#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Every Breath You Take","The Police",117,3B,45,2025-02-24,04:13,93,"","Synchronicity (Remastered 2003)",1983-06-17,82,54,0,74,0,0,-10,C♯/D♭ Major,4,1JSTJqkT5qHq8MDJnJbRE1,GBAAM0201110
2,"Pink + White","Frank Ocean",160,11B,55,2025-02-24,03:04,88,"","Blonde",2016-08-20,55,67,0,55,10,40,-7,A Major,3,3xKsf9qdS1CyvXSMEid6g8,QZ5C81600003
3,"Here","Alessia Cara",120,8B,82,2025-02-24,03:19,70,"","Know-It-All (Deluxe)",2016-03-11,38,8,0,33,10,0,-4,C Major,4,664gdARxaClFsoF5SXKOws,USUM71506251
4,"Feel Good Inc.","Gorillaz,De La Soul",139,2B,71,2025-02-24,03:42,91,"jazz rap, east coast hip hop","Demon Days",2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172
5,"Back On 74","Jungle",146,3A,76,2025-02-24,03:29,81,"","Volcano",2023-08-11,62,21,0,19,10,20,-7,A#/B♭ Minor,4,19kHhX6f6EfLU7rcO3RqjO,QM4TX2336316
6,"This Girl (Kungs Vs. Cookin' On 3 Burners)","Kungs,Cookin' On 3 Burners",122,5A,72,2025-02-25,03:15,80,"","Layers",2016-11-04,79,9,0,47,0,20,-5,C Minor,4,1A8j067qyiNwQnZT0bzUpZ,FR9W11601798
7,"I Like Me Better - Speed Version","Sped-O",108,8B,53,2025-02-25,02:48,0,"","I Met You When I Was 18 - Sped Up",2023-07-14,80,64,0,60,30,30,-7,C Major,4,1wFD3bQ0A2yvUpqHryxD3c,QM7282302448
8,"Waves - Robin Schulz Radio Edit","Mr. Probz,Robin Schulz",120,4A,51,2025-02-25,03:28,82,"tropical house","Waves (Robin Schulz Radio Edit)",2014-02-07,83,1,0,45,0,0,-9,F Minor,4,1HFfMOxCAT4GAwaPfCdmUs,NLB8R1400002
9,"Real Man","beabadoobee",130,3A,75,2025-02-28,02:40,79,"bedroom pop","This Is How Tomorrow Moves",2024-08-09,56,64,0,44,0,10,-6,A#/B♭ Minor,4,0OpC8hRrbsh24taKOsQBEX,GBK3W2402964
10,"Somebody That I Used To Know","Gotye,Kimbra",129,8B,52,2025-02-28,04:04,83,"","Making Mirrors",2011-01-01,87,55,0,75,0,10,-7,C Major,4,1qDrWA6lyx8cLECdZE7TV7,AUZS21100040
11,"Home","Edward Sharpe & The Magnetic Zeros",112,10B,59,2025-02-28,05:03,72,"","Up from Below",2009-07-14,54,29,0,14,0,10,-7,D Major,4,2x1jP9BexWtOKudvuUHbaD,USVR90954206
12,"Some (feat. Lil Boi)","SOYOU,Junggigo,lIlBOI",95,10A,68,2025-03-03,03:31,67,"k-ballad, k-pop, k-rap","Some",2014-02-07,74,45,0,96,0,20,-3,B Minor,4,0g1AmSKokPboFrxmG1dxKx,KRA381206099
13,"ONLY","LeeHi",123,7B,30,2025-03-04,04:00,77,"k-ballad, k-pop","4 ONLY",2021-09-09,54,89,0,15,0,0,-7,F Major,3,6TBJkXHPhu3EsMk1bshwuI,KRC712100039
14,"blue","yung kai",97,12B,32,2025-03-04,03:34,82,"","blue",2024-08-02,75,93,2,59,0,10,-12,E Major,3,3be9ACTxtcL6Zm4vJRUiPG,TLVEM2456474
15,"Hard Times","Paramore",120,4A,82,2025-03-07,03:02,81,"pop punk, emo","After Laughter",2017-05-12,70,1,0,92,0,0,-5,F Minor,4,0w5Bdu51Ka25Pf3hojsKHh,USAT21700948
16,"Die With A Smile","Lady Gaga,Bruno Mars",158,11A,59,2025-03-09,04:11,92,"art pop, pop, ","Die With A Smile",2024-08-16,52,31,0,54,0,10,-8,F#/G♭ Minor,3,2plbrEY59IikOBgBGLjaoe,USUM72409273
17,"Impacto","Enjambre,Denise Gutiérrez",109,12A,70,2025-03-17,03:56,74,"mexican indie, rock en español, mexican rock, latin indie, latin rock, latin alternative","El Segundo Es Felino",2008-00-00,69,27,0,68,0,10,-6,C♯/D♭ Minor,4,5agpMV7rvg7Hf8IiX5kQXe,MX2260900016
18,"4:00A.M.","Taeko Onuki",103,3A,64,2025-03-17,05:36,68,"city pop, shibuya-kei, j-pop","MIGNONNE (Mastered by Bernie Grundman)",1978-09-21,63,34,0,86,0,0,-11,A#/B♭ Minor,4,0zoGVO4bQXG8U6ChKwNgeg,JPBV09401587
19,"F L Y","Spectrum",90,9B,85,2025-03-17,03:30,70,"city pop","Optical Sunrise/Spectrum2",1991-01-21,62,10,0,95,0,20,-7,G Major,4,7BInSwH3Ha2YMEEezQLz95,JPVI08007210
20,"seasons","wave to earth",60,9B,27,2025-03-28,04:15,34,"","summer flows 0.02",2020-08-04,37,78,5,17,0,20,-11,G Major,4,5VBjyOQzqlPNgdRPMM6prF,KRMIM2021578
21,"back to friends","sombr",93,3B,72,2025-03-31,03:19,91,"","back to friends",2024-12-27,44,0,0,24,0,0,-2,C♯/D♭ Major,4,0FTmksd2dxiE5e3rWyJXs6,USWB12405502
22,"Bitter Sweet Symphony - Remastered 2016","The Verve",171,11B,92,2025-04-01,05:57,86,"britpop, shoegaze","Urban Hymns (Remastered 2016)",1997-09-29,36,3,0,52,0,40,-6,A Major,4,57iDDD9N9tTWe75x6qhStw,GBUM71601816
23,"Love Me Not","Ravyn Lenae",114,8B,74,2025-04-01,03:33,87,"alternative r&b, indie soul","Love Me Not / Love Is Blind",2024-05-03,79,29,0,82,0,10,-6,C Major,4,1UNEuG9DYOWiikf00ayr52,USAT22401137
24,"Lovers","Anna of the North",95,4B,49,2025-04-05,03:35,77,"","Lovers",2017-09-08,46,47,1,42,0,10,-9,G#/A♭ Major,4,6bZuZKR8hoyzZXNh1IW2Bu,USLGZ1700007
25,"ME JALO","Fuerza Regida,Grupo Frontera",80,7A,75,2025-04-05,03:32,85,"corrido, corridos tumbados, corridos bélicos, sierreño, música mexicana, banda, sad sierreño, electro corridos, cumbia norteña, norteño, grupera, tejano, ranchera","MALA MÍA",2024-12-19,47,22,0,62,10,10,-6,D Minor,4,3D24ErT1MMmUfXWotSj2A2,QZ9QQ2400744
26,"H.S.K.T. (feat. Wonstein)","LeeHi,Wonstein",114,8A,67,2025-04-05,03:24,69,"k-ballad, k-pop, k-rap","4 ONLY",2021-09-09,76,25,0,33,0,10,-6,A Minor,4,39382sUtIOwIXftX0i76do,KRC712100045
27,"Someone To Call My Lover","Janet Jackson",128,10B,91,2025-04-07,04:32,70,"new jack swing","All For You",2001-01-01,74,14,0,94,0,10,-4,D Major,4,43zr9kKkeiQrshvYuvNtfM,USVI20100096
28,"I Love You","Fontaines D.C.",114,9A,77,2025-04-10,05:05,76,"post-punk","Skinty Fia",2022-04-22,63,9,0,37,0,0,-7,E Minor,4,5XhMgAWzou6EjDmQtoyoZE,USBQU2100093
29,"Disco","Surf Curse",173,10A,62,2025-04-10,02:32,80,"indie","Disco",2019-06-12,47,3,0,78,0,10,-9,B Minor,4,2Lumsra3kuU61wXkEKzKaK,USAT22103311
30,"love.","wave to earth",62,10B,39,2025-04-10,05:07,78,"","0.1 flaws and all.",2023-04-20,32,65,30,25,0,20,-10,D Major,4,5mtTAScDytxMMqZj14NmlN,KRA252300813
31,"Ordinary","Alex Warren",112,10B,68,2025-04-11,03:06,90,"","Ordinary",2025-02-07,45,74,0,38,0,0,-6,D Major,4,6qqrTXSdwiJaq8SO0X2lSe,USAT22500463
32,"Yesterday - Remastered 2009","The Beatles",97,7B,18,2025-04-12,02:05,77,"classic rock, psychedelic rock","Help! (Remastered)",1965-08-06,33,88,0,32,0,0,-12,F Major,4,3BQHpFgAp4l80e1XslIjNI,GBAYE0601477
33,"Still With You","Jung Kook",88,12A,47,2025-04-13,03:59,80,"k-pop","Still With You",2020-06-05,53,9,0,34,0,80,-7,C♯/D♭ Minor,4,0eFMbKCRw8KByXyWBw8WO7,QM6N22094716
34,"undressed","sombr",116,8B,89,2025-04-21,03:02,82,"","undressed",2025-03-21,64,14,0,89,0,0,-4,C Major,4,4AajxCEwGEsmHmT4H1TwjY,USWB12500737
35,"bonfire","wave to earth",104,9A,35,2025-04-14,04:40,20,"","wave 0.01",2020-06-02,39,58,0,13,0,40,-9,E Minor,3,6ZO96viUqhiRQpwxOYdwdE,KRMIM1925217
36,"Make You Feel Better","Red Hot Chili Peppers",180,9B,88,2025-04-19,03:51,51,"funk rock, alternative rock, rock","Stadium Arcadium",2006-05-09,40,2,0,68,0,10,-4,G Major,4,42DSTal38NakfMCu7RuNcv,USWB10601611
37,"blue - slowed down","yung kai",177,10B,28,2025-04-28,03:54,59,"","shades of blue",2024-08-02,60,94,12,30,0,10,-13,D Major,3,5heC3ZzJLYlGYO55YYoQzE,QMRSZ2401994
38,"Starlight","TAEIL",112,10B,74,2025-05-02,03:45,57,"k-pop, k-ballad","Twenty-Five Twenty-One OST Part 1",2022-02-13,64,8,0,50,0,10,-4,D Major,4,00Coyxt9mTec1acC52qtWa,KSA002101448
39,"Your Existence","Wonstein",100,9B,60,2025-05-02,03:24,63,"k-rap","Twenty-Five Twenty-One OST Part 4",2022-02-26,42,54,0,66,20,10,-9,G Major,4,2tmX4T7ODY34NwvQ3DD3MC,KSA002101514
40,"Meet Me Halfway","Black Eyed Peas",130,10A,63,2025-05-09,04:44,82,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,80,0,0,40,0,30,-7,B Minor,4,3F9ByoUqu31xU0I3G5xfVg,USUM70967700
41,"Myliu","Vaidas Baumila",114,8A,66,2025-05-16,02:43,44,"","Dangus Geriausieji",2018-09-05,74,36,0,71,0,20,-7,A Minor,4,1F61F4SNfrF1kYVA6Hwpn5,USLZJ1822785
42,"No. 1 Party Anthem","Arctic Monkeys",115,8B,70,2025-05-19,04:03,87,"indie, garage rock","AM",2013-09-09,51,33,9,60,0,10,-6,C Major,4,5TTGoX70AFrTvuEtqHK37S,GBCEL1300367
43,"Dream On","Aerosmith",78,3B,48,2025-05-19,04:27,85,"classic rock, rock","Aerosmith",1973-01-05,39,40,0,23,0,30,-8,C♯/D♭ Major,4,1xsYj84j7hUDDnTTerGWlH,USSM10011897
44,"Those Eyes","New West",120,12B,35,2025-05-19,03:40,83,"","Based On A True Story...",2023-10-20,59,71,0,25,0,30,-8,E Major,3,2psRActEWsTlYYd7EDoyVR,TCAEE1990215
45,"Heaven Knows I'm Miserable Now - 2011 Remaster","The Smiths",114,2B,76,2025-05-19,03:35,82,"new wave, madchester, jangle pop","Hatful of Hollow",1984-00-00,61,3,0,77,0,10,-5,F#/G♭ Major,4,1xaTREM89RbIxkcjlpf4Uw,GBCRL1100070
46,"light","wave to earth",80,1B,62,2025-05-19,03:45,25,"","light",2019-11-18,44,26,3,72,0,10,-7,B Major,4,1MNHqDjKxhtn7YwLCpm7Nt,KRMIM1921432
47,"bad","wave to earth",136,10B,55,2025-05-26,04:23,75,"","0.1 flaws and all.",2023-04-20,56,71,11,39,0,10,-9,D Major,4,6H67gFuycHyTOROX2M4bbs,KRA252300807
48,"Knockin' On Heaven's Door","Bob Dylan",140,9B,40,2025-06-21,02:29,83,"folk rock, folk, singer-songwriter, roots rock","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)",1973-07-13,51,25,18,23,0,10,-13,G Major,4,6HSXNV0b4M4cLJ7ljgVVeh,USSM11304547
49,"505","Arctic Monkeys",140,8B,87,2025-06-21,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
50,"do i ever cross your mind","sombr",82,8B,56,2025-07-11,02:48,80,"","do i ever cross your mind",2024-08-30,39,56,93,25,0,10,-12,C Major,4,5dt0PVoQ5xq5mvrJ1Bp3ou,USWB12403822
51,"Ivy","Frank Ocean",116,8A,39,2025-07-11,04:09,84,"","Blonde",2016-08-20,57,79,0,47,0,20,-10,A Minor,4,2ZWlPOoWh0626oTaHrnl2a,QZ5C81600002
52,"we never dated","sombr",104,2B,87,2025-07-13,03:16,70,"","we never dated",2025-06-20,59,14,0,97,0,10,-5,F#/G♭ Major,4,7o3xJRQhpHRZ6IbyQX2xrp,USWB12501938
53,"Homesick (Prod. by Primary)","Benzamin",130,1B,65,2025-07-14,04:38,60,"","Weak Hero Class 1 (Original Soundtrack)",2022-11-28,74,55,0,48,0,0,-6,B Major,4,3Xsugc8HPS0Kp2dYlViorS,KRNAR2232195
54,"Get Up","NewJeans",85,7B,53,2025-07-20,00:36,69,"k-pop","NewJeans 2nd EP 'Get Up'",2023-07-21,53,63,13,56,0,10,-7,F Major,3,1wUnuiXMMvhudmzvcCtlZP,USA2P2330073
55,"Wicked Game","Chris Isaak",112,11B,30,2025-07-25,04:49,86,"","Heart Shaped World",1989-06-13,66,68,1,36,0,0,-18,A Major,4,7w5AOd6HrDIHewHfpABEss,USRE19900989
56,"AEAO","Dynamicduo,DJ Premier",153,10B,76,2025-07-28,05:16,75,"k-rap, k-pop, east coast hip hop","A Giant Step",2014-07-16,45,6,0,58,10,10,-6,D Major,4,3TPvrMAd1hbPRXuHCRX0Pl,KRA381208477
57,"Any song","ZICO",108,3A,79,2025-07-28,03:47,63,"k-rap, k-pop","Any song",2020-01-13,87,12,0,90,10,10,-2,A#/B♭ Minor,4,1iIhGHzzrzqQfuNkFI2qAn,KRA381905519
58,"Jasmine","DPR LIVE",138,4B,49,2025-07-28,03:21,63,"k-rap","Jasmine",2017-10-08,60,33,0,40,10,10,-6,G#/A♭ Major,4,2IgbYlOlFpiSFYnsqB39lM,KRA381702312
59,"Iris","The Goo Goo Dolls",156,10A,72,2025-07-28,04:49,94,"","Dizzy up the Girl",1998-00-00,32,0,0,50,0,0,-8,B Minor,3,6Qyc6fS4DsZjB2mRW9DsQs,USWB19800160
60,"Good Days","SZA",121,12A,65,2025-08-01,04:39,82,"r&b","SOS",2022-12-09,46,42,0,38,0,70,-9,C♯/D♭ Minor,4,4PMqSO5qyjpvzhlLI5GnID,USRC12004189
61,"Hotel California - 2013 Remaster","Eagles",147,10B,51,2025-08-02,06:31,87,"classic rock, yacht rock, soft rock","Hotel California (2013 Remaster)",1976-12-08,58,1,0,61,0,0,-9,D Major,4,40riOy7x9W7GXjyGp4pjAv,USEE11300353
62,"Life Will Be","Cleo Sol",102,9B,41,2025-08-02,03:18,70,"neo soul, alternative r&b, uk r&b","Gold",2023-09-29,56,57,1,29,0,10,-9,G Major,4,4ZTC6KvnQxloiwmT0Yhypy,UKMEH2300207
63,"Motel","Ashh",93,8A,63,2025-08-09,04:01,65,"french rap","CRUISE",2015-12-24,39,22,1,10,0,10,-11,A Minor,4,5gJTFGsEWpjma28XdJbkWP,FR8PB1700130
64,"All The Stars (with SZA) - From  Black Panther: The Album ","Kendrick Lamar,SZA",97,4B,63,2025-08-16,03:52,90,"hip hop, west coast hip hop, r&b","Black Panther The Album Music From And Inspired By",2018-02-09,70,6,0,56,0,0,-5,G#/A♭ Major,4,3GCdLUSnKSMJhs4Tj6CV3s,USUM71713947
65,"Here's Where the Story Ends","The Sundays",109,9B,69,2025-09-15,03:50,67,"dream pop, jangle pop","Reading Writing And Arithmetic",1990-00-00,62,29,0,84,0,10,-9,G Major,4,5gSHlT2SI0dtjeHrjj96A1,GB01A9000004
66,"Sally, When The Wine Runs Out","ROLE MODEL",120,3B,81,2025-09-16,03:38,82,"bedroom pop","Kansas Anymore (The Longest Goodbye)",2025-02-14,68,2,0,86,0,10,-6,C♯/D♭ Major,4,2J051fjLklkoPbzOoTAACZ,USUM72500706
67,"Lovers Rock","TV Girl",105,4A,87,2025-09-21,03:33,88,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143
68,"Feels Like We Only Go Backwards","Tame Impala",150,7A,90,2025-09-23,03:12,78,"neo-psychedelic, indie","Lonerism",2012-01-01,30,3,64,49,0,10,-2,D Minor,4,0LtOwyZoSNZKJWHqjzADpW,AUUM71200493
69,"The Fate of Ophelia","Taylor Swift",124,7B,60,2025-12-02,03:46,97,"","The Life of a Showgirl",2025-10-03,73,27,0,52,0,10,-5,F Major,4,53iuhJlwXhSER5J2IYYv1W,USUG12506436
70,"Mirrors","Justin Timberlake",77,4A,51,2025-12-19,08:05,85,"","The 20/20 Experience (Deluxe Version)",2013-03-15,57,23,0,51,0,0,-7,F Minor,4,4rHZZAmHpZrA3iH5zx8frV,USRC11300059
71,"American Pie","Don McLean",138,9A,48,2026-01-23,08:36,81,"","American Pie",1971-00-00,53,70,0,49,0,0,-12,E Minor,4,1fDsrQ23eTAVFElUMaf38X,USEM38600088
