#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Real Love Baby","Father John Misty",204,9B,69,2024-01-19,03:09,78,"","Real Love Baby",2016-07-26,42,10,3,63,0,10,-6,G Major,4,0Z57YWES04xGh3AImDz6Qr,USSUB1618101
2,"Kiss Me","Sixpence None The Richer",100,5B,90,2023-04-01,03:19,39,"","How To Lose A Guy In 10 Days: Music From The Motion Picture",2003-01-01,48,0,0,35,0,0,-5,D#/E♭ Major,4,2aZ5oYPdDbLNRIUghXM9EV,USNPD0901157
3,"Come and Get Your Love - Single Version","Redbone",107,10A,80,2025-03-31,03:25,81,"native american music","Come and Get Your Love",1973-11-01,73,17,0,96,0,0,-8,B Minor,4,7GVUmCP00eSsqc4tzj1sDD,USSM17300653
4,"Only Wanna Be With You","Hootie & The Blowfish",103,2B,87,2023-05-20,03:49,73,"","Cracked Rear View",1994-07-01,49,11,0,51,0,10,-6,F#/G♭ Major,4,1OFKUn2VLafrHj7ybnap0Q,USAT29400023
5,"This Will Be (An Everlasting Love)","Natalie Cole",127,4B,62,2023-07-15,02:51,74,"quiet storm","Inseparable",1975-01-01,69,23,0,90,0,0,-11,G#/A♭ Major,4,0PDCewmZCp0P5s00bptcdd,USCA28700188
6,"Gypsy","Fleetwood Mac",131,7B,54,2024-12-12,04:24,80,"yacht rock, classic rock, soft rock","Greatest Hits",1988-11-21,62,2,1,85,0,20,-14,F Major,4,19Ym5Sg0YyOCa6ao21bdoG,USWB19900203
7,"Linger","The Cranberries",95,9B,43,2024-08-21,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
8,"Peg","Steely Dan",117,9B,44,2025-04-12,03:57,69,"yacht rock, classic rock","Aja",1977-09-23,78,22,0,94,0,10,-15,G Major,4,5emxp4RqsF6QoAWXW2Afrk,USMC17647230
9,"Listen to the Music","The Doobie Brothers",106,12A,60,2024-04-03,03:47,80,"yacht rock, classic rock, soft rock, southern rock","Toulouse Street",1972-00-00,65,22,0,91,0,0,-13,C♯/D♭ Minor,4,7Ar4G7Ci11gpt6sfH9Cgz5,USWB10000626
10,"Say You Love Me","Fleetwood Mac",128,11B,60,2025-05-17,04:09,74,"yacht rock, classic rock, soft rock","Fleetwood Mac",1975-07-11,72,2,1,96,0,10,-13,A Major,4,6lrQo6KAYvb92MGk6ZuZlt,USWB19900205
