#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Ławka","akronim_us",122,10A,37,2025-10-25,03:05,6,"","Ławka",2025-10-05,63,43,0,33,0,10,-9,B Minor,4,6S3gyFSTutvJin5OEUpZO4,QT65W2573664
2,"Czy Ty Też Tak Masz?","akronim_us",116,9B,41,2025-10-26,03:13,7,"","Czy Ty Też Tak Masz?",2023-04-26,68,91,0,39,0,10,-8,G Major,4,0S7cQSOhBI3omTWhQDCqY8,TCAGZ2395199
3,"Electric Love","BØRNS",120,11A,80,2024-01-22,03:38,80,"","Dopamine",2015-10-16,61,1,0,52,0,20,-8,F#/G♭ Minor,4,2GiJYvgVaD2HtM8GqD9EgQ,USUM71416307
4,"Cherry","Harry Styles",96,9B,51,2024-01-22,04:19,74,"","Fine Line",2019-12-13,53,62,0,41,0,10,-9,G Major,4,2IOFZdYYkFxEHVz1w34PoL,USSM11912589
5,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",109,11B,82,2024-01-22,02:54,75,"","Love Grows (Where My Rosemary Goes) & Other Gems",1970-01-01,57,40,0,75,0,0,-5,A Major,4,5Ts1DYOuouQLgzTaisxWYh,GBBPJ9800675
6,"Ends of the Earth","Lord Huron",121,12B,58,2024-01-22,04:44,1,"","Lonesome Dreams",2012-10-08,56,27,2,41,0,20,-9,E Major,4,4yyg2J2uXOjCtCyT64984C,US53Q1200031
7,"Cigarette Daydreams","Cage The Elephant",114,10B,68,2024-01-22,03:28,80,"","Melophobia",2013-10-08,64,8,0,27,0,0,-3,D Major,4,2tznHmp70DxMyr2XhWLOW0,USRC11301169
8,"I Knew You Better","Divine Sweater",202,12B,49,2025-03-14,02:38,39,"","Divine Sweater Presents: The Ten Year Plan",2021-03-26,47,15,96,61,0,10,-11,E Major,4,5mRmgO9FPE1F9FSqKvzVtw,QZFZ52138847
9,"Home","Edward Sharpe & The Magnetic Zeros",112,10B,59,2024-01-22,05:06,4,"","Up From Below",2009-07-12,54,29,0,12,0,10,-7,D Major,4,0cBPuDA3xUjR4Vh9o7CKy8,USVR90954206
10,"I Love You So","The Walters",76,6B,65,2024-01-22,02:40,87,"","I Love You So",2014-11-28,57,58,0,47,0,10,-5,A#/B♭ Major,4,4SqWKzw0CbA05TGszDgMlc,TCACC1438995
11,"golden hour","JVKE",94,12B,59,2024-01-22,03:29,78,"","this is what falling in love feels like (554Hz)",2022-10-03,52,65,16,15,0,20,-5,E Major,3,4yNk9iz9WVJikRFle3XEvn,GBKPL2204171
12,"As It Was","Harry Styles",174,11A,73,2024-01-22,02:47,12,"","As It Was",2022-03-31,52,34,0,66,0,30,-5,F#/G♭ Minor,4,4LRPiXqCikLlN15c3yImP7,USSM12200612
13,"Three Little Birds","Bob Marley & The Wailers",148,11B,48,2024-01-22,03:00,2,"reggae, roots reggae","Exodus (Deluxe Edition)",1977-06-03,81,1,0,62,0,0,-10,A Major,4,6A9mKXlFRPMPem6ygQSt7z,USIR27700016
14,"Like Real People Do","Hozier",70,9B,18,2024-01-22,03:18,69,"","Hozier",2014-09-19,57,91,38,13,0,10,-14,G Major,3,4LGJ2pLDvTRnul3EcZoYkX,IEACJ1400147
15,"Would That I","Hozier",65,7B,53,2024-01-22,04:28,70,"","Wasteland, Baby!",2019-03-01,40,24,1,50,0,10,-6,F Major,4,0L3oQdYUvVbsOOPJSkZ3C3,IEACJ1800137
16,"Put Your Records On","Ritt Momney",91,11A,49,2024-01-22,03:30,68,"bedroom pop","Put Your Records On",2020-04-24,40,6,0,15,0,10,-11,F#/G♭ Minor,4,6AGOKlMZWLCaEJGnaROtF9,USQX92004148
17,"Be My Baby","The Ronettes",130,12B,77,2024-01-22,02:40,83,"christmas","Presenting the Fabulous Ronettes Featuring Veronica",1964-11-01,51,17,0,80,0,0,-7,E Major,4,1WN4uNclrDuczTO3bCr8s1,USQX91100088
