#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Riptide","Vance Joy",102,3B,73,2024-02-10,03:24,82,"folk pop","Dream Your Life Away",2014-09-08,48,43,0,51,0,10,-7,C♯/D♭ Major,4,7yq4Qj7cqayVTp3FF9CWbm,AULI01385760
2,"Home","Edward Sharpe & The Magnetic Zeros",112,10B,59,2024-02-10,05:03,2,"","Up from Below",2009-07-14,54,29,0,14,0,10,-7,D Major,4,7w5cxTEzp1rfV3KCy0Bd5N,USVR90954206
3,"Little Talks","Of Monsters and Men",103,3B,76,2024-02-10,04:26,82,"folk pop","My Head Is An Animal",2012-01-01,46,2,0,42,0,10,-5,C♯/D♭ Major,4,2ihCaVdNZmnHZWt0fvAM7B,USUM71119106
4,"Ophelia","The Lumineers",76,7B,57,2024-02-10,02:40,3,"folk pop, indie folk","Cleopatra",2016-04-08,66,61,0,57,0,0,-7,F Major,4,3d8y0t70g7hw2FOWl9Z4Fm,USDMG1673802
5,"Gotta Be A Reason","Alec Benjamin",80,9A,52,2024-02-10,03:30,56,"","Narrated For You",2018-11-16,77,81,0,28,0,10,-8,E Minor,4,0IrtQ83z9jylZaLEJK2eoy,USAT21811722
6,"Little League","Conan Gray",142,9A,78,2024-02-10,03:14,58,"","Kid Krow",2020-03-20,56,2,0,54,10,10,-6,E Minor,4,3XOHxCoPkXW0pvR6xl4f0M,USUM71924266
7,"Like Real People Do","Hozier",70,9B,18,2024-02-10,03:18,69,"","Hozier",2014-09-19,57,91,38,13,0,10,-14,G Major,3,4LGJ2pLDvTRnul3EcZoYkX,IEACJ1400147
8,"deja vu","Olivia Rodrigo",181,11B,61,2024-02-10,03:35,12,"","deja vu",2021-04-01,44,59,0,17,10,30,-7,A Major,4,61KpQadow081I2AsbeLcsb,USUG12101240
9,"WASTELAND","JACKPAL",174,10A,84,2024-02-15,01:57,0,"","WASTELAND",2024-01-26,44,1,0,78,10,20,-5,B Minor,4,73kUu3xa7YqTgYzVFSyn3F,QZVEM2386720
10,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",109,11B,82,2024-02-15,02:54,75,"","Love Grows (Where My Rosemary Goes) & Other Gems",1970-01-01,57,40,0,75,0,0,-5,A Major,4,5Ts1DYOuouQLgzTaisxWYh,GBBPJ9800675
11,"Trouble","Cage The Elephant",78,8B,62,2024-02-15,03:45,74,"","Tell Me I'm Pretty",2015-12-18,47,39,0,30,0,10,-6,C Major,4,5n0CTysih20NYdT2S0Wpe8,USRC11502826
12,"Cherry","Harry Styles",96,9B,51,2024-02-15,04:19,74,"","Fine Line",2019-12-13,53,62,0,41,0,10,-9,G Major,4,2IOFZdYYkFxEHVz1w34PoL,USSM11912589
