#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Kiss Me","Sixpence None The Richer",100,5B,75,2024-02-06,03:28,86,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312
2,"There She Goes","The La's",123,9B,76,2024-02-06,02:42,73,"britpop, jangle pop","The La's",1990-00-00,53,1,83,92,0,20,-11,G Major,4,4c6vZqYHFur11FbWATIJ9P,GBAQT8800001
3,"Suddenly I See","KT Tunstall",100,8B,77,2024-02-06,03:21,80,"","Eye To The Telescope",2005-01-01,59,23,0,66,0,10,-6,C Major,4,5p9XWUdvbUzmPCukOmwoU3,GBGLM0400069
4,"Let's Stay Together","Al Green",102,6A,40,2024-02-06,03:19,77,"soul, classic soul, motown, soul blues","Let's Stay Together",1972-00-00,76,58,1,51,0,0,-11,G Minor,4,63xdwScd1Ai1GigAwQxE8y,US2HK0913701
5,"C U Girl","Steve Lacy",100,10A,47,2024-02-12,02:09,78,"","C U Girl",2015-02-15,41,66,5,41,10,10,-9,B Minor,4,6FBzhcfgGacfXF3AmtfEaX,TCACH1579144
6,"Gypsy","Fleetwood Mac",131,7B,54,2024-02-06,04:24,80,"yacht rock, classic rock, soft rock","Greatest Hits",1988-11-21,62,2,1,85,0,20,-14,F Major,4,19Ym5Sg0YyOCa6ao21bdoG,USWB19900203
7,"Everywhere - 2017 Remaster","Fleetwood Mac",115,12B,49,2024-02-06,03:46,86,"yacht rock, classic rock, soft rock","Tango In the Night (Deluxe Edition)",1987-04-13,73,26,1,73,0,0,-11,E Major,4,254bXAqt3zP6P50BdQvEsq,USRH11602189
8,"Pink + White","Frank Ocean",160,11B,55,2024-02-06,03:04,88,"","Blonde",2016-08-20,55,67,0,55,10,40,-7,A Major,3,3xKsf9qdS1CyvXSMEid6g8,QZ5C81600003
9,"Seven Wonders - 2017 Remaster","Fleetwood Mac",119,12B,63,2024-02-06,03:42,71,"yacht rock, classic rock, soft rock","Tango In the Night (Deluxe Edition)",1987-04-13,71,3,0,63,0,10,-10,E Major,4,1VN2vWSkSmMKOhxr8lHzSx,USRH11602188
10,"Silver Springs - 2004 Remaster","Fleetwood Mac",179,8B,58,2024-02-06,04:48,83,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,35,1,5,43,0,20,-8,C Major,4,4nZi6XNe36Ut4Nij3IQ1yC,USWB11301121
11,"Love Really Hurts Without You","Billy Ocean",141,7B,91,2024-02-06,02:58,0,"yacht rock","Here You Are: The Best of Billy Ocean",2016-04-29,52,0,0,96,0,10,-4,F Major,4,0nlVsRpZgsOZi0BFfzHSL9,GBAHK9700121
12,"This Will Be (An Everlasting Love)","Natalie Cole",127,4B,62,2024-02-06,02:51,74,"quiet storm","Inseparable",1975-01-01,69,23,0,90,0,0,-11,G#/A♭ Major,4,0PDCewmZCp0P5s00bptcdd,USCA28700188
13,"Brazil","Declan McKenna",121,12B,62,2024-02-06,04:12,82,"","What Do You Think About the Car?",2017-04-21,69,9,0,67,0,0,-5,E Major,4,4sNG6zQBmtq7M8aeeKJRMQ,GBARL1500856
14,"Island In The Sun","Weezer",115,9A,81,2024-02-06,03:20,83,"alternative rock","Weezer",2001-05-15,65,1,0,66,0,10,-6,E Minor,4,2MLHyLy5z5l5YRp7momlgw,USIR10110358
15,"Forever - Single Version","The Little Dippers",72,7B,45,2024-02-06,02:23,63,"","Forever",1968-06-08,52,28,0,55,0,10,-9,F Major,4,5rWyKJMaTXL0TArnJ8IGts,QM4TX1869450
16,"Out of My League","Fitz and The Tantrums",170,8A,97,2024-02-06,03:29,55,"","More Than Just a Dream",2013-05-07,55,4,0,53,0,30,-4,A Minor,4,0i5spxZKedPA2TgGuvJ3AL,USAT21300149
17,"Here Comes The Sun - Remastered 2009","The Beatles",129,11B,54,2024-02-06,03:05,84,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,56,3,0,39,0,10,-10,A Major,4,6dGnYIeXmHdcikdzNNDMm2,GBAYE0601696
18,"What Once Was","Her's",146,2A,88,2024-02-06,04:15,78,"indie","Songs of Her's",2017-05-12,53,17,1,44,0,20,-4,D#/E♭ Minor,3,1XrSjpNe49IiygZfzb74pk,GBYEJ1100223
19,"Here Comes Your Man","Pixies",125,10B,80,2024-02-06,03:21,73,"alternative rock","Doolittle",1989-04-17,67,1,8,88,0,40,-11,D Major,4,4IvZLDtwBHmBmwgDIUbuwa,GBAFL9700090
20,"Strawberry Fields Forever - Remastered 2009","The Beatles",98,6B,50,2024-02-06,04:07,71,"classic rock, psychedelic rock","Magical Mystery Tour (Remastered)",1967-11-27,39,34,0,29,10,0,-12,A#/B♭ Major,4,3Am0IbOxmvlSXro7N5iSfZ,GBAYE0601640
21,"Show Me How","Men I Trust",166,7B,27,2024-02-06,03:35,80,"bedroom pop, indie pop","Show Me How",2018-02-28,79,67,54,56,0,10,-12,F Major,4,75IQVo8hqI1iwVZyvkN2VT,TCADM1873570
22,"Dreams - 2004 Remaster","Fleetwood Mac",120,8B,49,2024-02-06,04:17,91,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,83,6,0,79,0,10,-10,C Major,4,0ofHAoxe9vBkTCp2UQIavz,USWB11301111
23,"Alright","Supergrass",146,9A,96,2024-02-06,03:00,61,"britpop","I Should Coco",1995-07-06,47,0,20,70,0,30,-5,E Minor,4,5CQvKyzkWI7TnUu2oB9QZ0,GBAYE9500044
24,"Prom","SZA",120,3B,70,2024-02-06,03:16,69,"r&b","Ctrl",2017-06-09,81,6,0,23,0,10,-5,C♯/D♭ Major,4,5yvhdo8FXbBsIllxv2Rr94,USRC11701114
25,"Good Days","SZA",121,12A,66,2024-02-06,04:39,74,"r&b","Good Days",2020-12-25,44,50,0,41,0,60,-8,C♯/D♭ Minor,4,3YJJjQPAbDT7mGpX3WtQ9A,USRC12004189
26,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2024-02-06,04:11,87,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110
27,"Attracted to You","PinkPantheress",114,2B,58,2024-02-06,01:07,75,"bedroom pop","Attracted To You",2021-07-09,73,4,0,75,10,0,-11,F#/G♭ Major,4,4fPjI40ElIwJQ4DJJxSCOe,QZFZ52144176
28,"Little Lies","Fleetwood Mac",125,10B,69,2024-02-06,03:38,69,"yacht rock, classic rock, soft rock","Greatest Hits",1988-11-21,63,12,0,89,0,10,-10,D Major,4,08o75xMKmGrKny6GsXrNJW,USWB19900207
29,"Sober","Childish Gambino",98,8B,59,2024-02-06,04:12,2,"","Kauai",2014-10-03,70,10,0,42,0,50,-7,C Major,4,6YuFv5d7iGeNnFMu6xphZl,USYAH1400031
30,"Rhiannon","Fleetwood Mac",129,8A,49,2024-02-07,04:12,79,"yacht rock, classic rock, soft rock","Fleetwood Mac",1975-07-11,72,11,9,80,0,0,-15,A Minor,4,05oETzWbd4SI33qK2gbJfR,USWB19900188
31,"Hell N Back","Bakar",210,3A,68,2024-02-07,03:33,72,"","Hell N Back (Sped Up)",2019-08-14,63,31,0,73,50,10,-4,A#/B♭ Minor,4,0rVJ6v23RQozOIvr1YotJP,GBARL1900848
32,"Time to Pretend","MGMT",101,10B,94,2024-02-07,04:21,80,"indie","Oracular Spectacular",2007-12-14,44,0,8,42,0,30,-3,D Major,3,4iG2gAwKXsOcijVaVXzRPW,USSM10702127
33,"Tongue Tied","GROUPLOVE",113,5B,94,2024-02-07,03:38,80,"indie","Never Trust a Happy Song",2011-09-02,56,1,0,37,0,10,-6,D#/E♭ Major,4,0GO8y8jQk1PkHzS31d699N,USAT21101334
34,"The Less I Know The Better","Tame Impala",117,12B,74,2024-02-07,03:36,90,"neo-psychedelic, indie","Currents",2015-07-17,64,1,1,79,0,10,-4,E Major,4,6K4t31amVTZDgR3sKmwUJJ,AUUM71500303
35,"Kilby Girl","The Backseat Lovers",162,3B,44,2024-02-07,04:42,79,"","When We Were Friends",2019-01-27,33,6,4,23,0,10,-10,C♯/D♭ Major,4,1170VohRSx6GwE6QDCHPPH,USCGH1936387
36,"Dancing in the Moonlight","King Harvest",136,6B,44,2024-02-07,03:01,76,"","Dancing in the Moonlight",1973-01-01,66,74,0,77,0,10,-16,A#/B♭ Major,4,0q21FNwES2bbtcduB6kjEU,USY4W0610011
37,"Loving Is Easy","Rex Orange County,Benny Sings",117,5B,61,2024-02-07,02:35,69,"bedroom pop, ","Loving is Easy",2017-10-11,76,22,0,54,0,10,-8,D#/E♭ Major,4,7ASFZh1D0DPZro7UXUKGmd,GBKPL1789493
38,"Build Me Up Buttercup","The Foundations",133,8B,79,2024-02-08,02:55,50,"","Inside Out - The Disco Revolution",2016-05-26,62,57,0,75,0,10,-5,C Major,4,1Hgvy8kokRufdMCTGQ5JkQ,UK8HE0006568
39,"Bags","Clairo",105,3B,55,2024-02-10,04:20,9,"bedroom pop","Immunity",2019-08-02,74,17,38,87,0,10,-8,C♯/D♭ Major,4,6UFivO2zqqPFPoQYsEMuCc,US4HB1900080
40,"telepatía","Kali Uchis",84,10A,52,2024-02-10,02:40,85,"","Sin Miedo (del Amor y Otros Demonios) ∞",2020-12-04,65,11,0,55,0,20,-9,B Minor,4,6tDDoYIxWvMLTdKpjFkc1B,GBUM72005748
41,"Put Your Records On","Corinne Bailey Rae",96,11B,51,2024-02-12,03:35,82,"","Corinne Bailey Rae",2006-01-01,74,17,0,54,0,10,-8,A Major,4,2nGFzvICaeEWjIrBrL2RAx,GBAYE0501671
42,"Can't Take My Eyes off You","Frankie Valli",124,12B,78,2024-02-12,03:23,82,"doo-wop","Solo",1967-00-00,58,51,0,56,0,0,-7,E Major,4,0bfvHnWWOeU1U5XeKyVLbW,USRH11000238
43,"Can I Call You Tonight?","Dayglow",130,11B,84,2024-02-12,04:38,77,"indie rock","Fuzzybrain",2019-11-14,64,13,91,50,0,40,-7,A Major,4,61OJxhoY3Ix50rYVKo8zRK,TCADL1825079
44,"Be My Baby","The Ronettes",130,12B,77,2024-02-12,02:40,83,"christmas","Presenting the Fabulous Ronettes Featuring Veronica",1964-11-01,51,17,0,80,0,0,-7,E Major,4,1WN4uNclrDuczTO3bCr8s1,USQX91100088
45,"Somethin' Stupid","Frank Sinatra,Nancy Sinatra",207,12B,34,2024-02-12,02:42,79,"christmas, big band, adult standards, swing music, jazz, vocal jazz, ","The World We Knew",1967-08,26,74,0,54,0,20,-13,E Major,4,4feXcsElKIVsGwkbnTHAfV,USRH10800988
46,"Something About You","Eyedress,Dent May",133,8A,78,2024-03-03,02:33,59,"","Mulholland Drive",2021-08-27,65,3,1,82,0,30,-9,A Minor,4,6RiiSy9GzSwiyDEJDiMuKe,GBMYF2000174
47,"Breathe Deeper","Tame Impala",105,10A,85,2024-03-12,06:12,72,"neo-psychedelic, indie","The Slow Rush",2020-02-14,66,2,0,50,0,10,-5,B Minor,4,3LbZIhU0smEU5SUnxod4j4,AUUM71900929
48,"More Than A Woman","Bee Gees",106,9B,68,2024-03-13,03:17,79,"disco","Greatest",1979-01-01,63,16,0,70,0,80,-6,G Major,4,49OMJ1prsRA7ZYgrAjz70c,NLF057790033
49,"The Adults Are Talking","The Strokes",165,7B,75,2024-03-13,05:09,83,"garage rock, indie rock, alternative rock","The New Abnormal",2020-04-10,59,1,11,65,0,30,-6,F Major,4,5ruzrDWcT0vuJIOMW7gMnW,USRC11902726
50,"Lovefool","The Cardigans",112,11B,64,2024-03-13,03:13,85,"swedish pop","First Band On The Moon (Remastered)",1996-01-01,70,3,0,89,0,30,-6,A Major,4,7aQjPecQdIuNd1sz3KCDhD,SEBKB9629380
51,"My Girl","The Temptations",105,8B,42,2024-03-13,02:45,81,"motown, classic soul, soul","The Temptations Sing Smokey",1965-03-22,57,64,0,69,0,10,-11,C Major,4,745H5CctFr12Mo7cqa1BMH,USMO16490001
