#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"ná","Schmalgauzen",73,7A,46,2026-01-18,02:11,39,"","Silence to Silence",2023-10-22,40,22,32,6,0,10,-10,D Minor,4,0Xcu58LwjKwRgnGvXBwUD7,QZTB92389622
2,"Айстри","Schmalgauzen",83,10A,42,2026-01-18,02:47,25,"","разом : любов",2024-12-31,26,57,15,6,0,10,-12,B Minor,4,6T0M7kkbVIsGn3kZbuIiQP,QT3EZ2458552
3,"А Тебе","Schmalgauzen",143,12B,29,2026-01-18,04:18,30,"","А Тебе",2020-10-18,44,56,0,44,0,10,-12,E Major,4,7E8tAplBp7X72vitVexEDN,QZTB92204530
4,"Наново","Schmalgauzen",156,11B,65,2026-01-18,04:25,27,"","разом : любов",2024-12-31,45,32,9,6,0,0,-11,A Major,4,0afrC7un2nJHEI7GUlaMGt,QT3EZ2458575
5,"Квітка","Okean Elzy",74,8A,60,2026-01-18,04:14,50,"","Модель",2001-04-20,68,24,0,60,0,10,-7,A Minor,4,6LmpYRchoYl3gRGbcQ7k8z,USA561121613
6,"Марат","Zhadan i Sobaky",94,8A,87,2026-01-18,04:29,31,"","Мадонна",2019-09-05,59,1,0,55,0,20,-6,A Minor,4,6yuZBkkoU7GqvB8Tk1fC0x,TCAEK1947665
7,"Ісус Із Назарета","Лінія Маннергейма",168,6A,90,2026-01-18,05:36,38,"","Конфіскат",2020-03-02,67,20,0,77,0,10,-5,G Minor,4,2N0x3U5SVmtEm0K27ohkL4,TCADU1854812
8,"Jessica - Single Version","Schmalgauzen",170,10A,60,2026-01-24,03:23,43,"","Jessica",2023-05-06,61,29,0,83,0,0,-10,B Minor,4,0qEiz6cySVF1dB7EYwweyT,QZK6P2323913
9,"Танго Харків","Сергій Жадан,Turchynov",125,5A,49,2026-01-24,03:16,21,"","Танго Харків",2024-06-27,65,70,0,58,0,20,-8,C Minor,4,0Fs5Ou3K7DmsNWQWHduYSI,PL90Y2417576
10,"Ніч","Zhadan i Sobaky,Tina Karol,Хартія",80,12A,85,2026-01-24,04:04,48,"","Ніч",2026-01-23,54,10,0,28,0,10,-3,C♯/D♭ Minor,4,1VMknRMVZI65iFQCDWugX0,QT65W2647828
11,"Somethin' Stupid","Frank Sinatra,Nancy Sinatra",207,12B,34,2026-01-29,02:42,79,"christmas, big band, adult standards, swing music, jazz, vocal jazz, ","The World We Knew",1967-08,26,74,0,54,0,20,-13,E Major,4,4feXcsElKIVsGwkbnTHAfV,USRH10800988
12,"Can't Take My Eyes off You","Frankie Valli",124,12B,78,2026-01-29,03:23,82,"doo-wop","Solo",1967-00-00,58,51,0,56,0,0,-7,E Major,4,0bfvHnWWOeU1U5XeKyVLbW,USRH11000238
13,"Everybody Loves Somebody","Dean Martin",119,5B,39,2026-01-29,02:47,69,"christmas, adult standards, big band, swing music","Everybody Loves Somebody",1964-00-00,37,85,0,46,0,30,-12,D#/E♭ Major,3,5I9sHwLDX28tLtzVgKLtpr,USQX91301936
14,"Strangers In The Night","Frank Sinatra",90,7B,47,2026-01-29,02:37,73,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Strangers In The Night (Expanded Edition)",1966-05,26,59,0,54,0,20,-8,F Major,4,74VR3AkGPhbYXnxcOYa16x,USRH10800935
15,"Les filles désir","Vendredi sur Mer",80,2A,55,2026-01-29,03:16,63,"french indie pop, french pop","Premiers émois",2019-03-22,58,34,11,38,0,10,-8,D#/E♭ Minor,4,3Cc0xsYtoaPDjVZyiPHiQ4,FR9W11705408
16,"Ne me laisse pas l'aimer","Brigitte Bardot",129,12B,49,2026-01-29,01:57,49,"french jazz, french pop, chanson, variété française","Bubble Gum",1994-01-01,66,47,0,94,0,10,-13,E Major,4,7eam8ssADNwOTEjkl8rsr4,FRZ036403720
17,"Місто весни","Okean Elzy,Odyn v Kanoe",102,3A,39,2026-01-29,04:12,45,"","Місто весни",2021-09-09,60,82,0,12,0,10,-7,A#/B♭ Minor,4,56wSomSllGESHGhcfHrvEw,FRX452175106
