#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Galapagos - Instrumental/Sadlands Demo","The Smashing Pumpkins",118,9B,63,2025-01-23,03:54,39,"alternative rock, rock","Mellon Collie And The Infinite Sadness (Deluxe Edition)",1995-00-00,41,98,95,7,0,10,-12,G Major,4,5oYVxPifOLi4PccQyeYlJS,USNPD1200231
2,"Dawn in the Adan","Ichiko Aoba",110,11A,23,2025-01-19,04:45,61,"japanese indie, shibuya-kei","Windswept Adan",2020-12-02,54,96,66,20,0,10,-16,F#/G♭ Minor,4,5Wdyg2LLFZPPlYUntexViV,TCJPM2079804
3,"lvs(var)","kensuke ushio",70,9B,17,2025-01-19,01:25,42,"anime","A Shape of Light  A Silent Voice the Movie  Original Soundtrack",2016-09-14,59,94,97,43,0,0,-21,G Major,4,2m6jds9zw9x5bgNXZrN4yg,JPPC01601651
4,"Asleep Among Endives","Ichiko Aoba",58,4B,3,2025-01-19,05:06,65,"japanese indie, shibuya-kei","Asleep Among Endives",2021-02-03,41,98,2,15,0,10,-20,G#/A♭ Major,4,0RD3NWnHlyBCRwgNZy8QAn,TCJPN2174507
5,"Paper Moon","Minuano",156,7B,56,2025-01-19,03:34,55,"shibuya-kei, japanese indie","Spring Lovers",2010-04-21,66,83,9,58,0,10,-11,F Major,4,765kgQlal6rCJiYVQAsFmZ,JPH901000060
6,"love.","wave to earth",62,10B,39,2025-01-19,05:07,1,"","0.1 flaws and all.",2023-04-20,32,65,30,25,0,20,-10,D Major,4,5rDXfGMWI6S8wkXR0MHsvv,KRA252300813
7,"My Little Cat","HER MIN",123,1B,28,2025-01-19,03:55,30,"shibuya-kei","BLOSSOM",2009-09-17,69,31,0,18,0,10,-10,B Major,3,1R5pWSEhnk7U1TmmvaISiY,JPZ922111711
8,"キュプラ","フレネシ",119,4B,13,2025-01-19,02:28,27,"shibuya-kei, japanese indie","キュプラ",2009-00-00,70,99,57,37,0,10,-15,G#/A♭ Major,4,3u6lrXkChNV8CkLiXMcs9O,QM6P42002039
9,"Wind","Akeboshi",117,5A,48,2025-01-19,03:40,71,"anime","Akeboshi",2005-06-22,37,48,0,60,0,0,-8,C Minor,1,5BqKtuCFLfZyzfZOwlgW1f,JPES00500781
10,"romantico - Remastered","800 cherries",130,9B,11,2025-01-19,01:23,38,"shibuya-kei","romantico (2022 Remaster)",1998-11-21,57,92,96,35,0,10,-19,G Major,3,6hvops0FPOLydeg6SpaQQc,JP92N2279703
11,"Lily of The Valley","DANIEL",124,3B,39,2025-01-19,04:57,65,"","Flower",2020-02-14,57,74,28,27,0,0,-9,C♯/D♭ Major,4,4gAIUEY7VkeiKQOPwIYaYb,KRMIM2002972
12,"homesick","wave to earth",95,1A,44,2025-01-19,05:06,0,"","0.1 flaws and all.",2023-04-20,52,67,37,10,0,10,-10,G#/A♭ Minor,4,3pGoYGGOTvThnFcJpBh293,KRA252300814
13,"golden hour","JVKE",94,12B,59,2025-01-19,03:29,78,"","this is what falling in love feels like (554Hz)",2022-10-03,52,65,16,15,0,20,-5,E Major,3,4yNk9iz9WVJikRFle3XEvn,GBKPL2204171
14,"ゆめうつつ","Lamp",93,10B,13,2025-01-19,05:15,67,"shibuya-kei, japanese indie, city pop","ランプ幻想",2008-12-03,35,99,46,8,0,0,-17,D Major,4,1GTC0DN9LGOdP0NdvoHyX7,JPG100800130
15,"For Lovers","Lamp",74,9B,5,2025-01-19,01:15,61,"shibuya-kei, japanese indie, city pop","For Lovers",2004-02-11,56,98,83,59,0,10,-18,G Major,4,6BGNjTZ8zp9MlsIydBa7A9,JPG100400501
16,"妖精の手招き","Ichiko Aoba",82,2A,16,2025-01-19,02:45,41,"japanese indie, shibuya-kei","ｑｐ",2018-10-24,43,97,62,29,0,0,-15,D#/E♭ Minor,4,1qCfu8Fryiy45TVll2x6p6,JPVI01892420
17,"Easter Lily","Ichiko Aoba",127,8B,12,2025-01-19,03:16,49,"japanese indie, shibuya-kei","Windswept Adan",2020-12-02,36,98,85,5,0,10,-18,C Major,4,42laEjVGDr4c9RNqZAS7LA,TCJPM2079797
