#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Nice To Each Other","Olivia Dean",132,8B,74,2025-06-29,03:29,89,"pop soul","Nice To Each Other",2025-05-30,76,41,0,74,0,30,-7,C Major,4,7gKxCvTDWwV9wBhdeBbr3l,GBUM72502230
2,"Mariella","Khruangbin,Leon Bridges",110,10B,58,2024-03-17,05:10,71,"neo-psychedelic, retro soul","Texas Moon",2022-02-18,59,53,72,56,0,0,-10,D Major,4,3dvXRk7TZ929m21p49RR5P,USJ5G2125405
3,"The Bug Collector","Haley Heynderickx",100,6B,42,2023-12-30,03:48,67,"","I Need to Start a Garden",2018-03-02,54,78,33,53,0,10,-10,A#/B♭ Major,4,5nVE45ithgyVocZp5XLAk6,QMFW91700130
4,"Orange Blossoms","GoldFord",150,8A,88,2023-12-27,03:12,0,"","Orange Blossoms",2023-10-18,68,37,0,59,10,10,-5,A Minor,4,4IZTru7nKgBE8sBq6aMY56,QZS7J2300070
5,"Pink + White","Frank Ocean",160,11B,55,2023-12-29,03:04,88,"","Blonde",2016-08-20,55,67,0,55,10,40,-7,A Major,3,3xKsf9qdS1CyvXSMEid6g8,QZ5C81600003
6,"What Once Was","Her's",146,2A,88,2023-12-27,04:15,78,"indie","Songs of Her's",2017-05-12,53,17,1,44,0,20,-4,D#/E♭ Minor,3,1XrSjpNe49IiygZfzb74pk,GBYEJ1100223
7,"waves - Tame Impala Remix","Miguel,Tame Impala",108,10B,89,2023-12-27,04:13,65,"r&b, neo-psychedelic, indie","Rogue Waves",2016-02-26,53,31,0,54,0,20,-4,D Major,4,3lB0GMiI5KxDbTOG8V3bOx,USRC11600326
8,"Real Love Baby","Father John Misty",204,9B,69,2023-12-27,03:09,78,"","Real Love Baby",2016-07-26,42,10,3,63,0,10,-6,G Major,4,0Z57YWES04xGh3AImDz6Qr,USSUB1618101
9,"Sparks","Coldplay",103,3B,27,2025-03-22,03:47,91,"","Parachutes",2000-07-10,37,75,5,17,0,10,-11,C♯/D♭ Major,3,7D0RhFcb3CrfPuTJ0obrod,GBAYE0000569
10,"Sweet Disposition","The Temper Trap",129,10B,82,2023-12-27,03:50,2,"","Conditions",2009-03-24,53,7,17,34,0,10,-7,D Major,4,5RoIXwyTCdyUjpMMkk4uPd,GBZUZ0900013
