#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Young","Vacations",80,9B,81,2022-02-17,03:09,0,"","Vibes",2016-12-09,50,0,1,59,0,0,-4,G Major,4,3OP8UeYimRl9HCNxMg7Ihl,SEYOK1669274
2,"Cherry","Harry Styles",96,9B,51,2022-02-17,04:19,74,"","Fine Line",2019-12-13,53,62,0,41,0,10,-9,G Major,4,2IOFZdYYkFxEHVz1w34PoL,USSM11912589
3,"Sofia","Clairo",113,8B,62,2022-02-17,03:08,9,"bedroom pop","Immunity",2019-08-02,74,60,0,64,0,20,-10,C Major,4,7B3z0ySL9Rr0XvZEAjWZzM,US4HB1900086
4,"Sunflower, Vol. 6","Harry Styles",160,6A,85,2022-02-17,03:41,71,"","Fine Line",2019-12-13,57,0,0,86,0,10,-7,G Minor,4,6iYMfxznTBlcVOgRHab2W0,USSM11912593
5,"Chiquitita","ABBA",84,11B,55,2022-02-17,05:26,77,"","Voulez-Vous",1979-00-00,50,73,0,37,0,30,-8,A Major,4,762B4bOcXF7I2Y8UlKTyTy,SEAYD7901080
6,"Hey Lover!","Wabie",117,12B,74,2022-02-17,02:42,67,"bedroom pop","Cyclones and Hey Lover",2019-06-19,59,1,0,52,0,30,-10,E Major,4,7rC3P7tpWriaC4hYWKwGQd,QZFYZ1923384
7,"Adore You","Harry Styles",99,4B,77,2022-02-17,03:27,87,"","Fine Line",2019-12-13,68,2,0,57,0,10,-4,G#/A♭ Major,4,3jjujdWJ72nww5eGnfs2E7,USSM11912588
8,"Here Comes The Sun - Remastered 2009","The Beatles",129,11B,54,2022-02-17,03:05,84,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,56,3,0,39,0,10,-10,A Major,4,6dGnYIeXmHdcikdzNNDMm2,GBAYE0601696
9,"Something - Remastered 2009","The Beatles",133,8B,34,2022-02-17,03:02,78,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,41,20,0,38,0,10,-11,C Major,4,0pNeVovbiZHkulpGeOx1Gj,GBAYE0601691
10,"Honey, Honey - From 'Mamma Mia!' Original Motion Picture Soundtrack","Amanda Seyfried,Ashley Lilley,Rachel McDowall",140,12B,90,2022-02-17,03:07,0,"musicals","Mamma Mia! The Movie Soundtrack",2008-01-01,51,4,0,81,0,20,-4,E Major,4,1lPTKmztH1QufrTfYwFDWg,GBUM70809210
11,"Are You Bored Yet? (feat. Clairo)","Wallows,Clairo",120,1A,68,2022-02-17,02:58,78,"indie, bedroom pop","Nothing Happens",2019-03-22,68,16,0,64,0,20,-6,G#/A♭ Minor,4,57RA3JGafJm5zRtKJiKPIm,USAT21812258
12,"Snap Out Of It","Arctic Monkeys",130,4A,64,2022-02-17,03:13,81,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371
13,"Almost (Sweet Music)","Hozier",90,9B,69,2022-02-17,03:37,75,"","Wasteland, Baby!",2019-03-01,52,2,0,71,10,20,-6,G Major,4,5Apvsk0suoivI1H8CmBglv,USSM11806793
