#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Constellations","The Oh Hellos",85,2B,51,2023-03-05,03:47,57,"folk pop, christian folk, indie folk","Notos",2017-12-08,56,26,0,26,0,10,-11,F#/G♭ Major,4,7g3MdW9vvunaniaNq4C8Fe,TCADI1729496
2,"All That and More (Sailboat)","Rainbow Kitten Surprise",83,9B,53,2023-03-05,02:51,0,"","Seven + Mary",2013-11-19,46,80,0,38,10,20,-9,G Major,4,6vyFAHVKIsp3pdyhlOKMAz,TCABT1491605
3,"Bloom - Bonus Track","The Paper Kites",96,3B,42,2023-03-05,03:30,1,"indie folk","Woodland - EP",2013-03-05,59,88,0,42,0,10,-10,C♯/D♭ Major,4,41yIvlFgvGwxq8qTqAR7eG,TCAAZ1171906
4,"warm glow","Hippo Campus",92,11B,45,2023-03-05,05:58,52,"","warm glow",2017-09-12,45,32,12,4,0,10,-9,A Major,4,0WSPIU3Y3bNXsGeKnzSnt1,QM5BK1700175
5,"golden hour - piano instrumental","Chilled Pig",160,12B,7,2023-03-07,01:51,60,"","golden hour (piano instrumental)",2022-11-07,38,99,88,27,0,0,-27,E Major,3,4MAU5QwI1Gu57gsnL7CUpt,AUGBT2222592
6,"Shrike","Hozier",154,6A,28,2023-03-07,04:58,69,"","Wasteland, Baby!",2019-03-01,51,49,0,6,0,10,-8,G Minor,3,083PU4XnYAOMAGVruma3vb,USSM11806791
7,"Man on the Moon","Zella Day",75,4B,87,2023-03-07,04:02,0,"","Man on the Moon",2016-10-21,43,3,0,57,0,10,-5,G#/A♭ Major,4,6HfVKTa0AA4k49FqXtxd3S,USHR11637613
8,"Slip","sixten",196,11A,50,2023-03-07,03:03,0,"","Slip",2019-10-18,60,36,0,27,10,0,-13,F#/G♭ Minor,4,2nHKCwwJH9DuWhjk0ICXBz,SEWEE1903901
9,"Carry You","Novo Amor",93,9B,40,2023-03-07,04:33,69,"ambient folk","Bathing Beach",2017-05-26,33,56,8,4,0,10,-8,G Major,4,0u4rkpmNtgcFxYHepnVF4v,GB45A1700488
10,"Crystals","Of Monsters and Men",132,8B,75,2023-03-07,04:03,42,"folk pop","Beneath The Skin (Deluxe)",2015-06-05,58,0,0,33,0,10,-7,C Major,4,4nnHOJqInr9r8c7RxuiT9j,USUG11500395
