#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"White Keys","Dominic Fike",82,10A,55,2026-03-09,02:24,91,"","White Keys",2025-11-14,71,79,0,84,10,10,-9,B Minor,4,5ViLKrbyL3HD6wsq3AB9eI,USQX92506204
2,"The Spins","Mac Miller,Empire Of The Sun",127,8A,77,2026-03-15,03:15,88,"","K.I.D.S.",2010-08-13,79,1,0,55,0,0,-4,A Minor,4,2QGVKiAGTa1YcDqPMhAzF7,USA2P2015959
3,"Love Lost","Mac Miller,The Temper Trap",110,10B,81,2026-03-19,02:42,81,"","I Love Life, Thank You",2022-07-22,74,53,0,59,10,10,-4,D Major,4,1gooIGZGh22TOPqaogU9bs,USA2P2212493
4,"Time of Our Lives","Pitbull,Ne-Yo",124,3B,80,2026-02-12,03:49,87,"","Globalization",2014-11-24,72,9,0,72,0,60,-6,C♯/D♭ Major,4,2bJvI42r8EF3wxjOuDav4r,USRC11402647
5,"Pocketful of Sunshine","Natasha Bedingfield",110,8A,88,2026-02-03,03:22,83,"","Pocketful Of Sunshine",2007-04-27,72,19,0,66,0,0,-4,A Minor,4,1uigwk5hNV84zRd5YQQRTk,GBARL0701374
6,"The Fate of Ophelia","Taylor Swift",124,7B,60,2025-11-15,03:46,97,"","The Life of a Showgirl",2025-10-03,73,27,0,52,0,10,-5,F Major,4,53iuhJlwXhSER5J2IYYv1W,USUG12506436
7,"Stick Season","Noah Kahan",118,11B,50,2024-01-30,03:02,86,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470
8,"No Broke Boys","Disco Lines,Tinashe",131,12A,83,2025-08-12,02:43,92,"stutter house, alternative r&b","No Broke Boys",2025-06-06,77,34,11,96,0,0,-7,C♯/D♭ Minor,4,3cZajhyr8LmtPfHZ9296tj,USAT22504362
9,"Ordinary","Alex Warren",112,10B,68,2025-02-07,03:06,90,"","Ordinary",2025-02-07,45,74,0,38,0,0,-6,D Major,4,6qqrTXSdwiJaq8SO0X2lSe,USAT22500463
10,"End of Beginning","Djo",160,10B,45,2024-07-04,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
11,"Dog Days Are Over","Florence + The Machine",150,9B,81,2025-02-18,04:12,82,"baroque pop","Lungs (Deluxe Version)",2009-00-00,50,3,1,26,0,10,-5,G Major,4,456WNXWhDwYOSf5SpTuqxd,GBUM70900209
12,"Call Your Mom","Noah Kahan",172,8B,22,2025-01-24,04:38,78,"","Stick Season (We'll All Be Here Forever)",2023-06-09,49,70,0,16,0,10,-12,C Major,4,3yn01PcU95PTbiZ3xvop2j,USUM72307686
13,"Golden","Harry Styles",140,9A,84,2024-01-30,03:28,78,"","Fine Line",2019-12-13,45,21,0,25,0,10,-5,E Minor,4,45S5WTQEGOB1VHr1Q4FuPl,USSM11912586
14,"Best Thing","Timmy Trumpet",165,12B,85,2024-02-01,02:16,43,"melbourne bounce, big room","Best Thing",2024-01-12,57,3,0,28,0,10,-3,E Major,4,3ZDpJbRqKXrk3tL4kHBHpT,NLZ542301892
15,"Beautiful Things","Benson Boone",105,6B,47,2024-02-01,03:00,85,"","Beautiful Things",2024-01-18,47,15,0,22,0,10,-6,A#/B♭ Major,3,6tNQ70jh4OwmPGpYy6R2o9,USWB12307016
16,"Sure Thing - Sped Up","Miguel",105,9A,46,2024-01-30,02:30,63,"r&b","Sure Thing (Sped Up)",2023-01-27,75,8,0,66,10,20,-13,E Minor,4,559SdaPI7mqy9IQiscuaMj,USJI12300001
17,"Escapism. - Sped Up","RAYE,070 Shake",108,11A,77,2024-01-30,03:59,69,"","Escapism.",2022-12-07,44,9,0,38,20,0,-5,F#/G♭ Minor,4,3XCpS4k8WqNnCpcDOSRRuz,QMFME2222462
18,"something to remember","Matt Hansen",112,3B,72,2024-01-30,02:42,72,"","something to remember",2023-10-27,67,38,0,49,0,10,-7,C♯/D♭ Major,4,6eI8B3QW20P68MCYMb4Etd,QMANG2202847
19,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,2024-01-30,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
20,"Home","Good Neighbours",77,2B,67,2024-01-30,02:37,71,"","Home",2024-01-17,58,3,6,14,0,10,-4,F#/G♭ Major,4,68mOSKT4uBkKddEAhlMO61,GBUM72400322
