#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13, Waltz of the Flowers","Pyotr Ilyich Tchaikovsky,Royal Philharmonic Orchestra,David Arnold",96,10B,13,2021-04-10,07:04,53,"ballet, classical, orchestral, soundtrack","Last Night of the Proms",2007-08-03,28,97,83,11,0,0,-18,D Major,4,2EM3z870MwvKASPO23MeUB,GB01A0700650
2,"The Blue Danube Waltz, Op. 314","Johann Strauss II,Tasmanian Symphony Orchestra,Marko Letonja",95,10B,9,2021-04-10,10:37,0,"classical, ballet, orchestral, contemporary classical","Johann Strauss: Waltzes and Arias",2016-11-11,29,97,93,11,0,10,-18,D Major,4,5VB8zfiHCroYwXTINKP4rj,AUAB01650803
3,"Tchaikovsky: Swan Lake, Op. 20, Act 1: Introduction - No. 1, Scene. Allegro giusto","Pyotr Ilyich Tchaikovsky,André Previn,London Symphony Orchestra",75,10B,30,2021-04-10,05:44,49,"ballet, classical, orchestral, opera","Tchaikovsky: Swan Lake",1976-01-01,33,94,90,6,0,10,-16,D Major,4,5tNUaNoIMdJcdHGj25a7gD,GBAYC0702125
4," Dance Of The Hours  from La Gioconda","London Symphony Orchestra",84,12A,11,2021-04-10,03:30,38,"classical, orchestral, ballet, opera","The London Symphony Orchestra: The Top 100 of Classical Music",2010-01-11,31,85,29,13,0,10,-23,C♯/D♭ Minor,4,6gfBkANhB2EMpB1Jbnjrg8,BEX017692448
5,"The Barber of Seville, Act I: Overture","Gioachino Rossini,James Levine,London Symphony Orchestra",89,12B,20,2021-04-10,07:26,35,"classical, opera, orchestral, ballet","The Barber of Seville",1975-00-00,32,94,90,36,0,0,-17,E Major,4,0RXG9tS5Y8qPhovPFpplK1,GBAYC9600378
6,"Voices Of Spring, Op. 410","Johann Strauss II,Marko Letonja,Lorina Gore,Tasmanian Symphony Orchestra",179,6B,15,2021-04-10,07:47,0,"classical, contemporary classical, opera, ballet, orchestral","Johann Strauss: Waltzes and Arias",2016-11-11,32,93,5,18,0,10,-17,A#/B♭ Major,3,1I6rDixbUmV5xnvDVDPe37,AUAB01650796
7,"Liebestraum (Love Dream)","Franz Liszt,Michael Krücker",70,4B,14,2021-04-10,04:39,44,"classical piano, classical, ragtime","Liebestraum (Love Dream)",2019-03-01,34,99,90,4,0,10,-15,G#/A♭ Major,4,5gKtItUR49zbCMmlSNEhqo,DEP621800016
8,"Suite bergamasque, L. 75: Clair de lune","Claude Debussy,Alexis Weissenberg",103,2A,1,2021-04-10,05:46,56,"impressionism, classical, classical piano","Alexis Weissenberg plays Debussy",1969-00-00,34,99,93,4,0,0,-28,D#/E♭ Minor,4,3aOT5GxCXzMTJU6UPrip6T,USBC10000500
9,"None but the lonely heart, Op. 6, No. 6","Pyotr Ilyich Tchaikovsky,Isaac Stern,Milton Katims,Columbia Symphony Orchestra",82,2A,19,2021-04-10,03:19,39,"ballet, classical, orchestral, chamber music, concerto","Humoresque - Favorite Violin Encores [Expanded Edition]",1963-00-00,15,93,75,4,0,10,-15,D#/E♭ Minor,5,0sonJpr4X0IXBWa7n0XlES,USSM19911578
10,"Frühlingsstimmen, Op. 410","Johann Strauss II,Slovak Philharmonic,Noriaki Kitamura",181,6B,4,2021-04-10,07:45,42,"classical, orchestral, ","Beethoven: Symphony No. 3  Eroica  - J. Strauss II: Frühlingsstimmen",2018-01-05,15,97,87,17,0,10,-26,A#/B♭ Major,3,6uylmPcNF734H6xizlRIn3,JPZ921711788
