#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Spring Into Summer","Lizzy McAlpine",92,10B,57,2026-01-07,04:22,80,"","Older (and Wiser)",2024-10-04,52,61,0,23,0,10,-7,D Major,4,6oCXDaFZYL7sHnowv6pdXb,USRC12402627
2,"Knockin' On Heaven's Door","Bob Dylan",140,9B,40,2026-01-07,02:29,83,"folk rock, folk, singer-songwriter, roots rock","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)",1973-07-13,51,25,18,23,0,10,-13,G Major,4,6HSXNV0b4M4cLJ7ljgVVeh,USSM11304547
3,"Good Days","SZA",121,12A,65,2026-01-07,04:39,82,"r&b","SOS",2022-12-09,46,42,0,38,0,70,-9,C♯/D♭ Minor,4,4PMqSO5qyjpvzhlLI5GnID,USRC12004189
4,"Dog Days Are Over","Florence + The Machine",150,9B,81,2026-01-07,04:12,82,"baroque pop","Lungs (Deluxe Version)",2009-00-00,50,3,1,26,0,10,-5,G Major,4,456WNXWhDwYOSf5SpTuqxd,GBUM70900209
5,"Ophelia","The Lumineers",76,7B,57,2026-01-07,02:40,5,"folk pop, indie folk","Cleopatra",2016-04-08,66,61,0,57,0,0,-7,F Major,4,5NORWMFC27ywGSZxi8uquP,USDMG1673802
6,"Dancing in the Moonlight","Toploader",119,6B,86,2026-01-07,03:52,79,"","Onka's Big Moka",2000-00-00,63,6,0,87,0,30,-3,A#/B♭ Major,4,3Fzlg5r1IjhLk2qRw667od,GBBBL9902165
7,"Hey, Soul Sister","Train",97,12A,89,2026-01-07,03:36,83,"soft pop","Save Me, San Francisco (Golden Gate Edition)",2010-12-01,67,19,0,80,0,0,-4,C♯/D♭ Minor,4,4HlFJV71xXKIGcU3kRyttv,USSM10904113
8,"You've Got The Love","Florence + The Machine",110,2B,69,2026-01-07,02:48,78,"baroque pop","Lungs (Deluxe Version)",2009-00-00,57,0,0,40,0,10,-5,F#/G♭ Major,4,244AvzGQ4Ksa5637JQu5Gy,GBUM70900237
9,"Suddenly I See","KT Tunstall",100,8B,77,2026-01-07,03:21,80,"","Eye To The Telescope",2005-01-01,59,23,0,66,0,10,-6,C Major,4,5p9XWUdvbUzmPCukOmwoU3,GBGLM0400069
10,"Ho Hey","The Lumineers",80,8B,47,2026-01-07,02:43,5,"folk pop, indie folk","The Lumineers",2012-04-03,69,79,0,35,0,0,-9,C Major,4,0W4Kpfp1w2xkY3PrV714B7,USDMG1260805
11,"undressed","sombr",116,8B,89,2026-01-07,03:02,82,"","undressed",2025-03-21,64,14,0,89,0,0,-4,C Major,4,4AajxCEwGEsmHmT4H1TwjY,USWB12500737
12,"Sunflower","Rex Orange County",130,2B,77,2026-01-07,04:12,2,"bedroom pop","Sunflower",2017-03-22,38,65,0,57,0,50,-4,F#/G♭ Major,4,4EpZ4eYuZOwPSSwyqpdHnJ,US23A1500468
13,"Here Comes The Sun - Live In Japan, 1991 / 2004 Mix","George Harrison",125,11B,57,2026-01-07,03:31,18,"","Live In Japan",1992-07-13,61,43,0,64,0,80,-12,A Major,4,4gdhsYfXJoVQsWpbmh32Da,GBEXP0300068
14,"Linger","The Cranberries",95,9B,43,2026-01-07,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
15,"Electric Love","BØRNS",120,11A,80,2026-01-07,03:38,80,"","Dopamine",2015-10-16,61,1,0,52,0,20,-8,F#/G♭ Minor,4,2GiJYvgVaD2HtM8GqD9EgQ,USUM71416307
16,"Sweet Disposition","The Temper Trap",129,10B,82,2026-01-07,03:50,2,"","Conditions",2009-03-24,53,7,17,34,0,10,-7,D Major,4,5RoIXwyTCdyUjpMMkk4uPd,GBZUZ0900013
17,"Would That I","Hozier",131,7B,53,2026-01-07,04:28,75,"","Wasteland, Baby!",2019-03-01,52,24,1,50,0,10,-6,F Major,4,37zuIvk4KBkAxxLJsxJaHq,USSM11809035
18,"Mess","Noah Kahan",81,6B,83,2026-01-07,03:33,72,"","Busyhead",2019-06-14,44,18,0,60,0,10,-5,A#/B♭ Major,4,1BlQWQgGP84r4GYUVty4Ar,USUM71902817
19,"Flowers in Your Hair","The Lumineers",127,9B,61,2026-01-07,01:49,1,"folk pop, indie folk","The Lumineers",2012-04-03,67,75,0,57,0,20,-10,G Major,4,3Hvg5tRKsQlX25wYwgMF9p,USDMG1260801
20,"Coastline","Hollow Coves",100,10B,50,2026-01-07,03:53,78,"indie folk","Wanderlust",2017-03-17,67,63,0,43,0,0,-11,D Major,4,4sDbdBjuYQVdNNB4PiHUPo,AUGSG1600007
21,"Too Sweet","Hozier",117,6B,62,2026-01-07,04:11,74,"","Unheard",2024-03-22,74,3,0,93,0,0,-6,A#/B♭ Major,4,4IadxL6BUymXlh8RCJJu7T,USSM12401865
22,"ARE WE STILL FRIENDS?","Tyler, The Creator",187,6B,50,2026-01-07,04:25,83,"","IGOR",2019-05-17,22,13,0,31,0,10,-8,A#/B♭ Major,3,5TxRUOsGeWeRl3xOML59Ai,USQX91901168
23,"Man I Need","Olivia Dean",119,3B,59,2026-01-07,03:04,97,"pop soul","Man I Need",2025-08-15,81,49,0,69,0,0,-7,C♯/D♭ Major,4,1qbmS6ep2hbBRaEZFpn7BX,GBUM72503089
24,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,2026-01-07,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
25,"Starting Over","Chris Stapleton",89,6B,54,2026-01-07,04:00,81,"country, outlaw country","Starting Over",2020-11-13,64,45,0,32,0,0,-8,A#/B♭ Major,4,3K07bGe8iljQ3mOKArHLDo,USUM72013812
26,"Kiss Me","Sixpence None The Richer",100,5B,75,2026-01-07,03:28,86,"","Sixpence None The Richer",1997-11-22,53,2,0,42,0,0,-7,D#/E♭ Major,4,754kgU5rWscRTfvlsuEwFp,USEE19900312
27,"Tiny Dancer","Elton John",145,8B,43,2026-01-07,06:17,79,"","Madman Across The Water",1971-11-05,41,38,0,28,0,10,-11,C Major,4,2TVxnKdb3tqe1nhQWwwZCO,GBAMB7100001
28,"Bennie And The Jets - Remastered 2014","Elton John",133,8B,67,2026-01-07,05:22,77,"","Goodbye Yellow Brick Road (Remastered)",1973-10-05,67,26,0,78,0,50,-8,C Major,4,5Wj1rJnCLpMHdLaxsFtJLs,GBUM71304955
29,"Put Your Records On","Corinne Bailey Rae",96,11B,51,2026-01-08,03:35,82,"","Corinne Bailey Rae",2006-01-01,74,17,0,54,0,10,-8,A Major,4,2nGFzvICaeEWjIrBrL2RAx,GBAYE0501671
30,"Someone New","Hozier",184,9B,53,2026-01-08,03:42,76,"","Hozier (Expanded Edition)",2014-09-19,44,43,0,60,0,30,-6,G Major,4,2DNXgvkyv35vTWvdgjs7qn,USSM11405188
31,"Riptide","Vance Joy",102,3B,73,2026-01-08,03:24,88,"folk pop","Dream Your Life Away (Deluxe Edition)",2014-08-05,48,44,0,48,0,10,-7,C♯/D♭ Major,4,2uXlHCUbq9OMUwx3hrk06o,AULI01385760
32,"Cigarette Daydreams","Cage The Elephant",114,10B,68,2026-01-08,03:28,80,"","Melophobia",2013-10-08,64,8,0,27,0,0,-3,D Major,4,2tznHmp70DxMyr2XhWLOW0,USRC11301169
33,"Dreams","The Cranberries",129,12B,65,2026-01-08,04:31,84,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,55,0,0,51,0,40,-13,E Major,4,4JGKZS7h4Qa16gOU3oNETV,USIR29300080
34,"Drinking Til It Does","Morgan Wallen",116,9B,60,2026-01-08,03:10,70,"country","I’m The Problem",2025-05-16,63,50,0,47,0,10,-5,G Major,4,5gGz4XkNZV335nYgs34Ro7,USUG12501625
35,"Ends of the Earth","Ty Myers",130,11B,30,2026-01-08,04:29,62,"country","Ends of the Earth",2024-10-18,65,26,0,23,0,10,-8,A Major,3,30rU9CBF5cwiexNHJffkLS,USQX92404450
36,"Sundress","A$AP Rocky",125,2B,71,2026-01-08,02:38,83,"rap","Sundress",2018-11-20,72,18,0,74,0,10,-6,F#/G♭ Major,4,2aPTvyE09vUCRwVvj0I8WK,USRC11803252
37,"Everywhere, Everything (with Gracie Abrams)","Noah Kahan,Gracie Abrams",180,1B,36,2026-01-08,04:17,81,"","Stick Season (Forever)",2024-02-09,30,54,0,28,0,10,-10,B Major,3,745JbQYxoYIegHzHTUxETp,USUM72317571
38,"There She Goes","The La's",123,9B,76,2026-01-08,02:42,73,"britpop, jangle pop","The La's",1990-00-00,53,1,83,92,0,20,-11,G Major,4,4c6vZqYHFur11FbWATIJ9P,GBAQT8800001
39,"Here Comes The Sun - Remastered 2009","The Beatles",129,11B,54,2026-01-08,03:05,84,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,56,3,0,39,0,10,-10,A Major,4,6dGnYIeXmHdcikdzNNDMm2,GBAYE0601696
