#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,2026-03-21,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
2,"Sunflower","Rex Orange County",130,2B,77,2022-11-05,04:12,2,"bedroom pop","Sunflower",2017-03-22,38,65,0,57,0,50,-4,F#/G♭ Major,4,4EpZ4eYuZOwPSSwyqpdHnJ,US23A1500468
3,"I Just Might","Bruno Mars",103,7B,71,2026-03-21,03:32,93,"","I Just Might",2026-01-09,79,5,0,88,0,10,-6,F Major,4,12bYYQaLqHliSXvRIYlq8G,USAT22509144
4,"Here Comes The Sun - Live In Japan, 1991 / 2004 Mix","George Harrison",125,11B,57,2022-11-05,03:31,18,"","Live In Japan",1992-07-13,61,43,0,64,0,80,-12,A Major,4,4gdhsYfXJoVQsWpbmh32Da,GBEXP0300068
5,"Cooler Than Me - Single Mix","Mike Posner,Gigamesh",130,6A,82,2022-11-05,03:33,66,"nu disco, french house, indie dance","31 Minutes to Takeoff",2010-00-00,75,15,0,65,0,60,-5,G Minor,4,495O1Affo7AurEPQcvcr18,USJAY1000035
6,"Warm (feat. Mia)","Dre'es,Mia",94,4B,30,2022-11-05,04:15,0,"vietnamese hip hop, v-pop, vietnam indie","Warm (feat. Mia)",2017-10-19,66,89,11,43,0,10,-15,G#/A♭ Major,4,3kBofOTKMUZ62a311eUwvx,TCADH1765721
7,"Meet Me At Our Spot","THE ANXIETY,WILLOW,Tyler Cole",95,10B,47,2022-11-05,02:42,76,"","THE ANXIETY",2020-03-13,77,2,0,40,0,0,-8,D Major,4,07MDkzWARZaLEdKxo6yArG,QMJMT2002693
8,"Lovesick","Peace",152,12B,84,2022-11-05,02:12,39,"","In Love",2013-03-25,39,1,0,54,0,20,-5,E Major,4,2NqVgVZstbhxp3FF8RieCa,GBARL1300129
9,"Here With Me","d4vd",132,12B,47,2022-11-15,04:02,5,"","Here With Me",2022-09-22,57,53,0,29,0,10,-8,E Major,4,78Sw5GDo6AlGwTwanjXbGh,QZMEM2209263
10,"Home","Edward Sharpe & The Magnetic Zeros",112,10B,59,2022-11-15,05:06,4,"","Up From Below",2009-07-12,54,29,0,12,0,10,-7,D Major,4,0cBPuDA3xUjR4Vh9o7CKy8,USVR90954206
11,"Anything You Want","JAWNY",112,11A,78,2022-11-15,02:03,60,"bedroom pop","Anything You Want",2020-02-27,80,14,0,93,0,10,-5,F#/G♭ Minor,4,78LMazmfqncADjyJVae8dN,USUG12000587
12,"Backyard Boy","Claire Rosinkranz",138,7B,64,2022-11-15,02:09,66,"","Backyard Boy (Stripped)",2020-10-02,82,32,0,45,10,0,-7,F Major,4,04F42oEuKrRComYJfJuyVR,QZHN62022495
13,"Maybe","RICEWINE",92,11B,31,2022-11-15,04:04,41,"bedroom pop","Flood",2017-01-01,66,95,83,49,0,30,-11,A Major,4,7sljA9XJXVCbbXLK5XpDtu,GBSMU3778737
14,"Tek It - Sped Up","Cafuné",169,3A,95,2022-11-15,02:46,76,"","Tek It (I Watch the Moon)",2019-00-00,35,0,0,38,10,0,-5,A#/B♭ Minor,4,0MnTkIEP4zZN1IUSu8MvIz,USEE12200097
15,"Fine","Lemon Demon",135,8B,81,2023-01-12,04:39,65,"","Dinosaurchestra",2006-07-20,71,8,0,44,0,0,-9,C Major,4,2GlV9w8oHSQdiPPk9lxqlp,USTCD1050479
16,"I Love You So","The Walters",76,6B,65,2023-01-21,02:40,87,"","I Love You So",2014-11-28,57,58,0,47,0,10,-5,A#/B♭ Major,4,4SqWKzw0CbA05TGszDgMlc,TCACC1438995
17,"Put Your Records On","Ritt Momney",91,11A,49,2024-03-23,03:30,0,"bedroom pop","Put Your Records On",2020-04-24,40,6,0,16,0,10,-11,F#/G♭ Minor,4,1fah1uAs7HeTYDlNftKr3K,QZDA82017347
18,"Dancing in the Moonlight","Toploader",119,6B,86,2024-03-23,03:52,79,"","Onka's Big Moka",2000-00-00,63,6,0,87,0,30,-3,A#/B♭ Major,4,3Fzlg5r1IjhLk2qRw667od,GBBBL9902165
19,"Girls Just Want to Have Fun","Cyndi Lauper",120,2B,80,2024-03-23,03:58,83,"","She's So Unusual",1983-10-14,71,22,0,73,0,30,-5,F#/G♭ Major,4,4y1LsJpmMti1PfRQV9AWWe,USSM18300548
20,"Love Grows (Where My Rosemary Goes)","Edison Lighthouse",109,11B,82,2024-03-23,02:54,75,"","Love Grows (Where My Rosemary Goes) & Other Gems",1970-01-01,57,40,0,75,0,0,-5,A Major,4,5Ts1DYOuouQLgzTaisxWYh,GBBPJ9800675
21,"This Side of Paradise","Coyote Theory",158,11B,66,2024-03-23,04:02,79,"","Color",2011-06-20,31,43,0,32,0,10,-6,A Major,4,79EkGysjP2dL5GdpeQjRxT,QMW9F1100003
22,"Manic Monday","The Bangles",122,10B,57,2024-03-23,03:04,60,"jangle pop","Different Light",1985-07-11,69,34,0,87,0,20,-12,D Major,4,7Di7t9yGoxdZRLAt5a4pi0,USSM18500268
23,"Sir Duke","Stevie Wonder",107,2B,57,2024-03-23,03:52,74,"motown, classic soul, soul","Songs In The Key Of Life",1976-09-28,59,16,0,95,0,0,-10,F#/G♭ Major,4,4pNiE4LCVV74vfIBaUHm1b,USMO17600526
24,"Give It Up","KC & The Sunshine Band",125,5B,62,2024-03-23,04:13,72,"disco","All In a Night's Work (Expanded Version)",2016-03-11,86,2,0,88,0,0,-12,D#/E♭ Major,4,3yDhZq8f17SmumVmEyCaRN,USSM19801505
25,"Grease","Frankie Valli",109,1B,47,2024-03-23,03:21,56,"doo-wop","The Very Best of Frankie Valli & The 4 Seasons",2003-01-14,81,22,0,87,0,0,-9,B Major,4,11ZnVkr0UJiTM14qAa8MW1,USRH10450941
26,"Valerie (feat. Amy Winehouse) - Version Revisited","Mark Ronson,Amy Winehouse",106,3B,83,2024-12-13,03:39,83,"","Version",2007-04-16,70,0,0,89,0,10,-5,C♯/D♭ Major,4,6kopmMZiyLmw7h66uXcXR7,GBARL0700173
27,"Ladies Night","Kool & The Gang",112,11B,43,2024-03-23,06:25,63,"disco, funk","Ladies' Night",1979-05-13,66,15,0,93,10,0,-16,A Major,4,2uKJxjqcFu2Pr2CEsGGYJa,USMR17989031
28,"Ain't No Stoppin' Us Now","McFadden & Whitehead",114,3B,69,2024-03-23,07:00,60,"philly soul, disco","McFadden & Whitehead",1979-05-01,68,6,0,89,0,0,-8,C♯/D♭ Major,4,4Ymk3pqpkGx19gyxxUj5LK,USSM17801255
29,"Everybody Dance","CHIC",128,7B,69,2024-03-23,04:07,57,"disco, funk","Good Times: The Very Best Of Chic & Sister Sledge",2013-05-20,83,1,0,95,10,10,-9,F Major,4,2tSzHVPE05bV6mFwm2Tndd,USAT20505173
30,"Superstition","Stevie Wonder",100,4B,64,2024-03-23,04:27,48,"motown, classic soul, soul","The Definitive Collection (Deluxe Edition)",2002-10-29,61,3,0,88,0,0,-12,G#/A♭ Major,4,0lsNyP9sbzdAuAWhSspWeb,USMO17200984
31,"Boogie Nights","Heatwave",119,10A,62,2024-03-23,05:03,60,"disco, funk","Too Hot to Handle (Expanded Edition)",1977-06-27,63,17,0,67,0,10,-11,B Minor,4,4NTSDu34al733aIuUWVJHo,GBBBM9999966
32,"Waterloo","ABBA",148,10B,95,2024-03-23,02:48,74,"","Waterloo",1974-00-00,45,40,0,65,0,0,-5,D Major,4,3Dy4REq8O09IlgiwuHQ3sk,SEAYD7415010
33,"More Than A Woman","Bee Gees",106,9B,70,2024-03-23,03:16,69,"disco","How Can You Mend A Broken Heart",2020-12-11,60,18,0,67,0,50,-6,G Major,4,2cX2coZS1PYBfPs8wgbdWE,NLF057790033
34,"I Think I Like When It Rains","WILLIS",124,11B,46,2024-03-23,04:38,4,"","Locals 2",2017-06-12,62,4,0,27,0,10,-7,A Major,4,1A3tuE6ti9qoZDwB3LB0t2,QMAAK1724976
35,"Rosyln","Bon Iver,St. Vincent",160,3A,28,2022-11-05,04:49,76,"art pop","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009-10-16,33,97,2,12,0,10,-13,A#/B♭ Minor,3,4k7x3QKrc3h3U0Viqk0uop,USAT20903243
36,"Hey Lover!","Wabie",117,12B,74,2024-03-23,02:42,67,"bedroom pop","Cyclones and Hey Lover",2019-06-19,59,1,0,52,0,30,-10,E Major,4,7rC3P7tpWriaC4hYWKwGQd,QZFYZ1923384
37,"Alright","Supergrass",146,9A,96,2024-03-23,03:00,4,"britpop","I Should Coco",1995-05-15,47,0,20,70,0,30,-5,E Minor,4,5xC8uOesnn0udeXAYlAnoY,GBAYE9500044
38,"Babydoll","Dominic Fike",168,6A,60,2024-03-23,01:37,96,"","Don't Forget About Me, Demos",2018-10-16,76,11,0,85,10,0,-5,G Minor,4,7yNf9YjeO5JXUE3JEBgnYc,USQX91802457
39,"End of Beginning","Djo",160,10B,45,2024-03-23,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
40,"Always Forever","Cults",163,4B,74,2024-03-23,03:43,80,"","Static",2013-10-15,17,0,28,36,0,20,-6,G#/A♭ Major,4,2enPRFda84VE2wtI8c86Uf,USSM11303912
41,"Hey Lover","The Daughters Of Eve",128,6A,48,2024-10-28,02:24,70,"","Hey Lover / Stand by Me",1966-02-05,48,26,0,69,0,30,-11,G Minor,4,0bhwnn2xqnBUcMZDcXNuII,QM4TW2176822
42,"Something About You","Eyedress,Dent May",133,8A,78,2024-10-28,02:33,59,"","Mulholland Drive",2021-08-27,65,3,1,82,0,30,-9,A Minor,4,6RiiSy9GzSwiyDEJDiMuKe,GBMYF2000174
43,"Get Down On It","Kool & The Gang",112,8A,39,2024-12-13,04:53,71,"disco, funk","Something Special",1981-00-00,85,8,0,97,0,0,-15,A Minor,4,4Cv6ongCvJy9JfSkWVnb5D,USDJ20110815
44,"Disco","Surf Curse",173,10A,62,2024-12-13,02:32,80,"indie","Disco",2019-06-12,47,3,0,78,0,10,-9,B Minor,4,2Lumsra3kuU61wXkEKzKaK,USAT22103311
45,"New Flesh","Current Joys",166,11B,59,2024-12-13,02:47,1,"lo-fi indie","Wild Heart",2013-01-02,62,89,50,70,0,0,-16,A Major,4,1QYwn5SIJesFNStd2EqwGl,TCACS1660968
46,"Kids","Current Joys",113,2B,66,2024-12-13,04:29,78,"lo-fi indie","Kids",2015-03-08,83,52,36,90,0,0,-10,F#/G♭ Major,4,6cMMZ2pdP4PkYsVJqX2WUh,TCACS1677524
47,"Suddenly I See","KT Tunstall",100,8B,77,2024-12-13,03:21,80,"","Eye To The Telescope",2005-01-01,59,23,0,66,0,10,-6,C Major,4,5p9XWUdvbUzmPCukOmwoU3,GBGLM0400069
48,"Scar Tissue","Red Hot Chili Peppers",89,8B,72,2024-12-13,03:35,88,"funk rock, alternative rock, rock","Californication (Deluxe Edition)",1999-06-08,60,8,0,55,0,10,-5,C Major,4,1G391cbiT3v3Cywg8T7DM1,USWB19900674
49,"Death Cup","Mom Jeans.",86,3B,75,2024-12-13,04:36,69,"midwest emo, emo, indie punk, math rock","Best Buds",2016-07-03,35,9,0,57,0,10,-9,C♯/D♭ Major,4,19aUuDd6udp1ACNo9t3IuZ,TCACP1635556
50,"Better in the Dark","Jordana,TV Girl",90,11B,64,2024-12-13,02:35,82,"","Summer's Over",2021-10-13,68,28,0,70,0,60,-7,A Major,4,3SeDS5sSoWnwAZvVgkdKzf,QM5BK1900509
51,"Right Side of My Neck","Faye Webster",117,3B,52,2024-12-13,02:33,72,"","Atlanta Millionaires Club",2019-05-24,72,0,0,32,0,30,-9,C♯/D♭ Major,4,3cxZT78mZDyLsLPJKcTu3U,US38W1937602
52,"Naive","The Kooks",101,1A,81,2024-12-13,03:23,78,"indie, indie rock","Inside In / Inside Out",2006-01-01,39,8,0,74,0,10,-6,G#/A♭ Minor,4,7BHPGtpuuWWsvE7cCaMuEU,GBAAA0500836
53,"Stupid Girl","Garbage",120,1B,73,2024-12-13,04:19,40,"","Anthology",2022-11-21,63,0,0,64,0,0,-5,B Major,4,4dC0fWZm8tU5dNdVutSMVP,GB5KW2202078
54,"Mary Jane (All Night Long)","Mary J. Blige",87,4A,29,2024-12-13,04:39,56,"r&b","My Life",1994-00-00,79,14,0,88,0,0,-10,F Minor,4,1GmqbthsQEpnLiU1hnlFVn,USMC19443975
55,"Juna","Clairo",142,5B,71,2024-12-13,03:15,79,"bedroom pop","Charm",2024-07-12,61,24,10,45,0,10,-6,D#/E♭ Major,4,2mWfVxEo4xZYDaz0v7hYrN,USA2P2416229
56,"Hey Jude","The Beatles",74,7B,63,2024-12-13,03:58,74,"classic rock, psychedelic rock","Love",2006-11-17,46,9,0,59,0,40,-7,F Major,4,1eT2CjXwFXNx6oY5ydvzKU,GBAYE0601566
57,"Wonderwall","Oasis",175,10B,85,2024-12-13,04:18,77,"britpop, madchester","(What's The Story) Morning Glory?",1995-10-02,41,0,0,46,0,10,-6,D Major,4,1qPbGZqppFwLwcBC1JQ6Vr,GBAAW9500189
58,"Rock Your Baby","George McCrae",104,3B,91,2024-12-13,03:20,65,"disco, classic soul","The Singles 1974 - 76",2010-10-15,59,17,0,89,0,0,-6,C♯/D♭ Major,4,6pMHMzwTsWIxLigr54GGVm,GBAYE7400155
59,"Reptilia","The Strokes",158,11B,65,2024-12-13,03:39,77,"garage rock, indie rock, alternative rock","Room On Fire",2003-10-28,49,0,71,77,0,10,-5,A Major,4,57Xjny5yNzAcsxnusKmAfA,USRC10301519
60,"Metal Guru","T. Rex",128,10A,95,2024-12-13,02:29,45,"glam rock, proto-punk","The Slider",1972-07-21,31,0,0,52,10,30,-3,B Minor,4,0HoMdjB1XwwMlyPfTV7DEj,GBAFR7210009
61,"Sex on Fire","Kings of Leon",153,11B,91,2024-12-13,03:23,73,"","Only By The Night",2008-09-23,54,0,1,37,0,10,-6,A Major,4,5A1FmxbYVRZKy4nc16MAue,USRC10800300
62,"Spooky","Dusty Springfield",106,9A,45,2024-12-13,02:44,71,"","Dusty... Definitely (Expanded Edtion)",1968-11-22,75,50,0,96,0,0,-13,E Minor,4,3MtP9T0WF4xbIo8vqHYeXM,GBF087000558
63,"Stupid Girl - 2015 Remaster","Garbage",120,12A,76,2024-12-13,04:17,59,"","Garbage (20th Anniversary Super Deluxe Edition)",1995-08-15,63,0,0,67,0,0,-5,C♯/D♭ Minor,4,0ezoKbJegQvIzPY3yCkqdu,USGF19500408
64,"Don't Look Back In Anger","Oasis",164,8B,92,2024-12-13,04:47,74,"britpop, madchester","(What's The Story) Morning Glory?",1995-10-02,35,3,0,21,0,10,-4,C Major,4,7ppPZa3TRUSGKaks9wH7VT,GBAAW9500190
65,"Iris","The Goo Goo Dolls",156,10A,72,2024-12-13,04:49,94,"","Dizzy up the Girl",1998-00-00,32,0,0,50,0,0,-8,B Minor,3,6Qyc6fS4DsZjB2mRW9DsQs,USWB19800160
66,"You Sexy Thing","Hot Chocolate",106,7B,73,2024-12-13,04:04,74,"","Hot Chocolate",1975-00-00,79,52,0,96,0,10,-5,F Major,4,714hERk9U1W8FMYkoC83CO,GBAYE0900553
67,"Mr. Brightside","The Killers",148,3B,91,2024-12-13,03:42,92,"alternative rock","Hot Fuss",2004-00-00,35,0,0,24,0,10,-5,C♯/D♭ Major,4,003vvx7Niy0yvhvHt4a68B,USIR20400274
68,"Boys Don't Cry","The Cure",169,10A,84,2024-12-13,02:35,85,"new wave, post-punk, gothic rock, darkwave","Three Imaginary Boys",1979-05-11,46,1,0,67,0,10,-6,B Minor,4,1QFh8OH1e78dGd3VyJZCAC,GBALB7800001
69,"Lovefool","The Cardigans",112,11B,64,2024-12-13,03:13,85,"swedish pop","First Band On The Moon (Remastered)",1996-01-01,70,3,0,89,0,30,-6,A Major,4,7aQjPecQdIuNd1sz3KCDhD,SEBKB9629380
