#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Miserable Man","David Kushner",110,6B,35,2025-01-28,03:52,1,"","Miserable Man",2022-01-07,63,93,0,31,0,20,-10,A#/B♭ Major,4,6gPPoRYJwCsoB2VVdPJfmo,QZD5H2000385
2,"Fine line - Instrumental","Kapa Boy",109,8B,28,2025-01-28,01:53,66,"","Fine line (Instrumental)",2022-10-14,64,94,54,5,0,10,-16,C Major,4,2DQPiyq5H4evGiR1ta6BT4,QZAKB2202712
3,"Fine line - Instrumental (Slowed & Reverb)","Kapa Boy",91,10B,19,2025-01-28,02:15,45,"","Fine line - Instrumental (Slowed & Reverb)",2023-01-21,60,95,82,7,0,0,-18,D Major,4,6eDtNHmj3nWqGTbqGQT7oC,QZJG52358292
4,"The Roads","Jonah Kagen",110,12A,51,2025-01-28,04:10,55,"folk pop, pop singer-songwriter","The Roads",2023-07-07,41,19,0,34,0,0,-9,C♯/D♭ Minor,4,1z8cabK9f2r2pXWx30ErUW,USAR12300194
5,"Chemtrails Over The Country Club","Lana Del Rey",201,9A,28,2025-01-28,04:31,81,"","Chemtrails Over The Country Club",2021-03-19,33,88,0,43,0,10,-13,E Minor,3,7bPWdJgx8vek7S5i5yAtvG,GBUM72006081
6,"her","JVKE",144,1B,59,2025-01-28,02:51,82,"","her",2024-08-30,43,93,0,58,0,50,-6,B Major,4,6G9YlbU3ByPJQvOFDRdwyM,QMBZ92455368
7,"he loves me, he loves me not","Jessica Baio",180,4A,67,2025-01-28,02:37,49,"","petals",2024-01-12,49,2,0,37,20,50,-7,F Minor,4,5ftDdWVTk330Wbnm2eRf89,QZJ842004373
8,"Lovers","Anna of the North",95,4B,49,2025-01-28,03:35,77,"","Lovers",2017-09-08,46,47,1,42,0,10,-9,G#/A♭ Major,4,6bZuZKR8hoyzZXNh1IW2Bu,USLGZ1700007
9,"Wage es zu glauben","XAVAS",184,1B,85,2025-01-28,03:35,0,"german hip hop, german pop","Gespaltene Persönlichkeit",2012-00-00,52,5,0,68,30,0,-7,B Major,4,3cI4CLpxiB80gsSgZIAGGB,DES811200145
10,"Vertigo","Edwin Rosen",157,4B,87,2025-01-28,03:30,66,"german indie, german indie pop, neue deutsche welle","Vertigo",2022-01-28,49,1,2,35,0,0,-5,G#/A♭ Major,4,3Iq8XToI0I9KSnqovkv1AV,DECE72200010
11,"midnight city (slowed reverb)","ciaffa,fedo DJ,kadirhho",85,6A,56,2025-01-28,04:55,0,"","midnight city (slowed reverb)",2023-11-07,40,16,10,18,0,60,-12,G Minor,4,3GNks1GsKDn9wKGF9pDpE5,QZ93L2120905
12,"Crush!!!","Arden Alexa",112,3B,58,2025-01-28,03:06,27,"","Crush!!!",2024-11-20,75,1,0,72,0,10,-5,C♯/D♭ Major,4,7JVlLT9yZbHPPASMKLXKDW,QZWFK2495336
13,"Better Me For You (Brown Eyes)","Max McNown",76,8B,65,2025-01-28,03:14,6,"","Better Me For You (Brown Eyes)",2024-11-14,57,17,0,56,0,10,-6,C Major,4,6xOsGr1dhXhhdX6ingWN4v,QMGVJ2400200
14,"Remember Me (from the series Arcane League of Legends)","d4vd,Arcane,League of Legends",131,5A,59,2025-01-28,02:02,62,"score, ","Remember Me (from the series Arcane League of Legends)",2024-11-15,48,13,39,37,0,20,-8,C Minor,4,5oi8dkse5YTnTSWm3XgMET,USA2P2459595
15,"Fine Line","Harry Styles",121,10B,35,2025-01-28,06:17,80,"","Fine Line",2019-12-13,31,17,0,5,0,0,-9,D Major,4,6VzcQuzTNTMFnJ6rBSaLH9,USSM11912596
16,"Ma Meilleure Ennemie (from the series Arcane League of Legends)","Stromae,Pomme,Arcane",88,9A,60,2025-01-28,02:27,75,"french pop, score","Ma Meilleure Ennemie (from the series Arcane League of Legends)",2024-11-23,68,0,0,37,10,20,-8,E Minor,4,4lriIG2vNqwDWzOj2I9rtj,USA2P2459602
17,"FAKE LOVE (Rocking Vibe Mix)","BTS",155,7A,80,2025-01-28,03:58,43,"k-pop","FAKE LOVE (Rocking Vibe Mix)",2018-06-04,47,6,0,35,0,40,-4,D Minor,4,7tpnGo2FeV8WTWTboXAAg7,QM4TX1856204
18,"Mystery of Love","Sufjan Stevens",132,9A,27,2025-01-28,04:08,80,"baroque pop","Mystery of Love",2017-12-01,37,94,43,24,0,10,-17,E Minor,5,5GbVzc6Ex5LYlLJqzRQhuy,US64G1737302
19,"See Her Out (Thats Just Life)","Francis and the Lights",158,12B,46,2025-01-28,03:30,63,"","Farewell, Starlite!",2016-09-26,54,79,0,36,0,10,-9,E Major,4,5zheSFviZNgeZLvZCOxQnE,TCACR1678591
20,"cut my hair","Tate McRae",164,7A,71,2025-01-28,02:55,64,"","THINK LATER",2023-12-08,60,8,0,45,0,10,-4,D Minor,4,2byJqu4cw657Y7G6nFogkG,USRC12302988
21,"Hold Back The River","James Bay",135,7B,72,2025-01-28,03:58,66,"","Chaos And The Calm",2015-03-23,72,5,0,51,0,0,-7,F Major,4,72FNf7DAlWLmuHiLTBcNHY,USUM71413733
22,"The Exit","Conan Gray",82,8B,42,2025-01-28,03:41,72,"","Superache",2022-06-24,58,61,0,45,0,0,-10,C Major,4,6PDWMQJ55ZYrGrSx3EZzl4,USUM72204112
23,"Real Love Baby","Father John Misty",204,9B,69,2025-01-28,03:09,78,"","Real Love Baby",2016-07-26,42,10,3,63,0,10,-6,G Major,4,0Z57YWES04xGh3AImDz6Qr,USSUB1618101
24,"Coming Back (feat. SZA)","James Blake,SZA",86,3A,50,2025-01-28,03:15,60,"r&b","Friends That Break Your Heart",2021-10-08,65,63,27,10,0,10,-7,A#/B♭ Minor,4,2pSsHnjAgEPjHmet7ChlHQ,USUM72109423
25,"Champagne Coast","Blood Orange",123,11B,41,2025-01-28,04:52,80,"art pop","Coastal Grooves",2011-08-08,81,2,39,76,0,0,-13,A Major,4,0AIpGG5dxEgnAymhdJRSZ0,GBCEL1100251
26,"Vanilla Baby","Billie Marten",116,9A,8,2025-01-28,04:15,53,"","Feeding Seahorses by Hand",2019-04-26,43,93,0,18,0,10,-20,E Minor,4,0jsXpJsdXhnwnwnCLKjYLF,GBARL1900007
27,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,2025-01-28,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
28,"The Beginning","Flawed Mangoes",156,3B,39,2025-01-28,02:55,55,"","The Beginning/Birdsong",2023-09-01,47,85,87,34,0,10,-14,C♯/D♭ Major,4,0BkWtEXXzkDMadmURIQhRp,QM24S2306183
29,"would've been you","sombr",80,3B,38,2025-01-28,03:03,80,"","would've been you",2023-11-17,31,74,17,14,0,10,-13,C♯/D♭ Major,4,2U7svZUGvR4tfKdyxv9mXu,USWB12306830
30,"Anchor","Novo Amor",117,11B,41,2025-01-28,04:17,81,"ambient folk","Bathing Beach",2017-05-26,46,81,88,13,0,10,-11,A Major,4,7qH9Z4dJEN0l9bidizW7fq,TCACI1562836
31,"Take me to where your heart is","Shaya Zamora",114,12A,19,2025-01-28,03:03,47,"christian folk","Take me to where your heart is",2023-08-24,74,97,0,8,0,10,-16,C♯/D♭ Minor,3,4IRCyZV6TF6bnuhcTytqSw,USLD91750285
32,"Die For You","Joji",148,4B,52,2025-01-28,03:31,4,"","SMITHEREENS",2022-11-04,47,38,13,15,0,20,-7,G#/A♭ Major,4,26hOm7dTtBi0TdpDGl141t,USWB12203732
33,"Pluto","June Divided",134,3A,32,2025-01-28,03:42,0,"","Body Wars",2018-08-24,49,63,41,12,0,10,-12,A#/B♭ Minor,4,6a6OYwOX4mcg32nXhYNhiV,QM4TX1827784
34,"Beautiful Crime","Tamer",170,10A,76,2025-01-28,04:32,56,"","Beautiful Crime",2015-04-09,44,7,0,38,0,0,-7,B Minor,4,4NZKQIAbpUPd0jn0CzvRpS,TCACF1501233
35,"mess it up","gio.",159,12A,88,2025-01-28,02:08,57,"christian hip hop, christian pop, christian, christian r&b","mess it up",2022-11-18,67,5,0,85,0,0,-5,C♯/D♭ Minor,4,7m7KJInnMn0PEs8CPqHgkc,QZS7J2243833
36,"Wash.","Bon Iver",163,8B,15,2025-01-28,04:58,72,"","Bon Iver, Bon Iver",2011-06-21,31,99,26,33,0,0,-19,C Major,3,7rIhp6EWLNtM8qFIQruJPT,US38Y1113507
37,"State Lines","Novo Amor",137,11B,31,2025-01-28,03:28,75,"ambient folk","Birthplace",2018-10-19,51,96,23,15,0,10,-11,A Major,3,7CoMBpPTwQi2wPT0U0Nr9b,GB45A1800990
38,"Home","Good Neighbours",77,2B,67,2025-01-28,02:37,71,"","Home",2024-01-17,58,3,6,14,0,10,-4,F#/G♭ Major,4,68mOSKT4uBkKddEAhlMO61,GBUM72400322
39,"You’re Gonna Go Far","Noah Kahan",170,9B,36,2025-01-28,04:46,82,"","Stick Season (We'll All Be Here Forever)",2023-06-09,59,56,0,37,0,10,-10,G Major,4,4nHJcUtNSUVjXRnjdP29Bk,USUM72307687
40,"4runner","Brenn!",128,3B,51,2025-01-28,04:25,68,"","County Line",2024-02-09,59,32,0,48,10,40,-11,C♯/D♭ Major,4,30Uu3CWjWfudnTGTIrw93V,USUG12302565
41,"Skin and Bones","David Kushner",117,6B,46,2025-01-28,03:34,1,"","Skin and Bones",2024-01-19,48,65,48,17,0,10,-10,A#/B♭ Major,4,7aZDcmt34eouhqw29aMR91,QZXDB2300047
