#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Mas Que Nada - 2011 Rio Version","Sérgio Mendes,Gracinha Leporace",95,4A,65,2023-07-16,02:44,56,"brazilian jazz, bossa nova, samba, ","Rio: Music From The Motion Picture",2011-01-01,52,69,0,95,0,20,-8,F Minor,4,6eNHrgrgbMFQpQ5qFEPL6h,USFM91100004
2,"Hot Wings (I Wanna Party)","will.i.am,Jamie Foxx,Anne Hathaway",130,11A,69,2023-07-16,02:16,70,"musicals","Rio: Music From The Motion Picture",2011-01-01,74,1,0,68,0,0,-6,F#/G♭ Minor,4,0BxhafwvN6GXIyyvi27A0I,USFM91100003
3,"Real In Rio","Jesse Eisenberg,Jamie Foxx,Anne Hathaway,George Lopez,will.i.am,The Rio Singers",142,10A,72,2023-07-16,03:47,60,"musicals, comedy, ","Rio: Music From The Motion Picture",2011-01-01,53,20,0,42,30,30,-9,B Minor,4,3qytQlsWcXeVQ2gR2mx8VI,USFM91100006
4,"Tacatá","Perreo Dance Radio",128,1A,80,2023-07-16,03:56,46,"","2014 Fiesta de Nochevieja. 25 Éxitos de Música para Bailar",2012-11-19,80,2,0,87,10,20,-10,G#/A♭ Minor,4,6LN8DFHGvW3KHfexvOanbF,ES5631206686
5,"Samba de Janeiro","Bellini",133,10B,98,2023-07-16,02:48,68,"","Samba de Janeiro",1997-08-01,66,1,63,97,0,30,-4,D Major,4,5aIfLbdgkbH7NbQryd1poB,DEP992200029
6,"Beautiful Creatures","Barbatuques,Andy Garcia,Rita Moreno",103,8B,85,2023-07-16,02:07,0,"musicals","Rio 2 Music From The Motion Picture",2014-03-17,72,62,0,70,0,0,-8,C Major,4,4jq2VvGRwwtTDdvhnsXNAp,USAT21400679
7,"Let Me Take You To Rio - Blu's Arrival","Ester Dean,Carlinhos Brown",96,10A,70,2023-07-16,01:54,48,"axé","Rio: Music From The Motion Picture",2011-01-01,67,9,0,49,0,10,-9,B Minor,4,6ihp6Y28KwbBRg1XMvTFSz,USFM91100002
8,"What Is Love","Janelle Monáe",120,8A,90,2023-07-16,03:32,56,"alternative r&b","What Is Love",2014-03-04,67,9,0,70,10,0,-5,A Minor,4,4qwD0NoxEl2xKbYxx2vhcg,USAT21400677
9,"Rio Rio (feat. B.o.B)","Ester Dean,B.o.B",96,9B,73,2023-07-16,02:41,0,"","Rio 2 Music From The Motion Picture",2014-03-17,73,4,0,64,0,30,-7,G Major,4,2o9F28g8xP18nobgPqL1E7,USAT21400678
10,"Makeba","Jain",116,10B,66,2023-07-16,04:09,67,"french pop","Zanaka",2016-10-21,82,39,51,42,0,20,-9,D Major,4,5JdLUE9D743ob2RtgmVpVx,FR9W11508712
