#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Changes - Radio Mix","Faul & Wad,PNAU",126,3B,70,2022-04-09,03:22,67,"afro house, tropical house, ","Changes",2013-12-06,77,1,49,43,0,0,-7,C♯/D♭ Major,4,2SdMEke7JCBEo8t60iyw2r,DEQ321300419
2,"Sonnentanz - Sun Don't Shine","Klangkarussell,Will Heard",120,4A,55,2023-07-11,03:58,73,"","Netzwerk",2014-01-01,58,10,2,16,0,10,-8,F Minor,4,6Qi0Wls2EaolwPMPMxfe5f,DEUM71302894
3,"One Day / Reckoning Song (Wankelmut Remix) [Radio Edit]","Asaf Avidan,The Mojos,Wankelmut",119,2A,67,2022-04-09,03:35,65,"","One Day / Reckoning Song (Wankelmut Remix)",2012-10-08,83,22,0,53,0,10,-6,D#/E♭ Minor,4,5bGG1abhVIUm6EAa36ipRX,DEQ321200132
4,"Jubel - Radio Edit","Klingande",125,8B,53,2025-05-30,03:19,53,"tropical house, deep house","Jubel",2013-01-01,70,65,9,11,0,20,-7,C Major,4,33iK9CzQBhKQ0DoO8xX9yC,FR9W11310765
5,"I Follow Rivers - The Magician Remix","Lykke Li,The Magician",122,8A,70,2022-04-09,04:39,71,"","Wounded Rhymes (Bonus Version)",2011-00-00,79,2,0,30,0,0,-6,A Minor,4,1PnmXdkqRktZT67tE8fv7d,SEVUM1100103
6,"Sun Goes Down (feat. Jasmine Thompson) - Radio Mix","Robin Schulz,Jasmine Thompson",125,2B,72,2022-04-09,02:59,71,"tropical house, ","Prayer",2014-09-16,55,10,0,50,0,30,-6,F#/G♭ Major,4,4zLBcDtvYNVtF9fnG6lme3,DEA621400666
7,"Are You With Me","Lost Frequencies",121,4A,61,2026-03-05,02:18,81,"tropical house","Less Is More",2016-10-21,76,26,0,39,0,10,-8,F Minor,4,4255amV4enzl28KAn16rUO,NLF711403495
8,"Afterglow","Lazy Daze",120,9B,67,2026-03-19,01:52,33,"","Afterglow",2026-03-20,74,33,8,15,0,30,-8,G Major,4,5eYH6Xrx9DeWTpl4ETXviM,DEH742608129
9,"Stolen Dance","Milky Chance",114,1B,58,2022-04-09,05:13,83,"","Sadnecessary",2013-05-31,88,43,0,73,0,0,-9,B Major,4,34xGLuxM0rkxhCVyMSqwJO,DEL211300741
10,"Satellites","Dominic Neill",126,12A,80,2025-09-11,02:43,46,"","Satellites",2025-09-12,59,8,2,48,0,10,-5,C♯/D♭ Minor,4,0PQ6MDZcwglC8JRyVnLoPk,DEH742526705
11,"Riptide","Vance Joy",102,3B,73,2022-04-09,03:24,82,"folk pop","Dream Your Life Away",2014-09-08,48,43,0,51,0,10,-7,C♯/D♭ Major,4,7yq4Qj7cqayVTp3FF9CWbm,AULI01385760
12,"Should Have Said","MISERO,Lazy Daze",120,12A,65,2024-12-12,02:19,50,"","Should Have Said",2024-12-13,82,6,1,78,0,30,-7,C♯/D♭ Minor,4,0Ukxvaj9T20dXSBSbiqVGH,DEH742441363
13,"Safe And Sound","Capital Cities",118,8B,82,2022-04-09,03:12,13,"","In A Tidal Wave Of Mystery (Deluxe Edition)",2013-00-00,66,0,0,77,0,10,-5,C Major,5,6Z8R6UsFuGXGtiIxiD8ISb,USCA21203108
14,"Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick,Robin Schulz",123,8A,89,2022-04-09,03:09,67,"french indie pop, tropical house","Prayer",2014-09-16,76,2,0,78,0,60,-5,A Minor,4,0uVyZywUNOp6S0dU5r8TS8,DEA621400286
15,"Following the Sun","SUPER-Hi,NEEKA",127,11A,83,2022-04-09,03:25,66,"","Following the Sun",2021-07-20,73,40,2,72,0,10,-4,F#/G♭ Minor,4,2sFbdDiEDpyCdP5nUCuGBm,SE5BU2081473
16,"The Sun Always Finds Its Way","Lazy Daze",125,10A,73,2025-05-08,02:10,44,"","The Sun Always Finds Its Way",2025-05-09,76,9,2,84,0,10,-7,B Minor,4,3SW3SYqmkcHMa1dghoCDZ1,DEH742514359
17,"Fade Out Lines - The Avener Rework","The Avener,Phoebe Killdeer",119,12A,73,2022-04-09,04:36,61,"","The Wanderings Of The Avener",2015-02-20,88,2,9,70,0,10,-6,C♯/D♭ Minor,4,1ubVPccf8Vb9mL0XYpVpCV,FRV601400149
