#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Riptide","Vance Joy",102,3B,73,2025-06-09,03:24,82,"folk pop","Dream Your Life Away",2014-09-08,48,43,0,51,0,10,-7,C♯/D♭ Major,4,7yq4Qj7cqayVTp3FF9CWbm,AULI01385760
2,"Kids","MGMT",123,11B,93,2025-06-09,05:02,84,"indie","Oracular Spectacular",2007-12-14,45,0,0,17,0,30,-4,A Major,4,1jJci4qxiYcOHhQR247rEU,USSM10702135
3,"Candy","Robbie Williams",116,6B,79,2025-06-09,03:21,68,"","Take The Crown (Deluxe Edition)",2012-11-05,72,4,0,88,0,0,-7,A#/B♭ Major,4,5NlFXQ0si6U87gXs6hq81B,GBPS61200003
4,"Sweater Weather","The Neighbourhood",124,6B,81,2025-06-09,04:00,73,"","I Love You.",2013-04-19,61,4,2,38,0,10,-3,A#/B♭ Major,4,0cQVqPuHQP4KEwc7ZUQmj6,USSM11300891
5,"It's Raining Men","The Weather Girls",137,3B,74,2025-06-09,05:25,66,"","Success",1982-00-00,69,3,60,56,0,40,-13,C♯/D♭ Major,4,2IvetNzSZMH5gwjInoyr18,USSM18200382
6,"Sailor Song","Gigi Perez",95,1B,41,2025-06-09,03:31,87,"","Sailor Song",2024-07-26,49,68,0,27,0,10,-10,B Major,4,2262bWmqomIaJXwCRHr13j,USHM92438095
7,"End of Beginning","Djo",160,10B,45,2025-06-09,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
8,"That’s So True","Gracie Abrams",109,3B,81,2025-06-09,02:46,91,"","The Secret of Us (Deluxe)",2024-10-18,55,21,0,37,0,10,-4,C♯/D♭ Major,4,7ne4VBA60CxGM75vw0EYad,USUG12406903
9,"Evergreen","Richy Mitch & The Coal Miners",79,5B,22,2025-06-09,01:27,83,"","RMCM",2017-05-17,56,56,0,50,0,10,-12,D#/E♭ Major,3,6me7F0aaZjwDo6RJ5MrfBD,SEYOK1732035
10,"Home","Edward Sharpe & The Magnetic Zeros",112,10B,59,2025-06-09,05:03,72,"","Up from Below",2009-07-14,54,29,0,14,0,10,-7,D Major,4,2x1jP9BexWtOKudvuUHbaD,USVR90954206
11,"Freaks","Surf Curse",180,11B,94,2025-06-09,02:27,86,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
12,"Notion","The Rare Occasions",159,11B,88,2025-06-09,03:15,85,"","Notion",2021-12-02,31,7,0,31,0,0,-4,A Major,4,0sTlGEld0h8kIPZaKDYUf4,USHM21617726
13,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2025-06-09,04:11,87,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110
14,"Lost","Frank Ocean",123,4B,60,2025-06-09,03:54,85,"","channel ORANGE",2012-07-10,91,3,0,50,20,10,-5,G#/A♭ Major,4,3GZD6HmiNUhxXYf8Gch723,USUM71207186
