#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Time of Our Lives","Pitbull,Ne-Yo",124,3B,80,2025-06-03,03:49,87,"","Globalization",2014-11-24,72,9,0,72,0,60,-6,C♯/D♭ Major,4,2bJvI42r8EF3wxjOuDav4r,USRC11402647
2,"Give Me Everything (feat. Nayer)","Pitbull,AFROJACK,Ne-Yo,Nayer",129,4B,94,2025-06-03,04:12,89,"edm, big room, ","Planet Pit (Deluxe Version)",2011-06-17,67,19,0,53,10,30,-3,G#/A♭ Major,4,4QNpBfC0zvjKqPJcyqBy9W,USJAY1100032
3,"Dynamite","Taio Cruz",120,12B,80,2025-06-03,03:23,73,"","Rokstarr",2010-01-01,75,0,0,82,0,0,-3,E Major,4,1DqdF42leyFIzqNDv9CjId,GBUM71003721
4,"California Gurls","Katy Perry,Snoop Dogg",125,8B,75,2025-06-03,03:54,77,"pop, g-funk, west coast hip hop, gangster rap, old school hip hop, hip hop, rap","Teenage Dream",2010-01-01,79,0,0,40,0,10,-4,C Major,4,6KOEK6SeCEZOQkLj5M1PxH,USCA21001135
5,"Scream & Shout","will.i.am,Britney Spears",130,7B,69,2025-06-03,04:43,82,"pop","#willpower",2013-01-01,77,2,0,50,0,10,-7,F Major,4,2iJuuzV8P9Yz0VSurttIV5,USUM71215597
6,"Lady Killers II","G-Eazy",136,6A,57,2025-06-03,04:57,63,"","Lady Killers II",2024-03-17,67,3,1,50,0,10,-10,G Minor,4,068AyhyvE67qMRsMXLqAnd,TCAIA2495220
7,"Diamonds","Rihanna",92,10A,71,2025-06-03,03:45,75,"","Unapologetic (Edited Version)",2012-01-01,56,0,0,40,0,10,-5,B Minor,4,1z9kQ14XBSN0r2v6fx4IdG,USUM71211793
8,"The Less I Know The Better","Tame Impala",117,12B,74,2025-06-03,03:36,90,"neo-psychedelic, indie","Currents",2015-07-17,64,1,1,79,0,10,-4,E Major,4,6K4t31amVTZDgR3sKmwUJJ,AUUM71500303
9,"HandClap","Fitz and The Tantrums",140,4B,84,2025-06-03,03:13,71,"","Fitz and The Tantrums",2016-06-10,64,1,0,72,0,0,-3,G#/A♭ Major,4,7j56HrjR9cGzvekvZY3Faz,USAT21600408
10,"Let Me Love You","DJ Snake,Justin Bieber",200,4B,72,2025-06-03,03:25,90,"","Encore",2016-08-05,48,9,0,16,0,10,-5,G#/A♭ Major,4,0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015
11,"We Are The People","Empire Of The Sun",123,9A,78,2025-06-03,04:27,90,"","Walking On A Dream (10th Anniversary Edition)",2008-10-03,68,8,1,53,0,40,-5,E Minor,4,3zEN0ii6s4DHHBpnTp3RP7,AUEI10800041
12,"Wait a Minute!","WILLOW",101,2A,71,2025-06-03,03:16,86,"","ARDIPITHECUS",2015-01-11,76,4,0,67,0,0,-5,D#/E♭ Minor,4,0y60itmpH0aPKsFiGxmtnh,QMJMT1500801
13,"Walking On A Dream","Empire Of The Sun",127,4A,70,2025-06-03,03:18,3,"","Walking On A Dream",2008-01-01,87,25,0,73,0,0,-6,F Minor,4,3HfhB8sYqLlVmpBPb7cc2x,AUEI10800039
14,"Outside (feat. Ellie Goulding)","Calvin Harris,Ellie Goulding",128,7A,82,2025-06-03,03:47,88,"edm, ","Motion",2014-10-31,65,21,0,42,0,30,-4,D Minor,4,7MmG8p0F9N3C4AXdK6o6Eb,GBARL1401201
15,"Beauty And A Beat","Justin Bieber,Nicki Minaj",128,8B,84,2025-06-03,03:47,85,"","Believe",2012-01-01,60,0,0,53,0,0,-5,C Major,4,6QFCMUUq1T2Vf5sFUXcuQ7,USUM71205367
16,"The Way I Are","Timbaland,Keri Hilson,D.O.E.",115,2B,81,2025-06-03,02:59,87,"","Shock Value",2007-01-01,73,18,75,77,0,30,-6,F#/G♭ Major,4,2bLqfJjuC5syrsgDsZfGmn,USUM70722806
17,"Hotel Room Service","Pitbull",126,3B,63,2025-06-03,03:57,73,"","Pitbull Starring In Rebelution",2009-08-31,85,1,0,74,20,0,-8,C♯/D♭ Major,4,0OPyDgTRuIdCJ9B4bYSths,USJAY0900063
18,"Love Me Again","John Newman",126,7A,89,2025-06-03,03:59,81,"","Tribute",2013-01-01,50,0,0,21,0,10,-5,D Minor,4,5TbzAWWc5eJaANpA9kfGCd,GBUM71301538
19,"Safe and Sound","Capital Cities",118,8B,82,2025-06-03,03:12,85,"","In A Tidal Wave of Mystery",2013-06-04,66,0,0,77,0,10,-5,C Major,5,5JVbvCHX10U2pLa5DEqGav,TCABD1246970
20,"Ni**as In Paris","JAŸ-Z,Kanye West",140,3B,86,2025-06-03,03:39,84,"hip hop, east coast hip hop, rap","Watch The Throne",2011-08-08,79,13,0,78,30,30,-6,C♯/D♭ Major,4,1auxYwYrFRqZP7t3s7w4um,USUM71111621
21,"Starships","Nicki Minaj",125,10A,72,2025-06-03,03:30,76,"","Pink Friday ... Roman Reloaded",2011-01-01,75,14,0,75,0,20,-2,B Minor,4,1oHNvJVbFkexQc0BpQp7Y4,USCM51200060
22,"S&M","Rihanna",128,3B,69,2025-06-03,04:03,87,"","Loud",2010-01-01,77,1,0,84,0,0,-5,C♯/D♭ Major,4,7ySUcLPVX7KudhnmNcgY2D,USUM71026591
23,"Right Round","Flo Rida,Kesha",125,9B,67,2025-06-03,03:24,85,"","R.O.O.T.S. (Route of Overcoming the Struggle)",2009-03-23,72,1,0,71,0,20,-7,G Major,4,3GpbwCm3YxiWDvy29Uo3vP,USAT20900156
24,"Low (feat. T-Pain)","Flo Rida,T-Pain",128,3A,61,2025-06-03,03:51,86,"","Mail on Sunday",2008-03-17,92,9,0,30,0,10,-6,A#/B♭ Minor,4,0CAfXk7DXMnon4gLudAp7J,USAT20705841
25,"Yeah! (feat. Lil Jon & Ludacris)","USHER,Lil Jon,Ludacris",105,10B,79,2025-06-03,04:10,87,"r&b, crunk, southern hip hop","Confessions (Expanded Edition)",2004-03-23,89,2,0,58,10,0,-5,D Major,4,5rb9QrpfcKFHM1EUbSIurX,USAR10301423
26,"Adventure of a Lifetime","Coldplay",112,9B,92,2025-06-03,04:23,87,"","A Head Full of Dreams",2015-12-04,64,0,0,53,0,10,-4,G Major,4,69uxyAqqPIsUyTO8txoP2M,GBAYE1500981
27,"Promiscuous","Nelly Furtado,Timbaland",114,3A,97,2025-06-03,04:02,89,"","Loose",2006-01-01,81,6,0,87,0,10,-6,A#/B♭ Minor,4,2gam98EZKrF9XuOkU13ApN,USUM70603473
28,"Say It Right","Nelly Furtado",117,3B,87,2025-06-03,03:43,85,"","Loose",2006-01-01,87,5,0,81,10,0,-6,C♯/D♭ Major,4,2aI21FnmY7TJVKeMaoQZ0t,USUM70603368
29,"Give It To Me","Timbaland,Justin Timberlake,Nelly Furtado",111,4B,71,2025-06-03,03:54,79,"","Shock Value",2007-04-02,98,17,0,82,0,0,-4,G#/A♭ Major,4,0wbDgMuAoy7O7pL3a69uZx,USUM70700995
30,"No Lie","Sean Paul,Dua Lipa",102,9B,88,2025-06-03,03:41,88,"dancehall, pop","Mad Love The Prequel",2018-06-29,74,5,0,46,10,20,-3,G Major,4,48QmG1dfvMuYLxMPt7KSRA,GBUM71604557
31,"Me, Myself & I","G-Eazy,Bebe Rexha",112,5A,67,2025-06-03,04:11,82,"","When It's Dark Out",2015-12-04,76,2,0,39,10,10,-7,C Minor,4,40YcuQysJ0KlGQTeGUosTC,USRC11502210
32,"Whistle","Flo Rida",104,8B,94,2025-06-03,03:44,80,"","Wild Ones",2012-06-22,75,2,0,74,0,20,-6,C Major,4,3bC1ahPIYt1btJzSSEyyrF,USAT21201745
33,"The Sweet Escape","Gwen Stefani,Akon",120,3B,77,2025-06-03,04:06,79,"","The Sweet Escape",2006-01-01,76,19,0,73,0,10,-4,C♯/D♭ Major,4,66ZcOcouenzZEnzTJvoFmH,USUM70618684
34,"Hey Ya!","Outkast",80,9A,97,2025-06-03,03:55,85,"southern hip hop, hip hop","Speakerboxxx/The Love Below",2003-00-00,73,10,0,97,0,10,-2,E Minor,4,2PpruBYCo4H7WOBJ7Q2EwM,USAR10300924
35,"Rock Your Body","Justin Timberlake",101,9A,71,2025-06-03,04:27,84,"","Justified",2002-11-04,89,20,0,82,10,0,-6,E Minor,4,1AWQoqb9bSvzTjaLralEkT,USJI10200367
36,"Riptide","Vance Joy",102,3B,73,2025-06-03,03:24,88,"folk pop","Dream Your Life Away (Deluxe Edition)",2014-08-05,48,44,0,48,0,10,-7,C♯/D♭ Major,4,2uXlHCUbq9OMUwx3hrk06o,AULI01385760
37,"Lights","Ellie Goulding",120,1A,73,2025-06-03,04:04,74,"","An Introduction To Ellie Goulding EP",2010-01-01,70,7,0,72,0,10,-6,G#/A♭ Minor,4,11ozIUBoXAgRTVWelDn4pL,GBUM71001002
38,"Unforgettable","French Montana,Swae Lee",98,2B,77,2025-06-03,03:53,88,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
