#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Light It Up","Major Lazer,Nyla,Fuse ODG",108,8A,88,2023-04-21,02:46,76,"moombahton, dancehall, azonto, afrobeats, hiplife","Peace Is The Mission : Extended",2015-11-27,75,4,0,75,0,20,-4,A Minor,4,1pjvlYOMIg1NhGQbM6iwrY,QMUY41500182
2,"Follow You","Imagine Dragons",125,11B,73,2023-04-21,02:55,63,"","Follow You / Cutthroat",2021-03-12,54,0,0,49,0,50,-6,A Major,4,7FdUvDkaE24o3FPIWTvzv2,USUM72102981
3,"Cheap Thrills","Sia",90,11A,70,2023-04-21,03:31,80,"","This Is Acting",2016-01-29,63,5,0,73,10,0,-6,F#/G♭ Minor,4,27SdWb2rFzO6GWiYDBTD9j,USRC11502935
4,"Perfect Strangers","Jonas Blue,JP Cooper",118,3B,86,2023-04-21,03:16,79,"tropical house, ","Blue",2018-11-09,73,39,0,70,0,20,-4,C♯/D♭ Major,4,3P3pw6C19j31Rnzgo3JG7o,GBUM71602437
5,"This Is What You Came For","Calvin Harris,Rihanna",124,8A,93,2023-04-21,03:41,80,"edm, ","This Is What You Came For",2016-04-29,63,20,12,47,0,10,-3,A Minor,4,0azC730Exh71aQlOt9Zj3y,GBARL1600460
6,"Roses","The Chainsmokers,ROZES",100,12B,80,2023-04-21,03:46,83,"","Roses",2015-06-16,71,4,0,34,0,30,-7,E Major,4,3vv9phIu6Y1vX3jcqaGz5Z,USQX91500801
7,"YOU M4KE ME","Jan Metternich",90,10B,76,2026-01-01,02:06,58,"","YOU M4KE ME",2023-06-09,68,1,0,57,0,60,-8,D Major,4,2niK0GWQ5Czoc9hyibNs4c,QZK6M2334943
8,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer,Justin Bieber,MØ",93,11A,80,2023-04-21,03:05,73,"moombahton, ","Cold Water (feat. Justin Bieber & MØ)",2016-07-22,61,7,0,50,0,10,-5,F#/G♭ Minor,4,6Bjtr3tPdto5nyuLYf61sN,QMUY41600027
9,"Lush Life","Zara Larsson",98,6A,71,2023-04-22,03:20,94,"","So Good",2017-03-17,69,13,0,80,0,20,-4,G Minor,4,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
10,"No Money","Galantis",126,11A,92,2023-04-21,03:09,69,"","No Money",2016-04-01,67,3,1,80,0,20,-4,F#/G♭ Minor,4,0gb1J5UrTpzaU1s3nupgCd,USAT21600941
11,"Stay (feat. Maty Noyes)","Kygo,Maty Noyes",103,4B,74,2023-04-21,03:59,58,"tropical house, ","Stay (feat. Maty Noyes)",2015-12-04,65,4,0,38,0,10,-8,G#/A♭ Major,4,7gBj0VgcuAgkXkiRRYvSmK,SEBGA1500364
12,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner,Seeb",102,6A,71,2023-04-21,03:17,85,"","At Night, Alone.",2016-05-06,66,4,0,71,10,0,-7,G Minor,4,0vbtURX4qv1l7besfwmnD8,USUM71509342
13,"One Dance","Drake,Wizkid,Kyla",104,3B,63,2023-04-21,02:53,92,"rap, afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano, ","Views",2016-05-06,79,1,0,37,0,30,-6,C♯/D♭ Major,4,1zi7xx7UVEFkmKfv06H8x0,USCM51600028
14,"Closer","The Chainsmokers,Halsey",95,4B,52,2023-04-21,04:04,89,"","Closer",2016-07-29,75,41,0,66,0,10,-6,G#/A♭ Major,4,7BKLCZ1jbUBVqRi2FVlTVw,USQX91601347
15,"Starboy","The Weeknd,Daft Punk",186,9B,59,2023-04-21,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
16,"One More Time","Jan Metternich,StaySolidRocky",169,4A,49,2025-12-31,03:07,53,"","One More Time",2023-02-24,66,9,0,47,0,10,-11,F Minor,4,0Utti4UEp1JuseVpJs7t3S,QZFZ62316980
17,"PILLOWTALK","ZAYN",125,1B,70,2023-04-21,03:22,83,"","Mind Of Mine (Deluxe Edition)",2016-03-25,58,12,0,44,0,0,-4,B Major,4,0PDUDa38GO8lMxLCRc4lL1,USRC11600042
18,"Let Me Love You","DJ Snake,Justin Bieber",200,4B,72,2023-04-21,03:25,90,"","Encore",2016-08-05,48,9,0,16,0,10,-5,G#/A♭ Major,4,0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015
19,"Into You","Ariana Grande",108,11B,73,2023-04-21,04:04,84,"pop","Dangerous Woman",2016-04-01,62,2,0,37,10,10,-6,A Major,4,76FZM38RC8XaAjJ77CVTNe,USUM71601827
20,"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony,Ty Dolla $ign",105,4B,59,2023-04-21,03:34,81,"trap soul","7/27 (Deluxe)",2016-05-27,80,10,0,59,0,0,-6,G#/A♭ Major,4,4tCtwWceOPWzenK2HAIJSb,USSM11600251
21,"Cake By The Ocean","DNCE",119,9A,75,2023-04-21,03:39,84,"","DNCE",2016-11-18,77,15,0,90,0,0,-5,E Minor,4,76hfruVvmfQbw0eYn1nmeC,USUM71514637
22,"Middle","DJ Snake,Bipolar Sunshine",105,11B,70,2023-04-21,03:40,80,"","Encore",2016-08-05,58,1,0,22,0,0,-5,A Major,4,0g5EKLgdKvNlln7TNqBByK,USUM71515784
23,"Lean On","Major Lazer,DJ Snake,MØ",98,6A,81,2023-04-21,02:56,73,"moombahton, ","Peace Is The Mission : Extended",2015-11-27,72,0,0,27,0,50,-3,G Minor,4,2YWjW3wwQIBLNhxWKBQd16,QMUY41500008
24,"Side To Side","Ariana Grande,Nicki Minaj",159,11A,74,2023-04-21,03:46,83,"pop, ","Dangerous Woman",2016-04-01,65,5,0,61,20,20,-6,F#/G♭ Minor,4,44ONERBHALxftQNWq6dmyd,USUM71602107
25,"1HOSE EYE2","Jan Metternich",81,6B,72,2025-12-31,02:34,52,"","Broken Symphonies",2024-07-26,59,7,0,28,0,10,-7,A#/B♭ Major,4,3Ug9mSlyh82G6SnLl2Bhe8,QZMEN2427918
26,"24K Magic","Bruno Mars",107,3B,80,2023-04-21,03:45,86,"","24K Magic",2016-11-18,82,3,0,63,0,10,-4,C♯/D♭ Major,4,6b8Be6ljOzmkOmFslEb23P,USAT21602944
27,"Ocean Drive","Duke Dumont",115,1A,72,2023-04-22,03:26,70,"house","Ocean Drive",2015-07-31,69,1,0,56,0,10,-5,G#/A♭ Minor,4,0b6wdul3A5sQNpIOv03OxP,GBUM71504503
28,"Unforgettable","French Montana,Swae Lee",98,2B,77,2023-04-22,03:53,88,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
29,"Chantaje (feat. Maluma)","Shakira,Maluma",102,1A,77,2023-04-22,03:15,84,"latin pop, reggaeton, latin, urbano latino","El Dorado",2017-05-26,85,19,0,91,0,10,-3,G#/A♭ Minor,4,6mICuAdrwEjh6Y6lroV2Kg,USSD11600299
30,"The Way I Feel","PTM",95,12B,62,2026-03-10,02:41,30,"","The Way I Feel",2020-11-27,80,9,0,76,0,10,-6,E Major,4,3AXQNzBth0tnDsQCjPAeLC,DEZC62029668
31,"My Love (feat. Jess Glynne)","Route 94,Jess Glynne",120,4B,62,2023-04-22,04:19,6,"house, ","My Love (feat. Jess Glynne)",2014-02-28,81,0,72,73,0,0,-8,G#/A♭ Major,4,61UQzeiIluhpzpMdY4ag3q,GBQGW1300182
32,"This Girl (Kungs Vs. Cookin' On 3 Burners)","Kungs,Cookin' On 3 Burners",122,5A,72,2023-04-22,03:15,80,"","Layers",2016-11-04,79,9,0,47,0,20,-5,C Minor,4,1A8j067qyiNwQnZT0bzUpZ,FR9W11601798
33,"Something Just Like This","The Chainsmokers,Coldplay",103,10A,64,2023-04-22,04:07,88,"","Memories...Do Not Open",2017-04-07,62,5,0,45,0,10,-7,B Minor,4,6RUKPb4LETWmmr3iAEQktW,USQX91700278
34,"New Rules","Dua Lipa",116,8A,70,2023-04-22,03:29,82,"pop","Dua Lipa (Deluxe)",2017-06-02,76,0,0,61,0,10,-6,A Minor,4,2ekn2ttSfGqwhhate0LSR0,GBAHT1600310
35,"Can't Feel My Face","The Weeknd",108,8A,77,2023-04-22,03:33,84,"","Beauty Behind The Madness",2015-08-28,71,11,0,58,0,10,-6,A Minor,4,22VdIZQfgXJea34mQxlt81,USUG11500741
36,"Roses - Imanbek Remix","SAINt JHN",122,4B,72,2023-04-22,02:56,19,"","Roses (Imanbek Remix)",2019-09-23,78,1,0,90,0,20,-5,G#/A♭ Major,4,56qwmfX8r5SznGSaayVIzK,RUB421901499
37,"U9 NOW","Jan Metternich,Naits",94,9A,60,2026-01-01,02:05,51,"","Broken Symphonies",2024-07-26,65,46,0,69,0,10,-9,E Minor,4,4Wzq3Su2wOfAYv8PXpK3Mn,QZMEN2427915
