#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Summer","Calvin Harris",128,9A,86,2023-09-11,03:42,86,"edm","Motion",2014-10-31,60,2,2,74,0,10,-4,E Minor,4,6YUTL4dYpB9xZO5qExPf05,GBARL1400296
2,"Rather Be (feat. Jess Glynne)","Clean Bandit,Jess Glynne",121,1B,59,2024-02-08,03:47,82,"","New Eyes",2014-05-09,80,16,0,55,0,10,-7,B Major,4,61dCUoMCg28qEBzrW6htYM,GBAHS1300498
3,"My Way","Calvin Harris",120,9A,91,2023-09-11,03:39,76,"edm","My Way",2016-09-16,82,9,0,54,0,10,-3,E Minor,4,1vvNmPOiUuyCbgWmtc6yfm,GBARL1601358
4,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner,Seeb",102,6A,71,2023-09-11,03:17,85,"","At Night, Alone.",2016-05-06,66,4,0,71,10,0,-7,G Minor,4,0vbtURX4qv1l7besfwmnD8,USUM71509342
5,"Timber","Pitbull,Kesha",130,1B,96,2023-09-11,03:24,86,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,58,3,0,79,10,10,-4,B Major,4,3cHyrEgdyYRjgJKSOiOtcS,USRC11301695
6,"Call Me Maybe","Carly Rae Jepsen",120,9B,58,2023-09-11,03:13,84,"","Kiss",2012-01-01,78,1,0,66,0,10,-7,G Major,4,20I6sIOMTCkB6w7ryavxtO,CAB391100615
7,"The Nights","Avicii",126,2B,84,2023-09-11,02:56,85,"edm","The Days / Nights",2014-01-01,53,2,0,65,0,20,-5,F#/G♭ Major,4,0ct6r3EGTcMLPtrXHDvVjc,CH3131340464
8,"No Money","Galantis",126,11A,92,2023-09-11,03:11,72,"","The Aviary",2017-09-15,67,3,0,78,0,20,-4,F#/G♭ Minor,4,6M6Tk58pQvABy6ru66dY3d,USAT21703594
9,"Lush Life","Zara Larsson",98,6A,71,2023-09-11,03:20,94,"","So Good",2017-03-17,69,13,0,80,0,20,-4,G Minor,4,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
10,"This Is What You Came For","Calvin Harris,Rihanna",124,8A,93,2023-09-11,03:41,80,"edm, ","This Is What You Came For",2016-04-29,63,20,12,47,0,10,-3,A Minor,4,0azC730Exh71aQlOt9Zj3y,GBARL1600460
11,"Work from Home (feat. Ty Dolla $ign)","Fifth Harmony,Ty Dolla $ign",105,4B,59,2023-09-11,03:34,81,"trap soul","7/27 (Deluxe)",2016-05-27,80,10,0,59,0,0,-6,G#/A♭ Major,4,4tCtwWceOPWzenK2HAIJSb,USSM11600251
12,"Let Me Love You","DJ Snake,Justin Bieber",200,4B,72,2023-09-11,03:25,90,"","Encore",2016-08-05,48,9,0,16,0,10,-5,G#/A♭ Major,4,0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015
13,"I Need Your Love (feat. Ellie Goulding)","Calvin Harris,Ellie Goulding",125,4B,87,2023-09-11,03:54,79,"edm, ","18 Months",2012-10-29,70,41,0,58,0,20,-5,G#/A♭ Major,4,05SBRd4fXgn8FX7bf8BCAE,GBARL1201390
14,"Cheerleader (Felix Jaehn Remix) - Radio Edit","OMI,Felix Jaehn",118,12B,69,2023-09-11,03:00,83,"tropical house","Me 4 U",2015-10-16,78,17,0,60,0,10,-6,E Major,4,7vFoFDWqTX0mHzLfrF1Cfy,USUS11202574
15,"A Sky Full of Stars","Coldplay",125,2B,68,2023-09-11,04:27,87,"","Ghost Stories",2014-05-16,55,1,0,16,0,20,-6,F#/G♭ Major,4,0FDzzruyVECATHXKHFs9eJ,GBAYE1400217
16,"Riptide","Vance Joy",102,3B,73,2023-09-11,03:24,82,"folk pop","Dream Your Life Away",2014-09-08,48,43,0,51,0,10,-7,C♯/D♭ Major,4,7yq4Qj7cqayVTp3FF9CWbm,AULI01385760
17,"Outside (feat. Ellie Goulding)","Calvin Harris,Ellie Goulding",128,7A,82,2023-09-11,03:47,88,"edm, ","Motion",2014-10-31,65,21,0,42,0,30,-4,D Minor,4,7MmG8p0F9N3C4AXdK6o6Eb,GBARL1401201
18,"No Lie","Sean Paul,Dua Lipa",102,9B,88,2023-09-11,03:41,88,"dancehall, pop","Mad Love The Prequel",2018-06-29,74,5,0,46,10,20,-3,G Major,4,48QmG1dfvMuYLxMPt7KSRA,GBUM71604557
19,"Perfect Strangers","Jonas Blue,JP Cooper",118,3B,86,2023-09-11,03:16,79,"tropical house, ","Blue",2018-11-09,73,39,0,70,0,20,-4,C♯/D♭ Major,4,3P3pw6C19j31Rnzgo3JG7o,GBUM71602437
20,"One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",124,8A,86,2023-09-11,03:34,81,"edm, pop","One Kiss (with Dua Lipa)",2018-04-06,79,4,0,59,10,0,-3,A Minor,4,7ef4DlsgrMEH11cDZd32M6,GBARL1800368
21,"Waiting For Love","Avicii",128,11A,74,2023-09-11,03:50,84,"edm","Stories",2015-10-02,58,31,0,61,0,20,-4,F#/G♭ Minor,4,2P4OICZRVAQcYAV2JReRfj,CHB701400134
22,"How Deep Is Your Love","Calvin Harris,Disciples",122,10A,87,2023-09-11,03:32,79,"edm, house","How Deep Is Your Love",2015-07-17,74,4,0,34,0,30,-4,B Minor,4,22mek4IiqubGD9ctzxc69s,GBARL1500704
23,"Cheap Thrills (feat. Sean Paul)","Sia,Sean Paul",90,11A,80,2023-09-11,03:44,78,"dancehall","This Is Acting",2016-02-18,59,6,0,73,20,0,-5,F#/G♭ Minor,4,378iszndTZAR4dH8kwsLC6,USRC11600201
24,"Symphony (feat. Zara Larsson)","Clean Bandit,Zara Larsson",123,5A,61,2023-09-11,03:32,83,"","What Is Love? (Deluxe Edition)",2018-11-30,72,24,0,45,0,10,-5,C Minor,4,72gv4zhNvRVdQA0eOenCal,GBAHS1700199
25,"Lights - Sped Up Version","Ellie Goulding,Speed Radio",133,3A,84,2023-09-11,03:10,67,"","Lights (Sped Up Version)",2022-07-01,65,5,30,80,0,10,-6,A#/B♭ Minor,4,4TZ2Ub8bZh4LTs06eANDXa,GBUM72204103
26,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5,Christina Aguilera",128,10A,76,2023-09-11,03:21,83,"pop, ","Hands All Over (Revised International Standard version)",2010-00-00,72,1,0,62,0,30,-4,B Minor,4,7pYfyrMNPn3wtoCyqcTVoI,USUM71109132
27,"On The Floor","Jennifer Lopez,Pitbull",130,2A,78,2023-09-11,04:44,84,"","Love?",2011-04-29,73,11,0,57,0,0,-5,D#/E♭ Minor,4,3C0nOe05EIt1390bVABLyN,USUM71104034
28,"Feel This Moment (feat. Christina Aguilera)","Pitbull,Christina Aguilera",136,9B,76,2023-09-11,03:49,83,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,67,4,0,54,10,30,-4,G Major,4,0Hf4aIJpsN4Os2f0y0VqWl,USRC11201328
29,"Dusk Till Dawn (feat. Sia) - Radio Edit","ZAYN,Sia",180,10A,44,2023-09-11,03:59,83,"","Icarus Falls",2018-12-14,26,10,0,10,0,10,-7,B Minor,4,3e7sxremeOE3wTySiOhGiP,USRC11702155
30,"Wake Me Up","Avicii",124,10B,78,2023-09-11,04:07,87,"edm","True",2013-09-16,53,0,0,64,0,10,-6,D Major,4,0nrRP2bk19rLc0orkWPQk2,SEUM71301326
31,"TiK ToK","Kesha",120,7A,84,2023-09-11,03:19,85,"","Animal (Expanded Edition)",2010-01-01,76,10,0,71,10,20,-3,D Minor,4,0HPD5WQqrq7wPWR7P7Dw1i,USRC10900433
32,"Domino","Jessie J",127,9B,56,2023-09-11,03:51,78,"","Who You Are (Platinum Edition)",2011-01-01,76,1,0,78,0,0,-5,G Major,4,2fQxE0jVrjNMT9oJAXtSJR,USUM71113573
33,"Burn","Ellie Goulding",87,3A,76,2023-09-11,03:51,79,"","Halcyon Nights",2012-10-12,31,30,0,34,0,10,-5,A#/B♭ Minor,4,5lF0pHbsJ0QqyIrLweHJPW,GBUM71303482
34,"The Lazy Song","Bruno Mars",175,1A,71,2023-09-11,03:09,82,"","Doo-Wops & Hooligans",2010-05-11,79,30,0,96,0,10,-5,G#/A♭ Minor,4,386RUes7n1uM1yfzgeUuwp,USAT21001886
