#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Miami","Will Smith",108,3B,53,2025-07-01,03:17,75,"","Big Willie Style",1997-10-03,88,3,0,89,10,0,-6,C♯/D♭ Major,4,6e8Ou0wiqAzIpWb2eSxll8,USSM19702697
2,"Semi-Charmed Life","Third Eye Blind",102,9B,86,2025-07-01,04:28,82,"","Third Eye Blind",1997-04-08,64,1,0,70,0,10,-7,G Major,4,42et6fnHCw1HIPSrdPprMl,USEE19701203
3,"Return of the Mack","Mark Morrison",95,10B,83,2025-07-01,03:33,81,"","Return of the Mack",1996-04-22,72,1,0,61,10,10,-5,D Major,4,3jDdpx9PMlfMBS5tOBHFm9,GBAHT0200668
4,"Big Poppa - 2005 Remaster","The Notorious B.I.G.",84,8A,57,2025-07-01,04:12,82,"old school hip hop, gangster rap, east coast hip hop, hip hop","Ready to Die (The Remaster)",1994-09-13,78,43,0,77,20,10,-7,A Minor,4,2g8HN35AnVGIk7B8yMucww,USBB40580817
5,"Under the Bridge","Red Hot Chili Peppers",85,12B,35,2025-07-01,04:24,86,"funk rock, alternative rock, rock","Blood Sugar Sex Magik (Deluxe Edition)",1991-09-24,56,6,0,46,0,10,-13,E Major,4,3d9DChrdc6BOeFsbrZ3Is0,USWB19901576
6,"Summer Girls","LFO",100,9B,81,2025-07-01,04:17,60,"","LFO",1999-08-10,81,16,0,74,10,0,-5,G Major,4,7uYroF9RRrhRJBrigRvB6H,DEA819900423
7,"Livin' la Vida Loca","Ricky Martin",178,12A,95,2025-07-01,04:03,79,"latin pop","Ricky Martin",1999-00-00,43,0,0,93,0,0,-4,C♯/D♭ Minor,4,0Ph6L4l8dYUuXFmb71Ajnd,NLB639920005
8,"Steal My Sunshine","LEN",191,12B,83,2025-07-01,04:25,65,"","You Can't Stop The Bum Rush",1999-05-25,41,39,0,68,50,10,-11,E Major,4,4agp6oHofabdUedr0B1krj,USSM19900189
9,"The Sign","Ace of Base",97,9A,79,2025-07-01,03:11,77,"eurodance, europop","The Sign",1993-12-24,81,1,7,90,0,0,-7,E Minor,4,0hrBpAOgrt8RXigk83LLNE,SEVJH0803404
10,"Mambo No. 5 (a Little Bit of...)","Lou Bega",174,4A,81,2025-07-01,03:40,79,"","A Little Bit of Mambo",1999-07-19,62,10,0,89,40,30,-7,F Minor,4,6x4tKaOzfNJpEJHySoiJcs,DEH259900010
