#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Waiting For Love","Avicii",128,11A,74,2021-10-23,03:50,84,"edm","Stories",2015-10-02,58,31,0,61,0,20,-4,F#/G♭ Minor,4,2P4OICZRVAQcYAV2JReRfj,CHB701400134
2,"Latch","Disclosure,Sam Smith",122,3B,73,2021-10-23,04:15,84,"house, soft pop","Settle (Special Edition)",2013-06-03,50,2,0,53,10,0,-5,C♯/D♭ Major,4,51ODNNDZm21HU7wI7cccRr,GBUM71302810
3,"Closer","The Chainsmokers,Halsey",95,4B,52,2021-10-23,04:04,89,"","Closer",2016-07-29,75,41,0,66,0,10,-6,G#/A♭ Major,4,7BKLCZ1jbUBVqRi2FVlTVw,USQX91601347
4,"Mind (feat. Kai)","Jack Ü,Skrillex,Diplo,kai",174,3B,78,2021-10-23,04:02,63,"dubstep, edm, electro, electronic, moombahton, ","Skrillex and Diplo present Jack Ü",2015-02-24,50,12,0,36,0,10,-5,C♯/D♭ Major,4,6ZpR2XFuQJSHAQwg9495KZ,USAT21500553
5,"Summer","Calvin Harris",128,9A,86,2021-10-23,03:44,18,"edm","Summer",2014-04-30,60,2,4,72,0,10,-4,E Minor,4,7b71WsDLb8gG0cSyDTFAEW,GBARL1400296
6,"Let Me Love You","DJ Snake,Justin Bieber",200,4B,72,2021-11-02,03:25,90,"","Encore",2016-08-05,48,9,0,16,0,10,-5,G#/A♭ Major,4,0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015
7,"Sugar (feat. Francesco Yates)","Robin Schulz,Francesco Yates",123,4A,82,2021-10-23,03:39,81,"tropical house, ","Sugar",2015-09-25,64,2,0,64,0,10,-5,F Minor,4,5tf1VVWniHgryyumXyJM7w,DEA621501057
8,"Lean On","Major Lazer,DJ Snake,MØ",98,6A,81,2021-10-23,02:56,73,"moombahton, ","Peace Is The Mission : Extended",2015-11-27,72,0,0,27,0,50,-3,G Minor,4,2YWjW3wwQIBLNhxWKBQd16,QMUY41500008
9,"Outside (feat. Ellie Goulding)","Calvin Harris,Ellie Goulding",128,7A,82,2021-10-23,03:47,88,"edm, ","Motion",2014-10-31,65,21,0,42,0,30,-4,D Minor,4,7MmG8p0F9N3C4AXdK6o6Eb,GBARL1401201
10,"Runaway (U & I)","Galantis",126,3B,81,2021-10-23,03:47,78,"","Pharmacy",2015-06-05,51,1,0,38,0,0,-4,C♯/D♭ Major,4,46lFttIf5hnUZMGvjK0Wxo,USAT21404265
11,"Sorry","Justin Bieber",100,5A,76,2021-10-23,03:20,88,"","Purpose (Deluxe)",2015-11-13,66,8,0,41,0,30,-4,C Minor,4,09CtPGIpYB4BrO8qb1RGsF,USUM71516760
