#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Lush Life","Zara Larsson",98,6A,71,-,03:20,94,"","So Good",2017-03-17,69,13,0,80,0,20,-4,G Minor,4,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
2,"Adventure of a Lifetime","Coldplay",112,9B,92,-,04:23,87,"","A Head Full of Dreams",2015-12-04,64,0,0,53,0,10,-4,G Major,4,69uxyAqqPIsUyTO8txoP2M,GBAYE1500981
3,"La Plena - W Sound 05","W Sound,Beéle,Ovy On The Drums",99,7B,64,-,02:30,89,"latin afrobeats, reggaeton","La Plena (W Sound 05)",2025-02-19,89,54,0,66,10,10,-3,F Major,4,6iOndD4OFo7GkaDypWQIou,USWL12500595
4,"Soy Favela","La T y La M",85,4A,74,-,02:46,78,"cumbia, cuarteto, rkt, turreo","Soy Favela",2025-12-04,73,58,0,89,0,0,-5,F Minor,4,3TfRpsYPQSXqqramSoWlNg,AR8BH2500061
5,"Feels Like Summer","Childish Gambino",166,9B,60,-,04:57,74,"","Summer Pack",2018-07-11,55,16,0,25,10,0,-8,G Major,4,7p4vHnYXkxlzvfePJVpcTr,USRC11802773
6,"LA VILLA","Ryan Castro,Kapo,Gangsta",180,7A,91,-,03:12,87,"reggaeton, latin afrobeats, ","HOPI SENDÉ",2025-10-23,74,5,0,88,0,10,-3,D Minor,4,2ZyrAym0sRLwt4PhGotHuI,QMFMF2513037
7,"Waves - Robin Schulz Radio Edit","Mr. Probz,Robin Schulz",120,4A,51,-,03:28,82,"tropical house","Waves (Robin Schulz Radio Edit)",2014-02-07,83,1,0,45,0,0,-9,F Minor,4,1HFfMOxCAT4GAwaPfCdmUs,NLB8R1400002
8,"Walking On A Dream","Empire Of The Sun",127,4A,70,-,03:18,87,"","Walking On A Dream (10th Anniversary Edition)",2008-10-03,87,26,0,72,0,0,-6,F Minor,4,5r5cp9IpziiIsR6b93vcnQ,AUEI10800039
9,"Show Me Love (with Tyla)","WizTheMc,bees & honey,Tyla",107,4A,74,-,02:56,81,"afrobeats","Show Me Love (with Tyla)",2025-04-18,67,2,0,21,0,10,-5,F Minor,4,22YkP95GjCfXkWKyU5k1zZ,DE1FB2500135
10,"No Lie","Sean Paul,Dua Lipa",102,9B,88,-,03:41,88,"dancehall, pop","Mad Love The Prequel",2018-06-29,74,5,0,46,10,20,-3,G Major,4,48QmG1dfvMuYLxMPt7KSRA,GBUM71604557
11,"Cheerleader (Felix Jaehn Remix) - Radio Edit","OMI,Felix Jaehn",118,12B,69,-,03:00,83,"tropical house","Me 4 U",2015-10-16,78,17,0,60,0,10,-6,E Major,4,7vFoFDWqTX0mHzLfrF1Cfy,USUS11202574
12,"Unforgettable","French Montana,Swae Lee",98,2B,77,-,03:53,88,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
13,"UWAIE - versión cumbia","Max Carra",142,8A,78,-,02:42,79,"cumbia, cuarteto","UWAIE (versión cumbia)",2024-09-19,69,40,0,80,0,30,-5,A Minor,4,6UO9DhCUq4ZbQz7PXwelFV,AR8TN2400195
14,"Could You Be Loved","Bob Marley & The Wailers",103,8B,72,-,03:57,85,"reggae, roots reggae","Uprising",1980-06-10,92,36,0,76,10,10,-9,C Major,4,5O4erNlJ74PIF6kGol1ZrC,USIR28000016
15,"Are You With Me","Lost Frequencies",121,4A,61,-,02:18,81,"tropical house","Less Is More",2016-10-21,76,26,0,39,0,10,-8,F Minor,4,4255amV4enzl28KAn16rUO,NLF711403495
16,"no tiene sentido","Beéle",122,7A,60,-,02:38,89,"latin afrobeats, reggaeton","BORONDO",2025-05-15,67,9,0,50,0,10,-8,D Minor,4,1HEwEN64NjgTaHmo7LfkX8,QZ7B82500302
17,"Eu Me Apaixonei","Vitinho Imperador",168,9B,89,-,03:25,84,"piseiro, forró, arrocha, sertanejo, brega, seresta","Eu Me Apaixonei",2025-02-27,69,43,0,62,0,10,-2,G Major,4,4SjcIkVc4cvFgURD1EHxDM,BC8VV2500003
18,"Tongue Tied","GROUPLOVE",113,5B,94,-,03:38,80,"indie","Never Trust a Happy Song",2011-09-02,56,1,0,37,0,10,-6,D#/E♭ Major,4,0GO8y8jQk1PkHzS31d699N,USAT21101334
19,"Island In The Sun","Weezer",115,9A,81,-,03:20,83,"alternative rock","Weezer",2001-05-15,65,1,0,66,0,10,-6,E Minor,4,2MLHyLy5z5l5YRp7momlgw,USIR10110358
20,"Era Sol Que Me Faltava","AgroPlay,Ana Castela,CountryBeat",89,9A,92,-,01:55,79,"agronejo, sertanejo, sertanejo universitário, piseiro","Era Sol Que Me Faltava",2025-12-10,80,40,0,89,0,0,-3,E Minor,4,2M6M1f5SVQqamxeyItWZxo,BKYPG2500018
21,"Time of Our Lives","Pitbull,Ne-Yo",124,3B,80,-,03:49,87,"","Globalization",2014-11-24,72,9,0,72,0,60,-6,C♯/D♭ Major,4,2bJvI42r8EF3wxjOuDav4r,USRC11402647
22,"Brazil","Declan McKenna",121,12B,62,-,04:12,82,"","What Do You Think About the Car?",2017-04-21,69,9,0,67,0,0,-5,E Major,4,4sNG6zQBmtq7M8aeeKJRMQ,GBARL1500856
23,"Verano Rosa","KAROL G,Feid",120,8B,70,-,03:30,84,"reggaeton, latin, urbano latino","Tropicoqueta",2025-06-20,79,14,0,55,0,10,-4,C Major,4,0nafF9MxcXJBQWv3BTKtdF,USUG12504525
24,"Tu jardín con enanitos","Roze Oficial,Max Carra,Valen,RAMKY EN LOS CONTROLES",138,9B,64,-,02:55,79,"rkt, turreo, cumbia, cuarteto","Tu jardín con enanitos",2025-05-22,49,7,0,48,0,30,-6,G Major,3,6X8DTIJEgHUjZynuds0E2f,UYY112500053
25,"UWAIE","Kapo",103,8A,77,-,02:52,82,"latin afrobeats","POR SI ALGUIEN NOS ESCUCHA",2025-07-03,72,15,0,52,0,10,-5,A Minor,4,0fMjldiEpgjbWQ4bBQwVzH,QZDYA1800389
26,"Reality","Lost Frequencies,Janieck",122,12A,70,-,02:39,79,"tropical house, ","Less Is More",2016-10-21,72,2,0,60,0,0,-8,C♯/D♭ Minor,4,1Mys1gf9SkMBAVGGxpkJ7d,NLF711502765
27,"mi refe","Beéle,Ovy On The Drums",123,6A,65,-,02:39,86,"latin afrobeats, reggaeton","BORONDO",2025-05-15,64,40,0,44,20,10,-5,G Minor,4,4zhk2RS2EZODmBW6il55Qj,QZ7B82400138
28,"Let Me Love You","DJ Snake,Justin Bieber",200,4B,72,-,03:25,90,"","Encore",2016-08-05,48,9,0,16,0,10,-5,G#/A♭ Major,4,0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015
29,"FAR AWAY","PEPU,Nico Valdi,Pizzu",123,6A,74,-,02:41,59,"techengue, cumbia","EL ÁLBUM DEL VERANO",2026-02-11,64,3,0,57,0,20,-4,G Minor,4,3pcXMfSwwXGcucdrDb6Awd,QM4TW2634033
30,"CAFé CON RON","Bad Bunny,Los Pleneros de la Cresta",96,11B,15,-,03:48,88,"reggaeton, trap latino, latin, urbano latino, ","DeBÍ TiRAR MáS FOToS",2025-01-05,33,15,0,4,0,40,-27,A Major,4,6VNXmo59yDYgcwLS17UNAW,QMFMF2447066
31,"夏色","YUZU",120,5B,89,-,03:22,59,"j-pop, anime","ゆず一家",1998-07-23,59,4,0,79,0,0,-4,D#/E♭ Major,4,3nYe3TNoETmeXkseSdnUFz,JPTF09805101
32,"Am I Wrong","Nico & Vinz",120,4B,68,-,04:05,79,"","Black Star Elephant",2014-00-00,73,18,0,78,0,50,-6,G#/A♭ Major,4,1fidCEsYlaVE3pHwKCvpFZ,USWB11304681
33,"My Way","Calvin Harris",120,9A,91,-,03:39,79,"edm","96 Months",2024-08-08,82,9,0,54,0,10,-3,E Minor,4,3ejfcz0QPyV717Vd3ta04V,GBARL1601358
34,"Caliente","INNA",130,8A,73,-,03:21,77,"europop","Party Never Ends, Part 1 (Deluxe Edition)",2013-00-00,85,4,0,82,0,0,-5,A Minor,4,26Z2FQ9KFswyX2x7LxhQKs,ROROT1202401
35,"Superfantasticamente (Superfantastico)","Henry Freitas,Nuzio Medeiros,Kadu Martins",132,7B,75,-,02:31,73,"forró, piseiro, arrocha, seresta, sertanejo, brega, brazilian funk","Superfantasticamente (Superfantastico)",2025-12-10,77,53,0,77,0,10,-4,F Major,4,7fFXRzdVsW8nNIjgYwL5Pf,BKYHE2500128
36,"TU VAS SIN (fav)","Rels B",101,6B,57,-,01:50,89,"trap latino, urbano latino","afroLOVA 25'",2025-06-20,88,7,0,28,10,20,-6,A#/B♭ Major,4,6uiQ0DqbXTBc8tl0AUKZkR,UYB282508143
37,"Three Little Birds","Bob Marley & The Wailers",74,11B,49,-,03:00,81,"reggae, roots reggae","Exodus",1977-06-03,83,1,0,63,0,0,-10,A Major,4,7yFvSYKk3g5g8e7Ffl16ws,USIR27700016
38,"World a Reggae (Out in the Street They Call It Murder)","iNi Kamoze",79,11A,51,-,03:57,70,"reggae, roots reggae","Debut",2006-03-07,87,0,0,80,0,0,-6,F#/G♭ Minor,4,3ApxpM5ghkdjWKhbrQaPLk,USNF90600002
39,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk,Pharrell Williams,Nile Rodgers",116,11A,81,-,04:07,82,"french house, electronic, electro, ","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]",2013-04-19,79,4,0,86,0,10,-9,F#/G♭ Minor,4,2Foc5Q5nqNiosCNqttzHof,USQX91300809
40,"Pursuit Of Happiness (Nightmare)","Kid Cudi,MGMT,Ratatat",115,8B,59,-,04:55,73,"indie, ","Man On The Moon: The End Of Day (Int'l Version)",2009-01-01,63,49,0,25,0,30,-9,C Major,4,4kTLpAbhuEGHAAdDjOIWaa,USUM70981907
41,"Tití Me Preguntó","Bad Bunny",107,4A,72,-,04:03,95,"reggaeton, trap latino, latin, urbano latino","Un Verano Sin Ti",2022-05-06,65,10,0,19,20,10,-5,F Minor,4,1IHWl5LamUGEuP4ozKQSXZ,QM6MZ2214878
42,"Si Antes Te Hubiera Conocido","KAROL G",128,1B,63,-,03:15,86,"reggaeton, latin, urbano latino","Tropicoqueta",2025-06-20,92,45,0,76,0,0,-8,B Major,4,73scB4Q4fcOmnsBVZPmk32,USUG12400968
43,"Sugar (feat. Francesco Yates)","Robin Schulz,Francesco Yates",123,4A,82,-,03:39,81,"tropical house, ","Sugar",2015-09-25,64,2,0,64,0,10,-5,F Minor,4,5tf1VVWniHgryyumXyJM7w,DEA621501057
44,"Half Mast","Empire Of The Sun",127,8B,74,-,03:54,74,"","Walking On A Dream (10th Anniversary Edition)",2008-10-03,78,0,1,78,0,50,-5,C Major,4,49Hkgl03InFFqBklOQxunt,AUEI10800040
