#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Hot","INNA",128,6A,94,2024-04-16,03:37,74,"europop","Hot",2010-00-00,82,8,44,60,20,40,-6,G Minor,4,7F1lHcpnTycnimQrCxDFI5,ROROT0804201
2,"Deja Vu","INNA,Bob Taylor",130,2A,93,2024-04-16,04:21,70,"europop, rockabilly, exotica","Hot",2010-00-00,77,7,54,66,10,10,-6,D#/E♭ Minor,4,3V7choSVaP2zUqtIYpfynG,ROROT0903801
3,"Rock My Body","R3HAB,INNA,Sash!",124,7A,82,2024-04-16,02:17,71,"slap house, edm, europop, eurodance","Rock My Body (with INNA & Sash!)",2023-04-28,66,20,0,47,10,50,-4,D Minor,4,6pb5DtlAeG95dNQLHiArRU,AEA2D2300315
4,"Amazing","INNA",130,1A,89,2024-04-16,03:27,73,"europop","Hot",2010-00-00,70,48,18,39,10,0,-7,G#/A♭ Minor,4,52hQY9AntPqOQM46N9BnfC,ROROT0901606
5,"Yalla","INNA",104,9A,81,2024-04-16,02:49,53,"europop","Inna",2015-10-30,59,0,0,41,10,30,-4,E Minor,4,2pLQRwPw6xVQQj1Rf1yoeD,ROROT1513901
6,"Sun Is Up","INNA",128,5A,89,2024-04-16,03:44,72,"europop","I Am the Club Rocker",2011-00-00,80,7,31,65,0,0,-4,C Minor,4,1TtteYFQeZfSU8AmfIAOvu,ROROT1007301
7,"Ruleta","INNA,Erik",102,4A,68,2024-04-16,03:18,58,"europop, ","Ruleta",2017-06-21,73,74,0,82,20,10,-6,F Minor,4,1Ql3uzrgIxd6d9fTKpVThW,FR59R1764016
8,"Stereo Love","Edward Maya,Vika Jigulina",127,11B,78,2024-04-16,04:07,74,"","Stereo Love",2009-07-07,78,3,2,36,0,0,-5,A Major,4,0gBfLS4aqbrr1ZvVv8dqWB,ROCMA0901578
9,"Toca Toca","Fly Project",126,3A,61,2024-04-16,02:45,75,"europop","Toca Toca (Remixes)",2013-00-00,91,2,0,93,0,0,-5,A#/B♭ Minor,4,3HUDCgZgaY3ZVWohToy4LJ,ROROT1313101
10,"How Deep Is Your Love","Calvin Harris,Disciples",122,10A,87,2024-04-16,03:32,79,"edm, house","How Deep Is Your Love",2015-07-17,74,4,0,34,0,30,-4,B Minor,4,22mek4IiqubGD9ctzxc69s,GBARL1500704
