#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Nights","Avicii",126,2B,84,2021-05-08,02:56,85,"edm","The Days / Nights",2014-01-01,53,2,0,65,0,20,-5,F#/G♭ Major,4,0ct6r3EGTcMLPtrXHDvVjc,CH3131340464
2,"Time of Our Lives","Pitbull,Ne-Yo",124,3B,80,2021-05-08,03:49,87,"","Globalization",2014-11-24,72,9,0,72,0,60,-6,C♯/D♭ Major,4,2bJvI42r8EF3wxjOuDav4r,USRC11402647
3,"Best Song Ever","One Direction",118,3B,88,2021-05-08,03:20,78,"","Midnight Memories (Deluxe)",2013-11-25,65,2,0,49,0,0,-3,C♯/D♭ Major,4,5T7ZFtCcOgkpjxcuaeZbw0,GBHMU1300102
4,"She Looks So Perfect","5 Seconds of Summer",160,11B,95,2021-05-08,03:22,72,"","5 Seconds Of Summer",2014-06-27,49,0,0,44,10,30,-4,A Major,4,1gugDOSMREb34Xo0c1PlxM,GBUM71400377
5,"Safe And Sound","Capital Cities",118,8B,82,2021-05-08,03:12,13,"","In A Tidal Wave Of Mystery (Deluxe Edition)",2013-00-00,66,0,0,77,0,10,-5,C Major,5,6Z8R6UsFuGXGtiIxiD8ISb,USCA21203108
6,"Pompeii","Bastille",127,11B,72,2021-05-08,03:34,73,"","Bad Blood",2013-01-01,68,8,0,57,0,20,-6,A Major,4,3gbBpTdY8lnQwqxNCcf795,GBAAA1200795
7,"Love Me Again","John Newman",126,7A,89,2021-05-08,03:59,69,"","Tribute",2013-01-01,50,0,0,21,0,10,-5,D Minor,4,5VSCgNlSmTV2Yq5lB40Eaw,GBUM71301538
8,"Rude","MAGIC!",144,3B,76,2021-05-08,03:44,86,"","Don't Kill the Magic",2014-06-25,77,4,0,93,0,30,-5,C♯/D♭ Major,4,6RtPijgfPKROxEzTHNRiDp,CAV161300016
9,"Me And My Broken Heart","Rixton",174,4A,78,2021-05-08,03:13,76,"","Let The Road",2014-01-01,55,0,0,55,0,10,-4,F Minor,4,1oew3nFNY3vMacJAsvry0S,USUM71401800
10,"Billionaire (feat. Bruno Mars)","Travie McCoy,Bruno Mars",87,11A,67,2021-05-08,03:31,79,"","Lazarus",2010-06-07,63,30,0,66,20,20,-6,F#/G♭ Minor,4,2qPUnoasNe4Ep43emVXEig,USAT21000257
11,"Wake Me Up","Avicii",124,10B,78,2021-05-08,04:07,87,"edm","True",2013-09-16,53,0,0,64,0,10,-6,D Major,4,0nrRP2bk19rLc0orkWPQk2,SEUM71301326
12,"What Makes You Beautiful","One Direction",125,12B,79,2021-05-08,03:19,86,"","Up All Night",2012-05-25,73,1,0,89,0,0,-2,E Major,4,4cluDES4hQEUhmXj6TXkSo,GBHMU1100018
13,"Shut Up and Dance","WALK THE MOON",128,3B,87,2021-05-08,03:19,86,"","TALKING IS HARD",2014-12-02,58,1,0,62,0,20,-4,C♯/D♭ Major,4,4kbj5MwxO1bq9wjT5g9HaA,USRC11401949
14,"Whistle","Flo Rida",104,8B,94,2021-05-08,03:44,80,"","Wild Ones",2012-06-22,75,2,0,74,0,20,-6,C Major,4,3bC1ahPIYt1btJzSSEyyrF,USAT21201745
15,"Steal My Girl","One Direction",77,3A,77,2021-05-08,03:48,84,"","FOUR (Deluxe)",2014-11-17,54,0,0,55,0,10,-6,A#/B♭ Minor,4,2Bs4jQEGMycglOfWPBqrVG,GBHMU1400159
16,"Kiss You","One Direction",90,12B,93,2021-05-08,03:02,73,"","Take Me Home (Expanded Edition)",2012-11-12,64,2,0,89,0,40,-3,E Major,4,4My8w8AA1JpG6E5SiAPvJL,GBHMU1200214
17,"24K Magic","Bruno Mars",107,3B,80,2021-05-08,03:45,86,"","24K Magic",2016-11-18,82,3,0,63,0,10,-4,C♯/D♭ Major,4,6b8Be6ljOzmkOmFslEb23P,USAT21602944
18,"Party In The U.S.A.","Miley Cyrus",96,3A,70,2021-05-08,03:22,78,"","The Time Of Our Lives",2009-01-01,65,0,0,47,0,0,-5,A#/B♭ Minor,4,5Q0Nhxo0l2bP3pNjpGJwV1,USHR10924519
19,"Last Friday Night (T.G.I.F.)","Katy Perry",126,2A,81,2021-05-08,03:50,79,"pop","Teenage Dream",2010-01-01,65,0,0,73,0,60,-4,D#/E♭ Minor,4,3avYqdwHKEq8beXbeWCKqJ,USCA21001264
20,"Starships","Nicki Minaj",125,10A,72,2021-05-08,03:30,76,"","Pink Friday ... Roman Reloaded",2011-01-01,75,14,0,75,0,20,-2,B Minor,4,1oHNvJVbFkexQc0BpQp7Y4,USCM51200060
21,"We Are Never Ever Getting Back Together","Taylor Swift",86,9B,68,2021-05-08,03:13,71,"","Red (Big Machine Radio Release Special)",2012-10-22,63,1,0,75,0,10,-6,G Major,4,0VwNdo84DaVYLIkbVO86ND,USCJY1231018
22,"22","Taylor Swift",104,9B,73,2021-05-08,03:52,66,"","Red (Big Machine Radio Release Special)",2012-10-22,66,0,0,67,0,0,-7,G Major,4,6ce41JVa6KFaryfmC2bu2W,USCJY1231040
23,"Summer","Calvin Harris",128,9A,86,2021-05-08,03:42,86,"edm","Motion",2014-10-31,60,2,2,74,0,10,-4,E Minor,4,6YUTL4dYpB9xZO5qExPf05,GBARL1400296
24,"Cheerleader (Felix Jaehn Remix) - Radio Edit","OMI,Felix Jaehn",118,12B,69,2021-05-08,03:00,83,"tropical house","Me 4 U",2015-10-16,78,17,0,60,0,10,-6,E Major,4,7vFoFDWqTX0mHzLfrF1Cfy,USUS11202574
25,"Wild Ones (feat. Sia)","Flo Rida,Sia",127,4A,86,2021-05-08,03:52,83,"","Wild Ones",2012-06-22,61,10,0,44,0,20,-5,F Minor,4,1NpW5kyvO4XrNJ3rnfcNy3,USAT21104103
26,"Waves - Robin Schulz Radio Edit","Mr. Probz,Robin Schulz",120,4A,51,2021-05-08,03:28,9,"tropical house","Waves (Robin Schulz Radio Edit)",2014-02-07,83,1,0,45,0,0,-9,F Minor,4,5Sf3GyLEAzJXxZ5mbCPXTu,NLB8R1400002
27,"Rather Be (feat. Jess Glynne)","Clean Bandit,Jess Glynne",121,1B,59,2021-05-08,03:47,67,"","New Eyes",2014-05-09,80,16,0,55,0,10,-7,B Major,4,0TVV2gFROJaB3kIZyCUvIY,GBAHS1300498
28,"Can't Hold Us (feat. Ray Dalton)","Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",146,10B,92,2021-05-08,04:18,80,"","The Heist",2012-10-09,64,3,0,85,0,0,-4,D Major,4,3bidbhpOYeV4knp8AIu8Xn,GMM881200021
29,"Piece Of Your Heart","MEDUZA,Goodboys",124,3A,74,2021-05-08,02:32,69,"","Piece Of Your Heart",2019-02-01,68,4,0,63,0,0,-7,A#/B♭ Minor,4,1DFD5Fotzgn6yYXkYsKiGs,DEUM71807719
