#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Am I Wrong","Nico & Vinz",120,4B,68,2021-03-11,04:07,58,"","Am I Wrong",2014-01-21,73,16,0,76,0,10,-5,G#/A♭ Major,4,2wqaekenSQZm7hxQOYt8oE,USWB11304681
2,"Time of Our Lives","Pitbull,Ne-Yo",124,3B,80,2021-03-11,03:49,87,"","Globalization",2014-11-24,72,9,0,72,0,60,-6,C♯/D♭ Major,4,2bJvI42r8EF3wxjOuDav4r,USRC11402647
3,"Where Them Girls At (feat. Nicki Minaj & Flo Rida)","David Guetta,Flo Rida,Nicki Minaj",130,5B,88,2021-03-11,03:14,63,"edm, ","Nothing but the Beat Ultimate",2011-08-24,67,6,0,55,0,20,-3,D#/E♭ Major,4,7yO48FWUkqsrdxrwkGcnwl,FRZID1100110
4,"Pound The Alarm","Nicki Minaj",125,11B,86,2021-03-11,03:25,45,"","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)",2012-01-01,73,4,0,59,0,0,-4,A Major,4,5lGvoadO0urY0Ew8kYUc05,USCM51200111
5,"Starships","Nicki Minaj",125,10A,72,2021-03-11,03:30,80,"","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)",2012-01-01,75,14,0,75,0,20,-2,B Minor,4,2EBCVPNAG46nbgs6jXPGvv,USCM51200060
6,"Hey Brother","Avicii",125,6A,78,2021-03-11,04:15,80,"edm","True",2013-09-16,55,3,0,46,0,0,-5,G Minor,4,4lhqb6JvbHId48OUJGwymk,CH3131340084
7,"Bailando - Spanish Version","Enrique Iglesias,Descemer Bueno,Gente De Zona",91,9B,79,2021-03-11,04:03,17,"latin pop, latin, latin dance","SEX AND LOVE (Deluxe Edition)",2014-07-04,72,5,0,96,10,0,-4,G Major,4,5M830cD7MNeiiwIGHzH9TV,GBUM71400955
8,"Timber","Pitbull,Kesha",130,1B,96,2021-03-11,03:24,86,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,58,3,0,79,10,10,-4,B Major,4,3cHyrEgdyYRjgJKSOiOtcS,USRC11301695
9,"Ai Se Eu Te Pego - Ao Vivo","Michel Teló",96,1B,95,2021-03-11,02:50,0,"sertanejo, sertanejo universitário, sertanejo tradicional","Na Balada (Ao Vivo)",2011-08-21,65,22,0,69,0,90,-5,B Major,4,46aIq2GKW7Vr6i4g2Vvycd,BRIMT1100076
10,"Summer","Calvin Harris",128,9A,86,2021-03-11,03:42,86,"edm","Motion",2014-10-31,60,2,2,74,0,10,-4,E Minor,4,6YUTL4dYpB9xZO5qExPf05,GBARL1400296
11,"Shower","Becky G",120,10B,53,2021-03-11,03:26,82,"reggaeton, latin","Shower",2014-04-23,70,3,0,12,0,20,-8,D Major,4,3DmW6y7wTEYHJZlLo1r6XJ,USRC11400866
12,"Raise Your Glass","P!nk",122,9B,71,2021-03-11,03:22,77,"","Raise Your Glass",2010-10-05,70,0,0,62,0,0,-5,G Major,4,1gv4xPanImH17bKZ9rOveR,USLF21000090
13,"Best Song Ever","One Direction",118,3B,88,2021-03-11,03:20,78,"","Midnight Memories (Deluxe)",2013-11-25,65,2,0,49,0,0,-3,C♯/D♭ Major,4,5T7ZFtCcOgkpjxcuaeZbw0,GBHMU1300102
14,"No Fear","DeJ Loaf",100,10A,68,2021-03-11,02:49,69,"","No Fear",2017-06-16,61,39,0,57,10,10,-4,B Minor,4,2H881m3JRA8lpuuwaQL6zy,USSM11702275
15,"8TEEN","Khalid",105,3B,59,2021-03-11,03:48,73,"","American Teen",2017-04-27,83,23,0,64,0,0,-6,C♯/D♭ Major,4,5bgwqaRSS3M8WHWruHgSL5,USRC11700146
16,"Where Is The Love?","Black Eyed Peas",94,7B,70,2021-03-11,04:32,1,"","Elephunk",2003-01-01,83,11,0,80,20,10,-3,F Major,4,7oPnZNl1acGA7ELxsNirrR,USIR10311862
17,"We Can't Stop","Miley Cyrus",80,12A,62,2021-03-11,03:51,82,"","Bangerz (Deluxe Version)",2013-10-04,61,1,0,48,0,30,-6,C♯/D♭ Minor,4,2y4lAQpi5VTNLu2ldeTdUH,USRC11300686
18,"Party In The U.S.A.","Miley Cyrus",96,3A,70,2021-03-11,03:22,83,"","The Time Of Our Lives (International Version)",2009-01-01,65,0,0,47,0,0,-5,A#/B♭ Minor,4,3E7dfMvvCLUddWissuqMwr,USHR10924519
19,"Domino","Jessie J",127,9B,56,2021-03-11,03:51,78,"","Who You Are (Platinum Edition)",2011-01-01,76,1,0,78,0,0,-5,G Major,4,2fQxE0jVrjNMT9oJAXtSJR,USUM71113573
