#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Summer","Calvin Harris",128,9A,86,2023-06-30,03:42,86,"edm","Motion",2014-10-31,60,2,2,74,0,10,-4,E Minor,4,6YUTL4dYpB9xZO5qExPf05,GBARL1400296
2,"Feel So Close - Radio Edit","Calvin Harris",128,9B,92,2023-06-30,03:26,87,"edm","18 Months",2012-10-29,71,0,1,92,0,20,-3,G Major,4,1gihuPhrLraKYrJMAEONyc,GBARL1100748
3,"Lush Life","Zara Larsson",98,6A,71,2023-06-30,03:20,94,"","So Good",2017-03-17,69,13,0,80,0,20,-4,G Minor,4,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
4,"Good Feeling","Flo Rida",128,12A,89,2023-06-30,04:08,83,"","Wild Ones",2012-06-22,71,6,0,68,0,30,-4,C♯/D♭ Minor,4,2LEF1A8DOZ9wRYikWgVlZ8,USAT21101961
5,"Time of Our Lives","Pitbull,Ne-Yo",124,3B,80,2023-06-30,03:49,87,"","Globalization",2014-11-24,72,9,0,72,0,60,-6,C♯/D♭ Major,4,2bJvI42r8EF3wxjOuDav4r,USRC11402647
6,"MIA","Sik World",130,3B,61,2026-01-30,02:28,42,"","MIA",2026-01-30,87,11,0,20,0,10,-9,C♯/D♭ Major,4,0frD5hXkJ1wEzFAjAJ8OMZ,QZFZ22674682
7,"All Night - Alex Adair Remix","The Vamps,Matoma,Alex Adair",129,4B,83,2023-06-30,03:33,47,"tropical house","All Night - EP",2017-08-04,40,1,0,49,20,30,-5,G#/A♭ Major,4,4ybJaOpgdqqeRgFHMh0Nm4,GBUM71605912
8,"Wild Ones (feat. Sia)","Flo Rida,Sia",127,4A,86,2023-06-30,03:52,83,"","Wild Ones",2012-06-22,61,10,0,44,0,20,-5,F Minor,4,1NpW5kyvO4XrNJ3rnfcNy3,USAT21104103
9,"Safe In Your Arms","Sik World",114,12A,37,2026-02-12,01:50,43,"","Safe In Your Arms",2026-02-13,79,22,0,20,0,10,-9,C♯/D♭ Minor,4,2oY0zS8bDqFnu9NUlysbfZ,QZES82665726
10,"Give Me Everything (feat. Nayer)","Pitbull,AFROJACK,Ne-Yo,Nayer",129,4B,94,2023-06-30,04:12,89,"edm, big room, ","Planet Pit (Deluxe Version)",2011-06-17,67,19,0,53,10,30,-3,G#/A♭ Major,4,4QNpBfC0zvjKqPJcyqBy9W,USJAY1100032
11,"Blame (feat. John Newman)","Calvin Harris,John Newman",128,5A,86,2023-06-30,03:32,83,"edm, ","Motion",2014-10-31,41,3,1,35,0,30,-4,C Minor,4,07nH4ifBxUB4lZcsf44Brn,GBARL1400567
12,"Sky Ain't The Limit","Sik World",135,11A,63,2025-11-22,02:07,37,"","Sky Ain't The Limit",2025-08-15,88,22,0,47,0,0,-7,F#/G♭ Minor,4,4uBE11sR7DgO5gtX2zOlbf,QZTBD2584156
13,"Golden Waves","Cabin17",118,3A,50,2025-12-06,02:24,36,"","Summer 16",2025-12-06,79,41,1,47,0,0,-13,A#/B♭ Minor,4,7bx3C7odN0vfZnLjxtliY5,QZNMZ2594179
14,"Club Can't Handle Me (feat. David Guetta)","Flo Rida,David Guetta",128,8B,87,2023-06-30,03:54,83,"edm","Only One Flo (Part 1)",2010-11-24,62,3,0,47,0,0,-4,C Major,4,6ebkx7Q5tTxrCxKq4GYj0Y,USAT21001281
15,"Talk To Her","Sik World",144,3A,69,2025-11-22,01:44,34,"","Talk To Her",2025-05-09,86,22,1,51,10,10,-8,A#/B♭ Minor,4,5Nl4HKPMI0cjkAuwCDAeYm,QZNWQ2565563
16,"Scream & Shout","will.i.am,Britney Spears",130,7B,69,2023-06-30,04:43,82,"pop","#willpower",2013-01-01,77,2,0,50,0,10,-7,F Major,4,2iJuuzV8P9Yz0VSurttIV5,USUM71215597
17,"Starry Eyes","Cabin17",127,7A,61,2026-01-29,02:16,32,"","Starry Eyes",2026-01-26,62,0,0,30,0,20,-12,D Minor,4,78qeQi0tvwfq7q71KT8laZ,QZJG52665072
18,"Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","Lana Del Rey,Cedric Gervais",126,12A,81,2023-06-30,03:34,75,"edm","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) [Cedric Gervais Remix]",2013-02-01,57,2,0,11,0,10,-6,C♯/D♭ Minor,4,6PUIzlqotEmPuBfjbwYWOB,GBUM71304610
19,"Waves - Robin Schulz Radio Edit","Mr. Probz,Robin Schulz",120,4A,51,2023-06-30,03:28,82,"tropical house","Waves (Robin Schulz Radio Edit)",2014-02-07,83,1,0,45,0,0,-9,F Minor,4,1HFfMOxCAT4GAwaPfCdmUs,NLB8R1400002
20,"Grateful","Sik World,Poetics",110,7B,60,2025-11-22,02:18,33,"lo-fi beats, christian hip hop, christian r&b","Grateful",2022-07-29,79,65,0,70,10,10,-7,F Major,4,0voS6S5HDPDv4qFeN1AKcE,QZK6F2269714
21,"Am I Wrong","Nico & Vinz",120,4B,68,2023-06-30,04:05,79,"","Black Star Elephant",2014-00-00,73,18,0,78,0,50,-6,G#/A♭ Major,4,1fidCEsYlaVE3pHwKCvpFZ,USWB11304681
22,"Glad You Came","The Wanted",127,6A,85,2023-06-30,03:17,78,"","Battleground (Deluxe Edition)",2011-01-01,72,3,0,45,0,10,-4,G Minor,4,5yDL13y5giogKs2fSNf7sj,GBUM71104495
23,"Golden Days","Cabin17",103,8B,63,2026-02-08,02:39,31,"","Golden Days",2026-02-06,62,2,0,29,0,10,-11,C Major,4,56l5hwLcnABJoqVN1dOqRV,QZJG52678820
24,"Runaway (U & I)","Galantis",126,3B,81,2023-06-30,03:47,78,"","Pharmacy",2015-06-05,51,1,0,38,0,0,-4,C♯/D♭ Major,4,46lFttIf5hnUZMGvjK0Wxo,USAT21404265
25,"Feel This Moment (feat. Christina Aguilera)","Pitbull,Christina Aguilera",136,9B,76,2023-06-30,03:49,83,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,67,4,0,54,10,30,-4,G Major,4,0Hf4aIJpsN4Os2f0y0VqWl,USRC11201328
26,"Life In The Balance","Cabin17",85,5B,46,2026-02-08,02:07,30,"","Life In The Balance",2026-02-06,54,7,0,41,0,10,-11,D#/E♭ Major,4,38eASQUvb1YuWugFe3SLO7,QZJG52665242
27,"Timber","Pitbull,Kesha",130,1B,96,2023-06-30,03:24,86,"","Global Warming: Meltdown (Deluxe Version)",2012-00-00,58,3,0,79,10,10,-4,B Major,4,3cHyrEgdyYRjgJKSOiOtcS,USRC11301695
28,"Chicago (Freestyle)","Sik World",144,9B,63,2026-01-17,02:28,34,"","Chicago (Freestyle)",2026-01-16,89,10,0,42,20,10,-7,G Major,4,6PODD0AMld49a41HbLccFB,QT6FN2529746
29,"Outside (feat. Ellie Goulding)","Calvin Harris,Ellie Goulding",128,7A,82,2023-06-30,03:47,88,"edm, ","Motion",2014-10-31,65,21,0,42,0,30,-4,D Minor,4,7MmG8p0F9N3C4AXdK6o6Eb,GBARL1401201
30,"Starships","Nicki Minaj",125,10A,72,2023-06-30,03:30,76,"","Pink Friday ... Roman Reloaded",2011-01-01,75,14,0,75,0,20,-2,B Minor,4,1oHNvJVbFkexQc0BpQp7Y4,USCM51200060
31,"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER,Pitbull",120,6A,86,2023-06-30,03:40,86,"r&b, ","Raymond v Raymond (Expanded Edition)",2010-03-30,66,3,0,65,10,0,-3,G Minor,4,4356Typ82hUiFAynbLYbPn,USLF21000041
32,"Best Day Of My Life - Gazzo Remix","American Authors",125,10A,96,2023-06-30,03:17,52,"","Best Day Of My Life (Gazzo Remix)",2014-01-01,63,1,0,40,0,20,-2,B Minor,4,5ng9duWuWbHlwviFSh5Vqx,USUM71402057
33,"If Not Now, When?","Sik World",80,5A,48,2025-11-22,02:14,32,"","If Not Now, When?",2025-07-04,78,41,0,60,0,10,-10,C Minor,4,5SHxKp9uGMHAUAFdEwtKkN,QZTAZ2577313
34,"Die Young","Kesha",128,12A,70,2023-06-30,03:31,81,"","Warrior (Expanded Edition)",2012-11-30,71,0,0,80,0,20,-5,C♯/D♭ Minor,4,7EQGXaVSyEDsCWKmUcfpLk,USRC11201008
35,"Whistle","Flo Rida",104,8B,94,2023-06-30,03:44,80,"","Wild Ones",2012-06-22,75,2,0,74,0,20,-6,C Major,4,3bC1ahPIYt1btJzSSEyyrF,USAT21201745
36,"A Million","Sik World",123,4A,52,2025-11-22,02:24,30,"","A Million",2025-07-18,89,2,0,15,0,10,-7,F Minor,4,4mISo4WEaMhKfdA4nwbenV,QZTB92568609
37,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White) - Kasum Remix","Flo Rida,Robin Thicke,Verdine White,Kasum",126,7A,90,2023-06-30,03:19,43,"","I Don't Like It, I Love It (feat. Robin Thicke & Verdine White) [Kasum Remix]",2015-07-10,60,18,0,45,0,30,-5,D Minor,4,3UA4D0hx3jJEbrtfi2ZvmD,USAT21501642
38,"16 Summer","Cabin17",124,10B,43,2025-12-06,03:12,30,"","Summer 16",2025-12-06,68,3,0,32,0,40,-15,D Major,4,5xpPnET8b2Pe9dBEjZo545,QZNMZ2594178
39,"Dynamite","Taio Cruz",120,12B,80,2023-06-30,03:23,73,"","Rokstarr",2010-01-01,75,0,0,82,0,0,-3,E Major,4,1DqdF42leyFIzqNDv9CjId,GBUM71003721
40,"Can't Hold Us (feat. Ray Dalton)","Macklemore,Ryan Lewis,Macklemore & Ryan Lewis,Ray Dalton",146,10B,93,2023-06-30,04:18,86,"","The Heist",2012-10-09,63,3,0,88,0,10,-4,D Major,4,22skzmqfdWrjJylampe0kt,GMM881200002
41,"Ride Slow","Sik World",120,8A,44,2025-11-22,03:28,32,"","Some Sad Songs",2025-11-07,79,20,0,32,0,10,-10,A Minor,4,1R5KD29jzxbW5YnwYCe0hb,QZTBB2223217
42,"Burn","Ellie Goulding",87,3A,76,2023-06-30,03:51,79,"","Halcyon Nights",2012-10-12,31,30,0,34,0,10,-5,A#/B♭ Minor,4,5lF0pHbsJ0QqyIrLweHJPW,GBUM71303482
43,"Five More Hours","Deorro,Chris Brown",128,4A,88,2023-06-30,03:31,73,"melbourne bounce, electro house, r&b","Good Evening",2017-03-31,70,3,0,50,20,80,-3,F Minor,4,3MOECVkNshqHYTPt5DZcdN,USUS11203275
44,"Friend Zone","Sik World,Poetics",144,8A,48,2025-11-22,02:07,29,"lo-fi beats, christian hip hop, christian r&b","Friend Zone",2022-11-11,71,63,0,50,10,20,-10,A Minor,4,6zm8YHeshK432QhBwcqdBl,QZTAS2239909
45,"Somebody That I Used To Know","Gotye,Kimbra",129,8B,52,2024-07-27,04:04,83,"","Making Mirrors",2011-01-01,87,55,0,75,0,10,-7,C Major,4,1qDrWA6lyx8cLECdZE7TV7,AUZS21100040
46,"Party Rock Anthem","LMFAO,Lauren Bennett,GoonRock",130,4A,74,2023-06-30,04:22,65,"","Sorry For Party Rocking",2010-12-01,75,2,0,36,10,20,-4,F Minor,4,4650WGL6InVqP7YN5POqIz,USUM71100061
47,"Hangover","Taio Cruz,Flo Rida",128,5B,88,2023-06-30,04:04,73,"","TY.O (International Version)",2011-01-01,61,1,0,61,0,0,-3,D#/E♭ Major,4,5pmL3RzOy3IvGFaSDi4hZL,GBUM71108857
48,"Break Your Heart","Taio Cruz,Ludacris",122,4B,90,2023-06-30,03:06,71,"southern hip hop","Rokstarr",2010-01-01,67,0,0,62,0,0,-5,G#/A♭ Major,4,1CdqVF1ywD0ZO1zXtB9yWa,GBUM71003723
49,"Last Friday Night (T.G.I.F.)","Katy Perry",126,2A,81,2023-06-30,03:50,79,"pop","Teenage Dream",2010-01-01,65,0,0,73,0,60,-4,D#/E♭ Minor,4,3avYqdwHKEq8beXbeWCKqJ,USCA21001264
50,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5,Christina Aguilera",128,10A,76,2023-06-30,03:21,83,"pop, ","Hands All Over (Revised International Standard version)",2010-00-00,72,1,0,62,0,30,-4,B Minor,4,7pYfyrMNPn3wtoCyqcTVoI,USUM71109132
51,"Disappear","Sik World",130,4A,50,2025-11-22,02:54,47,"","Some Sad Songs",2025-11-07,84,37,0,37,0,30,-10,F Minor,4,7Ma4FjTX8LZFdjwq4RBzIe,QZZ7R2538307
52,"Heroes Tonight","Janji,Johnning",128,4B,79,2024-09-09,03:28,50,"","Heroes Tonight",2015-06-09,54,8,0,18,0,20,-4,G#/A♭ Major,3,5fOjFkFA0k5MTOo1LmnVTO,GB2LD0902006
53,"Good Time","Owl City,Carly Rae Jepsen",126,5B,87,2023-06-30,03:25,78,"","The Midsummer Station",2012-08-17,56,2,0,68,10,30,-4,D#/E♭ Major,4,1kPpge9JDLpcj15qgrPbYX,USUM71206288
54,"The Nights","Avicii",126,2B,84,2023-06-30,02:56,85,"edm","The Days / Nights",2014-01-01,53,2,0,65,0,20,-5,F#/G♭ Major,4,0ct6r3EGTcMLPtrXHDvVjc,CH3131340464
55,"About You","Sik World",144,10B,44,2025-11-22,02:53,38,"","About You",2021-03-31,73,9,0,19,10,10,-9,D Major,4,3t9nJ079F1nheAdUqijyWe,QZDA72152569
56,"Something Just Like This","The Chainsmokers,Coldplay",103,10A,64,2023-06-30,04:07,88,"","Memories...Do Not Open",2017-04-07,62,5,0,45,0,10,-7,B Minor,4,6RUKPb4LETWmmr3iAEQktW,USQX91700278
57,"A Sky Full of Stars","Coldplay",125,2B,68,2023-06-30,04:27,87,"","Ghost Stories",2014-05-16,55,1,0,16,0,20,-6,F#/G♭ Major,4,0FDzzruyVECATHXKHFs9eJ,GBAYE1400217
