#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Brazil","Declan McKenna",121,12B,62,2024-02-03,04:12,82,"","What Do You Think About the Car?",2017-04-21,69,9,0,67,0,0,-5,E Major,4,4sNG6zQBmtq7M8aeeKJRMQ,GBARL1500856
2,"Lost","Frank Ocean",123,4B,60,2024-02-03,03:54,85,"","channel ORANGE",2012-07-10,91,3,0,50,20,10,-5,G#/A♭ Major,4,3GZD6HmiNUhxXYf8Gch723,USUM71207186
3,"Stolen Dance","Milky Chance",114,1B,56,2024-02-03,05:13,78,"","Sadnecessary (Bonus Track Version)",2014-10-14,88,41,0,69,0,0,-9,B Major,4,0ZfByLXCeKchuj7zi1CJ0S,DEL211300741
4,"American Boy","Estelle,Kanye West",118,8B,73,2024-02-03,04:44,84,"rap","Shine",2008-03-28,69,17,0,52,30,0,-3,C Major,4,6etwirSInfuJrSOlogS6Sh,USAT20706210
5,"Pursuit Of Happiness (Nightmare)","Kid Cudi,MGMT,Ratatat",115,8B,61,2024-02-03,04:55,71,"indie, ","Man On The Moon: The End Of Day",2009-09-15,63,48,0,29,0,30,-9,C Major,4,5iSEsR6NKjlC9SrIJkyL3k,USUM70981907
6,"The Spins","Mac Miller",127,8A,77,2024-02-03,03:15,7,"","K.I.D.S.",2010-08-13,79,1,0,55,0,0,-4,A Minor,4,51pshtuYkgUQnt5huMPbKL,USA2P2015959
7,"Three Little Birds","Bob Marley & The Wailers",74,11B,49,2024-02-03,03:00,72,"reggae, roots reggae","Legend - The Best Of Bob Marley And The Wailers",2002-01-01,83,1,0,63,0,0,-10,A Major,4,7vggqxNKwd6xdRoYS0pQtM,USIR27700016
8,"Jamming","Bob Marley & The Wailers",124,10A,48,2024-02-03,03:31,1,"reggae, roots reggae","Exodus",1977-06-03,94,11,0,77,30,10,-11,B Minor,4,5LyfiK6iXEIBNEtcaGKohl,USIR27700013
9,"Doin' Time","Sublime",81,9B,76,2024-02-03,04:13,74,"reggae rock, ska punk, ska","Sublime",1996-07-30,71,4,0,55,0,10,-5,G Major,4,4eamJr2k9YDH8j58RSTmSc,USUM70605191
10,"One Dance","Drake,Wizkid,Kyla",104,3B,63,2024-02-03,02:53,92,"rap, afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano, ","Views",2016-05-06,79,1,0,37,0,30,-6,C♯/D♭ Major,4,1zi7xx7UVEFkmKfv06H8x0,USCM51600028
