#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Shiny","Easykid,Dysbit",110,12A,78,2025-11-25,02:38,81,"reggaeton chileno, chilean trap","I'M PART",2025-06-11,73,22,0,63,0,50,-5,C♯/D♭ Minor,4,72aGCwuSwD5Qb3tHvXBoX3,QZNJW2532497
2,"TU VAS SIN (fav)","Rels B",101,6B,57,2025-11-25,01:50,89,"trap latino, urbano latino","afroLOVA 25'",2025-06-20,88,7,0,28,10,20,-6,A#/B♭ Major,4,6uiQ0DqbXTBc8tl0AUKZkR,UYB282508143
3,"Me Mareo","Kidd Voodoo,JC Reyes",100,8A,80,2025-11-25,02:48,77,"reggaeton chileno, chilean trap, ","SATIROLOGÍA (DELUXE EDITION)",2025-08-07,72,14,0,82,0,10,-4,A Minor,4,6jBoUckd6VEImt6pg8RpDr,QMDA62579118
4,"YO y TÚ","Ovy On The Drums,Quevedo,Beéle",95,1B,75,2025-11-25,03:18,86,"reggaeton, latin afrobeats","YO y TÚ",2025-06-11,83,16,0,67,0,10,-4,B Major,4,7koAf6aZgjO6TS7bipfPD0,USWL12502366
5,"si te pillara","Beéle",104,7B,67,2025-11-25,03:04,83,"latin afrobeats, reggaeton","BORONDO",2025-05-15,50,59,0,34,0,40,-6,F Major,4,1C7NXX8UJ6pgNx8EkmyZDd,QZ7B82500397
6,"SOLEAO","Myke Towers,Quevedo",104,4A,61,2025-11-25,03:38,80,"reggaeton, trap latino, urbano latino, ","ISLAND BOYZ",2025-07-17,74,25,0,63,0,10,-5,F Minor,4,4OsBqqMwFabHATATT527tH,USWL12502238
7,"DÓNDE","Kapo,Ryan Castro",92,11B,62,2025-11-25,03:13,78,"latin afrobeats, reggaeton","POR SI ALGUIEN NOS ESCUCHA",2025-07-03,89,13,0,63,20,20,-5,A Major,4,4zqFA9MOG86u7uugR8QFDU,QZDYA1800565
8,"Paris","Boza,Sech",170,1B,67,2025-11-25,03:09,71,"reggaeton, latin afrobeats, urbano latino","Paris",2025-09-25,73,10,0,79,10,10,-3,B Major,4,30V3s7JION6nkntl6vsTYw,USSD12500623
9,"Chaparrita","Standly,Yeri Mua",100,3A,81,2025-11-25,02:38,69,"reggaeton chileno, chilean trap, chilean mambo, mambo, reggaeton, reggaeton mexa, electro corridos","Hasta Que Salga el Sol",2025-01-30,81,9,0,67,0,10,-4,A#/B♭ Minor,4,1OhT39hHs7Hi6sFNaIpcjJ,US7VG2592847
10,"BAILE INoLVIDABLE","Bad Bunny",119,6B,0,2025-11-25,06:07,98,"reggaeton, trap latino, latin, urbano latino","DeBÍ TiRAR MáS FOToS",2025-01-05,17,19,79,22,0,10,-46,A#/B♭ Major,3,2lTm559tuIvatlT1u0JYG2,QMFMF2447057
11,"Ruina","Xiyo,Fernandezz,Yung Beef,Quevedo",95,9A,60,2025-11-25,03:54,67,"neoperreo, ","Ruina",2025-09-25,63,18,0,27,10,10,-5,E Minor,4,1k9ehVSjlGY0GZFhrHavnH,QMDA62593917
12,"KLOuFRENS","Bad Bunny",107,3B,13,2025-11-25,03:19,90,"reggaeton, trap latino, latin, urbano latino","DeBÍ TiRAR MáS FOToS",2025-01-05,33,70,71,31,10,10,-32,C♯/D♭ Major,4,4MUrUT38U98olfnyzMBCzm,QMFMF2447064
13,"Un Verano En Mallorca","Rels B",98,9B,62,2025-11-25,02:24,56,"trap latino, urbano latino","Un Verano En Mallorca",2020-07-08,86,13,0,63,20,10,-6,G Major,4,6XchxkE3WuUovo0O50u7SX,ES5022000401
14,"Could You Be Loved","Bob Marley & The Wailers",103,8B,72,2025-11-25,03:57,85,"reggae, roots reggae","Uprising",1980-06-10,92,36,0,76,10,10,-9,C Major,4,5O4erNlJ74PIF6kGol1ZrC,USIR28000016
15,"Is This Love","Bob Marley & The Wailers",122,11A,56,2025-11-25,03:52,81,"reggae, roots reggae","Kaya",1978-00-00,78,11,0,74,10,0,-8,F#/G♭ Minor,4,6JRLFiX9NJSoRRKxowlBYr,USIR27800259
16,"BORRAXXA","Feid,Manuel Turizo",91,4B,62,2025-11-25,03:43,74,"reggaeton, urbano latino, pop urbano, colombian pop, latin","FERXXO (VOL 1: M.O.R)",2020-04-23,85,10,0,79,0,0,-5,G#/A♭ Major,4,16uvds0iYqjEK8m5EGEdVd,USUM72001342
17,"Como Se Siente","La T y La M",87,2B,61,2025-11-25,01:22,67,"cumbia, cuarteto, rkt, turreo","Messirve Mix 6",2022-08-06,74,61,0,96,0,10,-4,F#/G♭ Major,4,0tQDrJxQcB5zKGrHx43xUj,ARIXB2204828
18,"DÁKITI","Bad Bunny,JHAYCO",110,9A,57,2025-11-25,03:25,83,"reggaeton, trap latino, latin, urbano latino","DÁKITI",2020-10-30,73,40,0,14,0,10,-10,E Minor,4,47EiUVwUp4C9fGccaPuUCS,QMFME2004132
19,"LVCC","Myke Towers",75,10A,51,2025-11-25,02:21,70,"reggaeton, trap latino, urbano latino","Easy Money Baby",2020-01-24,77,19,0,40,20,10,-8,B Minor,4,6Vz73JS65SbTUr046H1Hmr,QM4TW2040250
20,"Holanda","JHAYCO",108,12A,76,2025-11-25,03:51,69,"reggaeton, trap latino, urbano latino","Holanda",2023-07-28,83,28,0,24,0,10,-4,C♯/D♭ Minor,4,6irysuQyZWd7Bjj7ePiOs2,USUM72310520
21,"Malibu","Feid,Ak4:20,Taiko",110,3A,69,2025-11-25,02:40,61,"reggaeton, urbano latino, chilean trap, reggaeton chileno, chilean mambo, mambo","Malibu",2022-11-11,77,2,0,25,0,0,-6,A#/B♭ Minor,4,4TRlBMj8wXsIfEDgWOPyE2,USUM72221585
22,"Quiere Beber","Anuel AA",95,4B,57,2025-11-25,03:07,73,"reggaeton, trap latino, urbano latino, latin","Real Hasta la Muerte",2018-07-17,77,37,1,77,10,10,-3,G#/A♭ Major,4,0FDMH2ahuIVzCybwHJK9zh,QM6MZ1820540
