#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Vanished - Slowed","fam0uz",103,3A,70,2025-11-26,03:25,52,"phonk","Vanished",2023-07-12,70,5,8,32,0,30,-8,A#/B♭ Minor,5,3QiT3AwJFczfpRnYrx9Z0J,GX3HH2304154
2,"the motif of the fairy tale","malibuca",101,7A,16,2025-11-26,01:54,28,"","the motif of the fairy tale",2023-10-13,25,88,59,4,0,0,-31,D Minor,3,2F3chHVpY0zOFvlsHGnAD5,UKR6V2307792
3,"Save the World","We Are Not Friends,Nextime",134,8B,52,2025-11-26,02:08,56,"shoegaze","We Are Not Friends",2024-05-24,83,15,87,11,0,10,-7,C Major,4,7itjpeEaGeUKjOy1OfmgM8,QZMEP2400145
4,"nope your too late i already died - Instrumental - Slowed","Tajo2Real",98,11A,70,2025-11-26,03:18,18,"","nope your too late i already died (Instrumental - Slowed)",2025-09-07,76,4,92,98,0,10,-11,F#/G♭ Minor,4,6MI4MT2RvfQT7S5zos289j,QZZ7U2506920
5,"DARK FANTASY 2","FEROE",127,9A,80,2025-11-26,01:26,39,"hyperpop","DARK FANTASY 2",2025-10-16,84,3,0,38,10,10,-5,E Minor,3,70r4DI0as0E1L6xGdDDxc5,QT3FC2542674
6,"Intrusive Thoughts","klmketa",80,3B,80,2025-11-26,01:36,32,"","Intrusive Thoughts",2024-08-30,61,13,0,4,0,10,-4,C♯/D♭ Major,4,2NdPscB8Te0qMKfGg24MYm,QZTBB2437945
7,"But... Peter u, are goin' to die...","gornas,cankick,NEVERLOSE",83,1A,55,2025-11-26,02:03,30,"","But... Peter u, are goin' to die...",2020-01-01,29,0,9,18,0,30,-9,G#/A♭ Minor,4,50cqizulLR1fLpOZbxlF4r,QT62U2589165
8,"Harvey","Alex G",107,8B,40,2025-11-26,01:38,72,"","DSU",2014-09-11,50,26,0,41,0,10,-10,C Major,4,0n1lIFtz2ur3cDDWSyyFUl,GBJET1400021
9,"Subete no mono no owari wa sugu ni yattekuru.7","Rory in early 20s",102,3A,6,2025-11-26,02:00,54,"breakcore, speedcore, jungle","Denki no iryoku",2021-06-30,39,99,98,4,0,10,-21,A#/B♭ Minor,4,0ie0mc9wnu2SKvRFcoP4HZ,QZS652100271
10,"healing together","mage tears",100,8B,1,2025-11-26,01:57,44,"slowcore, lo-fi indie","bear's lullabies",2023-09-05,55,99,88,16,0,10,-31,C Major,4,6FNtLFLF1MTJNMp06IjafH,QZTAU2357181
11,"shape of memories","snow tale,ashess",79,8A,3,2025-11-26,01:42,15,"dark ambient, ambient","shape of memories",2025-06-04,24,96,71,3,0,0,-32,A Minor,3,49Fl5aufM0uKXpiEG4fRjS,FR96X2594752
12,"dog cuddles","dad sports",158,3B,58,2025-11-26,02:31,46,"lo-fi indie, dream pop","dog cuddles",2018-11-11,64,60,92,92,0,10,-12,C♯/D♭ Major,4,23Z8zUlaNReUNgLcFFkcqx,QZES91951991
13,"meowsic","d2s1",54,10B,22,2025-11-26,01:31,57,"","meowsic",2025-03-08,49,94,1,19,0,10,-13,D Major,4,42CUBAvLt9Q91XpRrtGasN,QM6MZ2512420
14,"kah","егорbez",148,9A,66,2025-11-26,01:56,50,"","kah",2025-07-04,90,63,88,69,10,10,-8,E Minor,4,10tJQJV1h0GQs943bmTpem,RUAGT2524847
15,"#voyuitwaaien - SUPER slowed -pitch","latex fruit",139,8B,97,2025-11-26,01:54,69,"breakcore","#voyuitwaaien Remixes",2025-03-13,63,10,42,37,0,10,-1,C Major,4,6yV3akSoxxh006bFLHPfVW,QZHNC2573789
16,"lost memories","2003,LXNYA",112,8A,29,2025-11-26,01:34,38,"rally house, ","lost memories",2024-09-04,79,92,89,17,0,10,-15,A Minor,4,6iZmI7Y2D67RaEvmgALTS6,DGA0M2426391
17,"last summer days","shøuldz",95,6B,5,2025-11-26,01:43,26,"dark ambient","last summer days",2024-12-18,32,76,80,22,0,20,-31,A#/B♭ Major,4,4CnXl2DG3EY4nSCcO27VoL,DGA0S2475201
18,"moog city (ambient)","exhibit,analoq.",70,12A,24,2025-11-26,02:29,57,"dark ambient","minecraft - volume alpha (nostalgic)",2024-08-15,26,78,78,12,0,10,-20,C♯/D♭ Minor,5,056tSFlscNebcQL9MuSpOZ,USANG2428906
19,"August 10","Julie Doiron",115,9B,6,2025-11-26,02:58,78,"slowcore","Broken Girl",1996-04-01,51,4,1,35,0,0,-16,G Major,4,0yOf4dgkVq8jbB2zxVK8Zj,US38Y0310260
20,"She Likes Another Boy","Oscar Lang",62,12A,19,2025-11-26,03:27,66,"bedroom pop","She Likes Another Boy + Talk 2 U",2017-07-23,70,92,87,33,0,10,-14,C♯/D♭ Minor,4,5W6BA8Wa8JZGKdliH2gkwO,GBK3W1900989
21,"not anywhere","alexgoffline",130,10B,22,2025-11-26,02:05,73,"","not anywhere",2025-03-14,66,72,38,32,0,20,-15,D Major,4,7Kxir3VuFzvFDDsrUXuISf,QZNWP2051596
