#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"너 때문에 미쳐","T-ARA",135,3A,78,2026-03-21,03:14,61,"k-pop","Breaking Heart",2010-02-23,71,0,5,45,0,0,-2,A#/B♭ Minor,4,37srMwfKz7zltwXVnUqSMl,KRA341561022
2,"DAY BY DAY","T-ARA",118,11A,63,2026-03-21,03:28,58,"k-pop","DAY BY DAY",2012-07-03,75,70,0,65,0,20,-3,F#/G♭ Minor,4,3Q6ny7MOETlpX1VE83CzZE,KRA341561095
3,"Hero (Prod. by Primary) - Instrumental","Meego",79,7B,51,2026-03-20,03:56,71,"","Weak Hero Class 1 (Original Soundtrack)",2022-11-28,58,7,90,29,0,10,-6,F Major,4,6Wo2et5D6vR5GO0lh9Z6uY,KRNAR2232198
4,"Sweetly - Piano Version","Pianaura",60,1B,1,2026-03-20,02:07,25,"","Sweetly (Piano Version)",2025-12-11,54,98,93,8,0,10,-40,B Major,4,6RBS9BiktHw06dKIaNNkOu,GXHZK2530964
5,"Hey Daddy (Daddy's Home)","USHER",96,1B,70,2026-03-17,03:44,83,"r&b","Raymond v Raymond (Expanded Edition)",2010-03-30,59,0,0,35,0,10,-4,B Major,4,030OCtLMrljNhp8OWHBWW3,USLF21000011
7,"truth yandere^^ - ultra mega slowed","akkiemi",105,12B,73,2026-03-15,02:28,52,"","truth yandere^^ (mega slowed)",2026-01-16,68,6,0,38,0,10,-3,E Major,4,6zVyJMLSRtdJuzb4VU86tX,FR10S2624891
8,"truth yandere^^ - super slowed","akkiemi",146,6B,92,2026-03-15,01:46,68,"","truth yandere^^",2025-12-19,67,7,0,62,0,20,-2,A#/B♭ Major,4,6YWn1w1lu72zgNg8TdIbGw,DGA082550516
9,"Kwik Trip","Lightris,sero",112,12B,68,2026-03-14,03:25,70,"","Kwik Trip",2026-01-02,85,37,0,33,0,10,-6,E Major,4,4A3WcbBuUQMpcBIgmUzLBY,QT6HK2520572
10,"Shut Me Up","Mindless Self Indulgence",174,3B,80,2026-03-14,02:48,59,"","You'll Rebel To Anything (Expanded and Remastered 2008)",2008-01-22,59,0,0,79,10,0,-4,C♯/D♭ Major,4,7AH9Fmka4of4Y25lfhvBUC,US68L0500001
11,"I'm so crazy for youuu </3","Rebzyyx",159,2B,100,2026-03-13,01:50,73,"hyperpop","I'm so crazy for youuu </3",2021-04-13,52,8,0,80,10,70,-1,F#/G♭ Major,4,3uKqnQ0dGBcpovf9lV2nqg,QZES92129250
12,"みずいろの雨","Junko Yagami",126,7A,55,2026-03-11,03:24,30,"city pop, kayōkyoku, j-pop","みずいろの雨",1978-09-05,52,27,0,72,0,30,-6,D Minor,4,34lmL0vlDbEzS8ShqXgvsr,JPT207800003
13,"黄昏のBAY CITY","Junko Yagami",115,8A,77,2026-03-11,04:10,50,"city pop, kayōkyoku, j-pop","黄昏のBAY CITY",1982-11-21,80,30,0,80,0,10,-7,A Minor,4,4014FR3wY4V3s8hgDVSak7,JPTE08372300
14,"Bang Bang","K'NAAN,Adam Levine",180,3A,90,2026-03-08,03:06,77,"","Troubadour",2009-00-00,62,8,0,90,10,0,-4,A#/B♭ Minor,4,61YzdCCBPM5Pc7lIiD5i8C,USUM70951244
15,"Hatred","Gesaffelstein",126,7A,69,2026-03-07,06:47,50,"","Conspiracy Pt.1",2011-04-25,56,0,80,47,0,30,-8,D Minor,4,30IgmOiBb0ytJIkQEdXWV7,CAT391100025
16,"Velvet Ring - 2023 Remaster","Big Thief",139,8B,40,2026-03-06,02:35,77,"","Masterpiece (2023 Remaster)",2016-00-00,32,44,1,28,0,10,-12,C Major,4,3oBNQdDbNrs8wQbcZ3BXwP,GBAFL2300467
17,"Step On Me","The Cardigans",90,10B,47,2026-03-06,03:50,78,"swedish pop","First Band On The Moon (Remastered)",1996-01-01,33,1,0,14,0,0,-6,D Major,4,6ZaiqbV2GfUtrUlhsu58fN,SEBKB9629370
18,"Washing Machine Heart","Mitski",106,11B,82,2026-03-06,02:08,84,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
19,"Heart To Heart","Mac DeMarco",150,1A,14,2026-03-06,03:31,83,"indie, lo-fi indie","Here Comes The Cowboy",2019-05-10,90,67,35,64,10,10,-16,G#/A♭ Minor,4,7EAMXbLcL0qXmciM5SwMh2,QZG4T1900008
20,"Remember You Omnichord","Trillian",79,7B,25,2026-03-06,02:40,58,"","Remember You Omnichord",2021-08-28,14,83,0,5,0,10,-12,F Major,4,5lxCPxTa3KSBooC42pYzyu,QZTAX2589069
21,"Burning Pile","Mother Mother",140,7B,76,2026-03-06,04:22,71,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,5ZpAU5f4jxj6i9XoKK0RaI,CAL450882102
22,"Nothing's New","Rio Romeo",96,1B,39,2026-03-06,03:31,80,"","Good God!",2022-09-23,42,86,0,40,0,10,-8,B Major,3,0EF1EE8zusg3Y869e56JFd,UK6KW2200112
23,"хирург","7leaf",152,9B,80,2026-03-06,01:09,62,"","хирург",2025-11-14,80,3,0,97,10,0,-1,G Major,4,1owZR6EaHOaNV4a7gfslTr,RUAGW2510333
24,"Bait & Switch","KMFDM",133,3B,71,2026-03-06,05:56,68,"industrial, industrial metal, industrial rock, ebm","Blitz",2009-03-24,62,0,56,41,0,60,-8,C♯/D♭ Major,4,2JylxGfaeGAsiLbQC9tYYH,US57M0858002
25,"I Follow Rivers - The Magician Remix","Lykke Li,The Magician",122,8A,70,2026-03-06,04:39,73,"","I Follow Rivers (The Magician Remix)",2011-10-10,79,2,0,31,0,0,-6,A Minor,4,4Jv7lweGIUOFQ7Oq2AtAh9,SEVUM1100103
26,"Jerk It Out","Caesars",134,1A,98,2026-03-06,03:15,66,"","Jerk It Out",2005-01-14,58,2,0,86,0,30,-3,G#/A♭ Minor,4,1bx7OUl2UmAnA5oZkm9If7,SEVBU0200002
27,"Mystery Girl (Revamped)","Housecall",140,2B,98,2026-03-06,02:48,45,"","Bad Perfection",2019-07-22,56,2,0,78,0,10,-3,F#/G♭ Major,4,0lBU6zyCOkJ3xMgjj78TQd,USHM21984992
28,"Yesterday","Starship Orchestra",157,11A,48,2026-03-06,04:14,46,"","Celestial Sky",1980-06-01,37,31,0,54,0,30,-10,F#/G♭ Minor,4,6sf88FJHYJ9SuaS6X9t0HF,USSM10905158
29,"Loose Cannon","Puzzle",110,10A,90,2026-03-06,02:57,73,"","X Hail",2019-01-19,59,4,0,31,0,30,-3,B Minor,4,1FxmJ9hQ0nVrOI19SChpi8,QZHNC2095350
30,"He's My Man","Luvcat",96,10A,45,2026-02-21,03:52,72,"","He's My Man",2024-09-13,56,13,0,29,0,10,-8,B Minor,4,62rwEl9PfnDqrjqNjApOwV,QMBZ92485612
31,"Опять домой","Karna.val",108,10A,45,2026-02-19,02:25,34,"","Опять домой",2020-07-14,91,22,0,50,10,20,-7,B Minor,4,04bDfZLItxXZxpHUfx5mt7,QM6P42064338
32,"Fé meu levado","Caio Ocean,graovizir",137,4A,87,2026-02-18,01:32,63,"boom bap","Garoto Oceano",2024-10-24,32,44,0,47,40,10,-7,F Minor,4,0furrGycCoQKQXopvMPdra,BXIV82493873
33,"Pretty Girl","Jon B.",93,8B,50,2026-02-18,04:17,65,"r&b, quiet storm","Bonafide",1995-05-19,70,35,0,62,0,30,-10,C Major,4,6AQMkpCxZ2Fu7CM48vDSQt,USSM19501878
34,"Hey","Luci4",138,11B,88,2026-02-18,01:13,74,"hyperpop","Hey",2023-03-17,65,0,0,83,0,20,-2,A Major,4,51xJctklmFnwKjsDvFD7nP,QZVEM2312823
35,"Two Birds","Regina Spektor",151,8B,50,2026-02-18,03:15,77,"anti-folk","Far",2009-06-19,55,80,0,45,0,10,-9,C Major,4,2n0U2OG5d6TuW5mKx7YrC0,USWB10901899
36,"Can't go broke","ZEDDY WILL,Babyfxce E",98,11B,51,2026-02-18,02:17,57,"jersey club, ","Can't go broke",2024-07-05,84,8,0,7,20,10,-10,A Major,4,65cZFGvpAnWjZ9Z5kGZwDg,QZQAY2438559
37,"Ginseng Strip 2002","Yung Lean",115,3B,71,2026-02-14,02:33,75,"cloud rap","Lavender",2013-08-16,60,8,0,39,0,40,-9,C♯/D♭ Major,4,7v3rmoy5jcn4h5UqwQyCM3,SEY491300006
38,"EoO","Bad Bunny",64,3A,46,2026-02-12,03:24,95,"reggaeton, trap latino, latin, urbano latino","DeBÍ TiRAR MáS FOToS",2025-01-05,36,75,86,18,0,0,-30,A#/B♭ Minor,4,6J5kc12BW5HuP3d7C3vvx8,QMFMF2447069
39,"DtMF","Bad Bunny",136,6A,13,2026-02-12,03:57,100,"reggaeton, trap latino, latin, urbano latino","DeBÍ TiRAR MáS FOToS",2025-01-05,63,18,22,3,0,0,-27,G Minor,4,3sK8wGT43QFpWrvNQsrQya,QMFMF2447070
40,"Paprika Parade","Masanori Chinzei",100,8B,88,2026-02-11,05:43,58,"chinese r&b, vocaloid","Paprika Parade",1960-10-07,41,1,0,22,0,30,-8,C Major,4,0wZBhFZsN96Q8fKOnZjoj5,US5941406119
